A18 (original)
  1.0 0.00614
  0.9970968 0.006886715
  0.9935878 0.00778128
  0.9898891 0.008714729
  0.9859817 0.009690353
  0.9818448 0.01071153
  0.9774566 0.01178155
  0.9727955 0.01290326
  0.9678424 0.01407854
  0.9625836 0.01530752
  0.9570168 0.01658745
  0.9511569 0.01791144
  0.945043 0.01926747
  0.9387785 0.02063113
  0.9325795 0.02195628
  0.9264183 0.02325087
  0.9202454 0.02452678
  0.9140248 0.02579258
  0.9077331 0.02705383
  0.9014469 0.02829636
  0.8952299 0.02950914
  0.8890679 0.03069597
  0.8829465 0.03186008
  0.8768537 0.03300417
  0.8707788 0.03413054
  0.8647125 0.03524113
  0.8586468 0.03633758
  0.8525746 0.03742126
  0.8464899 0.03849332
  0.8403876 0.03955468
  0.8342635 0.04060607
  0.8281143 0.04164802
  0.8219378 0.04268086
  0.8157327 0.04370476
  0.8094988 0.04471968
  0.8032372 0.0457254
  0.7969502 0.04672151
  0.7906409 0.04770757
  0.784313 0.04868322
  0.7779696 0.04964814
  0.771614 0.0506021
  0.7652491 0.05154491
  0.7588776 0.05247643
  0.752502 0.05339658
  0.7461247 0.05430534
  0.7397475 0.05520273
  0.7333724 0.05608883
  0.7270007 0.05696376
  0.7206336 0.05782768
  0.7142723 0.05868081
  0.7079173 0.05952338
  0.7015692 0.06035567
  0.6952281 0.06117793
  0.688894 0.06198977
  0.6825666 0.06279053
  0.6762458 0.06357954
  0.6699312 0.06435616
  0.6636222 0.06511974
  0.6573185 0.06586967
  0.6510193 0.06660533
  0.6447241 0.06732612
  0.638432 0.06803143
  0.6321423 0.06872067
  0.6258539 0.06939325
  0.6195659 0.07004857
  0.6132773 0.07068606
  0.6069868 0.07130511
  0.6006933 0.07190512
  0.5943953 0.07248573
  0.5880918 0.07304791
  0.5817814 0.07359309
  0.5754628 0.0741227
  0.5691348 0.07463818
  0.562796 0.07514093
  0.5564447 0.07563241
  0.5500796 0.07611404
  0.5436991 0.07658741
  0.5373025 0.0770546
  0.5308911 0.07751776
  0.5244684 0.07797886
  0.5180403 0.0784398
  0.5116146 0.07890228
  0.5052016 0.07936786
  0.4988131 0.07983789
  0.4924623 0.08031035
  0.486159 0.08077615
  0.4799083 0.0812259
  0.4737109 0.08165102
  0.4675632 0.08204366
  0.4614583 0.0823965
  0.4553859 0.08270257
  0.4493328 0.082955
  0.4432834 0.08315088
  0.4372228 0.08329877
  0.4311395 0.08340897
  0.4250249 0.08349163
  0.4188738 0.08355705
  0.4126842 0.08361577
  0.4064579 0.08367871
  0.400201 0.0837571
  0.3939234 0.08385944
  0.3876361 0.08398117
  0.3813486 0.08411404
  0.3750684 0.08424976
  0.3688009 0.08438011
  0.3625494 0.08449703
  0.3563153 0.08459264
  0.350098 0.08465922
  0.3438951 0.08469038
  0.3377038 0.08468463
  0.3315214 0.08464174
  0.3253449 0.0845614
  0.3191717 0.08444323
  0.312999 0.08428676
  0.306824 0.08409147
  0.300644 0.08385674
  0.2944561 0.08358222
  0.2882575 0.08326942
  0.2820459 0.08292046
  0.2758197 0.08253751
  0.2695778 0.08212279
  0.2633199 0.08167858
  0.2570465 0.08120726
  0.2507586 0.0807113
  0.2444581 0.08019311
  0.2381473 0.07965395
  0.2318285 0.07909471
  0.2255041 0.07851629
  0.2191763 0.07791964
  0.2128473 0.07730573
  0.2065194 0.07667555
  0.2001947 0.07603011
  0.1938752 0.07537009
  0.1875632 0.0746947
  0.1812606 0.07400274
  0.1749691 0.073293
  0.1686903 0.07256429
  0.1624252 0.0718154
  0.1561749 0.07104513
  0.1499401 0.07025227
  0.1437216 0.06943466
  0.137522 0.06858669
  0.1313465 0.06770233
  0.1252029 0.06677615
  0.1191012 0.0658035
  0.1130533 0.06478056
  0.1070725 0.06370453
  0.1011731 0.06257368
  0.09536931 0.06138768
  0.08966541 0.06014754
  0.08403834 0.05884907
  0.07843743 0.05747975
  0.07278176 0.05601592
  0.06696489 0.05442157
  0.06095971 0.05267757
  0.05493283 0.05082447
  0.04922472 0.048973
  0.04412069 0.04723147
  0.03962348 0.04561053
  0.0355712 0.04406213
  0.03179746 0.04252772
  0.02814365 0.04093792
  0.02440874 0.03918193
  0.02022338 0.03701507
  0.01587867 0.03450921
  0.01262799 0.03247268
  0.01031444 0.03094473
  0.00855838 0.02971962
  0.007150828 0.02867751
  0.005981209 0.02775562
  0.004987419 0.02691882
  0.004131418 0.02614552
  0.003388299 0.02542145
  0.002740945 0.02473659
  0.002177184 0.02408362
  0.001688163 0.02345693
  0.001267378 0.02285214
  0.0009100627 0.02226565
  0.0006127986 0.02169448
  0.0003732661 0.02113607
  0.0001900898 0.02058816
  6.275438e-05 0.02004868
  -8.421255e-06 0.0195157
  -2.225489e-05 0.01898733
  2.334609e-05 0.01846166
  0.000129435 0.01793672
  0.0002950682 0.01741053
  0.000520041 0.01688115
  0.0008050968 0.01634661
  0.001151962 0.01580484
  0.001563451 0.01525358
  0.002043658 0.01469027
  0.002598262 0.01411191
  0.00323501 0.01351488
  0.003964471 0.01289468
  0.004801246 0.01224546
  0.005765985 0.01155937
  0.00688891 0.01082541
  0.00821629 0.01002739
  0.009822734 0.00914048
  0.01183192 0.008127049
  0.01441998 0.00694952
  0.01776424 0.005636429
  0.02158364 0.004424414
  0.02528604 0.003506684
  0.02887598 0.002801473
  0.032541 0.002228573
  0.03642929 0.001750436
  0.04069976 0.001345382
  0.04554751 0.0009980892
  0.05115737 0.0006927743
  0.05743494 0.0004238501
  0.06377807 0.0002190116
  0.07014059 7.431719e-05
  0.07631412 -1.524682e-05
  0.08234156 -5.948179e-05
  0.08833742 -6.110078e-05
  0.09437329 -1.921443e-05
  0.1004855 6.867999e-05
  0.1066769 0.0002040893
  0.1129362 0.0003835216
  0.1192509 0.0006018793
  0.1256092 0.0008534407
  0.1319995 0.001131991
  0.1384112 0.001430962
  0.144835 0.001743572
  0.1512626 0.002062958
  0.1576874 0.002384867
  0.1641031 0.00271095
  0.1705049 0.003043687
  0.176889 0.003385566
  0.1832529 0.003739077
  0.1895953 0.004106714
  0.195916 0.004490976
  0.2022159 0.004894312
  0.208497 0.005315421
  0.2147618 0.005747513
  0.2210128 0.006183459
  0.2272521 0.006616216
  0.2334819 0.00703881
  0.2397041 0.007444316
  0.2459206 0.00782584
  0.2521329 0.008176612
  0.2583424 0.008495443
  0.2645503 0.008789542
  0.2707583 0.009066795
  0.2769689 0.009335083
  0.2831851 0.009602315
  0.2894106 0.009876466
  0.2956498 0.01016564
  0.3019078 0.01047807
  0.3081903 0.01081826
  0.314502 0.01118409
  0.3208449 0.0115726
  0.3272181 0.01198057
  0.3336174 0.01240444
  0.3400356 0.01284033
  0.3464619 0.01328397
  0.3528822 0.01373077
  0.3592809 0.01417483
  0.3656458 0.01460927
  0.3719698 0.0150277
  0.3782507 0.01542434
  0.3844905 0.01579393
  0.3906951 0.01613161
  0.3968744 0.01643278
  0.4030415 0.01669311
  0.4092116 0.01691361
  0.415398 0.01710046
  0.4216113 0.01725982
  0.4278596 0.01739773
  0.4341479 0.0175203
  0.4404781 0.01763375
  0.446849 0.01774447
  0.4532555 0.01785889
  0.4596897 0.01797995
  0.4661379 0.01810694
  0.4725771 0.01823872
  0.4790111 0.0183747
  0.4854461 0.01851433
  0.4918877 0.01865706
  0.4983361 0.01880225
  0.504772 0.01894862
  0.5111898 0.01909395
  0.5175882 0.01923544
  0.5239672 0.01937036
  0.5303282 0.01949608
  0.536674 0.01961003
  0.5430087 0.01970965
  0.5493375 0.01979241
  0.5556669 0.01985641
  0.5620035 0.01990326
  0.5683524 0.01993573
  0.5747172 0.0199566
  0.5810999 0.01996865
  0.5875007 0.01997467
  0.5939183 0.01997755
  0.6003494 0.01998019
  0.6067891 0.0199846
  0.6132318 0.01998969
  0.6196727 0.01999371
  0.6261075 0.01999489
  0.6325327 0.0199915
  0.6389457 0.01998181
  0.6453445 0.01996414
  0.6517279 0.01993682
  0.6580953 0.01989823
  0.664447 0.01984675
