A18 (smoothed)
  1.0 0.00307
  0.9968823 0.003807171
  0.9927544 0.004804425
  0.9880869 0.005921889
  0.9829489 0.007118991
  0.9774567 0.008371765
  0.9717389 0.009652707
  0.9658974 0.01093577
  0.9599796 0.0122089
  0.9540038 0.01346934
  0.9479863 0.01471549
  0.9419419 0.01594561
  0.9358813 0.01715801
  0.9298099 0.01835206
  0.9237286 0.01952819
  0.9176365 0.02068733
  0.9115337 0.02183022
  0.9054213 0.02295744
  0.8993011 0.02406921
  0.8931749 0.02516549
  0.8870439 0.02624632
  0.8809087 0.02731183
  0.8747695 0.02836224
  0.8686262 0.02939775
  0.8624788 0.03041855
  0.8563272 0.03142484
  0.8501711 0.03241681
  0.8440105 0.03339475
  0.8378453 0.03435897
  0.8316754 0.0353098
  0.8255008 0.03624755
  0.8193215 0.03717252
  0.8131376 0.03808499
  0.8069492 0.03898518
  0.8007569 0.03987329
  0.7945612 0.04074948
  0.7883627 0.04161393
  0.7821625 0.04246663
  0.775961 0.0433074
  0.7697588 0.04413611
  0.7635559 0.04495263
  0.757352 0.04575689
  0.7511468 0.04654888
  0.7449397 0.04732874
  0.7387302 0.04809665
  0.732518 0.04885279
  0.7263031 0.0495973
  0.7200854 0.05033031
  0.7138653 0.05105192
  0.7076428 0.05176217
  0.7014183 0.05246113
  0.695192 0.05314883
  0.688964 0.05382533
  0.6827346 0.0544907
  0.676504 0.05514495
  0.6702723 0.05578803
  0.6640397 0.05641987
  0.6578064 0.05704038
  0.6515725 0.05764951
  0.6453384 0.05824718
  0.6391041 0.0588333
  0.6328698 0.05940777
  0.6266356 0.0599705
  0.6204013 0.06052139
  0.6141665 0.06106037
  0.6079311 0.06158738
  0.6016944 0.06210238
  0.5954559 0.06260544
  0.5892157 0.06309665
  0.5829737 0.06357608
  0.5767303 0.06404376
  0.5704862 0.06449972
  0.5642424 0.06494394
  0.5579997 0.06537612
  0.5517589 0.06579589
  0.5455202 0.06620289
  0.5392837 0.0665968
  0.533049 0.06697731
  0.5268154 0.06734416
  0.5205821 0.06769725
  0.5143486 0.06803659
  0.5081145 0.06836215
  0.5018797 0.06867392
  0.4956446 0.06897185
  0.4894097 0.06925587
  0.4831757 0.06952575
  0.4769432 0.06978112
  0.470713 0.07002159
  0.4644855 0.0702468
  0.4582611 0.0704564
  0.4520401 0.07065002
  0.4458228 0.07082727
  0.4396094 0.07098766
  0.4333999 0.07113068
  0.4271942 0.07125585
  0.4209923 0.07136269
  0.4147939 0.07145071
  0.4085988 0.07151947
  0.4024067 0.07156861
  0.3962176 0.07159778
  0.3900314 0.07160663
  0.3838483 0.0715948
  0.3776686 0.07156195
  0.3714925 0.0715077
  0.3653205 0.07143164
  0.3591526 0.07133335
  0.352989 0.07121238
  0.3468294 0.07106832
  0.3406736 0.07090074
  0.3345212 0.07070929
  0.3283716 0.07049386
  0.3222244 0.07025435
  0.3160789 0.06999065
  0.3099344 0.06970264
  0.3037901 0.06939016
  0.2976451 0.06905322
  0.2914992 0.068692
  0.2853522 0.06830676
  0.2792047 0.06789774
  0.2730576 0.06746527
  0.2669124 0.06700968
  0.2607707 0.06653101
  0.2546335 0.06602909
  0.2485008 0.06550369
  0.2423721 0.06495451
  0.236246 0.06438116
  0.2301204 0.06378339
  0.2239939 0.06316137
  0.2178661 0.06251545
  0.2117379 0.06184609
  0.2056113 0.06115393
  0.1994897 0.06043954
  0.1933766 0.05970258
  0.1872744 0.05894238
  0.1811844 0.05815817
  0.175107 0.05734908
  0.1690415 0.05651408
  0.1629871 0.05565223
  0.1569444 0.05476272
  0.150915 0.05384494
  0.1449015 0.0528985
  0.1389078 0.05192269
  0.1329378 0.05091591
  0.126995 0.04987651
  0.1210821 0.04880284
  0.1152016 0.04769315
  0.109356 0.04654513
  0.1035482 0.04535634
  0.09778149 0.04412461
  0.09205957 0.04284796
  0.08638692 0.04152389
  0.08076901 0.04014982
  0.07521191 0.03872369
  0.06972221 0.03724391
  0.06430836 0.03570886
  0.05898127 0.03411789
  0.0537536 0.03247186
  0.04864177 0.03077273
  0.04367813 0.0290267
  0.03890984 0.02724872
  0.03438687 0.0254596
  0.03015635 0.02368044
  0.02625385 0.02193334
  0.02269343 0.02023741
  0.01948584 0.01860726
  0.01665584 0.01706586
  0.01420317 0.01563376
  0.01209415 0.01431654
  0.01027998 0.01310164
  0.008708155 0.01196889
  0.007332541 0.01090091
  0.006116975 0.009884498
  0.00503377 0.008909572
  0.004069778 0.007967201
  0.003224442 0.007052502
  0.002495871 0.006165354
  0.001878625 0.005307243
  0.001364179 0.004479535
  0.0009421901 0.003682809
  0.0006037627 0.002917909
  0.0003443415 0.002185046
  0.0001590538 0.001479369
  4.451843e-05 0.0007935725
  3.017411e-07 0.0001191757
  2.887644e-05 -0.0005532526
  0.0001298595 -0.0012311
  0.0003042384 -0.001918736
  0.0005566996 -0.002617862
  0.0008946824 -0.003326107
  0.001326515 -0.004035245
  0.001859819 -0.00473963
  0.002501191 -0.005436773
  0.003255354 -0.006124411
  0.004124256 -0.00680101
  0.005106259 -0.007466611
  0.006196856 -0.008123829
  0.00740438 -0.008774859
  0.008750628 -0.009420608
  0.01026306 -0.01006287
  0.01197525 -0.0107052
  0.01392659 -0.01135458
  0.01615966 -0.01201632
  0.01871713 -0.01268355
  0.02162798 -0.01334404
  0.02490296 -0.01398558
  0.02855446 -0.01459994
  0.03259767 -0.01517431
  0.03702066 -0.01569603
  0.04178283 -0.01615759
  0.0468262 -0.01654977
  0.05208312 -0.01686531
  0.05749917 -0.01710431
  0.06304842 -0.0172703
  0.06871332 -0.01736715
  0.07447538 -0.0174006
  0.08031636 -0.01737701
  0.08622038 -0.0173006
  0.09217526 -0.0171758
  0.09817339 -0.01700753
  0.1042116 -0.01680023
  0.1102875 -0.01655759
  0.1163977 -0.01628347
  0.1225376 -0.01598203
  0.1287018 -0.01565661
  0.1348857 -0.01530944
  0.1410859 -0.01494265
  0.1473006 -0.01455839
  0.1535296 -0.01415862
  0.1597728 -0.01374503
  0.1660299 -0.01331929
  0.1722999 -0.01288315
  0.1785814 -0.01243838
  0.1848725 -0.01198636
