AG45ct -02f
  1.0 0.000311
  0.9969559 0.0005933789
  0.9926911 0.0009899382
  0.9876234 0.001461877
  0.9820871 0.001976036
  0.9763248 0.002507586
  0.9703762 0.003052892
  0.9643034 0.003606807
  0.9581845 0.004162007
  0.9520567 0.00471465
  0.9459203 0.005264702
  0.9397753 0.005812406
  0.9336281 0.006357143
  0.9274817 0.006898243
  0.9213335 0.007435836
  0.9151822 0.007970546
  0.9090306 0.008502469
  0.9028808 0.00903107
  0.89673 0.009556221
  0.8905758 0.0100786
  0.8844211 0.01059859
  0.8782704 0.01111536
  0.8721218 0.01162808
  0.8659691 0.01213738
  0.859812 0.01264444
  0.8536575 0.01314897
  0.8475081 0.01364958
  0.8413574 0.01414609
  0.8352008 0.01463989
  0.829042 0.01513168
  0.8228864 0.01562057
  0.8167329 0.01610587
  0.8105774 0.01658802
  0.8044197 0.01706756
  0.7982629 0.01754427
  0.7921078 0.01801766
  0.7859521 0.01848774
  0.7797947 0.0189549
  0.7736363 0.0194193
  0.7674779 0.01988088
  0.7613194 0.02033967
  0.7551613 0.02079558
  0.7490068 0.02124835
  0.7428582 0.02169735
  0.7367141 0.02214227
  0.730576 0.02258389
  0.7244657 0.02302236
  0.7184312 0.02345247
  0.7125537 0.02386542
  0.7069508 0.02425976
  0.7017174 0.02464569
  0.6964092 0.02520788
  0.6907146 0.02579673
  0.6848265 0.02638649
  0.6788515 0.02699213
  0.6728158 0.02760452
  0.6667294 0.02821458
  0.6606084 0.02882376
  0.6544803 0.0294305
  0.6483532 0.03003245
  0.6422239 0.03062952
  0.6360915 0.03122181
  0.6299571 0.0318095
  0.6238235 0.03239255
  0.6176927 0.03297037
  0.6115642 0.03354237
  0.6054353 0.03410849
  0.5993047 0.03466912
  0.5931748 0.03522422
  0.5870463 0.03577337
  0.5809167 0.03631653
  0.574784 0.03685421
  0.5686534 0.03738639
  0.5625308 0.03791146
  0.556409 0.03842822
  0.5502796 0.03893889
  0.5441511 0.03944401
  0.5380265 0.0399418
  0.5319008 0.04043255
  0.525774 0.04091654
  0.5196495 0.04139325
  0.513527 0.04186209
  0.5074027 0.04232322
  0.5012757 0.04277725
  0.4951492 0.04322423
  0.4890259 0.04366338
  0.482904 0.04409418
  0.4767802 0.04451695
  0.4706548 0.04493214
  0.4645313 0.04533941
  0.4584113 0.04573796
  0.4522927 0.04612741
  0.4461736 0.04650791
  0.4400542 0.04687955
  0.4339359 0.04724205
  0.4278196 0.04759505
  0.4217053 0.04793824
  0.4155929 0.04827122
  0.4094829 0.04859361
  0.4033746 0.04890509
  0.3972664 0.04920544
  0.3911572 0.04949479
  0.3850482 0.0497733
  0.3789424 0.05004054
  0.3728403 0.05029569
  0.3667393 0.05053835
  0.3606376 0.05076873
  0.3545364 0.05098687
  0.3484377 0.05119234
  0.3423413 0.05138464
  0.3362459 0.05156359
  0.3301509 0.05172917
  0.3240573 0.05188119
  0.3179661 0.05201929
  0.3118775 0.05214309
  0.3057913 0.05225228
  0.2997072 0.05234654
  0.2936255 0.05242551
  0.2875483 0.05248882
  0.2814783 0.05253566
  0.275415 0.05256483
  0.269354 0.05257558
  0.2632938 0.05256808
  0.2572381 0.05254238
  0.2511917 0.05249731
  0.2451536 0.0524314
  0.2391201 0.05234391
  0.2330905 0.05223465
  0.2270677 0.05210308
  0.221054 0.05194812
  0.2150499 0.05176865
  0.2090545 0.05156362
  0.2030665 0.051332
  0.1970852 0.05107309
  0.1911123 0.05078637
  0.1851507 0.05047098
  0.1792014 0.05012546
  0.1732626 0.04974845
  0.1673334 0.04933911
  0.1614158 0.04889674
  0.1555123 0.04842021
  0.1496237 0.04790814
  0.1437499 0.04735916
  0.1378933 0.04677216
  0.132058 0.04614586
  0.1262458 0.04547815
  0.1204547 0.04476667
  0.1146842 0.04400996
  0.1089409 0.04320755
  0.1032338 0.04235767
  0.0975675 0.04145713
  0.0919416 0.04050245
  0.0863574 0.03949096
  0.08081998 0.03842054
  0.075338 0.03728886
  0.06992257 0.03609429
  0.06458538 0.03483396
  0.05933435 0.03350384
  0.05417563 0.03210013
  0.04912278 0.03062179
  0.04419831 0.02907124
  0.03943124 0.02745125
  0.03485077 0.02576763
  0.03049077 0.0240301
  0.02639741 0.02225809
  0.02261654 0.0204785
  0.01919488 0.01872255
  0.01615988 0.0170244
  0.01351301 0.01540915
  0.01124057 0.01389568
  0.009306117 0.01249249
  0.00766623 0.01119527
  0.006276536 0.009995222
  0.00509544 0.008881772
  0.00409026 0.007843925
  0.003233258 0.00687235
  0.002503484 0.005957914
  0.001885996 0.00509126
  0.001367277 0.004264675
  0.0009387942 0.003472576
  0.0005941182 0.002710931
  0.0003286031 0.001977101
  0.000141579 0.001269451
  3.196685e-05 0.000585689
  1.08102e-06 -7.747327e-05
  5.493196e-05 -0.0007319814
  0.0002048515 -0.001389814
  0.0004681478 -0.00204696
  0.0008535414 -0.002686488
  0.001356585 -0.003291906
  0.001974655 -0.003857691
  0.002706638 -0.004397345
  0.00354649 -0.00492734
  0.004501597 -0.005454348
  0.005588286 -0.005984194
  0.006830432 -0.006524576
  0.008263036 -0.007081559
  0.009928695 -0.007663877
  0.01188077 -0.008276491
  0.01418185 -0.00892179
  0.01690107 -0.009602051
  0.0201029 -0.01031054
  0.02381586 -0.01103517
  0.0280264 -0.01175698
  0.03266208 -0.01245036
  0.03763546 -0.01309894
  0.0428709 -0.01369247
  0.04830079 -0.01422858
  0.05387697 -0.01470866
  0.05955875 -0.01513675
  0.06531568 -0.01551673
  0.0711307 -0.01585172
  0.07699925 -0.01614635
  0.08291476 -0.01640589
  0.08886108 -0.01663459
  0.09482382 -0.0168333
  0.100801 -0.01700283
  0.1067974 -0.01714534
  0.112813 -0.01726334
  0.1188445 -0.0173588
  0.1248897 -0.01743338
  0.1309496 -0.01748887
  0.1370238 -0.01752724
  0.1431088 -0.01755027
  0.1492018 -0.0175589
  0.1553037 -0.01755406
  0.1614158 -0.01753709
  0.1675368 -0.01750953
  0.1736629 -0.01747226
  0.1797925 -0.01742562
  0.1859271 -0.01737014
  0.1920675 -0.01730663
  0.1982129 -0.01723588
  0.204362 -0.01715846
  0.2105144 -0.01707485
  0.2166698 -0.01698548
  0.2228278 -0.01689078
  0.2289875 -0.01679101
  0.2351491 -0.01668635
  0.2413134 -0.01657711
  0.2474807 -0.01646373
  0.2536503 -0.01634665
  0.2598216 -0.01622612
  0.2659947 -0.01610235
  0.2721697 -0.01597564
  0.2783466 -0.01584629
  0.2845247 -0.01571452
  0.2907031 -0.01558046
  0.2968806 -0.0154441
  0.3030575 -0.01530521
  0.3092363 -0.01516368
  0.3154189 -0.01502008
  0.3216038 -0.0148751
  0.3277882 -0.01472881
  0.3339711 -0.01458095
  0.3401535 -0.01443137
  0.3463369 -0.01428009
  0.3525225 -0.01412724
  0.3587104 -0.01397327
  0.364898 -0.01381857
  0.3710832 -0.01366283
  0.3772671 -0.01350555
  0.383452 -0.0133467
  0.3896388 -0.01318663
  0.3958265 -0.01302558
  0.4020142 -0.01286358
  0.4082021 -0.01270063
  0.4143907 -0.01253682
  0.4205789 -0.01237224
  0.4267661 -0.01220677
  0.4329528 -0.01204017
  0.4391408 -0.01187245
  0.4453303 -0.01170396
