AG47c -03f
  1.000094 0.015773
  0.9970894 0.01588489
  0.9928135 0.01605567
  0.9876577 0.01627634
  0.9820415 0.01652429
  0.9762685 0.01677707
  0.9703493 0.01703474
  0.9643176 0.01729894
  0.9582441 0.01756639
  0.9521674 0.0178332
  0.9460857 0.0180986
  0.939995 0.01836352
  0.9339015 0.01862812
  0.927812 0.01889146
  0.9217261 0.01915281
  0.9156409 0.01941206
  0.9095586 0.01966903
  0.9034835 0.01992263
  0.8974143 0.02017146
  0.8913438 0.02041525
  0.8852675 0.02065518
  0.8791877 0.02089206
  0.8731077 0.02112586
  0.8670273 0.02135651
  0.8609449 0.02158432
  0.8548613 0.02180959
  0.8487794 0.0220322
  0.8426994 0.02225168
  0.8366178 0.02246795
  0.8305338 0.02268153
  0.824452 0.02289257
  0.8183764 0.02310005
  0.8123027 0.0233029
  0.8062232 0.02350184
  0.8001377 0.02369836
  0.794054 0.02389265
  0.7879766 0.02408339
  0.7819017 0.02426978
  0.7758245 0.02445228
  0.769744 0.02463143
  0.7636623 0.02480743
  0.757582 0.02498036
  0.7515061 0.02515012
  0.7454363 0.02531645
  0.7393765 0.02547805
  0.7333465 0.02563135
  0.7273869 0.02577502
  0.7215233 0.02592057
  0.7157387 0.02607998
  0.7100905 0.02621941
  0.7048853 0.02628532
  0.7001682 0.02644334
  0.6951435 0.02682734
  0.6895759 0.02722579
  0.6837254 0.02765101
  0.6777809 0.02808265
  0.6717986 0.02850925
  0.6657744 0.02893208
  0.6597219 0.02935227
  0.6536635 0.02976841
  0.6476087 0.03017925
  0.6415543 0.03058476
  0.6354968 0.03098532
  0.6294352 0.03138122
  0.6233721 0.0317727
  0.617313 0.0321595
  0.6112599 0.03254013
  0.6052056 0.03291402
  0.5991456 0.03328304
  0.5930894 0.03364748
  0.5870369 0.03400527
  0.5809819 0.03435697
  0.5749235 0.03470303
  0.5688642 0.03504357
  0.5628077 0.03537842
  0.5567549 0.03570669
  0.5507001 0.03602815
  0.5446418 0.03634407
  0.5385856 0.03665413
  0.5325314 0.03695765
  0.5264768 0.03725464
  0.5204219 0.03754509
  0.514367 0.03782895
  0.5083119 0.03810621
  0.5022563 0.03837691
  0.496201 0.03864106
  0.4901472 0.03889841
  0.4840952 0.03914854
  0.4780434 0.03939129
  0.4719908 0.03962679
  0.4659379 0.03985512
  0.4598856 0.04007612
  0.4538345 0.04028956
  0.4477846 0.04049527
  0.4417343 0.04069317
  0.4356814 0.04088342
  0.4296272 0.04106644
  0.4235763 0.04124214
  0.4175309 0.04140947
  0.4114861 0.04156761
  0.4054363 0.04171728
  0.3993838 0.0418595
  0.393336 0.04199385
  0.3872933 0.04211904
  0.3812487 0.04223477
  0.3751989 0.04234214
  0.3691497 0.04244176
  0.3631072 0.04253249
  0.3570696 0.04261306
  0.3510309 0.04268347
  0.3449894 0.0427443
  0.338948 0.04279566
  0.3329088 0.04283724
  0.3268723 0.0428687
  0.3208375 0.04288973
  0.3148032 0.04290006
  0.3087686 0.0428997
  0.3027353 0.04288876
  0.2967055 0.04286686
  0.2906791 0.04283333
  0.2846537 0.04278778
  0.2786287 0.04273028
  0.2726061 0.04266078
  0.2665876 0.04257868
  0.2605718 0.04248333
  0.2545565 0.04237462
  0.2485416 0.0422527
  0.2425294 0.04211739
  0.2365217 0.04196814
  0.2305193 0.04180436
  0.2245213 0.04162532
  0.2185254 0.04143039
  0.2125303 0.04121954
  0.206538 0.04099292
  0.200552 0.04074999
  0.1945727 0.04048969
  0.1885979 0.04021124
  0.1826262 0.0399143
  0.1766585 0.03959858
  0.1706964 0.03926358
  0.164742 0.03890874
  0.1587966 0.03853306
  0.15286 0.03813532
  0.1469313 0.03771452
  0.141011 0.03726995
  0.135101 0.03680075
  0.129204 0.03630573
  0.123322 0.03578351
  0.1174569 0.03523235
  0.1116096 0.03465035
  0.1057816 0.03403561
  0.09997551 0.03338631
  0.0941953 0.0327003
  0.08844551 0.03197513
  0.08273117 0.03120805
  0.07705873 0.0303958
  0.07143623 0.0295352
  0.06587346 0.02862205
  0.0603813 0.02765243
  0.05497401 0.02662155
  0.04967155 0.02552579
  0.04449904 0.02436168
  0.03948465 0.02312576
  0.03465821 0.02181742
  0.03006593 0.02044104
