AH-6-40-7 AIRFOIL
  1.0 0.0035
  0.9971776 0.004219213
  0.9938404 0.005065456
  0.9904107 0.005930444
  0.9868833 0.006815081
  0.9832528 0.007720317
  0.9795133 0.008647146
  0.9756586 0.0095966
  0.9716822 0.01056974
  0.9675772 0.01156766
  0.9633365 0.01259145
  0.9589526 0.01364219
  0.9544179 0.0147209
  0.9497251 0.01582855
  0.9448668 0.01696595
  0.9398363 0.01813369
  0.9346277 0.01933211
  0.9292364 0.02056111
  0.92366 0.02182011
  0.9178985 0.02310786
  0.9119557 0.02442231
  0.9058394 0.02576047
  0.8995625 0.02711831
  0.8931443 0.02849058
  0.8867023 0.02985149
  0.8803398 0.03117947
  0.8740319 0.03248019
  0.8677566 0.03375852
  0.8614951 0.03501844
  0.8552316 0.03626318
  0.8489524 0.03749537
  0.842646 0.03871714
  0.8363025 0.0399301
  0.8299143 0.04113544
  0.8234755 0.04233386
  0.8169829 0.04352556
  0.8104748 0.04470323
  0.8040105 0.04585622
  0.7975856 0.04698566
  0.7911919 0.04809321
  0.7848219 0.04918044
  0.7784683 0.05024868
  0.7721253 0.05129908
  0.7657873 0.05233258
  0.7594498 0.05334997
  0.7531085 0.05435188
  0.7467601 0.05533883
  0.7404016 0.0563112
  0.7340309 0.05726924
  0.7276462 0.05821311
  0.7212465 0.05914285
  0.7148312 0.06005841
  0.7084007 0.06095964
  0.7019558 0.06184629
  0.6954981 0.06271805
  0.6890294 0.06357456
  0.682552 0.06441549
  0.6760675 0.06524055
  0.6695778 0.06604948
  0.6630842 0.06684207
  0.6565882 0.06761814
  0.650091 0.06837755
  0.6435936 0.06912017
  0.6370968 0.06984591
  0.6306012 0.07055473
  0.6241074 0.07124659
  0.6176158 0.07192147
  0.6111263 0.07257938
  0.604639 0.07322034
  0.5981538 0.07384441
  0.5916702 0.07445161
  0.5851878 0.07504197
  0.5787064 0.0756155
  0.5722254 0.0761722
  0.5657445 0.07671206
  0.5592634 0.07723509
  0.5527817 0.07774127
  0.5462991 0.07823058
  0.5398154 0.07870301
  0.5333301 0.07915853
  0.5268429 0.0795971
  0.5203537 0.0800187
  0.5138621 0.08042328
  0.5073679 0.0808108
  0.5008708 0.08118123
  0.4943706 0.08153451
  0.487867 0.08187073
  0.48136 0.08219002
  0.4748496 0.08249248
  0.4683357 0.08277822
  0.4618185 0.08304737
  0.4552983 0.08330001
  0.4487753 0.08353626
  0.44225 0.08375622
  0.4357229 0.08396
  0.4291946 0.08414771
  0.4226656 0.08431946
  0.4161369 0.08447537
  0.4096092 0.08461555
  0.4030835 0.08474014
  0.3965607 0.08484926
  0.3900421 0.08494274
  0.3835283 0.08502009
  0.3770202 0.08508083
  0.3705182 0.08512447
  0.3640225 0.08515055
  0.3575332 0.08515859
  0.3510501 0.08514815
  0.3445729 0.08511874
  0.338101 0.08506991
  0.3316336 0.08500118
  0.3251697 0.08491207
  0.3187083 0.08480207
  0.312248 0.08467067
  0.3057872 0.08451732
  0.2993241 0.08434145
  0.2928569 0.08414231
  0.2863842 0.0839186
  0.2799051 0.08366889
  0.2734197 0.08339178
  0.2669289 0.08308588
  0.2604342 0.08274984
  0.2539379 0.0823824
  0.2474434 0.08198236
  0.2409544 0.08154865
  0.2344757 0.08108033
  0.2280126 0.08057662
  0.2215713 0.08003695
  0.2151582 0.07946093
  0.2087805 0.07884842
  0.2024455 0.07819953
  0.1961608 0.07751446
  0.1899338 0.07679148
  0.1837682 0.07602688
  0.177664 0.07521668
  0.171617 0.07435657
  0.16562 0.07344172
  0.1596626 0.07246668
  0.1537318 0.07142508
  0.1478115 0.07030936
  0.141883 0.06911311
  0.1359312 0.06783371
  0.1299484 0.06646995
  0.1239354 0.06502233
  0.1179022 0.06349389
  0.1118684 0.06189084
  0.1058635 0.06022316
  0.09992483 0.05850458
  0.09409405 0.05675
  0.08839635 0.0549634
  0.08281866 0.05313567
  0.07731516 0.05124589
  0.07180945 0.04925898
  0.0662082 0.04712972
  0.06049284 0.04483836
  0.05478812 0.04242609
  0.04934406 0.04000342
  0.04439563 0.03769334
  0.03998291 0.0355324
  0.03599188 0.03348082
  0.03228658 0.03147806
  0.02873451 0.0294521
  0.02517972 0.02729828
  0.02134316 0.02479396
  0.01711972 0.02176613
  0.01358216 0.01900631
  0.01102347 0.01689822
  0.009098667 0.01523847
  0.007571745 0.01385556
  0.006311463 0.01265392
  0.005244647 0.01158029
  0.004327125 0.01060247
  0.003530313 0.009699474
  0.002834709 0.008856852
  0.002226475 0.008064175
  0.001695518 0.007313641
  0.001234336 0.00659924
  0.0008373076 0.005916223
  0.00050023 0.005260758
  0.0002200122 0.004629694
  -5.525431e-06 0.0040204
  -0.000177782 0.003430637
  -0.0002974558 0.002858481
  -0.0003645817 0.002302246
  -0.0003785321 0.001760434
  -0.0003379799 0.001231692
  -0.000240821 0.0007147739
  -8.404198e-05 0.0002085036
  0.0001362841 -0.0002882795
  0.0004221866 -0.0007770376
  0.0007742641 -0.001259371
  0.001194112 -0.001736753
  0.001684478 -0.00221057
  0.002249436 -0.002682161
  0.002894665 -0.003152855
  0.003627891 -0.003623996
  0.004459558 -0.004096969
  0.005403883 -0.004573201
  0.006480518 -0.005054108
  0.007717247 -0.005540891
  0.009154332 -0.006033873
  0.0108508 -0.006530338
  0.01288716 -0.00701704
  0.01536635 -0.007455971
  0.01844208 -0.00778147
  0.0221615 -0.007912159
  0.02634182 -0.007864545
  0.03093447 -0.007731343
  0.03599847 -0.007522445
  0.04157121 -0.00724193
  0.04761897 -0.006906223
  0.05396419 -0.006549476
  0.06033844 -0.006184064
  0.06656924 -0.005793015
  0.07262675 -0.005354608
  0.07859078 -0.004844021
  0.08458782 -0.004254699
  0.09071668 -0.003597466
  0.09703613 -0.00288767
  0.1035492 -0.002149516
  0.1100863 -0.001413647
  0.1165556 -0.000687346
  0.1230118 3.908178e-05
  0.129496 0.0007738067
  0.1360367 0.001523756
  0.1425939 0.002288136
  0.1490793 0.003060114
  0.1555056 0.003843337
  0.1618941 0.00463702
  0.1682631 0.005438219
  0.1746274 0.006243728
  0.1809984 0.007050001
  0.1873847 0.007853087
  0.1937918 0.008648576
  0.2002222 0.009431565
  0.2066754 0.01019775
  0.2131487 0.01094638
  0.2196396 0.0116776
  0.2261454 0.01239157
  0.2326636 0.01308853
  0.239192 0.01376872
  0.2457281 0.01443245
  0.2522699 0.01508008
  0.2588153 0.01571197
  0.2653626 0.01632856
  0.27191 0.01693027
  0.2784559 0.01751758
  0.284999 0.01809099
  0.291538 0.01865102
  0.2980718 0.01919821
  0.3045995 0.01973302
  0.3111205 0.02025519
  0.3176342 0.02076402
  0.3241405 0.02125883
  0.3306391 0.02173899
  0.3371304 0.02220384
  0.3436147 0.0226528
  0.3500924 0.02308525
  0.3565644 0.02350061
  0.3630316 0.0238983
  0.369495 0.02427775
  0.375956 0.02463839
  0.3824161 0.02497963
  0.388877 0.02530088
  0.3953405 0.02560157
  0.4018087 0.02588107
  0.4082838 0.02613945
  0.4147679 0.02637793
  0.4212626 0.02659783
  0.4277693 0.02680041
