AH 79-K-143/18
  1.0 0.0
  0.9981824 0.001794612
  0.9953287 0.002511581
  0.9922545 0.00327437
  0.989031 0.004106566
  0.9854368 0.0049029
  0.9813397 0.005737971
  0.9767808 0.006651878
  0.9718579 0.007608839
  0.9665645 0.008594743
  0.9608769 0.009619712
  0.954866 0.01067803
  0.9486419 0.01174587
  0.942259 0.01280908
  0.9357334 0.01386637
  0.9290961 0.01491625
  0.9223905 0.01595334
  0.915641 0.01697329
  0.9088461 0.01797682
  0.9020074 0.01896778
  0.8951622 0.01994597
  0.8883761 0.02090256
  0.8816887 0.02182265
  0.8750887 0.02269814
  0.8685308 0.02353351
  0.8620025 0.0243497
  0.8555664 0.02516105
  0.8493424 0.02597343
  0.8434321 0.02680293
  0.8378368 0.02767674
  0.8324928 0.0286242
  0.8273063 0.02967871
  0.8221707 0.03086346
  0.8169953 0.03218611
  0.8117113 0.03365471
  0.8062701 0.0352749
  0.8006511 0.03704353
  0.7948611 0.03894434
  0.788914 0.04095247
  0.7828256 0.04303676
  0.7766118 0.04516105
  0.770291 0.0472945
  0.7638921 0.0494242
  0.7574519 0.05153847
  0.7510119 0.05362466
  0.7446157 0.05566899
  0.7382944 0.05765428
  0.7320555 0.05956879
  0.7258852 0.06140815
  0.7197529 0.06317331
  0.7136162 0.06487215
  0.7074402 0.06651822
  0.7012055 0.06812098
  0.6949092 0.06968529
  0.6885665 0.07121164
  0.6822061 0.07269449
  0.6758497 0.07412643
  0.6695056 0.07550343
  0.6631686 0.07682455
  0.6568206 0.07809152
  0.6504368 0.0793107
  0.6439995 0.08048948
  0.637501 0.08163317
  0.630945 0.08274515
  0.6243475 0.08382664
  0.6177302 0.08487445
  0.6111096 0.08588467
  0.6044944 0.08685487
  0.597886 0.08778386
  0.5912787 0.08867176
  0.5846638 0.08952049
  0.5780335 0.09033211
  0.5713811 0.09110836
  0.5647011 0.09185072
  0.5579894 0.09256062
  0.551245 0.09323985
  0.5444714 0.09388991
  0.5376776 0.09451195
  0.5308774 0.09510684
  0.5240886 0.09567357
  0.517324 0.09620841
  0.5105885 0.09670815
  0.5038784 0.09717033
