AH 85-L-120/17
  1.0 0.0
  0.9980163 0.001057053
  0.9954999 0.001122363
  0.9927421 0.00134926
  0.989762 0.00174597
  0.9863941 0.002050971
  0.9824637 0.002326812
  0.9778992 0.002717436
  0.9727895 0.0032046
  0.9672901 0.003715866
  0.9615509 0.004257865
  0.9556581 0.004855921
  0.9496472 0.005505693
  0.9435678 0.006193135
  0.937474 0.006912104
  0.9313913 0.007663443
  0.9253144 0.008449819
  0.9192315 0.009271701
  0.9131386 0.01012835
  0.9070385 0.01101821
  0.900935 0.01193974
  0.8948299 0.01289156
  0.8887235 0.01387262
  0.8826148 0.01488223
  0.8765018 0.01591984
  0.8703817 0.01698495
  0.8642507 0.01807601
  0.8581057 0.01919106
  0.851944 0.02032801
  0.8457636 0.02148455
  0.8395643 0.0226578
  0.8333485 0.02384432
  0.8271211 0.02504007
  0.8208892 0.02624033
  0.81466 0.02744004
  0.8084397 0.0286343
  0.802234 0.02981842
  0.7960471 0.03098797
  0.789881 0.03213902
  0.7837351 0.03326822
  0.7776061 0.0343728
  0.7714883 0.03545087
  0.7653764 0.03650238
  0.7592659 0.03752738
  0.753154 0.03852565
  0.747039 0.03949672
  0.7409204 0.04044032
  0.734798 0.04135652
  0.7286715 0.0422454
  0.7225407 0.04310705
  0.7164051 0.04394157
  0.7102644 0.04474929
  0.7041182 0.04553061
  0.6979659 0.04628596
  0.6918069 0.04701574
  0.6856405 0.04772043
  0.6794663 0.04840075
  0.6732838 0.04905747
  0.6670932 0.04969133
  0.6608951 0.05030305
  0.6546901 0.05089324
  0.6484791 0.05146236
  0.6422627 0.05201083
  0.6360412 0.0525391
  0.6298147 0.05304763
  0.623583 0.05353693
  0.6173458 0.05400749
  0.6111034 0.05445978
  0.604856 0.05489425
  0.5986045 0.05531135
  0.59235 0.05571145
  0.5860933 0.05609471
  0.5798351 0.0564612
  0.5735754 0.05681101
  0.5673137 0.0571443
  0.561049 0.05746122
  0.55478 0.05776215
  0.5485063 0.05804756
  0.5422283 0.05831788
  0.5359472 0.05857351
  0.5296651 0.0588148
  0.5233845 0.05904162
  0.5171073 0.05925337
  0.5108342 0.05944949
  0.5045645 0.05962943
  0.4982968 0.05979269
  0.4920285 0.05993911
  0.4857575 0.06006909
  0.4794827 0.06018305
  0.4732042 0.06028142
  0.4669232 0.06036457
  0.4606417 0.06043275
  0.4543618 0.06048573
  0.4480845 0.06052321
  0.4418098 0.06054489
  0.4355364 0.06055046
  0.4292623 0.06053971
  0.4229852 0.06051295
  0.4167039 0.06047068
  0.4104186 0.06041338
  0.4041308 0.06034158
  0.3978431 0.06025575
  0.3915587 0.06015567
  0.3852794 0.06004077
  0.3790055 0.05991041
  0.3727358 0.05976396
  0.3664675 0.05960078
  0.3601972 0.05942096
  0.3539226 0.0592251
  0.3476431 0.05901384
  0.3413594 0.05878787
  0.3350743 0.05854791
  0.3287908 0.058294
  0.3225113 0.05802573
  0.3162367 0.05774264
  0.3099666 0.0574442
  0.3036992 0.05712988
  0.2974322 0.05679964
  0.2911641 0.05645366
  0.2848946 0.0560922
  0.2786242 0.05571557
  0.2723546 0.055324
  0.2660877 0.05491729
  0.2598247 0.0544951
  0.2535667 0.05405707
  0.2473141 0.0536028
  0.241067 0.05313183
  0.2348253 0.05264355
  0.2285893 0.0521374
  0.2223592 0.0516128
  0.2161355 0.0510692
  0.2099186 0.05050598
  0.2037086 0.0499225
  0.1975053 0.04931808
  0.1913084 0.04869204
  0.1851175 0.0480438
  0.1789327 0.0473729
  0.1727545 0.04667894
  0.1665838 0.04596154
  0.1604221 0.04522009
  0.1542708 0.04445377
  0.1481313 0.04366177
  0.142005 0.04284327
  0.1358935 0.04199702
  0.1297986 0.04112162
  0.1237228 0.04021579
  0.1176688 0.03927818
  0.1116391 0.03830685
  0.1056345 0.03729954
  0.09965469 0.03625387
  0.09369935 0.03516765
  0.08777137 0.03403944
  0.08187731 0.03286863
  0.07602704 0.03165396
  0.07023154 0.03039284
  0.06450135 0.02908303
  0.05884798 0.02772174
  0.05328677 0.02630637
  0.04783652 0.02483645
  0.0425243 0.02331477
  0.03739131 0.02175065
  0.03249167 0.02015994
  0.02791516 0.01857236
  0.02375706 0.01702999
  0.02007381 0.01556446
  0.0168689 0.01419432
  0.01410437 0.01292384
  0.01174725 0.01175262
  0.009754703 0.01068118
  0.008069226 0.00970086
  0.006634885 0.008789516
  0.005400361 0.007926357
  0.004324877 0.007096495
  0.003381567 0.006288442
  0.002566118 0.005492172
  0.001878082 0.004704941
  0.001312603 0.003928463
  0.0008606276 0.003166043
  0.0005129414 0.002425206
  0.0002601884 0.001709749
  9.414545e-05 0.001015985
  1.064701e-05 0.0003368676
  1.064701e-05 -0.0003368676
  9.414545e-05 -0.001015985
  0.0002601884 -0.001709749
  0.0005129414 -0.002425206
  0.0008606276 -0.003166043
  0.001312603 -0.003928463
  0.001878082 -0.004704941
  0.002566118 -0.005492172
  0.003381567 -0.006288442
  0.004324877 -0.007096495
  0.005400361 -0.007926357
  0.006634885 -0.008789516
  0.008069226 -0.00970086
  0.009754703 -0.01068118
  0.01174725 -0.01175262
  0.01410437 -0.01292384
  0.0168689 -0.01419432
  0.02007381 -0.01556446
  0.02375706 -0.01702999
  0.02791516 -0.01857236
  0.03249167 -0.02015994
  0.03739131 -0.02175065
  0.0425243 -0.02331477
  0.04783652 -0.02483645
  0.05328677 -0.02630637
  0.05884798 -0.02772174
  0.06450135 -0.02908303
  0.07023154 -0.03039284
  0.07602704 -0.03165396
  0.08187731 -0.03286863
  0.08777137 -0.03403944
  0.09369935 -0.03516765
  0.09965469 -0.03625387
  0.1056345 -0.03729954
  0.1116391 -0.03830685
  0.1176688 -0.03927818
  0.1237228 -0.04021579
  0.1297986 -0.04112162
  0.1358935 -0.04199702
  0.142005 -0.04284327
  0.1481313 -0.04366177
  0.1542708 -0.04445377
  0.1604221 -0.04522009
  0.1665838 -0.04596154
  0.1727545 -0.04667894
  0.1789327 -0.0473729
  0.1851175 -0.0480438
  0.1913084 -0.04869204
  0.1975053 -0.04931808
  0.2037086 -0.0499225
  0.2099186 -0.05050598
  0.2161355 -0.0510692
  0.2223592 -0.0516128
  0.2285893 -0.0521374
  0.2348253 -0.05264355
  0.241067 -0.05313183
  0.2473141 -0.0536028
  0.2535667 -0.05405707
  0.2598247 -0.0544951
  0.2660877 -0.05491729
  0.2723546 -0.055324
  0.2786242 -0.05571557
  0.2848946 -0.0560922
  0.2911641 -0.05645366
  0.2974322 -0.05679964
  0.3036992 -0.05712988
  0.3099666 -0.0574442
  0.3162367 -0.05774264
  0.3225113 -0.05802573
  0.3287908 -0.058294
  0.3350743 -0.05854791
  0.3413594 -0.05878787
  0.3476431 -0.05901384
  0.3539226 -0.0592251
  0.3601972 -0.05942096
  0.3664675 -0.05960078
  0.3727358 -0.05976396
  0.3790055 -0.05991041
  0.3852794 -0.06004077
  0.3915587 -0.06015567
  0.3978431 -0.06025575
  0.4041308 -0.06034158
  0.4104186 -0.06041338
  0.4167039 -0.06047068
  0.4229852 -0.06051295
  0.4292623 -0.06053971
  0.4355364 -0.06055046
  0.4418098 -0.06054489
  0.4480845 -0.06052321
  0.4543618 -0.06048573
  0.4606417 -0.06043275
  0.4669232 -0.06036457
  0.4732042 -0.06028142
  0.4794827 -0.06018305
  0.4857575 -0.06006909
  0.4920285 -0.05993911
  0.4982968 -0.05979269
  0.5045645 -0.05962943
  0.5108342 -0.05944949
  0.5171073 -0.05925337
  0.5233845 -0.05904162
  0.5296651 -0.0588148
  0.5359472 -0.05857351
  0.5422283 -0.05831788
  0.5485063 -0.05804756
  0.55478 -0.05776215
  0.561049 -0.05746122
