AH 93-156
  1.0 -0.00197
  0.9966038 -0.001050383
  0.9923694 4.844834e-05
  0.9877727 0.001182953
  0.982811 0.002349529
  0.9774953 0.003548674
  0.9718424 0.004785498
  0.9658836 0.006068524
  0.9596744 0.007406806
  0.9532839 0.008795761
  0.9467772 0.01022228
  0.9402031 0.01167717
  0.9335967 0.01315676
  0.9269839 0.01465979
  0.9203798 0.01618691
  0.9137882 0.01774095
  0.9072017 0.01932722
  0.9006054 0.02094919
  0.8939915 0.02260522
  0.8873647 0.02429066
  0.8807364 0.02600207
  0.8741099 0.0277399
  0.8674774 0.02950724
  0.860826 0.03130524
  0.8541506 0.03313155
  0.8474556 0.03498157
  0.8407496 0.03685217
  0.834036 0.03874228
  0.8273126 0.04065213
  0.8205743 0.04258171
  0.8138164 0.04453076
  0.8070347 0.04649823
  0.8002279 0.04848104
  0.7933993 0.05047458
  0.7865566 0.05247393
  0.7797107 0.05447477
  0.7728737 0.0564724
  0.7660561 0.05846114
  0.7592612 0.06043641
  0.7524842 0.06239626
  0.7457179 0.06434163
  0.7389625 0.06627272
  0.7322255 0.0681871
  0.7255152 0.07007949
  0.7188338 0.07194561
  0.7121772 0.07378337
  0.7055402 0.07559239
  0.6989199 0.07737195
  0.6923157 0.07912067
  0.6857284 0.08083689
  0.6791588 0.08251894
  0.672608 0.08416481
  0.6660764 0.08577217
  0.6595639 0.08733888
  0.6530694 0.08886309
  0.6465899 0.09034339
  0.6401207 0.09177886
  0.6336559 0.09316974
  0.6271917 0.0945167
  0.6207268 0.09581982
  0.6142611 0.09707874
  0.6077932 0.09829315
  0.6013202 0.09946311
  0.5948387 0.1005895
  0.5883474 0.101673
  0.5818477 0.1027141
  0.5753414 0.1037123
  0.5688287 0.1046673
  0.5623075 0.105579
  0.5557755 0.1064483
  0.5492318 0.1072758
  0.5426767 0.1080621
  0.5361113 0.1088073
  0.5295356 0.1095118
  0.5229489 0.110176
  0.5163507 0.1108005
  0.5097417 0.1113857
