AH 93-W-257
  1.0 0.00029
  0.9948485 0.001892395
  0.9887927 0.003706641
  0.9825226 0.005396213
  0.9760464 0.007109423
  0.9693557 0.008780437
  0.9623728 0.01040198
  0.9550679 0.01203524
  0.9474509 0.01370593
  0.9395352 0.01542573
  0.9313294 0.01718937
  0.9228381 0.0189944
  0.9140718 0.02085161
  0.9050524 0.0227679
  0.8958113 0.02473495
  0.8863895 0.02674327
  0.8768246 0.02879486
  0.8671331 0.03089694
  0.8573191 0.03304856
  0.8473956 0.03524302
  0.8373844 0.03747546
  0.8273018 0.03974517
  0.8171541 0.04205274
  0.8069434 0.04439773
  0.7966718 0.04677927
  0.7863416 0.04919545
  0.7759552 0.05164379
  0.7655151 0.05412161
  0.755025 0.0566259
  0.7444905 0.05915311
  0.7339185 0.0616998
  0.7233154 0.0642631
  0.7126865 0.06684027
  0.7020383 0.06942756
  0.6913829 0.07201956
  0.6807378 0.07460938
  0.6701203 0.0771899
  0.6595412 0.07975552
  0.6490057 0.0823028
  0.6385209 0.08483005
  0.6280998 0.08733448
  0.6177602 0.08981095
  0.6075176 0.0922516
  0.5973811 0.09464979
  0.587355 0.09700067
  0.5774421 0.09930084
  0.5676473 0.1015469
  0.5579771 0.1037353
  0.5484379 0.1058607
  0.5390342 0.1079181
  0.5297689 0.1099032
  0.5206428 0.1118118
  0.5116534 0.1136394
  0.5027951 0.1153828
  0.4940594 0.1170397
  0.4854375 0.1186093
  0.4769216 0.1200916
  0.4685054 0.1214862
  0.4601833 0.1227928
  0.4519502 0.1240108
  0.4438005 0.1251395
  0.4357276 0.1261785
  0.4277245 0.1271274
  0.4197844 0.1279869
  0.4119012 0.1287574
  0.4040688 0.1294396
  0.396282 0.1300335
  0.3885359 0.1305403
  0.380827 0.130961
  0.3731526 0.1312965
  0.3655111 0.1315476
  0.3579013 0.1317148
  0.3503222 0.1317982
  0.3427728 0.1317983
  0.3352517 0.131715
  0.327758 0.131549
  0.3202909 0.131301
  0.3128504 0.1309717
  0.3054371 0.1305617
  0.2980519 0.1300721
  0.2906963 0.1295037
  0.2833724 0.1288578
  0.2760826 0.1281355
  0.2688301 0.1273381
  0.2616181 0.1264672
  0.2544507 0.1255244
  0.2473322 0.1245114
  0.2402676 0.1234303
  0.2332619 0.1222831
  0.226321 0.1210723
  0.2194509 0.1198004
  0.2126577 0.1184702
  0.205948 0.1170846
  0.1993282 0.1156466
  0.1928048 0.1141597
  0.1863838 0.1126274
  0.1800718 0.1110535
  0.1738752 0.1094419
  0.1678 0.1077971
  0.1618521 0.1061231
  0.1560368 0.1044234
  0.1503589 0.1027018
  0.144822 0.1009621
  0.1394289 0.09920776
  0.1341819 0.09744197
  0.1290823 0.09566789
  0.1241307 0.09388853
  0.1193269 0.09210681
  0.1146699 0.09032558
  0.1101587 0.08854765
  0.1057916 0.08677567
  0.1015665 0.08501209
  0.09748095 0.0832589
  0.09353238 0.08151764
  0.08971775 0.0797897
  0.08603368 0.07807631
  0.08247649 0.07637855
  0.07904248 0.07469711
  0.07572792 0.07303237
  0.07252891 0.07138463
  0.06944143 0.0697541
  0.06646138 0.06814094
  0.06358468 0.06654521
  0.06080748 0.06496695
  0.05812603 0.0634062
  0.0555367 0.06186299
  0.05303591 0.06033732
  0.05062021 0.05882915
  0.04828642 0.05733822
  0.04603169 0.05586395
  0.04385315 0.05440579
  0.04174796 0.05296317
  0.03971331 0.05153557
  0.03774644 0.05012247
  0.03584473 0.04872337
  0.03400579 0.04733783
  0.0322274 0.04596549
  0.03050738 0.04460599
  0.02884368 0.04325904
  0.02723431 0.04192437
  0.02567737 0.04060172
  0.0241715 0.03929048
  0.02271568 0.03798977
  0.02130878 0.03669875
  0.01994965 0.03541661
  0.01863706 0.03414258
  0.01736978 0.03287593
  0.01614662 0.031616
  0.01496668 0.03036224
  0.01382925 0.02911425
  0.01273366 0.02787169
  0.01167921 0.02663429
  0.01066524 0.02540186
  0.009691058 0.02417422
  0.008756284 0.0229511
  0.007861931 0.02173149
  0.00700919 0.02051407
  0.006198969 0.0192975
  0.005431955 0.01808045
  0.004708672 0.01686156
  0.004029555 0.01563947
  0.003396244 0.0144135
  0.002812053 0.01318399
  0.002280265 0.01195158
  0.001803958 0.01071707
  0.001385966 0.00948145
  0.001028836 0.008245859
  0.0007331005 0.007011973
  0.0004944408 0.005782243
  0.0003079145 0.004558238
  0.0001689409 0.003340519
  7.339951e-05 0.002128779
  1.768082e-05 0.0009219436
  -1.288155e-06 -0.0002817895
  1.428784e-05 -0.00148532
  6.337192e-05 -0.002692421
  0.000145416 -0.00390642
  0.0002601766 -0.005130098
  0.0004076189 -0.006365685
  0.000587819 -0.007614791
  0.0008008518 -0.008878292
  0.001046659 -0.01015616
  0.001325074 -0.01144733
  0.001636545 -0.0127501
  0.001981717 -0.0140628
  0.002361184 -0.01538385
  0.002775524 -0.01671183
  0.003225341 -0.01804554
  0.003711305 -0.01938405
  0.004234219 -0.02072669
  0.00479504 -0.02207317
  0.005394728 -0.02342347
  0.006034269 -0.02477753
  0.00671471 -0.02613521
  0.007437151 -0.02749627
  0.008202735 -0.02886033
  0.009012637 -0.03022687
  0.009868037 -0.03159523
  0.01076967 -0.03296516
  0.01171745 -0.03433747
  0.01271107 -0.03571306
  0.01375009 -0.03709289
  0.01483384 -0.03847797
  0.01596141 -0.03986932
  0.0171316 -0.041268
  0.01834361 -0.04267464
  0.01959871 -0.0440885
  0.02089873 -0.04550848
  0.02224566 -0.04693349
  0.02364168 -0.04836238
  0.02508919 -0.04979399
  0.02659092 -0.05122713
  0.0281496 -0.05266092
  0.02976717 -0.05409554
  0.03144535 -0.05553138
  0.03318588 -0.05696886
  0.03499049 -0.05840836
  0.03686082 -0.05985027
  0.03879843 -0.06129495
  0.04080511 -0.0627428
  0.04288309 -0.0641943
  0.04503465 -0.06565005
  0.04726206 -0.06711071
  0.04956755 -0.06857702
  0.05195328 -0.07004985
  0.05442155 -0.07152991
  0.05697533 -0.07301741
  0.05961769 -0.07451245
  0.06235167 -0.07601517
  0.06518028 -0.07752573
  0.06810645 -0.07904431
  0.07113326 -0.08057088
  0.07426407 -0.08210507
  0.07750216 -0.08364644
  0.08085064 -0.08519452
  0.08431241 -0.08674877
  0.0878902 -0.08830853
  0.09158683 -0.0898726
  0.09540485 -0.09143951
  0.09934638 -0.09300766
  0.1034131 -0.09457532
  0.1076061 -0.09614047
  0.1119264 -0.09770022
