AS5045 (15%)
  1.0 0.00125
  0.9966732 0.002001833
  0.992564 0.002901803
  0.988126 0.003795408
  0.9832985 0.004714178
  0.9781167 0.005689859
  0.9726813 0.006691892
  0.9670491 0.007685902
  0.9612226 0.008661029
  0.9551969 0.009613509
  0.9489681 0.01054349
  0.9425401 0.01145878
  0.93593 0.01236849
  0.929168 0.01327728
  0.9222867 0.01418497
  0.9153143 0.01509245
  0.9082731 0.01600136
  0.901182 0.01691322
  0.8940584 0.01782992
  0.8869168 0.01875333
  0.8797692 0.01968362
  0.8726247 0.02062069
  0.8654893 0.0215648
  0.8583665 0.02251656
  0.8512579 0.02347688
  0.8441639 0.02444682
  0.837084 0.02542758
  0.8300163 0.02642038
  0.8229597 0.02742599
  0.8159141 0.02844485
  0.8088813 0.02947719
  0.8018646 0.03052298
  0.7948678 0.03158263
  0.7878934 0.03265726
  0.780941 0.0337484
  0.7740079 0.03485793
  0.7670892 0.03598807
  0.7601784 0.03714013
  0.75327 0.03831454
  0.7463599 0.03951153
  0.7394457 0.04073111
  0.7325264 0.04197302
  0.7256021 0.04323663
  0.7186728 0.04452112
  0.7117379 0.04582577
  0.7047965 0.04714992
  0.6978471 0.04849303
  0.6908882 0.04985463
  0.6839209 0.05123388
  0.6769502 0.05262918
  0.6699848 0.05403805
  0.6630376 0.05545717
  0.656124 0.05688087
  0.649257 0.0582978
  0.642444 0.05969661
  0.6356871 0.0610675
  0.6289841 0.06240212
  0.6223285 0.06369366
  0.6157123 0.06493972
  0.6091269 0.06614031
  0.6025633 0.06729548
  0.5960117 0.0684052
  0.5894615 0.06946935
  0.5829021 0.07048878
  0.5763249 0.07146621
  0.5697244 0.07240397
  0.563099 0.07330379
  0.5564502 0.07416695
  0.5497836 0.07499417
  0.5431055 0.07578488
  0.5364204 0.07653834
  0.5297303 0.07725417
  0.5230345 0.0779323
  0.5163294 0.07857288
  0.5096099 0.07917686
  0.5028714 0.07974586
  0.4961106 0.08028136
  0.4893263 0.08078466
  0.4825188 0.08125696
  0.4756901 0.08169922
  0.4688431 0.08211199
  0.4619804 0.08249578
  0.4551049 0.08285117
  0.4482189 0.08317878
  0.441325 0.08347923
  0.4344253 0.08375266
  0.4275214 0.08399903
  0.4206145 0.08421831
  0.4137052 0.08441052
  0.4067937 0.08457568
  0.3998797 0.08471387
  0.3929635 0.08482516
  0.3860455 0.08490964
  0.3791269 0.08496739
  0.3722093 0.0849985
  0.3652944 0.08500289
  0.3583839 0.08498023
  0.3514785 0.08493019
  0.3445786 0.08485243
  0.3376836 0.08474661
  0.3307928 0.08461248
  0.3239055 0.08444993
  0.3170218 0.08425888
  0.3101427 0.08403927
  0.3032698 0.08379111
  0.2964054 0.0835142
  0.2895513 0.08320802
  0.282709 0.08287205
  0.2758794 0.08250571
  0.2690627 0.08210846
  0.2622586 0.08167973
  0.2554675 0.08121899
  0.24869 0.0807258
  0.2419276 0.08019973
  0.2351822 0.07964043
  0.2284558 0.07904727
  0.2217502 0.07841947
  0.2150667 0.07775621
  0.2084061 0.0770567
  0.2017687 0.07632012
  0.1951553 0.07554573
  0.1885675 0.07473293
  0.1820076 0.07388126
  0.1754788 0.07299038
  0.1689847 0.0720596
  0.1625294 0.07108813
  0.1561171 0.07007535
  0.1497523 0.06902083
  0.1434396 0.06792382
  0.1371841 0.06678341
  0.1309915 0.065599
  0.1248673 0.06437032
  0.1188179 0.06309687
  0.1128512 0.06177823
  0.106976 0.06041475
  0.1012021 0.05900752
  0.09553962 0.05755769
  0.08999856 0.0560665
  0.08458783 0.05453579
  0.0793152 0.05296796
  0.07419144 0.05136691
  0.06923441 0.04973994
  0.06446555 0.04809726
  0.05990564 0.04644957
  0.05557035 0.04480296
  0.05146534 0.04316121
  0.04758805 0.04152704
  0.04393113 0.03990316
  0.04048977 0.0382959
  0.03726315 0.03671428
  0.03424987 0.03516754
  0.03144575 0.03366307
  0.02884444 0.03220235
  0.02643512 0.03078352
  0.02420377 0.02940392
  0.02213529 0.0280606
  0.02021511 0.02675058
  0.01843152 0.02547156
  0.01677526 0.02422253
  0.015238 0.02300322
  0.01381188 0.02181364
  0.01248923 0.02065376
  0.01126315 0.01952312
  0.01012799 0.01841992
  0.009077429 0.01734152
  0.008104992 0.01628499
  0.007204474 0.0152474
  0.00637018 0.01422593
  0.005597014 0.01321797
  0.004880917 0.0122218
  0.004219296 0.01123741
  0.003610382 0.01026591
  0.003052716 0.009309103
  0.002544832 0.008369085
  0.002085068 0.007448011
  0.001671484 0.006547863
  0.001302991 0.005670124
