BE50 (original)
  1.0 0.0026
  0.9970522 0.003188685
  0.9934846 0.003902301
  0.9897182 0.004657022
  0.9857321 0.005457254
  0.9815039 0.006307791
  0.9770101 0.007213677
  0.9722277 0.008179899
  0.9671371 0.009210833
  0.9617266 0.01030932
  0.955999 0.01147532
  0.9499796 0.01270417
  0.9437513 0.01397883
  0.9375927 0.01523972
  0.9315045 0.01648352
  0.9254251 0.0177198
  0.9193077 0.01895495
  0.9131171 0.02019264
  0.9068504 0.02142976
  0.9006443 0.02263598
  0.8945194 0.02380529
  0.8884562 0.02494196
  0.8824374 0.02605039
  0.8764485 0.02713427
  0.8704768 0.02819672
  0.8645113 0.0292404
  0.8585425 0.03026759
  0.852562 0.03128025
  0.8465629 0.03228006
  0.840539 0.03326845
  0.8344854 0.03424662
  0.8283983 0.03521556
  0.8222753 0.03617604
  0.8161149 0.03712864
  0.8099175 0.0380737
  0.8036848 0.03901139
  0.7974202 0.03994163
  0.7911285 0.04086407
  0.7848148 0.04177824
  0.7784839 0.04268374
  0.7721399 0.04358029
  0.7657872 0.04446765
  0.7594326 0.04534522
  0.7530779 0.04621316
  0.7467206 0.04707221
  0.7403623 0.04792253
  0.7340078 0.04876391
  0.7276582 0.04959661
  0.721314 0.05042099
  0.7149753 0.05123744
  0.7086417 0.05204643
  0.7023124 0.05284849
  0.6959859 0.05364417
  0.6896606 0.05443373
  0.683335 0.0552172
  0.677008 0.05599457
  0.6706785 0.05676578
  0.6643462 0.05753072
  0.6580106 0.05828925
  0.6516717 0.0590412
  0.6453299 0.05978635
  0.6389858 0.06052447
  0.6326403 0.06125527
  0.6262947 0.06197844
  0.6199504 0.06269365
  0.6136093 0.06340053
  0.6072736 0.0640987
  0.6009455 0.06478776
  0.5946278 0.06546717
  0.5883226 0.06613563
  0.5820308 0.06679169
  0.575752 0.06743407
  0.5694843 0.06806161
  0.5632248 0.06867329
  0.5569693 0.06926819
  0.5507124 0.06984546
  0.5444473 0.07040481
  0.538168 0.07094871
  0.5318704 0.07148043
  0.5255529 0.07200304
  0.5192166 0.07251946
  0.5128649 0.07303246
  0.5065041 0.07354463
  0.5001431 0.0740584
  0.4937933 0.07457464
  0.4874651 0.07508859
  0.4811654 0.07559437
  0.4748979 0.0760865
  0.4686626 0.07655996
  0.462457 0.07701012
  0.4562755 0.07743263
  0.4501099 0.07782335
  0.4439495 0.07817938
  0.4377841 0.07850268
  0.431605 0.07879624
  0.4254061 0.07906279
  0.4191829 0.07930494
  0.4129335 0.07952521
  0.406658 0.07972607
  0.4003591 0.07990999
  0.3940419 0.08007917
  0.387712 0.08023443
  0.3813743 0.08037624
  0.3750325 0.08050515
  0.3686888 0.08062177
  0.3623445 0.08072672
  0.3559994 0.08082068
  0.3496522 0.08090433
  0.3433003 0.0809783
  0.3369414 0.08104309
  0.3305743 0.08109915
  0.3241996 0.08114689
  0.3178189 0.08118675
  0.3114355 0.08121915
  0.3050541 0.08124455
  0.2986809 0.08126338
  0.292323 0.08127481
  0.285987 0.08127516
  0.2796774 0.08126052
  0.2733971 0.08122708
  0.2671473 0.08117117
  0.2609272 0.08108923
  0.2547349 0.08097775
  0.2485668 0.08083325
  0.2424183 0.08065317
  0.2362849 0.08043679
  0.2301628 0.08018356
  0.2240485 0.07989285
  0.2179392 0.07956399
  0.2118326 0.07919623
  0.2057268 0.07878882
  0.1996204 0.07834097
  0.1935125 0.07785181
  0.1874033 0.07732031
  0.1812942 0.07674548
  0.1751882 0.07612655
  0.1690898 0.07546297
  0.1630047 0.07475451
  0.1569402 0.07400126
  0.1509046 0.07320372
  0.1449074 0.07236244
  0.1389578 0.07147582
  0.1330614 0.07054114
  0.1272199 0.06955537
  0.1214314 0.06851502
  0.115691 0.06741604
  0.109991 0.06625362
  0.1043208 0.06502203
  0.09866738 0.0637143
  0.09301718 0.06232285
  0.0873711 0.06084365
  0.08175407 0.05927952
  0.07621381 0.05764184
  0.07081355 0.05595002
  0.06559709 0.05421889
  0.06054901 0.05244439
  0.05560684 0.05060382
  0.05066841 0.04865314
  0.04557598 0.04651435
  0.040172 0.04409362
  0.03453375 0.04139237
  0.02916586 0.03864514
  0.02460237 0.03616896
  0.0209294 0.03405541
  0.01793986 0.03218135
  0.01540874 0.03041606
  0.01317296 0.02866435
  0.01110149 0.02692971
  0.009224955 0.02535064
  0.007623738 0.0240025
  0.006293428 0.02284849
  0.005178364 0.02183479
  0.004232134 0.02092298
  0.003421997 0.02008745
  0.002725144 0.01931071
  0.002125449 0.01858041
  0.001611322 0.01788746
  0.001174357 0.01722495
  0.0008084695 0.01658744
  0.0005093464 0.01597052
  0.0002740941 0.01537052
  0.0001010233 0.01478426
  -1.046678e-05 0.01420889
  -5.992174e-05 0.01364182
  -4.5787e-05 0.01308052
  3.467838e-05 0.01252246
  0.0001828888 0.01196535
  0.0003974405 0.01140742
  0.0006778175 0.01084713
  0.00102467 0.010283
  0.00143982 0.009713616
  0.001926355 0.00913761
  0.002488814 0.008553627
  0.003133483 0.00796036
  0.003868845 0.007356628
  0.004706224 0.006741564
  0.005660651 0.006115055
  0.006751872 0.005478767
  0.008004855 0.004838592
  0.00944683 0.004210672
  0.01109402 0.003632583
  0.01297594 0.0031357
  0.0151649 0.00271182
  0.01779447 0.00231581
  0.02104206 0.001933613
  0.02513479 0.001548171
  0.03025872 0.001121813
  0.03625344 0.0006884966
  0.04242139 0.0003296854
  0.04825737 8.396614e-05
  0.05381273 -5.631551e-05
  0.05933489 -0.0001141036
  0.0650073 -0.0001085301
  0.0709433 -5.410557e-05
  0.07715789 3.161908e-05
  0.08352561 0.0001362999
  0.08988954 0.0002635396
  0.09615994 0.0004180745
  0.1023239 0.0006048429
  0.1084208 0.0008255699
  0.1144956 0.001077003
  0.1205831 0.001355989
  0.1267097 0.001659508
  0.1328944 0.001984345
  0.1391478 0.002326796
  0.1454714 0.002682401
  0.151855 0.003045737
  0.1582434 0.003409884
  0.1646131 0.003772023
  0.1709813 0.004131896
  0.1773609 0.004488991
  0.1837592 0.00484244
  0.1901488 0.005189471
  0.1965157 0.005528131
  0.2028653 0.005857577
  0.2092059 0.006178201
  0.2155456 0.006491551
  0.2218905 0.006799125
  0.2282451 0.007102323
  0.2346125 0.007402465
  0.2409938 0.007700797
  0.2473885 0.007998502
  0.2537942 0.008296651
  0.2602001 0.008595411
  0.2666019 0.008894825
  0.2730025 0.009195277
  0.2794048 0.009497135
  0.2858112 0.009800753
  0.2922173 0.01010617
  0.2986156 0.01041326
  0.3050045 0.0107223
  0.3113832 0.0110345
  0.3177508 0.0113515
  0.3241067 0.01167491
  0.3304506 0.01200637
  0.3367823 0.01234748
  0.343102 0.01269985
  0.34941 0.01306509
  0.3557069 0.01344404
  0.3619937 0.01383355
  0.3682719 0.01422919
  0.3745432 0.01462658
  0.3808095 0.0150214
  0.387073 0.01540937
  0.3933364 0.01578623
  0.3996025 0.0161477
  0.4058743 0.01649035
  0.4121546 0.01681474
  0.4184454 0.01712262
  0.4247485 0.01741571
  0.4310649 0.01769569
  0.4373951 0.01796424
  0.443739 0.01822303
  0.4500959 0.01847373
  0.4564645 0.01871771
  0.4628431 0.01895527
  0.4692293 0.01918641
  0.4756206 0.01941114
  0.4820136 0.01962945
  0.4884047 0.01984135
  0.4947896 0.02004683
  0.5011639 0.0202459
  0.5075226 0.0204378
  0.5138622 0.02062012
  0.5201805 0.02079029
  0.5264776 0.02094586
  0.5327548 0.02108447
  0.5390155 0.02120381
  0.5452642 0.0213016
  0.5515073 0.02137556
  0.5577524 0.02142485
  0.5640064 0.02145158
  0.5702748 0.02145815
  0.5765618 0.0214469
  0.5828698 0.02142021
  0.5891997 0.02138046
  0.5955507 0.02133012
  0.6019201 0.0212717
  0.6083037 0.02120675
  0.6146972 0.02113506
  0.6210965 0.0210563
  0.627498 0.0209701
  0.6338985 0.02087614
  0.6402956 0.02077407
  0.6466871 0.02066359
  0.6530716 0.02054435
  0.6594479 0.02041605
  0.6658157 0.02027835
  0.6721748 0.02013092
  0.6785257 0.01997342
  0.6848695 0.01980549
  0.6912075 0.01962676
  0.6975416 0.01943684
  0.7038742 0.01923532
  0.710208 0.01902214
  0.716545 0.01879751
  0.7228873 0.01856162
  0.7292361 0.01831471
  0.7355922 0.01805699
  0.741956 0.01778872
  0.7483275 0.01751016
  0.7547059 0.0172216
  0.7610901 0.01692338
  0.7674785 0.01661584
  0.7738689 0.01629939
  0.7802586 0.01597445
  0.7866445 0.01564151
  0.7930228 0.01530107
  0.7993894 0.0149537
  0.8057399 0.01459996
  0.8120701 0.01424028
  0.8183773 0.01387496
  0.82466 0.01350426
  0.8309184 0.01312832
  0.8371534 0.01274725
  0.8433674 0.01236105
  0.8495639 0.01196965
  0.8557473 0.01157288
  0.8619233 0.0111705
  0.8680987 0.01076215
  0.8742811 0.0103474
  0.8804798 0.00992567
  0.8867053 0.009496264
  0.8929699 0.009058326
  0.8992877 0.008610817
  0.9056645 0.008153108
  0.9119966 0.007691705
  0.9182561 0.007227641
  0.9244635 0.006758473
  0.9306517 0.006280739
  0.9368661 0.005789777
  0.9431675 0.005279293
  0.9494764 0.00475424
  0.9555435 0.004235154
  0.9613147 0.003728283
  0.9667678 0.003237587
  0.971902 0.002765154
  0.9767294 0.0023117
  0.9812696 0.001877041
  0.9855454 0.001460456
  0.9895796 0.001060945
  0.9933945 0.0006773891
  0.9970106 0.0003086478
  1.0 0.0
