BE50 (smoothed)
  1.0 0.00129
  0.9968763 0.001912227
  0.9926527 0.00275272
  0.9878162 0.003709547
  0.9824747 0.0047583
  0.976781 0.005870621
  0.9708819 0.007016883
  0.9648817 0.008172949
  0.9588224 0.009328655
  0.9527218 0.01048138
  0.9465972 0.0116289
  0.9404635 0.01276825
  0.9343298 0.01389676
  0.928198 0.01501311
  0.9220644 0.01611757
  0.9159256 0.01721114
  0.9097807 0.01829442
  0.9036313 0.01936754
  0.8974801 0.02042998
  0.891329 0.02148116
  0.8851785 0.02252072
  0.8790274 0.02354859
  0.8728738 0.0245651
  0.8667162 0.02557074
  0.8605544 0.02656586
  0.854389 0.02755062
  0.8482216 0.02852498
  0.842054 0.0294885
  0.8358873 0.03044074
  0.8297213 0.03138143
  0.823555 0.03231043
  0.8173867 0.03322783
  0.8112143 0.03413422
  0.8050367 0.03503021
  0.7988536 0.03591628
  0.7926657 0.03679277
  0.7864745 0.03765989
  0.7802818 0.03851741
  0.7740891 0.03936491
  0.7678972 0.04020206
  0.7617061 0.04102862
  0.7555153 0.04184446
  0.7493235 0.0426496
  0.7431296 0.04344437
  0.7369328 0.04422912
  0.7307325 0.04500412
  0.7245288 0.0457696
  0.7183219 0.04652573
  0.7121125 0.04727259
  0.7059012 0.04801008
  0.6996887 0.04873812
  0.6934754 0.04945664
  0.6872617 0.0501656
  0.681048 0.05086494
  0.6748345 0.05155457
  0.6686213 0.05223434
  0.6624084 0.05290409
  0.6561957 0.05356371
  0.6499828 0.05421306
  0.6437693 0.05485204
  0.6375547 0.05548064
  0.6313387 0.056099
  0.6251209 0.05670724
  0.6189013 0.05730545
  0.6126799 0.05789373
  0.6064569 0.05847215
  0.6002325 0.05904073
  0.5940073 0.05959935
  0.5877816 0.06014789
  0.5815558 0.06068622
  0.5753303 0.06121422
  0.5691055 0.06173178
  0.5628818 0.06223873
  0.5566597 0.06273476
  0.5504392 0.06321954
  0.5442206 0.06369275
  0.5380037 0.06415407
  0.5317884 0.0646032
  0.5255744 0.06503987
  0.5193615 0.0654639
  0.5131493 0.06587516
  0.5069376 0.06627351
  0.5007262 0.0666588
  0.494515 0.06703088
  0.4883039 0.0673896
  0.4820928 0.06773484
  0.4758817 0.06806652
  0.4696707 0.06838453
  0.4634597 0.0686888
  0.4572489 0.06897921
  0.4510383 0.06925569
  0.444828 0.06951814
  0.438618 0.06976654
  0.4324083 0.07000082
  0.4261983 0.07022096
  0.4199879 0.0704269
  0.4137762 0.07061863
  0.4075628 0.07079623
  0.4013471 0.07095997
  0.3951288 0.07111011
  0.388908 0.07124689
  0.382685 0.07137057
  0.3764602 0.07148138
  0.3702345 0.07157942
  0.3640085 0.07166455
  0.3577831 0.07173665
  0.3515589 0.07179558
  0.3453366 0.07184123
  0.339117 0.07187348
  0.3329006 0.07189197
  0.3266882 0.07189615
  0.3204804 0.07188544
  0.3142777 0.07185926
  0.308081 0.07181706
  0.3018908 0.07175827
  0.2957077 0.07168212
  0.2895324 0.07158771
  0.2833652 0.07147416
  0.2772063 0.0713406
  0.2710561 0.07118614
  0.2649144 0.07100989
  0.2587816 0.07081083
  0.2526582 0.07058794
  0.246545 0.07034022
  0.2404431 0.07006671
  0.2343539 0.06976647
  0.2282789 0.06943825
  0.2222197 0.0690805
  0.216177 0.06869169
  0.2101513 0.06827026
  0.2041428 0.06781469
  0.1981513 0.06732346
  0.1921767 0.0667951
  0.1862194 0.06622818
  0.18028 0.06562132
  0.1743592 0.06497323
  0.1684584 0.06428257
  0.1625788 0.06354781
  0.1567218 0.06276745
  0.1508885 0.06193999
  0.14508 0.06106399
  0.1392972 0.06013789
  0.1335418 0.05915999
  0.1278158 0.05812871
  0.1221215 0.05704264
  0.1164619 0.05590055
  0.1108403 0.05470084
  0.1052596 0.05344157
  0.09972199 0.05212079
  0.094229 0.05073652
  0.08878211 0.04928668
  0.08338445 0.04776941
  0.07804109 0.04618362
  0.07275882 0.04452909
  0.06754602 0.04280594
  0.06241135 0.04101366
  0.05736204 0.03915176
  0.05240393 0.03721988
  0.04754666 0.03521862
  0.04281532 0.03315515
  0.03824825 0.03104577
  0.0338888 0.02891302
  0.02977728 0.02677945
  0.02594094 0.02466637
  0.02239178 0.02259184
  0.0191529 0.02057884
  0.01627607 0.01867327
  0.01378496 0.01691621
  0.01165608 0.01532088
  0.009839521 0.01387073
  0.00827765 0.01253906
  0.00692014 0.01130209
  0.00572752 0.01014099
  0.004671305 0.009041114
  0.003741751 0.00799136
  0.002936867 0.00698849
  0.002251696 0.006033244
  0.0016772 0.005126419
  0.001201586 0.004267469
  0.0008123458 0.00345452
  0.0005027324 0.002685621
  0.0002696188 0.001955256
  0.0001091791 0.001254479
  1.943229e-05 0.000573517
  1.582826e-06 -9.784855e-05
  5.851974e-05 -0.0007692108
  0.0001902954 -0.001444853
  0.000400102 -0.002125462
  0.000694896 -0.002807981
  0.001084393 -0.003483497
  0.001577991 -0.004140877
  0.002182295 -0.004776986
  0.002902506 -0.005390223
  0.003741772 -0.005979694
  0.004699881 -0.006545823
  0.005771457 -0.007091308
  0.006955478 -0.007619107
  0.008271174 -0.008128191
  0.009745395 -0.008617615
  0.01141191 -0.009088205
  0.01331268 -0.009545023
  0.01549717 -0.009997249
  0.01801805 -0.01044098
  0.02092097 -0.01086529
  0.02423434 -0.01125978
  0.02797609 -0.0116184
  0.03216239 -0.01192948
  0.03677284 -0.01218155
  0.04175251 -0.01237125
  0.0470331 -0.01249578
  0.05253594 -0.01255417
  0.05819784 -0.01255168
  0.06398644 -0.01249429
  0.06987763 -0.01238761
  0.07584858 -0.01223876
  0.08187952 -0.0120541
  0.08795464 -0.01183737
  0.09406298 -0.01159236
  0.1001991 -0.01132281
  0.1063614 -0.01103176
  0.1125485 -0.01072192
  0.1187579 -0.01039615
  0.1249866 -0.0100573
  0.131231 -0.009707423
  0.1374886 -0.009348176
  0.1437573 -0.008981197
  0.1500364 -0.008608078
  0.1563254 -0.00823009
  0.1626236 -0.007848286
  0.1689297 -0.007463761
  0.1752416 -0.00707766
  0.1815567 -0.006690949
  0.1878725 -0.00630378
  0.1941872 -0.005916071
  0.2005 -0.005527684
  0.2068111 -0.005138427
  0.2131213 -0.004748201
  0.2194317 -0.004357203
  0.2257431 -0.003965689
  0.232056 -0.003573928
  0.2383707 -0.00318221
  0.2446871 -0.002790748
  0.251005 -0.002399513
  0.2573239 -0.002008446
  0.2636428 -0.001617506
  0.2699613 -0.001226634
  0.276278 -0.0008357933
  0.2825919 -0.0004447552
  0.2889026 -5.318166e-05
  0.29521 0.0003393003
  0.3015148 0.0007330982
  0.3078182 0.001128652
  0.3141218 0.001526172
  0.3204272 0.00192538
  0.3267351 0.002325914
  0.3330458 0.002727371
  0.3393589 0.003129309
  0.3456736 0.003531249
  0.3519883 0.003932751
  0.3583019 0.004333434
  0.3646132 0.004732936
  0.3709215 0.00513091
  0.3772262 0.005527028
  0.383527 0.005920952
  0.3898236 0.006312142
  0.396116 0.006699944
  0.4024036 0.007083698
  0.4086863 0.007462747
  0.4149634 0.007836432
  0.4212345 0.008204081
  0.4274992 0.008564935
  0.4337572 0.008918209
  0.440009 0.009263149
  0.4462551 0.009599022
  0.4524966 0.009925116
  0.4587349 0.01024078
  0.4649716 0.01054578
  0.4712077 0.01084011
  0.477444 0.01112373
  0.4836806 0.0113966
  0.4899174 0.01165863
  0.4961537 0.01190972
  0.5023885 0.01214965
  0.5086214 0.01237813
  0.5148519 0.01259487
  0.5210803 0.01279959
  0.527307 0.01299204
  0.5335331 0.01317197
  0.5397598 0.01333935
  0.5459879 0.01349441
  0.5522183 0.01363737
  0.558451 0.01376846
  0.564686 0.01388787
  0.5709226 0.01399581
  0.5771602 0.01409239
  0.5833978 0.01417756
  0.589635 0.01425127
  0.5958716 0.01431345
  0.6021077 0.01436406
  0.6083438 0.01440305
  0.6145806 0.01443042
  0.6208188 0.01444638
  0.6270588 0.01445116
  0.633301 0.01444501
  0.6395454 0.01442813
  0.6457917 0.01440078
  0.6520395 0.01436315
  0.6582884 0.01431537
  0.664538 0.01425752
  0.6707882 0.01418969
  0.6770387 0.01411197
  0.6832898 0.01402445
  0.6895417 0.01392722
  0.6957946 0.01382043
  0.7020487 0.01370423
  0.708304 0.01357879
  0.7145606 0.01344427
  0.7208183 0.01330084
  0.7270769 0.01314866
  0.7333362 0.01298783
  0.739596 0.01281846
  0.7458563 0.01264067
  0.7521173 0.01245455
  0.7583791 0.01226019
  0.764642 0.01205771
  0.770906 0.01184725
  0.7771711 0.01162895
  0.7834372 0.01140296
  0.7897036 0.01116945
  0.7959698 0.01092855
  0.8022353 0.01068029
  0.8084997 0.01042463
  0.8147632 0.0101615
  0.8210265 0.009890838
  0.8272904 0.009612548
  0.8335561 0.009326716
  0.8398238 0.009033557
  0.8460933 0.008733322
  0.8523632 0.008426307
  0.8586318 0.008112795
  0.8648971 0.007792675
  0.8711583 0.007465594
  0.8774162 0.007131123
  0.8836729 0.006788758
  0.8899314 0.006438219
  0.8961937 0.006079821
  0.902459 0.005714082
  0.9087241 0.005341681
  0.9149835 0.004963014
  0.9212333 0.004577344
  0.9274734 0.004183548
  0.9337075 0.003780291
  0.9399406 0.003367023
  0.9461709 0.002944545
  0.9523867 0.002514369
  0.9585677 0.002077045
  0.9646903 0.001630915
  0.9707304 0.001174655
  0.9766463 0.000710724
  0.9823498 0.0002473574
  0.9877142 -0.000203063
  0.9925828 -0.000624436
  0.9968388 -0.001005617
  1.0 -0.0013
