CH10 (smoothed)
  1.0 5e-05
  0.9972479 0.001878218
  0.9938783 0.003959115
  0.9902719 0.006028228
  0.9864029 0.00810365
  0.9822381 0.0102043
  0.9777317 0.01235768
  0.9728246 0.01460433
  0.9674774 0.01698949
  0.9617252 0.01953739
  0.955675 0.0222116
  0.9494387 0.02496089
  0.9430865 0.02775141
  0.9366531 0.03056216
  0.9301551 0.03337932
  0.923592 0.03619869
  0.9169608 0.03902425
  0.9102679 0.04185775
  0.90353 0.04469655
  0.8967695 0.04753241
  0.8900039 0.05035661
  0.8832441 0.05316341
  0.876494 0.05594997
  0.8697533 0.058715
  0.8630215 0.06145721
  0.8562989 0.06417513
  0.8495859 0.06686713
  0.8428832 0.0695316
  0.8361906 0.07216733
  0.8295069 0.07477353
  0.8228299 0.07734982
  0.8161565 0.07989629
  0.8094838 0.08241347
  0.8028104 0.08490155
  0.7961357 0.08736028
  0.7894603 0.08978902
  0.7827859 0.0921867
  0.7761136 0.09455212
  0.7694436 0.09688442
  0.7627751 0.09918314
  0.7561061 0.1014482
  0.7494337 0.1036798
  0.7427554 0.1058788
  0.7360699 0.1080456
  0.729377 0.1101803
  0.7226776 0.1122825
  0.715974 0.1143514
  0.709269 0.1163858
  0.7025647 0.1183842
  0.6958625 0.1203455
  0.6891631 0.1222688
  0.6824666 0.1241535
  0.6757723 0.125999
  0.6690796 0.127805
  0.6623879 0.1295711
  0.6556969 0.1312968
  0.6490065 0.1329816
  0.6423167 0.1346249
  0.6356278 0.1362262
  0.6289401 0.1377847
  0.622254 0.1392999
  0.6155701 0.1407711
  0.6088887 0.1421976
  0.6022106 0.1435788
  0.5955361 0.144914
  0.5888655 0.1462026
  0.5821982 0.1474441
  0.5755336 0.1486382
  0.5688702 0.1497843
  0.5622066 0.1508823
  0.5555413 0.1519322
  0.5488738 0.1529339
  0.5422041 0.1538872
  0.5355331 0.1547919
  0.528862 0.1556476
  0.5221931 0.1564539
  0.5155276 0.15721
  0.5088663 0.1579155
  0.5022087 0.15857
  0.4955537 0.159173
  0.4888991 0.1597244
  0.4822425 0.1602241
  0.4755822 0.1606725
  0.4689176 0.1610698
  0.4622495 0.161416
  0.4555794 0.1617112
  0.4489104 0.1619553
  0.4422454 0.1621481
  0.4355865 0.1622889
  0.4289349 0.1623774
  0.4222904 0.162413
  0.4156517 0.1623955
  0.4090166 0.1623244
  0.402383 0.1621998
  0.3957498 0.162022
  0.3891166 0.161791
  0.382484 0.161507
  0.3758537 0.1611702
  0.3692279 0.1607807
  0.3626087 0.1603384
  0.3559974 0.1598431
  0.3493951 0.1592947
  0.3428019 0.158693
  0.3362178 0.1580379
  0.3296423 0.1573291
  0.3230752 0.1565667
  0.3165168 0.1557506
  0.3099675 0.1548808
  0.3034279 0.1539575
  0.2968992 0.1529805
  0.2903826 0.15195
  0.2838796 0.1508659
  0.2773921 0.1497284
  0.2709222 0.1485377
  0.264472 0.1472941
  0.2580437 0.1459974
  0.251639 0.1446474
  0.2452587 0.1432439
  0.2389033 0.1417863
  0.2325725 0.1402742
  0.2262663 0.1387071
  0.2199857 0.1370848
  0.2137328 0.1354076
  0.2075106 0.133676
  0.2013234 0.1318909
  0.1951757 0.1300528
  0.1890713 0.1281615
  0.1830122 0.1262165
  0.1769992 0.1242169
  0.1710318 0.1221615
  0.1651092 0.1200493
  0.1592312 0.1178795
  0.1533989 0.1156521
  0.1476144 0.1133671
  0.1418806 0.1110254
  0.1362012 0.1086273
  0.1305791 0.1061729
  0.1250165 0.1036622
  0.1195147 0.1010948
  0.1140745 0.0984703
  0.1086967 0.09578858
  0.1033826 0.09304984
  0.09813368 0.09025454
