 CHEN AIRFOIL
  1.0 0.0
  0.9973839 0.001883669
  0.9944672 0.002994212
  0.9916318 0.003536221
  0.9888507 0.004022939
  0.9861232 0.004768715
  0.9833787 0.005708097
  0.9805229 0.006689715
  0.97745 0.007559172
  0.9740798 0.008311495
  0.970343 0.009011326
  0.9662014 0.009753941
  0.9616724 0.01058061
  0.9567913 0.01146331
  0.9515683 0.01236651
  0.9459603 0.01328231
  0.9399268 0.01422663
  0.9334779 0.01521452
  0.9266901 0.01624419
  0.9196631 0.01730507
  0.912481 0.01838834
  0.9052008 0.01947958
  0.8978579 0.02056383
  0.8904653 0.02163282
  0.8830234 0.02269594
  0.875531 0.02376766
  0.867986 0.02486148
  0.8603881 0.02597769
  0.8527478 0.02710861
  0.8450895 0.02824434
  0.8374467 0.02937941
  0.8298419 0.03051731
  0.8222778 0.0316648
  0.8147382 0.03282999
  0.807199 0.03401185
  0.7996468 0.03520257
  0.7920828 0.03639193
  0.7845229 0.0375697
  0.7769872 0.03873881
  0.7694829 0.03990911
  0.7620017 0.04109262
  0.7545213 0.04230229
  0.7470129 0.04354063
  0.7394602 0.04480226
  0.7318637 0.0460787
  0.7242429 0.04735828
  0.7166305 0.04863442
  0.7090505 0.04991013
  0.7015086 0.05119168
  0.6939934 0.05248813
  0.686478 0.0538087
  0.6789342 0.05515402
  0.671348 0.05652028
  0.663722 0.05790058
  0.6560762 0.05928485
  0.6484429 0.06066708
  0.6408454 0.06204905
  0.6332903 0.06343566
  0.6257684 0.06483455
  0.6182559 0.06625481
  0.6107248 0.06769953
  0.6031573 0.06916757
  0.5955483 0.07065523
  0.5879068 0.07215597
  0.5802544 0.07366287
  0.5726139 0.07517378
  0.5649996 0.07668884
  0.5574164 0.07820986
  0.5498612 0.07974021
  0.542324 0.08128293
  0.5347946 0.08283982
  0.5272634 0.08441249
  0.5197222 0.08600243
  0.5121635 0.08761064
  0.5045823 0.08923531
  0.4969793 0.09087245
  0.4893617 0.09251661
  0.4817436 0.09416081
  0.4741445 0.09579996
  0.4665806 0.0974356
  0.4590587 0.09907185
  0.4515761 0.1007147
  0.4441219 0.102371
  0.4366802 0.1040403
  0.4292409 0.105716
  0.4218027 0.1073895
  0.4143727 0.1090506
  0.4069662 0.1106931
  0.399599 0.1123232
  0.3922798 0.1139498
  0.3850106 0.1155828
  0.3777868 0.1172306
  0.3706054 0.1188848
  0.3634808 0.1205269
  0.3564456 0.122135
  0.3495465 0.1236871
  0.342835 0.1251868
  0.3363432 0.1266615
  0.3300787 0.1281383
  0.3240326 0.1296422
  0.3181828 0.1311787
  0.3124985 0.1326996
  0.306959 0.1341527
  0.3015537 0.1354923
  0.2962789 0.1366805
  0.2911334 0.1376989
  0.2860973 0.1385436
  0.2811306 0.1392132
  0.276176 0.1397036
  0.2711611 0.1400156
  0.2660178 0.1401673
  0.2606982 0.1401747
  0.2551838 0.1400542
  0.2495024 0.1398244
  0.2437133 0.1394895
  0.2378676 0.1390486
  0.2319954 0.1385025
  0.2261024 0.1378511
  0.2201837 0.1370934
  0.2142379 0.1362282
  0.2082689 0.1352553
  0.2022847 0.1341753
  0.1962928 0.1329895
  0.1902978 0.1316988
  0.1843009 0.130304
  0.1783016 0.128806
  0.1723014 0.1272071
  0.1663047 0.1255107
  0.1603192 0.1237205
  0.1543549 0.12184
  0.1484235 0.1198743
  0.1425389 0.1178282
  0.136715 0.1157032
  0.1309621 0.1134987
  0.1252865 0.1112134
  0.1196885 0.1088453
  0.1141587 0.1063887
  0.108678 0.1038328
  0.103224 0.1011716
  0.09779852 0.09841852
  0.09243972 0.09560654
  0.08720974 0.09276567
  0.08214153 0.08989417
  0.07722251 0.08696735
  0.07241253 0.08396007
  0.06769043 0.08087589
  0.06307387 0.07774361
  0.05860745 0.07459814
  0.05432137 0.07145245
  0.05021722 0.06830222
  0.04628177 0.06514483
  0.04251717 0.06200132
  0.03894538 0.05890945
  0.03559685 0.05589966
  0.03248517 0.05297694
  0.02960261 0.05013251
  0.02692889 0.04735952
  0.02444549 0.04466902
  0.02214371 0.04207987
  0.02002 0.0396086
  0.01807528 0.03725677
  0.01630358 0.03501744
  0.01469355 0.03288077
  0.01323107 0.03083732
  0.01190044 0.02888177
  0.01068767 0.02700994
  0.009580617 0.0252178
  0.008568588 0.02350132
  0.007642338 0.02185636
  0.006794209 0.02027944
  0.006017596 0.01876798
  0.00530653 0.0173197
  0.004655482 0.01593228
  0.00406063 0.01460309
  0.003521783 0.0133282
  0.0030381 0.01210274
  0.002607885 0.01092158
  0.002229084 0.009779753
