Curtis C-72
  1.0 0.001
  0.996661 0.002000881
  0.992642 0.00319556
  0.9884276 0.004436514
  0.9840019 0.00572676
  0.9793482 0.007069184
  0.9744502 0.008466297
  0.9692931 0.00991989
  0.9638652 0.01143053
  0.9581607 0.01299692
  0.9521827 0.01461508
  0.9459475 0.0162777
  0.9394855 0.01797577
  0.932837 0.01969987
  0.9260471 0.02144045
  0.9191609 0.023189
  0.912218 0.02493901
  0.9052493 0.02668673
  0.8982743 0.02843146
  0.8913009 0.03017375
  0.8843316 0.03191221
  0.8773684 0.0336452
  0.8704128 0.03537121
  0.8634661 0.03708882
  0.856529 0.0387967
  0.8496022 0.04049366
  0.8426856 0.04217858
  0.8357791 0.04385043
  0.8288823 0.0455083
  0.8219942 0.04715133
  0.8151137 0.04877877
  0.8082394 0.05038994
  0.8013694 0.0519842
  0.7945017 0.05356112
  0.7876345 0.05512094
  0.780766 0.05666421
  0.7738947 0.0581914
  0.7670194 0.0597029
  0.7601392 0.06119906
  0.7532532 0.06268017
  0.7463609 0.06414645
  0.7394619 0.06559809
  0.7325562 0.06703523
  0.7256437 0.06845793
  0.7187248 0.06986625
  0.7118001 0.07126017
  0.7048704 0.07263964
  0.6979366 0.0740046
  0.691 0.07535475
  0.6840617 0.07668957
  0.6771227 0.07800856
  0.6701839 0.07931122
  0.663246 0.0805971
  0.6563096 0.08186577
  0.6493753 0.08311685
  0.6424434 0.08434996
  0.6355143 0.08556477
  0.6285881 0.08676096
  0.6216648 0.08793824
  0.6147444 0.08909634
  0.6078266 0.09023501
  0.6009112 0.09135401
  0.5939977 0.09245314
  0.5870857 0.09353216
  0.580175 0.09459084
  0.5732652 0.09562892
  0.5663561 0.09664613
  0.5594477 0.0976422
  0.5525401 0.09861682
  0.5456332 0.09956969
  0.5387272 0.1005005
  0.5318225 0.1014089
  0.5249193 0.1022946
  0.518018 0.1031573
  0.5111191 0.1039966
  0.5042233 0.1048122
  0.4973311 0.1056037
  0.4904433 0.1063708
  0.4835605 0.1071133
  0.476683 0.1078308
  0.469811 0.1085232
  0.4629445 0.1091901
  0.456083 0.1098316
  0.449226 0.1104473
  0.4423729 0.1110371
  0.4355226 0.1116009
  0.428674 0.1121384
  0.4218256 0.1126497
  0.4149758 0.1131344
  0.4081228 0.1135924
  0.4012645 0.1140235
  0.3943987 0.1144276
  0.387523 0.1148047
  0.3806357 0.1151551
  0.3737359 0.115479
  0.3668231 0.1157763
  0.3598978 0.1160472
  0.3529608 0.1162918
  0.3460141 0.1165101
  0.33906 0.1167022
  0.3321019 0.1168681
  0.3251437 0.1170079
  0.31819 0.1171219
  0.3112461 0.1172103
  0.3043182 0.1172733
  0.2974126 0.1173114
  0.2905363 0.1173235
  0.2836955 0.1173071
  0.2768952 0.1172596
  0.270139 0.1171786
  0.2634295 0.1170618
  0.2567679 0.116907
  0.2501547 0.1167122
  0.2435893 0.1164755
  0.2370702 0.1161949
  0.2305954 0.1158685
  0.2241622 0.1154945
  0.217767 0.1150709
  0.2114061 0.1145955
  0.2050748 0.1140663
  0.1987682 0.113481
  0.192481 0.1128376
  0.186209 0.1121358
  0.1799497 0.1113755
  0.1737022 0.1105567
  0.1674672 0.1096795
  0.1612471 0.1087443
  0.1550456 0.1077519
  0.1488681 0.1067034
  0.1427215 0.1055996
  0.1366133 0.10444
  0.1305515 0.1032245
  0.1245438 0.101953
  0.1185978 0.100626
  0.1127207 0.09924435
  0.1069194 0.09780905
  0.1012002 0.09632157
  0.09556923 0.09478373
  0.09003734 0.0931993
  0.084624 0.09157541
  0.07935475 0.08992225
  0.07425736 0.08825225
  0.06935789 0.08657496
  0.06467624 0.08489057
  0.06022376 0.08319901
  0.05600391 0.08150127
  0.05201384 0.0797989
  0.04824619 0.07809394
  0.04469459 0.07639355
  0.04135438 0.07470877
  0.0382187 0.07304835
  0.03527887 0.07141884
  0.03252499 0.06982487
  0.02994647 0.06826953
  0.02753245 0.06675468
  0.02527216 0.0652812
  0.02315396 0.06384755
  0.02116377 0.06244523
  0.01929461 0.06107073
  0.01754419 0.05972648
  0.01591032 0.05841721
  0.01438877 0.0571474
  0.01297296 0.05592007
  0.01165537 0.05473671
  0.01043513 0.05359997
  0.009311199 0.05251034
  0.008278464 0.05146529
  0.007330412 0.05046114
  0.006460437 0.04949388
  0.005662416 0.04855971
  0.004930903 0.0476551
  0.004261161 0.0467769
  0.003649115 0.04592228
  0.003091292 0.04508873
  0.00258476 0.044274
  0.002127055 0.04347609
  0.001716136 0.04269317
  0.001350335 0.04192361
  0.001028322 0.04116589
  0.0007490768 0.04041862
  0.0005118669 0.03968049
  0.0003162358 0.03895027
  0.0001619945 0.03822677
  4.922249e-05 0.03750884
  -2.17262e-05 0.03679536
  -5.020795e-05 0.03608519
  -3.526616e-05 0.03537718
  2.438485e-05 0.03467015
  0.0001292602 0.03396306
  0.0002784269 0.03325518
  0.0004711359 0.03254591
  0.0007069528 0.03183466
  0.000985736 0.03112092
  0.001307624 0.03040423
  0.001673029 0.02968415
  0.00208264 0.02896033
  0.002537428 0.02823244
  0.00303866 0.02750023
  0.003587918 0.02676354
  0.004187122 0.02602232
  0.004838558 0.02527666
  0.005544913 0.02452686
  0.006309299 0.02377351
  0.007135283 0.02301758
  0.008026887 0.02226062
  0.008988551 0.02150499
  0.010025 0.02075421
  0.01114096 0.02001351
  0.01234051 0.01929059
  0.01362708 0.01859518
  0.01500857 0.01793128
  0.01649577 0.01729939
  0.01810053 0.01669845
  0.01983567 0.0161248
  0.02171485 0.01557058
  0.02375211 0.01502168
  0.02596098 0.01445528
  0.02835502 0.01385459
  0.03094638 0.01322059
  0.0337434 0.01255785
  0.03675107 0.01187351
  0.03996641 0.01117841
  0.04337459 0.01048763
  0.04696453 0.009816954
  0.05074142 0.009181159
  0.05473571 0.008588604
  0.05899716 0.008034103
  0.06358308 0.007509088
  0.06855175 0.007001945
  0.07394334 0.006496254
  0.07973796 0.005973692
  0.08583767 0.005440421
  0.09211939 0.004915153
  0.09848497 0.004413965
  0.1048935 0.003946876
  0.1113493 0.003514742
  0.1178621 0.003115411
  0.1244393 0.002746944
  0.1310856 0.002407555
  0.137803 0.002095544
  0.1445898 0.001809239
  0.1514404 0.001546938
  0.1583451 0.001307243
  0.1652933 0.00108943
  0.1722754 0.0008926671
  0.1792832 0.0007159275
  0.1863098 0.0005580219
  0.1933501 0.0004176323
  0.2004009 0.0002933426
  0.2074607 0.0001839267
  0.2145287 8.899927e-05
  0.2216043 8.350877e-06
  0.228687 -5.823426e-05
  0.2357762 -0.0001109779
