DAE-11 AIRFOIL
  1.0 0.0
  0.9967525 0.0006145906
  0.992683 0.001380436
  0.9882326 0.002212449
  0.9833926 0.003111149
  0.978194 0.004075175
  0.9726927 0.005105098
  0.96694 0.006205608
  0.9609608 0.007380187
  0.9547762 0.008624775
  0.9484165 0.009932083
  0.9419202 0.01129257
  0.9353285 0.01269826
  0.9286773 0.01414267
  0.9219929 0.015621
  0.9152891 0.01713082
  0.9085691 0.01867168
  0.9018334 0.0202434
  0.8950832 0.02184572
  0.8883196 0.02347824
  0.8815443 0.02514038
  0.8747591 0.02683127
  0.8679648 0.02855005
  0.8611618 0.03029601
  0.8543499 0.03206857
  0.8475283 0.0338672
  0.8406961 0.03569132
  0.8338524 0.03754034
  0.8269962 0.03941365
  0.8201268 0.04131057
  0.8132433 0.04323025
  0.8063446 0.04517185
  0.7994299 0.0471345
  0.7924979 0.04911731
  0.7855481 0.05111923
  0.7785804 0.05313892
  0.7715957 0.05517473
  0.764596 0.05722467
  0.7575842 0.05928684
  0.7505631 0.06135975
  0.743535 0.06344209
  0.7365015 0.06553273
  0.7294637 0.06763034
  0.7224232 0.06973222
  0.7153838 0.07183473
  0.7083512 0.07393357
  0.7013335 0.07602383
  0.6943395 0.07810029
  0.6873763 0.08015832
  0.6804486 0.08219408
  0.6735588 0.08420451
  0.6667073 0.08618709
  0.659894 0.0881393
  0.6531188 0.09005866
  0.6463818 0.0919428
  0.6396829 0.09378937
  0.6330224 0.09559592
  0.6263998 0.09736011
  0.6198143 0.09907981
  0.613265 0.1007531
  0.6067502 0.1023783
  0.6002678 0.1039538
  0.5938143 0.1054785
  0.5873855 0.1069513
  0.5809762 0.1083718
  0.5745813 0.1097404
  0.5681955 0.1110575
  0.5618134 0.1123234
  0.5554293 0.1135386
  0.5490381 0.114704
  0.5426359 0.1158209
  0.5362202 0.1168904
  0.5297897 0.1179131
  0.5233449 0.1188894
  0.5168864 0.1198197
  0.5104151 0.1207041
  0.503932 0.1215429
  0.4974382 0.1223362
  0.4909346 0.1230842
  0.4844223 0.1237869
  0.4779023 0.1244443
  0.4713755 0.1250564
  0.4648429 0.1256232
  0.4583055 0.1261446
  0.4517642 0.1266205
  0.4452203 0.1270508
  0.4386749 0.1274354
  0.432129 0.1277741
  0.4255828 0.1280666
  0.4190361 0.1283128
  0.4124876 0.1285125
  0.405936 0.1286657
  0.3993798 0.1287728
  0.3928181 0.1288343
  0.3862508 0.1288503
  0.379678 0.1288212
  0.3731006 0.1287472
  0.3665204 0.1286286
  0.3599401 0.1284657
  0.3533635 0.1282589
  0.3467944 0.1280081
  0.3402355 0.1277128
  0.3336877 0.1273725
  0.3271503 0.1269863
  0.320621 0.1265539
  0.3140976 0.126075
  0.3075794 0.1255499
  0.3010671 0.1249788
  0.2945627 0.1243619
  0.2880692 0.1236993
  0.2815891 0.1229908
  0.2751241 0.1222363
  0.2686752 0.1214355
  0.2622432 0.1205881
  0.2558284 0.1196937
  0.2494316 0.1187522
  0.2430537 0.1177634
  0.2366958 0.1167269
  0.230359 0.1156426
  0.2240451 0.1145102
  0.2177557 0.1133297
  0.2114928 0.1121009
  0.2052583 0.1108238
  0.1990543 0.109498
  0.1928821 0.1081231
  0.1867428 0.1066987
  0.1806369 0.1052243
  0.1745653 0.1036996
  0.1685299 0.1021245
  0.1625332 0.1004992
  0.1565785 0.0988244
  0.1506701 0.09710047
  0.1448121 0.09532761
  0.1390084 0.09350603
  0.1332622 0.091636
  0.1275767 0.08971782
  0.1219554 0.08775177
  0.1164026 0.08573856
  0.1109232 0.08367938
  0.1055225 0.08157591
  0.1002065 0.07943
  0.09498237 0.07724384
  0.0898576 0.07502034
  0.0848399 0.07276313
  0.07993699 0.07047631
  0.07515798 0.06816438
  0.07051335 0.06583313
  0.06601381 0.06348964
  0.06166918 0.06114174
  0.05748859 0.05879728
  0.05348154 0.05646425
  0.04965629 0.05415139
  0.04601853 0.05186735
  0.04257073 0.04961997
  0.03931364 0.0474158
  0.03624826 0.04526127
  0.03337396 0.04316287
  0.0306874 0.04112607
  0.02818234 0.03915476
  0.02585066 0.0372508
  0.0236841 0.03541387
  0.02167324 0.03364268
  0.01980779 0.0319353
  0.01807705 0.03028924
  0.01647043 0.02870165
  0.01497811 0.02716942
  0.01359252 0.02568944
  0.01230702 0.02425924
  0.01111525 0.02287679
  0.010011 0.02154019
  0.008988231 0.0202476
  0.008041109 0.01899715
  0.007164616 0.01778677
  0.006354627 0.01661373
  0.005606809 0.01547489
  0.004916846 0.01436707
  0.00428064 0.01328717
  0.003694416 0.01223228
  0.003154757 0.01119971
  0.002659376 0.01018723
  0.0022078 0.00919376
  0.001799892 0.008219318
  0.00143543 0.007264592
  0.001113931 0.006330647
  0.0008345524 0.005418679
  0.0005961868 0.004529869
  0.0003984922 0.003665024
  0.0002410775 0.002822934
  0.000123234 0.002000566
  4.446625e-05 0.001193788
  4.858175e-06 0.0003976896
  5.433478e-06 -0.0003932812
  4.964165e-05 -0.001183087
  0.0001434865 -0.001972498
  0.000294251 -0.002760337
  0.0005102083 -0.00354336
  0.0007979164 -0.004316318
  0.00115675 -0.005073506
  0.001584531 -0.005809338
  0.002079199 -0.006518272
  0.002639192 -0.007195279
  0.003263705 -0.007836526
  0.003952239 -0.008437739
  0.0047045 -0.008993825
  0.005519875 -0.009502934
  0.006396852 -0.009968859
  0.007333132 -0.01039628
  0.00832518 -0.01079063
  0.00937073 -0.01115664
  0.01047281 -0.01149625
  0.0116354 -0.01181168
  0.01286262 -0.01210602
  0.01415862 -0.01238361
  0.01552794 -0.01264902
  0.01697739 -0.01290273
  0.01851515 -0.01314427
  0.02015042 -0.01337342
  0.02189357 -0.0135903
  0.02375624 -0.01379565
  0.02575145 -0.01399096
  0.02789445 -0.0141763
  0.03020278 -0.01434993
  0.03269568 -0.01450991
  0.0353939 -0.01465434
  0.03831944 -0.01478157
  0.04149559 -0.01489064
  0.0449479 -0.01498103
  0.04870288 -0.01504967
  0.05278269 -0.0150928
  0.057201 -0.01510709
  0.06196057 -0.01509049
  0.06705558 -0.01504291
  0.0724771 -0.01496414
  0.07820634 -0.01485242
  0.08421141 -0.01470718
  0.09045307 -0.01452947
  0.09689458 -0.01432152
  0.1035065 -0.01408513
  0.1102606 -0.01382195
  0.1171298 -0.01353416
  0.1240915 -0.0132243
  0.1311291 -0.01289472
  0.1382299 -0.01254721
  0.1453827 -0.0121836
  0.1525783 -0.01180573
  0.1598099 -0.01141542
  0.1670723 -0.01101401
  0.1743611 -0.01060272
  0.1816727 -0.0101828
  0.1890039 -0.009755437
  0.1963523 -0.009321651
  0.2037158 -0.008882236
  0.2110925 -0.008437976
  0.218481 -0.007989644
  0.2258802 -0.007537947
  0.2332889 -0.007083439
  0.2407056 -0.006626665
  0.2481285 -0.006168195
  0.2555556 -0.005708613
  0.2629849 -0.005248459
  0.2704147 -0.004788224
  0.2778441 -0.004328373
  0.2852722 -0.003869334
  0.2926989 -0.003411423
  0.3001236 -0.00295485
  0.3075453 -0.002499849
  0.3149625 -0.00204668
  0.3223734 -0.001595702
  0.3297766 -0.001147528
  0.3371719 -0.0007027521
  0.3445604 -0.0002618949
