 DSMA-523A AIRFOIL
  1.0 0.000308
  0.9963947 0.001727755
  0.9924778 0.003145753
  0.9888127 0.004358527
  0.9853804 0.005397162
  0.9821587 0.006288753
  0.979126 0.007056273
  0.9762664 0.007731594
  0.9735697 0.008359441
  0.9710231 0.008974522
  0.9686137 0.009602668
  0.966329 0.01026363
  0.9641578 0.01097309
  0.9620902 0.01174406
  0.9601175 0.01258791
  0.9582294 0.01350722
  0.956404 0.01446852
  0.9546182 0.0154323
  0.9528509 0.01636324
  0.9510822 0.0172285
  0.9492925 0.01799674
  0.9474686 0.01865534
  0.9456057 0.0192154
  0.9436993 0.01968829
  0.941745 0.02008441
  0.9397381 0.0204137
  0.9376737 0.02068602
  0.9355465 0.02091162
  0.933351 0.02110162
  0.9310814 0.02126854
  0.9287317 0.02142705
  0.9262963 0.02159474
  0.9237698 0.02179331
  0.9211485 0.02204978
  0.9184307 0.02239661
  0.9156106 0.02284828
  0.9126753 0.02339868
  0.9096086 0.02403715
  0.9063898 0.02474775
  0.9029922 0.02550759
  0.8993793 0.02628426
  0.8955059 0.027049
  0.8913274 0.02780695
  0.8867974 0.02857278
  0.8818762 0.02936712
  0.8765517 0.03021549
  0.87085 0.0311195
  0.8648109 0.03205757
  0.8584588 0.03300537
  0.8517757 0.03394895
  0.8447338 0.03489201
  0.8373359 0.03583824
  0.8296289 0.03678351
  0.8216711 0.03771662
  0.8134986 0.03862952
  0.8051287 0.03951911
  0.7965837 0.04038347
  0.7878932 0.04121953
  0.7790809 0.04202387
  0.7701574 0.04279526
  0.7611279 0.04353524
  0.7519995 0.0442459
  0.7427832 0.04492956
  0.7334955 0.04558833
  0.7241538 0.04622178
  0.714768 0.04682861
  0.7053407 0.04740884
  0.6958747 0.04796318
  0.6863739 0.04849214
  0.6768394 0.04899615
  0.6672689 0.04947656
  0.6576632 0.04993572
  0.6480289 0.05037522
  0.6383733 0.05079539
  0.6287019 0.05119634
  0.6190178 0.05157777
  0.6093219 0.05193957
  0.5996148 0.05228223
  0.5898981 0.05260622
  0.5801742 0.0529117
  0.5704459 0.05319872
  0.5607142 0.05346705
  0.5509783 0.05371658
  0.5412376 0.05394788
  0.5314952 0.05416152
  0.5217552 0.05435682
  0.5120177 0.05453289
  0.5022797 0.05468927
  0.4925381 0.05482579
  0.4827893 0.05494295
  0.4730303 0.05504157
  0.46326 0.05512267
  0.4534835 0.05518716
  0.443706 0.05523417
  0.4339207 0.05526193
  0.4241148 0.05527204
  0.4142897 0.05526839
  0.4044593 0.055252
  0.3946311 0.05522154
  0.3848041 0.05517639
  0.3749777 0.05511665
  0.3651543 0.05504254
  0.3553374 0.05495439
  0.3455315 0.05485214
  0.3357427 0.05473535
  0.3259771 0.05460286
  0.3162354 0.05445273
  0.3065131 0.0542841
  0.2968131 0.05409787
  0.2871464 0.05389369
  0.2775187 0.05366881
  0.2679257 0.05342124
  0.2583674 0.05315125
  0.2488534 0.05285879
  0.2393924 0.0525418
  0.2299854 0.0521983
  0.2206358 0.05182821
  0.2113562 0.05143175
  0.2021623 0.05100697
  0.1930652 0.05055134
  0.1840728 0.05006274
  0.175194 0.04953963
  0.1664401 0.04898158
  0.1578275 0.04838952
  0.1493775 0.04776482
  0.1411162 0.04710916
  0.1330722 0.04642469
  0.1252744 0.04571162
  0.1177493 0.0449705
  0.1105172 0.044204
  0.1035885 0.04341641
  0.09696396 0.04261204
  0.09064494 0.04180138
  0.08465362 0.04100244
  0.07902198 0.0402322
  0.07377264 0.03949843
  0.06890422 0.0387937
  0.06439388 0.03811009
  0.06020928 0.03744144
  0.05631645 0.0367829
  0.05268583 0.03613018
  0.0492928 0.03548054
  0.04611587 0.03483252
  0.04313588 0.03418543
  0.0403355 0.03353909
  0.03769919 0.03289306
  0.03521347 0.03224452
  0.03286601 0.03159068
  0.03064535 0.03092964
  0.02854118 0.03025996
  0.02654576 0.02957894
  0.02465227 0.02888351
  0.02285393 0.02817125
  0.02114422 0.02744024
  0.01951705 0.02668894
  0.01796699 0.02591693
  0.01648966 0.02512537
  0.01508161 0.02431569
  0.01374145 0.02348763
  0.01247376 0.02263241
  0.01127857 0.02174374
  0.01014239 0.02083365
  0.009057287 0.01991439
  0.008041377 0.01897336
  0.00711548 0.0179892
  0.006275983 0.01695865
  0.00549738 0.01590099
  0.004757839 0.01483727
  0.004053573 0.01377725
  0.003396871 0.01271672
  0.00279853 0.01164989
  0.002267254 0.01057048
  0.001803446 0.009477055
  0.001399854 0.008374294
  0.001049803 0.007267406
  0.0007483736 0.006161236
  0.0004975976 0.005057185
  0.0003006875 0.003956632
  0.0001557247 0.00286244
  5.951172e-05 0.00177567
  9.180396e-06 0.0006952212
  2.564391e-06 -0.0003819201
  3.918564e-05 -0.001460109
  0.0001206324 -0.002542879
  0.0002493277 -0.003631906
  0.0004281088 -0.004726814
  0.0006595057 -0.005825066
  0.0009422935 -0.006924389
  0.001273591 -0.008023808
  0.001656261 -0.009119385
  0.002096141 -0.01020587
  0.002599884 -0.01127828
  0.003170592 -0.0123351
  0.00380074 -0.01338221
  0.004479813 -0.01442587
  0.005195152 -0.01547151
  0.005940767 -0.01651686
  0.006734599 -0.01754186
  0.00760201 -0.01852464
  0.008561645 -0.0194538
  0.00959988 -0.02034566
  0.01069355 -0.02121971
  0.01183555 -0.02207783
  0.01303475 -0.02290997
  0.01429669 -0.0237133
  0.01561892 -0.0244932
  0.01699954 -0.02525299
  0.01843915 -0.0259934
  0.0199385 -0.02671536
  0.02149868 -0.02742021
  0.02312184 -0.02810972
  0.02480997 -0.02878588
  0.02656425 -0.02945097
  0.02838458 -0.03010753
  0.03026906 -0.0307584
  0.03221448 -0.03140364
  0.0342192 -0.03203511
  0.0362827 -0.03264272
  0.03840584 -0.03321578
  0.04059161 -0.03374306
  0.04284435 -0.03421981
  0.04516716 -0.03465488
  0.04756285 -0.0350601
  0.050034 -0.03544938
  0.05258274 -0.03583918
  0.05521045 -0.03624901
  0.05791734 -0.03670211
  0.06070194 -0.03722593
  0.06356389 -0.03783747
  0.06650931 -0.03852523
  0.06954786 -0.03927108
  0.07269346 -0.04005304
  0.07596621 -0.04084451
  0.07939553 -0.04161286
  0.08302407 -0.04232271
  0.08690177 -0.04297067
  0.09108453 -0.04357081
  0.0956328 -0.04414271
  0.1005966 -0.04471559
  0.1059848 -0.04531804
  0.1117681 -0.04594558
  0.1179048 -0.04658491
  0.1243734 -0.04722382
  0.1311853 -0.04785635
  0.1383474 -0.0484785
  0.145844 -0.04908463
  0.1536389 -0.04966909
  0.1616949 -0.05022797
  0.1699852 -0.05075934
  0.1784845 -0.0512624
  0.1871612 -0.05173669
  0.1959831 -0.05218045
  0.2049276 -0.05259215
  0.2139808 -0.05297245
  0.223125 -0.05332345
  0.2323361 -0.05364582
  0.2415943 -0.05393803
  0.2508881 -0.05419891
