 E178  (8.69%)
  1.0 0.0
  0.9967427 0.0001923211
  0.9921583 0.0004964642
  0.9869429 0.0008812956
  0.981428 0.001321907
  0.9757199 0.001808509
  0.9698931 0.002332386
  0.9640026 0.002886107
  0.9580853 0.003465268
  0.9521633 0.004066637
  0.9462424 0.004688355
  0.9403172 0.005329346
  0.9343825 0.005988324
  0.928436 0.006663692
  0.9224786 0.007353494
  0.9165139 0.008055809
  0.9105461 0.00876971
  0.9045784 0.009494572
  0.8986121 0.01022993
  0.8926474 0.0109755
  0.8866829 0.01173111
  0.8807165 0.01249632
  0.8747466 0.01327049
  0.8687724 0.01405287
  0.8627936 0.01484264
  0.8568106 0.01563888
  0.8508247 0.01644064
  0.8448374 0.01724742
  0.8388498 0.01805902
  0.832863 0.01887529
  0.8268773 0.01969612
  0.8208929 0.02052146
  0.8149093 0.02135132
  0.8089259 0.02218567
  0.8029418 0.02302426
  0.7969564 0.02386678
  0.7909692 0.02471292
  0.7849799 0.02556233
  0.7789884 0.02641461
  0.7729945 0.02726938
  0.7669986 0.02812623
  0.7610009 0.0289849
  0.7550018 0.02984515
  0.7490015 0.03070675
  0.7430004 0.03156946
  0.7369989 0.03243303
  0.7309972 0.03329723
  0.7249958 0.03416182
  0.7189949 0.03502651
  0.7129949 0.03589095
  0.7069959 0.03675481
  0.7009981 0.03761776
  0.6950015 0.03847947
  0.6890062 0.03933964
  0.6830122 0.04019797
  0.6770192 0.04105417
  0.6710271 0.04190797
  0.6650358 0.04275914
  0.6590452 0.04360743
  0.6530553 0.04445258
  0.6470663 0.04529433
  0.6410782 0.04613239
  0.6350913 0.04696648
  0.6291059 0.0477963
  0.6231222 0.0486214
  0.6171405 0.04944104
  0.6111612 0.05025448
  0.6051846 0.051061
  0.5992107 0.05185985
  0.59324 0.05265031
  0.5872726 0.05343166
  0.5813087 0.05420319
  0.5753486 0.05496415
  0.5693924 0.05571373
  0.56344 0.05645109
  0.5574912 0.05717543
  0.5515458 0.05788597
  0.5456032 0.05858194
  0.5396628 0.05926259
  0.5337238 0.0599272
  0.5277853 0.0605751
  0.5218465 0.06120607
  0.5159068 0.06182007
  0.5099657 0.062417
  0.504023 0.06299675
  0.4980789 0.0635592
  0.4921336 0.06410418
  0.4861876 0.06463153
  0.4802418 0.06514103
  0.4742968 0.06563224
  0.4683534 0.06610448
  0.4624121 0.06655712
  0.4564732 0.06698957
  0.4505366 0.06740123
  0.4446023 0.06779152
  0.4386697 0.0681599
  0.4327384 0.0685058
  0.4268076 0.06882892
  0.4208767 0.06912915
  0.4149454 0.06940637
  0.4090135 0.06966045
  0.403081 0.06989125
  0.3971481 0.07009863
  0.391215 0.07028243
  0.3852825 0.0704425
  0.3793511 0.07057854
  0.3734214 0.07069013
  0.3674939 0.07077686
  0.3615687 0.07083834
  0.3556459 0.07087417
  0.3497254 0.07088395
  0.3438069 0.07086729
  0.33789 0.07082381
  0.331974 0.07075354
  0.3260585 0.07065664
  0.320143 0.07053329
  0.3142272 0.07038365
  0.3083105 0.07020786
  0.3023926 0.07000608
  0.2964733 0.06977843
  0.2905523 0.06952512
  0.2846294 0.06924642
  0.2787049 0.06894267
  0.2727792 0.0686142
  0.266853 0.06826138
  0.2609273 0.06788459
  0.2550034 0.06748426
  0.2490829 0.06706065
  0.2431672 0.0666133
  0.2372574 0.06614159
  0.2313544 0.06564486
  0.2254583 0.06512244
  0.2195691 0.06457363
  0.2136861 0.06399768
  0.2078086 0.06339389
  0.2019358 0.06276178
  0.1960675 0.06210095
  0.190204 0.06141106
  0.184346 0.06069183
  0.1784949 0.05994304
  0.1726523 0.05916455
  0.1668202 0.05835568
  0.1610003 0.05751541
  0.1551935 0.05664263
  0.1494 0.05573616
  0.1436193 0.05479471
  0.1378507 0.05381687
  0.1320931 0.05280101
  0.1263475 0.05174564
  0.1206164 0.05064962
  0.1149045 0.04951227
  0.1092177 0.04833342
  0.1035638 0.04711291
  0.09794847 0.04584892
  0.0923724 0.04453843
  0.08683139 0.04317724
  0.08131657 0.04175982
  0.07581614 0.04027892
  0.07032867 0.03872812
  0.06487426 0.03710706
  0.05949385 0.03542321
  0.05424349 0.03369168
  0.0491676 0.03192375
  0.04425384 0.0301107
  0.03943898 0.02822333
  0.03461723 0.02620782
  0.02971648 0.02400265
  0.02496031 0.02167346
  0.02078287 0.01944158
  0.01736405 0.01745805
  0.0145321 0.0156777
  0.01206966 0.01400096
  0.009821341 0.01233787
  0.007675823 0.01059465
  0.005720261 0.008811671
  0.00418028 0.007232595
  0.003038097 0.005939933
  0.002166724 0.004872677
  0.001492995 0.003965149
  0.0009750809 0.003167004
  0.0005820103 0.002443639
  0.0002946818 0.001772452
  0.0001024355 0.001137785
  8.580163e-07 0.0005277867
  -8.987111e-06 -6.755709e-05
