E180  (8.59%)                
  1.0 0.0
  0.997008 7.345695e-05
  0.9928325 0.0002024669
  0.9879674 0.0003858603
  0.9826609 0.0006175639
  0.9770603 0.0008935544
  0.9712867 0.001209617
  0.9654218 0.00156134
  0.9595075 0.001946277
  0.9535707 0.002362462
  0.9476242 0.00280848
  0.9416669 0.003283274
  0.9356947 0.003785266
  0.9297052 0.004312657
  0.9236984 0.004863433
  0.9176767 0.005435382
  0.9116436 0.006026799
  0.9056023 0.006636355
  0.8995551 0.007262778
  0.8935033 0.007904861
  0.8874472 0.008561489
  0.8813862 0.00923174
  0.8753199 0.009914859
  0.8692482 0.01061007
  0.863171 0.01131654
  0.8570888 0.01203341
  0.8510025 0.01275976
  0.8449131 0.01349483
  0.8388217 0.0142382
  0.8327289 0.01498949
  0.8266352 0.01574838
  0.8205408 0.01651455
  0.8144456 0.01728774
  0.8083491 0.0180677
  0.8022507 0.01885415
  0.7961499 0.0196467
  0.7900464 0.02044497
  0.78394 0.02124854
  0.7778307 0.022057
  0.7717185 0.02286987
  0.7656038 0.02368669
  0.759487 0.02450708
  0.7533684 0.02533077
  0.7472485 0.02615751
  0.7411274 0.02698704
  0.7350053 0.02781913
  0.7288824 0.02865355
  0.7227587 0.02949009
  0.7166342 0.03032851
  0.7105087 0.03116848
  0.7043823 0.03200963
  0.698255 0.03285159
  0.6921271 0.03369396
  0.6859986 0.03453636
  0.67987 0.03537836
  0.6737415 0.03621954
  0.6676136 0.03705949
  0.6614867 0.03789772
  0.6553614 0.03873376
  0.6492382 0.03956715
  0.6431176 0.04039739
  0.6370001 0.04122402
  0.6308865 0.04204656
  0.6247772 0.04286452
  0.6186731 0.04367733
  0.6125744 0.04448407
  0.6064816 0.04528383
  0.6003948 0.04607571
  0.594314 0.04685884
  0.5882388 0.04763239
  0.5821691 0.04839554
  0.5761041 0.04914751
  0.5700432 0.04988758
  0.5639858 0.05061528
  0.5579312 0.0513302
  0.5518791 0.05203189
  0.545829 0.05271991
  0.5397807 0.05339379
  0.5337341 0.05405307
  0.5276892 0.05469726
  0.5216461 0.05532586
  0.5156049 0.05593842
  0.5095657 0.05653448
  0.5035285 0.0571136
  0.4974934 0.05767536
  0.4914603 0.05821931
  0.4854289 0.05874506
  0.4793992 0.05925218
  0.4733706 0.05974027
  0.4673431 0.06020902
  0.4613163 0.06065817
  0.4552902 0.06108748
  0.4492648 0.06149665
  0.44324 0.06188543
  0.437216 0.06225353
  0.431193 0.06260066
  0.4251714 0.06292655
  0.4191515 0.06323082
  0.4131336 0.06351305
  0.407118 0.06377285
  0.4011048 0.06400979
  0.3950941 0.0642235
  0.3890859 0.06441357
  0.3830802 0.06457961
  0.3770767 0.06472125
  0.3710754 0.0648383
  0.3650759 0.06493065
  0.359078 0.06499821
  0.353081 0.06504084
  0.3470846 0.06505844
  0.3410881 0.06505087
  0.3350909 0.06501798
  0.329092 0.06495971
  0.3230909 0.06487633
  0.3170871 0.06476816
  0.3110806 0.06463553
  0.3050715 0.06447879
  0.2990601 0.06429829
  0.2930474 0.06409438
  0.2870343 0.06386743
  0.281022 0.06361752
  0.2750116 0.06334446
  0.2690039 0.06304811
  0.2629995 0.06272828
  0.2569986 0.06238481
  0.2510015 0.0620175
  0.2450079 0.06162616
  0.2390177 0.06121055
  0.2330307 0.0607704
  0.2270471 0.06030546
  0.2210673 0.05981552
  0.215092 0.05930036
  0.209122 0.05875981
  0.2031584 0.05819373
  0.1972025 0.05760159
  0.1912555 0.05698273
  0.1853181 0.05633642
  0.1793911 0.05566196
  0.1734748 0.05495862
  0.1675693 0.05422566
  0.1616748 0.05346216
  0.1557918 0.05266701
  0.1499216 0.05183921
  0.144066 0.05097786
  0.1382275 0.05008223
  0.132409 0.0491517
  0.1266138 0.04818541
  0.1208443 0.04718192
  0.115101 0.04613951
  0.109383 0.04505622
  0.1036876 0.04392973
  0.09801132 0.04275722
  0.0923543 0.0415355
  0.08672459 0.04026295
  0.08113801 0.03894018
  0.07561719 0.03757026
  0.07018852 0.03615731
  0.0648673 0.03470046
  0.05964697 0.03319303
  0.0545027 0.03162282
  0.04939473 0.02997121
  0.04429838 0.02822117
  0.03927427 0.02638482
  0.03446772 0.02451388
  0.03004009 0.02267956
  0.02606573 0.02091082
  0.02249748 0.01918714
  0.01924972 0.01747423
  0.01624208 0.01573703
  0.01345138 0.01398825
  0.01096504 0.01232576
  0.008856599 0.01084451
  0.007108988 0.009570908
  0.005668509 0.008467884
  0.004490248 0.007472236
  0.003525917 0.006544076
  0.002734246 0.005660292
  0.002082964 0.00480697
  0.001547312 0.003975368
  0.001108321 0.003159931
  0.0007558994 0.002364328
  0.000487224 0.001598579
  0.0002994197 0.0008669024
  0.0001907447 0.0001702494
  0.0001614898 -0.0004917872
  0.0002146388 -0.00112002
  0.0003567672 -0.001715162
  0.000594785 -0.002280109
  0.0009289301 -0.002823479
  0.001362371 -0.003353861
  0.001903355 -0.003879798
  0.002566395 -0.004411042
  0.003374528 -0.00496035
  0.004362117 -0.005546455
  0.005571754 -0.00619812
  0.007063762 -0.006947541
  0.008943258 -0.00781198
  0.01124587 -0.008756759
  0.01378701 -0.009671029
  0.01638081 -0.010494
  0.01908298 -0.01126047
  0.02201849 -0.01200676
  0.0253488 -0.01276464
  0.02930645 -0.01356856
  0.03411333 -0.01443946
  0.03964186 -0.0153235
  0.04537948 -0.01612615
  0.05094566 -0.0168123
  0.05635939 -0.0174089
  0.06176684 -0.01794412
  0.06727015 -0.01843372
  0.07292886 -0.01888658
  0.07875076 -0.01930674
  0.08468806 -0.01969336
  0.09068245 -0.02004441
  0.09668962 -0.02036018
  0.1026846 -0.02064289
  0.108663 -0.02089609
  0.1146363 -0.02112314
  0.1206171 -0.02132627
  0.1266145 -0.02150735
  0.1326337 -0.02166805
  0.1386758 -0.0218099
  0.1447383 -0.02193434
  0.1508156 -0.0220423
  0.1569031 -0.0221345
  0.1629971 -0.02221172
  0.1690952 -0.02227479
  0.175196 -0.02232458
  0.1812994 -0.02236199
  0.1874065 -0.0223878
  0.1935182 -0.02240268
  0.1996352 -0.02240727
  0.2057579 -0.02240223
  0.2118863 -0.0223882
  0.2180201 -0.02236584
  0.2241587 -0.02233579
  0.2303009 -0.02229853
  0.2364461 -0.02225432
  0.2425934 -0.02220342
  0.2487424 -0.02214607
  0.2548926 -0.02208253
  0.261044 -0.02201306
  0.2671965 -0.02193789
  0.2733503 -0.02185729
  0.2795056 -0.02177148
  0.2856626 -0.02168069
  0.2918214 -0.02158514
  0.2979821 -0.02148506
  0.3041446 -0.02138069
  0.3103088 -0.02127225
  0.3164745 -0.02115999
  0.3226416 -0.0210441
  0.3288099 -0.02092473
  0.3349792 -0.02080202
  0.3411493 -0.0206761
  0.3473203 -0.02054711
  0.353492 -0.02041516
  0.3596646 -0.02028041
  0.3658381 -0.02014296
  0.3720127 -0.02000297
  0.3781884 -0.01986056
  0.3843654 -0.01971587
  0.3905437 -0.01956904
  0.3967232 -0.01942022
  0.4029037 -0.01926955
  0.4090852 -0.01911718
  0.4152674 -0.01896326
  0.4214499 -0.01880793
  0.4276324 -0.01865126
  0.4338147 -0.01849322
  0.4399966 -0.01833378
  0.4461779 -0.01817293
  0.4523588 -0.01801062
  0.4585392 -0.01784684
  0.4647195 -0.01768153
  0.4708999 -0.01751466
  0.4770808 -0.01734621
  0.4832625 -0.01717629
  0.4894455 -0.01700505
  0.4956298 -0.01683262
  0.5018156 -0.01665916
  0.5080027 -0.01648482
  0.5141911 -0.01630977
  0.5203804 -0.01613417
  0.5265702 -0.01595817
  0.5327601 -0.01578188
  0.5389496 -0.01560522
  0.5451384 -0.01542811
  0.5513262 -0.01525046
  0.557513 -0.01507217
  0.5636988 -0.01489316
  0.5698837 -0.01471332
  0.576068 -0.01453255
  0.582252 -0.01435074
  0.5884364 -0.01416794
  0.5946213 -0.01398425
  0.6008071 -0.01379982
  0.606994 -0.01361478
  0.613182 -0.01342926
  0.6193711 -0.01324341
  0.6255612 -0.01305738
  0.6317518 -0.01287131
  0.6379428 -0.01268531
  0.6441336 -0.01249933
  0.6503241 -0.01231331
  0.6565141 -0.01212716
  0.6627034 -0.01194081
  0.6688921 -0.01175419
  0.6750803 -0.01156721
  0.6812682 -0.01137979
  0.6874561 -0.01119184
  0.6936442 -0.0110034
  0.6998329 -0.01081451
  0.7060223 -0.01062525
  0.7122124 -0.01043568
  0.7184031 -0.01024586
  0.7245943 -0.01005588
  0.7307857 -0.009865792
  0.736977 -0.00967567
  0.7431678 -0.009485478
  0.749358 -0.00929515
  0.7555473 -0.009104618
  0.7617359 -0.008913808
  0.7679238 -0.008722643
  0.7741114 -0.008531043
  0.780299 -0.008338926
  0.7864872 -0.008146273
  0.7926762 -0.007953157
  0.7988661 -0.007759662
  0.805057 -0.007565877
  0.8112484 -0.0073719
  0.8174398 -0.007177835
  0.8236305 -0.006983787
  0.8298197 -0.006789683
  0.8360066 -0.006595238
  0.8421908 -0.006400143
  0.8483724 -0.006204079
  0.8545517 -0.00600672
  0.8607293 -0.005807728
  0.866906 -0.005606843
  0.8730829 -0.005404091
  0.8792603 -0.005199569
  0.8854386 -0.004993382
  0.8916177 -0.00478565
  0.897797 -0.004576496
  0.9039756 -0.004365731
  0.9101519 -0.004152709
  0.9163229 -0.003936785
  0.922485 -0.003717357
  0.9286335 -0.003493847
  0.9347631 -0.003264618
  0.9408689 -0.003026577
  0.9469467 -0.002776594
  0.9529936 -0.002511624
  0.9590069 -0.002229309
  0.9649823 -0.00192886
  0.970913 -0.001609938
  0.976787 -0.001273541
  0.9825321 -0.0009319016
  0.9879628 -0.0006071353
  0.9928619 -0.000326312
  0.9970179 -0.0001197977
  1.0 0.0
