 E182 (8.47%)
  1.0 0.0
  0.9972428 -2.621331e-05
  0.9934589 -4.925705e-05
  0.9890346 -5.525639e-05
  0.9841127 -3.202489e-05
  0.9788042 2.887e-05
  0.9732173 0.0001305476
  0.9674567 0.0002728458
  0.961591 0.0004551524
  0.9556685 0.0006768593
  0.949719 0.000936993
  0.9437508 0.001234785
  0.9377586 0.001568855
  0.9317379 0.001937388
  0.9256866 0.002338413
  0.9196059 0.0027697
  0.9134994 0.00322899
  0.9073718 0.003714458
  0.9012267 0.004224306
  0.8950672 0.004756719
  0.8888954 0.005309892
  0.8827126 0.005882124
  0.8765195 0.006472262
  0.8703167 0.007079363
  0.8641047 0.007702465
  0.8578842 0.008340595
  0.8516557 0.008992762
  0.8454198 0.009658
  0.839177 0.01033557
  0.8329279 0.01102485
  0.8266732 0.01172519
  0.8204135 0.01243593
  0.8141494 0.01315641
  0.8078818 0.01388595
  0.8016112 0.01462397
  0.7953384 0.01537011
  0.7890636 0.01612407
  0.7827872 0.01688557
  0.7765092 0.01765436
  0.7702292 0.0184302
  0.763947 0.0192129
  0.7576618 0.02000223
  0.751373 0.02079779
  0.74508 0.02159918
  0.7387824 0.02240595
  0.7324799 0.02321765
  0.7261723 0.02403381
  0.7198597 0.02485393
  0.713542 0.02567751
  0.7072197 0.02650416
  0.700893 0.02733353
  0.6945625 0.02816526
  0.688229 0.02899897
  0.6818932 0.02983427
  0.6755561 0.03067072
  0.669219 0.03150788
  0.662883 0.03234523
  0.6565494 0.03318197
  0.6502194 0.03401727
  0.643894 0.03485031
  0.6375744 0.03568028
  0.6312615 0.03650639
  0.6249562 0.03732787
  0.6186593 0.03814395
  0.6123715 0.03895381
  0.6060934 0.03975644
  0.599825 0.04055086
  0.5935663 0.04133613
  0.587317 0.04211137
  0.5810765 0.04287572
  0.5748438 0.04362836
  0.5686178 0.04436853
  0.5623973 0.0450956
  0.5561809 0.04580929
  0.5499678 0.04650932
  0.5437574 0.04719535
