E210  (13.64%)               
  1.0 0.0
  0.9966655 0.0009386645
  0.9925339 0.002194283
  0.988064 0.003641834
  0.9832452 0.005265185
  0.9781067 0.007033919
  0.9727113 0.008903693
  0.9671372 0.01081749
  0.9614612 0.01272862
  0.9557385 0.01460494
  0.9499886 0.01642713
  0.9441986 0.01819231
  0.9383501 0.01990847
  0.9324296 0.02158237
  0.9264292 0.02321879
  0.9203472 0.0248215
  0.9141859 0.02639476
  0.9079495 0.0279429
  0.9016451 0.02947011
  0.8952825 0.03098022
  0.8888726 0.03247424
  0.882425 0.03395156
  0.8759478 0.03541212
  0.8694472 0.03685639
  0.8629274 0.03828537
  0.8563911 0.03969976
  0.8498399 0.04109981
  0.8432755 0.04248583
  0.8366993 0.04385814
  0.8301127 0.04521715
  0.8235165 0.04656329
  0.8169118 0.04789678
  0.8102992 0.04921782
  0.8036796 0.05052663
  0.7970536 0.05182344
  0.7904219 0.05310851
  0.7837849 0.05438207
  0.7771432 0.05564421
  0.7704972 0.05689497
  0.7638473 0.0581344
  0.7571939 0.05936256
  0.7505374 0.06057949
  0.7438781 0.06178527
  0.7372163 0.06297993
  0.7305522 0.06416344
  0.723886 0.0653358
  0.7172177 0.06649701
  0.7105473 0.06764709
  0.7038747 0.06878607
  0.6971998 0.06991399
  0.6905222 0.07103091
  0.683842 0.07213686
  0.6771593 0.07323186
  0.6704744 0.07431587
  0.6637878 0.07538885
  0.6571002 0.07645071
  0.6504125 0.07750135
  0.6437255 0.07854046
  0.6370401 0.07956759
  0.6303566 0.08058232
  0.6236753 0.08158427
  0.6169962 0.08257312
  0.6103188 0.08354857
  0.6036426 0.08451036
  0.5969669 0.08545835
  0.5902908 0.0863925
  0.5836142 0.08731277
  0.5769368 0.08821907
  0.5702589 0.08911126
  0.5635809 0.08998919
  0.5569036 0.09085266
  0.550228 0.09170137
  0.5435552 0.09253463
  0.5368862 0.09335166
  0.530222 0.0941517
  0.5235636 0.09493399
  0.5169117 0.09569781
  0.5102672 0.09644247
  0.5036307 0.09716726
  0.4970028 0.0978713
  0.4903842 0.09855352
  0.483775 0.0992129
  0.4771754 0.09984842
  0.4705854 0.1004591
  0.4640048 0.1010441
  0.4574334 0.1016023
  0.4508706 0.102133
  0.4443162 0.1026353
  0.4377699 0.1031085
  0.4312314 0.1035519
  0.4247007 0.1039647
  0.4181775 0.1043461
  0.411662 0.1046953
  0.4051543 0.1050116
  0.3986543 0.1052944
  0.3921623 0.1055428
  0.3856781 0.1057563
  0.3792018 0.1059343
  0.3727331 0.106076
  0.3662718 0.1061807
  0.3598177 0.106248
  0.3533705 0.1062771
  0.3469302 0.1062675
  0.3404972 0.1062189
  0.3340718 0.1061305
  0.3276547 0.106002
  0.3212467 0.1058329
  0.3148488 0.1056226
  0.308462 0.1053704
  0.3020872 0.1050757
  0.2957248 0.1047377
  0.289375 0.1043556
  0.2830379 0.1039288
  0.276713 0.1034565
  0.2703998 0.1029379
  0.2640979 0.1023728
  0.2578067 0.1017607
  0.2515259 0.1011012
  0.2452553 0.1003939
  0.2389945 0.09963831
  0.2327435 0.09883409
  0.2265021 0.097981
  0.2202706 0.09707895
  0.2140494 0.09612787
  0.2078391 0.09512771
  0.2016408 0.09407851
  0.1954556 0.0929803
  0.1892848 0.09183295
  0.1831302 0.0906362
  0.176994 0.08938992
  0.1708782 0.08809408
  0.1647855 0.08674878
  0.1587186 0.0853541
  0.1526804 0.08390958
  0.1466743 0.08241456
  0.1407033 0.08086849
  0.1347704 0.07927093
  0.1288785 0.07762154
  0.1230306 0.07591969
  0.1172307 0.07416451
  0.1114833 0.07235545
  0.1057933 0.07049236
  0.100166 0.06857551
  0.09460715 0.0666053
  0.08912421 0.06458196
  0.08372527 0.06250647
  0.07841888 0.0603806
  0.07321372 0.05820688
  0.06811997 0.05598803
  0.06315366 0.05372841
  0.05833553 0.0514363
  0.05368793 0.04912322
  0.049232 0.04680255
  0.04498816 0.04448724
  0.04097346 0.04218988
  0.03719802 0.03992248
  0.03366464 0.03769531
  0.03037059 0.03551612
  0.02731748 0.03339333
  0.02451137 0.03134088
  0.02195319 0.0293728
  0.01963496 0.0274988
  0.01754112 0.02572288
  0.01565484 0.02404389
  0.01395733 0.022456
  0.01242795 0.02095108
  0.01104698 0.01952061
  0.009796772 0.01815661
  0.008661979 0.01685186
  0.007629414 0.01559992
  0.006688023 0.01439372
  0.00582944 0.01322779
  0.005047084 0.01209926
  0.004335149 0.01100665
  0.003688129 0.009949067
  0.003100665 0.00892576
  0.002567537 0.007935892
  0.002083731 0.006978453
  0.001645025 0.006052469
  0.001253355 0.005158933
  0.0009125507 0.004298134
  0.0006243838 0.003468392
  0.0003896653 0.002667073
  0.0002089721 0.001891164
  8.309966e-05 0.001137542
  1.337583e-05 0.0004030853
  1.927107e-06 -0.0003153179
  5.196916e-05 -0.001020821
  0.0001680533 -0.001716728
  0.0003520765 -0.002406557
  0.0006022642 -0.00309353
  0.0009179752 -0.003780327
  0.001299782 -0.004469153
  0.001749286 -0.00516173
  0.002268915 -0.005859162
  0.002861592 -0.006561631
  0.003530084 -0.007267807
  0.004275685 -0.00797382
  0.005099464 -0.008674206
  0.006008358 -0.009366733
  0.007010575 -0.01004998
  0.008114192 -0.01072294
  0.009326653 -0.01138553
  0.01065419 -0.01203933
  0.01210139 -0.01268865
  0.01367113 -0.01334206
  0.0153659 -0.0140139
  0.01719563 -0.01471351
  0.01917758 -0.01544171
  0.02133125 -0.01619822
  0.0236785 -0.01698157
  0.02624355 -0.01778867
  0.02905242 -0.018614
  0.03213327 -0.01944964
  0.03551523 -0.02028968
  0.03922279 -0.02112938
  0.04327057 -0.02196364
  0.04765852 -0.02278844
  0.05237097 -0.02360306
  0.05738347 -0.02440435
  0.06266148 -0.0251814
  0.06815952 -0.02592403
  0.0738319 -0.0266252
  0.07964598 -0.02728222
  0.08558527 -0.02789464
  0.09163603 -0.02846246
  0.09778397 -0.02898658
  0.1040148 -0.02946874
  0.1103153 -0.0299114
  0.1166736 -0.03031608
  0.1230796 -0.03068383
  0.129525 -0.03101612
  0.1360031 -0.0313148
  0.1425093 -0.03158198
  0.1490413 -0.03181958
  0.1555973 -0.03202884
  0.1621752 -0.03221104
  0.1687728 -0.03236749
  0.1753876 -0.03249956
  0.1820167 -0.03260866
  0.1886574 -0.03269573
  0.1953072 -0.0327612
  0.2019643 -0.0328055
  0.2086276 -0.03282911
  0.2152966 -0.03283249
  0.2219714 -0.03281614
  0.2286527 -0.03278057
  0.2353412 -0.03272642
  0.2420374 -0.03265435
  0.2487413 -0.03256499
  0.2554523 -0.03245903
  0.2621698 -0.03233713
  0.2688925 -0.03220001
  0.2756187 -0.03204798
  0.2823468 -0.03188092
  0.2890749 -0.03169872
  0.2958013 -0.03150126
  0.3025241 -0.03128844
  0.3092415 -0.03106019
  0.3159516 -0.03081644
  0.3226525 -0.03055686
  0.3293429 -0.03028065
  0.3360221 -0.02998698
  0.3426904 -0.02967498
  0.3493484 -0.02934377
  0.3559978 -0.02899241
  0.3626407 -0.02861992
  0.3692799 -0.02822546
  0.3759187 -0.0278093
  0.3825601 -0.02737207
  0.3892068 -0.02691439
  0.3958614 -0.02643686
  0.4025262 -0.02594007
  0.4092033 -0.02542462
  0.4158947 -0.02489113
  0.4226018 -0.02434041
  0.4293262 -0.02377386
  0.4360684 -0.02319299
  0.4428288 -0.0225994
  0.4496067 -0.02199475
  0.4564012 -0.02138084
  0.4632103 -0.02075952
  0.4700316 -0.02013274
  0.476862 -0.01950216
  0.4836985 -0.01886885
  0.4905384 -0.0182338
  0.4973796 -0.01759796
  0.5042204 -0.01696225
  0.5110595 -0.01632754
  0.5178961 -0.01569465
  0.52473 -0.01506435
  0.531561 -0.01443722
  0.5383895 -0.01381357
  0.5452153 -0.01319372
  0.5520385 -0.01257796
  0.558859 -0.01196661
  0.5656768 -0.01135999
  0.5724916 -0.01075841
  0.5793033 -0.01016219
  0.5861115 -0.009571689
  0.5929162 -0.008987278
  0.5997172 -0.008409336
  0.6065145 -0.007838231
  0.6133082 -0.007274319
  0.6200985 -0.006717947
  0.6268857 -0.006169457
  0.63367 -0.005629179
  0.6404521 -0.005097394
  0.6472323 -0.00457428
  0.6540108 -0.004060013
  0.6607877 -0.00355478
  0.6675632 -0.003058774
  0.6743372 -0.002572199
  0.6811093 -0.002095265
  0.6878794 -0.001628188
  0.694647 -0.001171242
  0.7014116 -0.0007247895
  0.7081731 -0.0002891962
  0.7149313 0.0001351835
  0.721686 0.0005480033
  0.7284374 0.0009489248
  0.7351856 0.001337617
  0.7419307 0.001713755
  0.7486732 0.002077038
  0.755413 0.002427177
  0.7621503 0.002763876
  0.768885 0.003086832
  0.7756166 0.003395737
  0.7823448 0.00369028
  0.789069 0.003970151
  0.7957885 0.004234949
  0.8025026 0.004484117
  0.8092109 0.004717094
  0.8159131 0.00493333
  0.8226089 0.005132288
  0.8292986 0.005313439
  0.8359822 0.005476258
  0.84266 0.00562019
  0.8493318 0.005744632
  0.8559968 0.005848974
  0.8626539 0.005932615
  0.8693013 0.005994967
  0.8759366 0.006035468
  0.8825571 0.006053251
  0.8891599 0.006046691
  0.8957421 0.006014112
  0.902301 0.005953916
  0.908834 0.005864584
  0.9153385 0.005744669
  0.9218117 0.005592586
  0.9282495 0.005406712
  0.9346465 0.005185617
  0.9409966 0.004928107
  0.9472921 0.004633217
  0.9535198 0.004300091
  0.9596537 0.003928919
  0.965658 0.003521548
  0.9714916 0.003081099
  0.9771087 0.002608633
  0.9824603 0.002106263
  0.9875051 0.001578988
  0.9922115 0.00103361
  0.9965485 0.0004794824
  1.0 0.0
