E62  (5.62%)                 
  1.0 0.0
  0.9974065 0.0008418543
  0.9937112 0.002093913
  0.9892614 0.003661745
  0.9842949 0.005449082
  0.9790331 0.007349979
  0.9736637 0.009264024
  0.9682769 0.01113214
  0.9629006 0.01293445
  0.9575353 0.01466302
  0.952159 0.0163195
  0.9467449 0.0179148
  0.9412739 0.01945843
  0.9357352 0.02095682
  0.9301266 0.02241409
  0.9244515 0.02383404
  0.9187145 0.02522059
  0.9129227 0.02657769
  0.9070846 0.0279092
  0.9012096 0.02921681
  0.8953056 0.03050055
  0.8893793 0.03176091
  0.8834361 0.0329988
  0.8774794 0.03421556
  0.8715113 0.03541216
  0.865533 0.03658894
  0.8595456 0.0377463
  0.8535495 0.0388847
  0.8475453 0.04000467
  0.8415328 0.04110681
  0.8355121 0.0421917
  0.829483 0.0432599
  0.8234459 0.04431193
  0.8174012 0.04534828
  0.8113495 0.04636942
  0.8052918 0.04737576
  0.7992287 0.04836745
  0.7931613 0.04934452
  0.78709 0.050307
  0.7810155 0.05125499
  0.774938 0.05218858
  0.768858 0.05310789
  0.7627754 0.05401304
  0.7566904 0.05490408
  0.750603 0.05578104
  0.7445132 0.05664397
  0.7384212 0.05749289
  0.7323268 0.05832785
  0.7262301 0.05914888
  0.7201311 0.05995602
  0.71403 0.06074922
  0.7079267 0.06152843
  0.7018216 0.06229358
  0.695715 0.06304459
  0.6896073 0.06378138
  0.6834991 0.06450385
  0.6773911 0.06521188
  0.6712838 0.06590514
  0.6651776 0.06658322
  0.6590729 0.06724577
  0.6529697 0.06789244
  0.646868 0.06852291
  0.6407674 0.06913685
  0.6346675 0.06973398
  0.6285679 0.07031411
  0.6224679 0.07087718
  0.6163673 0.07142314
  0.6102657 0.07195192
  0.6041631 0.07246345
  0.5980595 0.07295764
  0.591955 0.07343437
  0.58585 0.07389354
  0.5797446 0.07433501
  0.5736393 0.07475858
  0.5675343 0.0751641
  0.5614296 0.07555142
  0.5553253 0.07592037
  0.5492212 0.07627083
  0.5431172 0.07660263
  0.537013 0.07691567
  0.5309082 0.07720993
  0.5248026 0.07748547
  0.518696 0.07774236
  0.5125881 0.07798063
  0.5064789 0.07820034
  0.5003684 0.07840151
  0.4942565 0.0785842
  0.4881434 0.07874844
  0.4820291 0.07889431
  0.4759137 0.07902193
  0.4697972 0.07913139
  0.4636796 0.0792228
  0.4575609 0.07929626
  0.451441 0.07935188
  0.4453198 0.07938976
  0.4391971 0.07941
  0.4330729 0.0794127
  0.4269472 0.07939795
  0.4208202 0.07936585
  0.4146921 0.0793165
  0.4085635 0.07925001
  0.4024349 0.07916648
  0.3963071 0.07906603
  0.3901809 0.07894868
  0.384057 0.07881419
  0.377936 0.07866232
  0.3718182 0.07849279
  0.3657036 0.07830536
  0.3595921 0.07809975
  0.3534835 0.07787568
  0.347377 0.07763287
  0.341272 0.07737114
  0.3351681 0.07709042
  0.3290651 0.07679063
  0.322963 0.07647171
  0.3168623 0.07613362
  0.3107634 0.07577633
  0.3046675 0.07539984
  0.2985755 0.07500406
  0.2924886 0.07458858
  0.2864075 0.07415295
  0.2803328 0.07369672
  0.2742646 0.07321941
  0.2682027 0.07272051
  0.2621468 0.07219951
  0.2560961 0.07165589
  0.25005 0.07108927
  0.2440082 0.07049936
  0.2379706 0.06988587
  0.2319377 0.06924856
  0.2259101 0.06858721
  0.2198889 0.06790169
  0.2138754 0.06719168
  0.207871 0.06645648
  0.2018771 0.06569536
  0.1958948 0.06490756
  0.1899249 0.06409236
  0.1839684 0.06324902
  0.1780258 0.06237678
  0.1720976 0.06147478
  0.1661843 0.06054211
  0.1602858 0.0595778
  0.1544018 0.05858084
  0.1485318 0.05755018
  0.1426752 0.05648465
  0.136832 0.05538279
  0.1310045 0.05424333
  0.125197 0.05306552
  0.119416 0.0518492
  0.1136698 0.05059482
  0.1079678 0.04930279
  0.1023149 0.0479718
  0.09670904 0.04659892
  0.09114154 0.04517949
  0.08559749 0.04370689
  0.08005908 0.04217255
  0.07452563 0.04057112
  0.06902668 0.03890632
  0.06361989 0.03719255
  0.05838026 0.0354532
  0.05335669 0.03370267
  0.04852169 0.03192867
  0.04378999 0.0300954
  0.03902608 0.02813925
  0.03409023 0.02598083
  0.02913568 0.02366405
  0.02467854 0.02143804
  0.02103401 0.01949986
  0.0180496 0.01779396
  0.01546605 0.01619478
  0.0131031 0.01459941
  0.01081103 0.01289589
  0.008509852 0.01102492
  0.006437062 0.009223452
  0.004818016 0.007759179
  0.003586778 0.006619793
  0.002638569 0.005685637
  0.001906187 0.004868457
  0.001338918 0.004119063
  0.0009046489 0.003409199
  0.0005833321 0.00272094
  0.000362582 0.002041662
  0.0002352342 0.001361486
  0.0001962358 0.0006763956
  0.0002381297 -2.801598e-06
  0.0003559458 -0.0006637572
  0.0005478784 -0.001294739
  0.000815088 -0.00188341
  0.001162026 -0.002415479
  0.001595948 -0.002878268
  0.002123733 -0.003274586
  0.002756033 -0.00360947
  0.003510272 -0.00388657
  0.004414547 -0.004108944
  0.005515385 -0.004280871
  0.006892983 -0.004414239
  0.008624864 -0.004548183
  0.01117193 -0.004758544
  0.0146715 -0.005049827
  0.01835714 -0.005303017
  0.02161051 -0.005429787
  0.0247754 -0.005459467
  0.02812338 -0.005412194
  0.03191897 -0.005286462
  0.03667089 -0.005060635
  0.04257536 -0.00473367
  0.04818933 -0.004390511
  0.05385527 -0.004011353
  0.05990504 -0.003569404
  0.06568453 -0.00311171
  0.071296 -0.002638201
  0.07694075 -0.002138203
  0.08274555 -0.001604708
  0.08877519 -0.001035756
  0.09497352 -0.0004409506
  0.1011115 0.0001558143
  0.1072212 0.000756508
  0.1133576 0.001365554
  0.1195505 0.001985031
  0.1257616 0.002610164
  0.1319351 0.003234333
  0.1380925 0.003858747
  0.1442509 0.004484217
  0.1504217 0.005110982
  0.1566108 0.005738705
  0.1628182 0.006366449
  0.1690387 0.006992842
  0.175265 0.007616707
  0.1814914 0.00823707
  0.1877135 0.008853121
  0.1939284 0.009464215
  0.200135 0.01006987
  0.2063334 0.01066974
  0.2125253 0.01126367
  0.2187127 0.01185157
  0.2248972 0.01243338
  0.2310802 0.01300896
  0.2372627 0.01357816
  0.2434456 0.0141408
  0.2496291 0.01469665
  0.2558135 0.01524548
  0.2619985 0.01578706
  0.268184 0.01632123
  0.2743696 0.01684781
  0.280555 0.01736663
  0.2867399 0.01787754
  0.2929239 0.01838034
  0.2991064 0.01887488
  0.3052871 0.01936098
  0.3114654 0.0198384
  0.3176409 0.02030675
  0.3238135 0.02076564
  0.329983 0.02121467
  0.3361497 0.0216535
  0.3423136 0.02208175
  0.3484754 0.02249908
  0.3546355 0.02290516
  0.3607949 0.02329966
  0.3669543 0.02368249
  0.3731146 0.02405382
  0.3792763 0.02441383
  0.38544 0.02476271
  0.3916059 0.0251006
  0.3977742 0.02542765
  0.4039449 0.02574401
  0.4101179 0.0260498
  0.4162927 0.02634514
  0.422469 0.02663012
  0.4286464 0.02690475
  0.4348244 0.02716902
  0.441003 0.02742296
  0.4471818 0.02766658
  0.4533609 0.02789991
  0.4595404 0.02812298
  0.4657202 0.02833581
  0.4719008 0.02853843
  0.4780824 0.02873089
  0.4842652 0.02891333
  0.4904496 0.02908586
  0.4966357 0.02924864
  0.5028235 0.02940177
  0.5090129 0.0295454
  0.5152037 0.02967964
  0.5213957 0.02980462
  0.5275885 0.02992047
  0.5337815 0.0300273
  0.5399744 0.03012507
  0.5461666 0.03021366
  0.5523579 0.03029293
  0.5585479 0.03036277
  0.5647367 0.03042304
  0.5709242 0.03047363
  0.5771106 0.03051442
  0.583296 0.03054528
  0.5894809 0.03056609
  0.5956656 0.0305768
  0.6018504 0.03057744
  0.6080358 0.03056804
  0.6142217 0.03054865
  0.6204083 0.03051929
  0.6265955 0.03048001
  0.6327829 0.03043084
  0.6389705 0.03037183
  0.6451576 0.03030302
  0.6513439 0.03022439
  0.6575288 0.03013578
  0.6637121 0.03003701
  0.6698933 0.02992791
  0.6760726 0.02980832
  0.6822498 0.02967805
  0.6884251 0.02953692
  0.6945988 0.02938475
  0.7007713 0.02922135
  0.7069431 0.0290466
  0.7131144 0.02886043
  0.7192855 0.02866279
  0.7254564 0.02845363
  0.731627 0.02823292
  0.7377969 0.02800062
  0.7439655 0.02775671
  0.7501323 0.02750118
  0.7562963 0.02723396
  0.7624568 0.02695476
  0.7686132 0.02666324
  0.7747652 0.02635904
  0.7809128 0.02604178
  0.7870561 0.02571107
  0.7931956 0.02536652
  0.7993322 0.02500771
  0.8054667 0.02463424
  0.8115999 0.02424588
  0.8177321 0.02384244
  0.8238631 0.02342377
  0.8299922 0.02298974
  0.8361183 0.02254028
  0.8422396 0.02207537
  0.8483541 0.02159496
  0.8544596 0.02109851
  0.8605545 0.02058521
  0.8666385 0.02005421
  0.8727118 0.01950457
  0.8787756 0.01893528
  0.8848319 0.01834524
  0.8908831 0.01773325
  0.8969302 0.01709818
  0.9029715 0.01643917
  0.9090026 0.0157557
  0.9150162 0.01504765
  0.9210029 0.01431531
  0.9269518 0.01355771
  0.9328558 0.01277171
  0.9387134 0.01195358
  0.9445279 0.01109902
  0.9503074 0.01020309
  0.9560599 0.009260706
  0.9617794 0.008269141
  0.9674416 0.007229379
  0.9730072 0.006146621
  0.9784294 0.005030496
  0.9836685 0.003892564
  0.9886972 0.00274357
  0.9933909 0.001625004
  0.997318 0.0006646861
  1.0 0.0
