E. Bambino
  1.0 0.027
  0.9973609 0.02706152
  0.9941685 0.02714249
  0.9907977 0.02723576
  0.987226 0.02734333
  0.9834277 0.02746758
  0.9793734 0.02761142
  0.9750305 0.02777836
  0.9703644 0.02797254
  0.9653414 0.02819875
  0.959933 0.02846224
  0.9541269 0.0287681
  0.947963 0.02911888
  0.941857 0.02949175
  0.9359109 0.02987651
  0.9300357 0.03027499
  0.9241664 0.03068864
  0.9182534 0.03111848
  0.9122592 0.03156494
  0.9061571 0.03202766
  0.899936 0.03250492
  0.8937163 0.03298499
  0.8875817 0.0334602
  0.8815107 0.03393147
  0.8754846 0.0343995
  0.8694874 0.03486485
  0.8635057 0.03532788
  0.8575277 0.03578885
  0.8515432 0.03624785
  0.8455435 0.03670486
  0.8395213 0.03715973
  0.8334703 0.03761216
  0.8273861 0.03806175
  0.8212651 0.03850792
  0.8151058 0.03894996
  0.808908 0.03938699
  0.8026736 0.039818
  0.796407 0.04024181
  0.790142 0.04065612
  0.7838969 0.04106044
  0.7776664 0.04145589
  0.7714459 0.04184349
  0.7652313 0.04222423
  0.7590188 0.04259901
  0.7528053 0.04296872
  0.7465882 0.04333419
  0.7403653 0.04369622
  0.7341347 0.04405561
  0.7278953 0.04441309
  0.7216462 0.0447694
  0.7153871 0.04512524
  0.7091181 0.04548129
  0.70284 0.04583823
  0.6965586 0.0461964
  0.6902838 0.04655567
  0.6840142 0.0469163
  0.6777484 0.04727855
  0.6714853 0.04764268
  0.6652238 0.04800892
  0.6589629 0.04837751
  0.6527018 0.04874868
  0.64644 0.04912265
  0.6401769 0.04949963
  0.6339122 0.04987983
  0.6276455 0.05026346
  0.6213768 0.0506507
  0.6151061 0.05104175
  0.6088337 0.05143677
  0.6025597 0.05183594
  0.5962847 0.05223935
  0.5900091 0.05264625
  0.5837334 0.05305517
  0.5774578 0.05346466
  0.5711829 0.05387325
  0.5649087 0.05427949
  0.5586356 0.05468192
  0.5523636 0.0550791
  0.546093 0.05546958
  0.5398238 0.05585194
  0.5335559 0.05622475
  0.5272894 0.05658657
  0.5210242 0.05693601
  0.5147602 0.05727164
  0.5084971 0.05759206
  0.5022347 0.05789587
  0.4959728 0.05818171
  0.4897112 0.05844883
  0.4834498 0.05869686
  0.4771885 0.05892542
  0.4709273 0.05913417
  0.464666 0.05932273
  0.4584047 0.05949074
  0.4521435 0.05963782
  0.4458822 0.05976361
  0.439621 0.05986773
  0.4333598 0.0599498
  0.4270989 0.06000946
  0.4208383 0.06004632
  0.4145781 0.06006002
