EH 0.0/9.0
  1.0 0.0
  0.9966163 0.0001516222
  0.9920122 0.0004068248
  0.9868178 0.0007425719
  0.9812439 0.001142767
  0.9754541 0.001585935
  0.9695494 0.002054008
  0.963585 0.002535914
  0.9575921 0.003024676
  0.9515872 0.003517719
  0.9455769 0.004013809
  0.9395639 0.00451244
  0.9335511 0.00501322
  0.9275413 0.005516447
  0.9215347 0.006022917
  0.9155295 0.006533361
  0.9095237 0.00704778
  0.9035165 0.00756593
  0.8975082 0.008087484
  0.8914993 0.008612174
  0.8854894 0.00913981
  0.8794773 0.0096702
  0.8734619 0.0102028
  0.8674432 0.01073686
  0.8614224 0.01127154
  0.8554015 0.01180612
  0.8493819 0.01234014
  0.8433639 0.01287322
  0.8373467 0.01340517
  0.8313293 0.01393636
  0.8253112 0.01446732
  0.8192927 0.01499854
  0.8132744 0.01553029
  0.8072575 0.01606201
  0.8012424 0.01659295
  0.795229 0.01712237
  0.7892167 0.01764968
  0.7832048 0.01817472
  0.7771926 0.01869759
  0.7711798 0.01921833
  0.765166 0.01973699
  0.7591514 0.02025358
  0.7531362 0.02076811
  0.7471207 0.02128055
  0.7411057 0.02179089
  0.735092 0.02229899
  0.7290803 0.02280446
  0.7230707 0.02330683
  0.7170629 0.0238057
  0.7110559 0.02430071
  0.7050487 0.02479179
  0.69904 0.02527923
  0.6930296 0.02576336
  0.6870175 0.02624444
  0.6810043 0.02672267
  0.6749911 0.02719794
  0.6689787 0.02766985
  0.6629678 0.02813803
  0.6569587 0.0286021
  0.6509515 0.02906175
  0.6449459 0.02951672
  0.6389417 0.02996687
  0.6329381 0.03041206
  0.6269343 0.03085218
  0.6209291 0.03128712
  0.6149214 0.03171706
  0.6089108 0.03214237
  0.6028978 0.03256334
  0.5968836 0.03298021
  0.5908703 0.03339317
  0.5848605 0.03380177
  0.5788555 0.03420505
  0.5728555 0.03460208
  0.5668591 0.03499207
  0.5608636 0.0353743
  0.5548651 0.03574883
  0.5488608 0.03611689
  0.5428495 0.03647973
  0.5368316 0.03683848
  0.5308095 0.03719417
  0.5247871 0.03754726
  0.5187681 0.03789661
  0.5127548 0.03824088
  0.5067481 0.03857886
  0.5007474 0.03890939
  0.4947507 0.03923155
  0.4887556 0.0395453
  0.4827602 0.03985084
  0.476763 0.04014836
  0.4707635 0.04043798
  0.4647616 0.0407198
  0.4587579 0.0409939
  0.4527528 0.04126035
  0.4467469 0.04151921
  0.440741 0.04177056
  0.4347357 0.04201446
  0.4287316 0.04225076
  0.4227292 0.04247908
  0.4167286 0.04269902
  0.4107295 0.04291021
  0.4047314 0.04311228
  0.3987335 0.04330501
  0.3927352 0.04348843
  0.3867362 0.04366256
  0.3807368 0.04382744
  0.3747373 0.04398308
  0.3687387 0.04412937
  0.3627418 0.04426587
  0.3567469 0.04439213
  0.3507544 0.04450767
  0.3447638 0.04461204
  0.3387749 0.04470489
  0.3327869 0.044786
  0.3267996 0.04485524
  0.3208128 0.04491244
  0.3148264 0.04495744
  0.3088406 0.04499004
  0.3028557 0.04500998
  0.2968719 0.045017
  0.2908898 0.04501082
  0.2849097 0.04499119
  0.2789322 0.04495772
  0.2729577 0.04490981
  0.2669864 0.04484689
  0.2610181 0.04476835
  0.2550526 0.04467363
  0.2490896 0.04456227
  0.2431287 0.04443392
  0.23717 0.04428822
  0.2312134 0.04412483
  0.2252592 0.04394333
  0.2193079 0.04374324
  0.2133599 0.04352402
  0.2074158 0.04328517
  0.2014765 0.04302617
  0.1955428 0.04274613
  0.1896153 0.04244407
  0.1836944 0.04211895
  0.1777803 0.04176977
  0.1718732 0.04139555
  0.1659728 0.04099533
  0.1600791 0.04056814
  0.1541918 0.04011301
  0.1483108 0.03962901
  0.1424368 0.03911524
  0.1365715 0.03857096
  0.1307174 0.03799535
  0.1248776 0.03738665
  0.1190543 0.03674263
  0.1132493 0.03606105
  0.1074635 0.03533959
  0.1016974 0.03457577
  0.09595151 0.0337671
  0.09022584 0.03291099
  0.08452254 0.03200477
  0.0788477 0.03104638
  0.07321125 0.03003431
  0.06762346 0.02896443
  0.0620889 0.02783073
  0.05660671 0.02662664
  0.05118115 0.02534783
  0.04583106 0.02399438
  0.04058986 0.02256622
  0.03550189 0.0210614
  0.0306149 0.0194829
  0.02598581 0.01783678
  0.0216726 0.01614076
  0.01774838 0.01444366
  0.0143032 0.01282145
  0.01139714 0.01131765
  0.009045265 0.009954564
  0.007169867 0.008735571
  0.005654536 0.007636693
  0.004397783 0.006625576
  0.003332688 0.005677409
  0.002433243 0.00477132
  0.001697692 0.003905294
  0.001114999 0.003087424
  0.0006649666 0.002323248
  0.000337585 0.001614669
  0.0001227826 0.0009502358
  1.403807e-05 0.0003134173
  1.406043e-05 -0.00031367
  0.0001228474 -0.0009504961
  0.0003376933 -0.001614944
  0.0006651222 -0.002323544
  0.001115205 -0.003087742
  0.001697955 -0.003905633
  0.002433571 -0.004771677
  0.003333083 -0.005677781
  0.004398246 -0.006625968
  0.005655088 -0.007637115
  0.007170541 -0.008736035
  0.009046108 -0.009955083
  0.01139819 -0.01131823
  0.01430448 -0.01282208
  0.01774986 -0.01444433
  0.02167426 -0.01614144
  0.02598761 -0.01783745
  0.03061681 -0.01948355
  0.0355039 -0.02106202
  0.04059194 -0.02256681
  0.04583319 -0.02399494
  0.05118332 -0.02534836
  0.0566089 -0.02662713
  0.06209111 -0.0278312
  0.06762569 -0.02896487
  0.0732135 -0.03003473
  0.07884998 -0.03104678
  0.08452482 -0.03200514
  0.09022813 -0.03291135
  0.09595382 -0.03376744
  0.1016998 -0.03457609
  0.1074658 -0.03533989
  0.1132517 -0.03606134
  0.1190567 -0.0367429
  0.1248799 -0.0373869
  0.1307198 -0.03799559
  0.1365738 -0.03857118
  0.1424391 -0.03911546
  0.1483131 -0.03962921
  0.1541942 -0.0401132
  0.1600815 -0.04056832
  0.1659752 -0.04099549
  0.1718755 -0.04139571
  0.1777827 -0.04176992
  0.1836968 -0.04211909
  0.1896177 -0.04244419
  0.1955452 -0.04274625
  0.2014789 -0.04302627
  0.2074182 -0.04328527
  0.2133622 -0.04352411
  0.2193103 -0.04374332
  0.2252616 -0.04394341
  0.2312158 -0.04412489
  0.2371724 -0.04428829
  0.2431311 -0.04443398
  0.249092 -0.04456232
  0.255055 -0.04467367
  0.2610205 -0.04476839
  0.2669888 -0.04484691
  0.2729601 -0.04490983
  0.2789346 -0.04495773
  0.2849121 -0.0449912
  0.2908922 -0.04501083
  0.2968744 -0.045017
  0.3028581 -0.04500998
  0.3088431 -0.04499003
  0.3148288 -0.04495742
  0.3208152 -0.04491242
  0.326802 -0.04485522
  0.3327893 -0.04478597
  0.3387773 -0.04470485
  0.3447663 -0.04461201
  0.3507568 -0.04450762
  0.3567493 -0.04439208
  0.3627442 -0.04426582
  0.3687411 -0.04412931
  0.3747397 -0.04398302
  0.3807392 -0.04382738
  0.3867386 -0.04366249
  0.3927376 -0.04348836
  0.3987359 -0.04330494
  0.4047338 -0.0431122
  0.4107319 -0.04291013
  0.416731 -0.04269893
  0.4227316 -0.04247898
  0.428734 -0.04225067
  0.4347381 -0.04201436
  0.4407434 -0.04177046
  0.4467493 -0.04151911
  0.4527552 -0.04126024
  0.4587603 -0.04099379
  0.4647641 -0.04071969
  0.4707659 -0.04043786
  0.4767654 -0.04014824
  0.4827626 -0.03985072
  0.488758 -0.03954518
  0.4947532 -0.03923142
  0.5007498 -0.03890926
  0.5067505 -0.03857872
  0.5127572 -0.03824075
  0.5187705 -0.03789647
  0.5247895 -0.03754712
  0.530812 -0.03719403
  0.536834 -0.03683833
  0.5428519 -0.03647958
  0.5488633 -0.03611675
  0.5548675 -0.03574868
  0.560866 -0.03537415
  0.5668615 -0.03499192
  0.5728579 -0.03460193
  0.5788579 -0.03420489
  0.5848629 -0.03380161
  0.5908728 -0.033393
  0.596886 -0.03298005
  0.6029002 -0.03256317
  0.6089132 -0.0321422
  0.6149238 -0.03171689
  0.6209315 -0.03128694
  0.6269367 -0.030852
  0.6329405 -0.03041189
  0.6389441 -0.02996669
  0.6449484 -0.02951654
  0.6509539 -0.02906156
  0.6569611 -0.02860192
  0.6629702 -0.02813784
  0.6689811 -0.02766967
  0.6749934 -0.02719776
  0.6810066 -0.02672249
  0.6870198 -0.02624425
  0.6930319 -0.02576316
  0.6990424 -0.02527901
  0.7050512 -0.02479156
  0.7110586 -0.02430049
  0.7170656 -0.0238055
  0.7230733 -0.02330667
  0.7290827 -0.02280434
  0.735094 -0.0222989
  0.7411073 -0.02179075
  0.7471218 -0.02128031
  0.753137 -0.0207677
  0.7591522 -0.02025302
  0.7651669 -0.01973632
  0.7711809 -0.01921766
  0.777194 -0.01869701
  0.7832063 -0.01817431
  0.7892181 -0.01764945
  0.7952302 -0.01712229
  0.8012433 -0.01659293
  0.8072582 -0.01606201
  0.8132749 -0.01553028
  0.819293 -0.01499851
  0.8253115 -0.01446729
  0.8313295 -0.01393633
  0.8373468 -0.01340515
  0.8433639 -0.01287321
  0.8493819 -0.01234013
  0.8554016 -0.01180612
  0.8614224 -0.01127154
  0.8674432 -0.01073686
  0.8734619 -0.0102028
  0.8794773 -0.0096702
  0.8854894 -0.00913981
  0.8914993 -0.008612174
  0.8975082 -0.008087484
  0.9035165 -0.00756593
  0.9095237 -0.00704778
  0.9155295 -0.006533361
  0.9215347 -0.006022917
  0.9275413 -0.005516447
  0.9335511 -0.00501322
  0.9395639 -0.00451244
  0.9455769 -0.004013809
  0.9515872 -0.003517719
  0.9575921 -0.003024676
  0.963585 -0.002535914
  0.9695494 -0.002054008
  0.9754541 -0.001585935
  0.9812439 -0.001142767
  0.9868178 -0.0007425719
  0.9920122 -0.0004068248
  0.9966163 -0.0001516222
  1.0 0.0
