Eh 1.0/7.0
  1.0 0.0
  0.9966491 0.0001161563
  0.9917951 0.000328903
  0.9863343 0.0006010743
  0.9806461 0.0009123484
  0.9748682 0.001249344
  0.9690544 0.001601373
  0.9632298 0.001964459
  0.9573983 0.00233657
  0.9515583 0.002715584
  0.9457111 0.003099403
  0.9398597 0.003486503
  0.9340072 0.003875566
  0.9281565 0.004266489
  0.9223087 0.004659954
  0.9164635 0.005056678
  0.9106199 0.005457072
  0.9047768 0.005861434
  0.8989337 0.006269946
  0.8930898 0.006682322
  0.8872445 0.007098151
  0.8813967 0.007517028
  0.875546 0.007938471
  0.8696929 0.008361873
  0.8638393 0.008786519
  0.8579886 0.009212044
  0.8521431 0.009639392
  0.8463033 0.01006989
  0.8404668 0.01050503
  0.8346299 0.01094536
  0.8287891 0.01138963
  0.8229432 0.01183628
  0.8170932 0.01228356
  0.8112416 0.01273044
  0.8053913 0.01317741
  0.7995433 0.01362526
  0.7936975 0.01407484
  0.7878524 0.01452686
  0.7820062 0.01498098
  0.7761579 0.01543659
  0.7703072 0.01589299
  0.7644548 0.01634946
  0.758602 0.0168058
  0.7527498 0.01726226
  0.7468987 0.01771914
  0.7410487 0.01817679
  0.7351991 0.01863549
  0.7293492 0.01909509
  0.7234986 0.01955528
  0.7176473 0.02001573
  0.7117953 0.02047609
  0.7059432 0.02093604
  0.7000915 0.02139541
  0.6942403 0.02185404
  0.6883897 0.02231182
  0.6825393 0.02276865
  0.6766886 0.02322459
  0.6708374 0.02367995
  0.6649855 0.02413506
  0.6591332 0.02459021
  0.6532813 0.02504568
  0.6474304 0.02550141
  0.6415813 0.02595675
  0.6357342 0.02641099
  0.6298887 0.02686344
  0.6240443 0.02731347
  0.6181999 0.02776064
  0.6123546 0.02820519
  0.6065077 0.02864744
  0.6006593 0.0290877
  0.5948097 0.02952624
  0.5889597 0.02996322
  0.5831102 0.03039841
  0.5772618 0.03083139
  0.5714148 0.03126176
  0.5655692 0.03168919
  0.5597246 0.03211332
  0.5538805 0.03253402
  0.5480364 0.03295128
  0.5421919 0.03336509
  0.5363471 0.03377544
  0.530502 0.03418227
  0.5246569 0.03458549
  0.5188122 0.03498479
  0.5129681 0.03537984
  0.507125 0.03577035
  0.5012829 0.03615598
  0.4954421 0.03653645
  0.4896027 0.03691143
  0.4837644 0.03728062
  0.477927 0.03764372
  0.47209 0.03800046
  0.4662526 0.03835057
  0.4604142 0.038694
  0.4545741 0.03903099
  0.4487325 0.03936175
  0.4428896 0.03968648
  0.4370464 0.04000534
  0.4312042 0.04031831
  0.425364 0.0406247
  0.4195266 0.04092372
  0.4136919 0.04121461
  0.4078594 0.04149664
  0.4020282 0.04176916
  0.3961971 0.04203196
  0.3903653 0.04228506
  0.3845326 0.04252846
  0.3786995 0.04276212
  0.3728667 0.04298598
  0.3670355 0.04319966
  0.3612067 0.04340245
  0.3553806 0.04359366
  0.3495566 0.04377262
  0.3437339 0.04393869
  0.3379109 0.04409154
  0.3320864 0.04423135
  0.3262603 0.04435835
  0.3204328 0.04447273
  0.3146052 0.04457469
  0.3087793 0.04466408
  0.3029567 0.04473998
  0.2971382 0.04480133
  0.2913238 0.04484712
  0.2855125 0.04487632
  0.2797028 0.04488824
  0.2738933 0.04488276
  0.2680835 0.04485982
  0.2622737 0.04481934
  0.256465 0.04476126
  0.2506587 0.04468514
  0.2448562 0.04459014
  0.2390577 0.04447538
  0.2332629 0.04434
  0.2274708 0.04418313
  0.2216802 0.04400418
  0.2158908 0.04380274
  0.2101037 0.04357842
  0.2043208 0.04333089
  0.1985447 0.04305949
  0.1927769 0.04276291
  0.1870169 0.04243969
  0.1812618 0.04208821
  0.175507 0.04170709
  0.1697486 0.04129659
  0.1639869 0.04085761
  0.1582264 0.04039142
  0.1524756 0.03989901
  0.146743 0.03937787
  0.1410318 0.03882397
  0.1353391 0.03823282
  0.129657 0.03760017
  0.1239772 0.03692532
  0.1182964 0.03620902
  0.1126177 0.03545267
  0.1069486 0.03465671
  0.1012961 0.03381928
  0.09566407 0.03293802
  0.09005339 0.03201017
  0.08446389 0.03103258
  0.07889609 0.03000215
  0.07335141 0.02891587
  0.06783293 0.02777041
  0.06234601 0.02656273
  0.05689811 0.02529004
  0.0514975 0.02394736
  0.04615006 0.02252868
  0.04086108 0.02102756
  0.03564413 0.01943917
  0.03052525 0.01776134
  0.02555569 0.01598944
  0.02080959 0.01413209
  0.01635547 0.01221376
