EH 2.0/12
  1.0 0.0
  0.9966277 0.000203645
  0.9923541 0.0005117006
  0.9876347 0.0009078589
  0.9825082 0.001377738
  0.9770192 0.001918484
  0.97122 0.002516539
  0.9651881 0.003157899
  0.9589921 0.003831574
  0.9526808 0.004529815
  0.9462907 0.00524641
  0.939848 0.005976545
  0.9333724 0.006716258
  0.9268787 0.00746346
  0.9203799 0.008216991
  0.9138867 0.008976616
  0.9074019 0.00974419
  0.9009184 0.01052276
  0.8944228 0.01131325
  0.88791 0.01211317
  0.8813867 0.01291862
  0.8748671 0.01372763
  0.8683587 0.01454132
  0.8618586 0.0153621
  0.8553563 0.01619169
  0.8488436 0.01702943
  0.842319 0.01787364
  0.8357881 0.01872215
  0.8292579 0.01957423
  0.8227322 0.02043006
  0.8162105 0.02129032
  0.8096892 0.02215564
  0.8031649 0.02302596
  0.7966361 0.02390091
  0.7901035 0.02477988
  0.783569 0.02566234
  0.777034 0.02654806
  0.7704989 0.02743698
  0.763963 0.02832914
  0.7574248 0.02922448
  0.7508834 0.03012269
  0.7443385 0.03102339
  0.7377905 0.03192607
  0.7312404 0.03283035
  0.7246891 0.03373602
  0.7181373 0.03464289
  0.7115856 0.03555084
  0.7050342 0.03645965
  0.6984831 0.03736888
  0.691932 0.03827811
  0.6853803 0.03918695
  0.6788272 0.04009511
  0.6722722 0.04100271
  0.6657154 0.04190999
  0.659158 0.04281708
  0.6526017 0.04372398
  0.6460489 0.04463023
  0.6395016 0.04553481
  0.6329606 0.04643676
  0.6264256 0.04733529
  0.6198954 0.04822979
  0.6133681 0.04912009
  0.6068426 0.05000627
  0.6003178 0.0508883
  0.5937935 0.05176611
  0.5872698 0.0526395
  0.5807472 0.0535082
  0.5742263 0.05437189
  0.5677078 0.05523023
  0.5611926 0.05608288
  0.5546815 0.05692934
  0.5481752 0.05776892
  0.541674 0.05860091
  0.5351779 0.05942467
  0.5286865 0.06023962
  0.5221991 0.06104528
  0.5157152 0.06184133
  0.5092342 0.0626274
  0.502756 0.06340313
  0.4962802 0.06416813
  0.489807 0.06492201
  0.4833363 0.06566438
  0.4768684 0.06639482
  0.4704037 0.06711293
  0.4639425 0.06781827
  0.4574854 0.06851024
  0.4510328 0.06918818
  0.444585 0.06985144
  0.4381423 0.07049939
  0.4317049 0.07113139
  0.425273 0.07174675
  0.4188468 0.07234472
  0.4124262 0.07292461
  0.4060114 0.0734857
  0.3996023 0.0740273
  0.3931989 0.07454872
  0.3868012 0.07504925
  0.3804093 0.07552822
  0.3740229 0.07598496
  0.3676422 0.07641878
  0.3612672 0.07682902
  0.354898 0.07721502
  0.3485349 0.0775761
  0.3421783 0.0779116
  0.3358288 0.07822071
  0.3294869 0.07850254
  0.3231533 0.07875619
  0.3168288 0.07898079
  0.3105142 0.07917545
  0.3042101 0.07933917
  0.2979167 0.07947094
  0.2916336 0.07956976
  0.2853599 0.07963464
  0.2790944 0.0796647
  0.2728366 0.07965932
  0.2665871 0.07961786
  0.2603477 0.07953975
  0.2541215 0.07942438
  0.2479116 0.07927049
  0.2417197 0.07907653
  0.2355461 0.07884097
  0.2293897 0.07856224
  0.2232481 0.07823909
  0.2171203 0.07787069
  0.2110064 0.0774563
  0.204908 0.07699532
  0.1988279 0.07648702
  0.192769 0.07593014
  0.1867329 0.07532337
  0.1807207 0.07466534
  0.1747323 0.07395469
  0.1687678 0.07319022
  0.1628276 0.0723708
  0.1569125 0.07149542
  0.1510242 0.07056307
  0.1451647 0.06957266
  0.1393371 0.06852329
  0.1335451 0.06741432
  0.1277927 0.06624493
  0.1220834 0.06501356
  0.1164185 0.06371838
  0.1107981 0.06235732
  0.1052221 0.06092887
  0.09969322 0.05943263
  0.09421712 0.05786919
  0.08880226 0.05623947
  0.08345792 0.05454346
  0.07819231 0.05278129
  0.07301271 0.05095331
  0.06792751 0.04906043
  0.06294712 0.04710501
  0.05808339 0.04509098
  0.05335247 0.04302441
  0.04877673 0.0409157
  0.04438123 0.03877903
  0.04019238 0.03662916
  0.03623371 0.03448193
  0.03252151 0.03235352
  0.0290696 0.03026159
  0.02589216 0.0282275
  0.02299469 0.02627088
  0.02037192 0.02440461
  0.01800925 0.02263463
  0.01588478 0.02096141
  0.013974 0.01938152
  0.01225703 0.01789135
  0.01071781 0.01648938
  0.009340064 0.01517353
  0.008106966 0.01393984
  0.007003359 0.01278051
  0.006013985 0.01168485
  0.005123925 0.01064245
  0.004320074 0.009644205
  0.003591568 0.008682387
  0.002933157 0.007750165
  0.002344751 0.006843663
  0.001826367 0.005962231
  0.00137689 0.005106769
  0.0009937098 0.004278605
  0.0006740348 0.003479391
  0.0004176925 0.002710367
  0.000223272 0.001968438
  8.917242e-05 0.001247887
  1.506861e-05 0.0005417406
  2.838291e-06 -0.0001579957
  5.455401e-05 -0.0008595827
  0.0001697172 -0.001568857
  0.0003501037 -0.002289547
  0.0005998029 -0.003023109
  0.0009243153 -0.003767516
  0.001328699 -0.004516133
  0.001815239 -0.005264484
  0.002383853 -0.006010664
  0.003032433 -0.006753683
  0.003757075 -0.007494094
  0.004553648 -0.008234616
  0.005426008 -0.008978572
  0.006383064 -0.00972932
  0.007434883 -0.01049082
  0.008592107 -0.0112677
  0.009864949 -0.01206466
  0.01126557 -0.01288327
  0.0128081 -0.01372343
  0.01450748 -0.01458513
  0.01638014 -0.01546921
  0.01844716 -0.01637705
  0.02073481 -0.01730869
  0.02327048 -0.01826343
  0.02608026 -0.01923997
  0.02918792 -0.02023424
  0.03261104 -0.02123872
  0.03635759 -0.02224555
  0.04042968 -0.02324678
  0.04482012 -0.0242321
  0.04950824 -0.02519261
  0.05446683 -0.02612076
  0.05966299 -0.02700898
  0.06506125 -0.02785341
  0.07063107 -0.02865196
  0.07634563 -0.02940361
  0.08218365 -0.03011009
  0.08812929 -0.03077411
  0.0941654 -0.0313988
  0.1002722 -0.03198771
  0.1064314 -0.03254183
  0.1126319 -0.03306158
  0.1188716 -0.03354851
  0.1251535 -0.03400581
  0.1314774 -0.03443728
  0.1378369 -0.03484649
  0.1442211 -0.03523544
