FX 68-H-120
  1.0 0.0
  0.9967977 4.95347e-05
  0.9928292 8.4297e-05
  0.9883196 0.0002999196
  0.983381 0.0005461489
  0.9781782 0.0008882954
  0.9727007 0.00133716
  0.9670279 0.001868516
  0.9612758 0.002473266
  0.9554746 0.003149794
  0.9496149 0.003894099
  0.943706 0.004698882
  0.9377677 0.005557792
  0.9318097 0.00646677
  0.9258282 0.007422859
  0.9198169 0.00842193
  0.9137755 0.009458589
  0.9077091 0.01052726
  0.9016241 0.0116236
  0.8955252 0.01274351
  0.8894157 0.01388369
  0.8832981 0.01504222
  0.8771751 0.01621733
  0.8710492 0.0174073
  0.8649224 0.01861109
  0.8587944 0.01982824
  0.8526631 0.02105877
  0.8465242 0.02230261
  0.8403741 0.02355838
  0.8342119 0.02482393
  0.8280399 0.02609644
  0.8218627 0.02737261
  0.8156857 0.02864926
  0.8095125 0.02992343
  0.8033459 0.03119245
  0.7971874 0.03245403
  0.7910374 0.03370631
  0.7848956 0.03494766
  0.7787608 0.03617664
  0.772631 0.03739209
  0.7665042 0.03859363
  0.7603787 0.03978108
  0.7542532 0.04095417
  0.748127 0.04211255
  0.7419995 0.04325587
  0.7358709 0.04438387
  0.7297412 0.04549624
  0.723611 0.04659265
  0.717481 0.0476727
  0.7113519 0.04873572
  0.7052244 0.04978086
  0.6990988 0.05080735
  0.6929749 0.05181446
  0.6868524 0.05280153
  0.6807309 0.05376808
  0.6746098 0.05471377
  0.6684884 0.0556382
  0.662366 0.05654104
  0.6562418 0.05742196
  0.650115 0.05828094
  0.6439852 0.05911813
  0.637852 0.05993362
  0.6317152 0.06072748
  0.625575 0.06149977
  0.6194314 0.06225058
  0.6132845 0.0629801
  0.6071341 0.06368851
  0.6009796 0.06437606
  0.5948203 0.06504298
  0.5886554 0.0656898
  0.5824841 0.06631733
  0.576306 0.06692637
  0.5701207 0.0675177
  0.5639282 0.06809208
  0.5577285 0.06865026
  0.551522 0.06919304
  0.5453087 0.06972122
  0.5390889 0.07023562
  0.5328628 0.07073706
  0.5266306 0.07122632
  0.5203926 0.07170404
  0.5141492 0.07217081
  0.5079011 0.07262721
  0.501649 0.0730738
  0.4953941 0.07351112
  0.4891375 0.07393926
  0.4828798 0.07435811
  0.476622 0.07476757
  0.4703644 0.07516757
  0.4641072 0.07555806
  0.4578507 0.07593891
  0.4515947 0.07630999
  0.4453392 0.07667113
  0.439084 0.0770222
  0.4328288 0.07736305
  0.4265734 0.07769357
  0.4203175 0.07801368
  0.4140615 0.07832333
  0.4078056 0.0786224
  0.4015505 0.07891082
  0.3952971 0.07918836
  0.3890462 0.07945455
  0.3827981 0.07970887
  0.3765528 0.07995085
  0.3703099 0.08018
  0.3640687 0.08039593
  0.3578284 0.08059847
  0.3515887 0.08078746
  0.3453497 0.08096275
  0.3391116 0.08112417
  0.3328754 0.08127148
  0.3266417 0.08140416
  0.3204114 0.08152163
  0.3141848 0.08162335
  0.3079625 0.08170875
  0.3017445 0.08177723
  0.2955311 0.08182797
  0.2893229 0.08186014
  0.2831206 0.08187291
  0.2769251 0.08186545
  0.2707375 0.08183682
  0.2645585 0.08178585
  0.2583881 0.08171136
  0.2522257 0.08161217
  0.24607 0.08148708
  0.2399198 0.08133517
  0.2337747 0.08115568
  0.2276361 0.08094794
  0.2215063 0.08071133
  0.2153891 0.08044496
  0.2092876 0.08014698
  0.2032032 0.07981529
  0.197135 0.07944776
  0.1910808 0.07904223
  0.1850377 0.07859728
  0.1790048 0.07811197
  0.1729836 0.07758559
  0.1669779 0.07701759
  0.1609933 0.07640637
  0.1550355 0.07574941
  0.1491101 0.0750443
  0.1432218 0.07428877
  0.1373762 0.0734792
  0.1315796 0.07261107
  0.1258396 0.07168048
  0.1201647 0.07068398
  0.114564 0.06961604
  0.1090459 0.06847014
  0.1036166 0.06724033
  0.09828089 0.06592101
  0.09304288 0.06450591
  0.08790358 0.06298821
  0.08286107 0.06136058
  0.07791154 0.05961668
  0.07305084 0.05775246
  0.06827464 0.05576323
  0.06357839 0.05364358
  0.05895804 0.05139111
  0.05441316 0.04900641
  0.04994764 0.04649196
  0.04556853 0.0438526
  0.04128324 0.04109462
  0.0370986 0.03822464
  0.03302352 0.03525226
  0.02908439 0.03220363
  0.02532822 0.02912709
  0.02180871 0.02608639
  0.0185718 0.0231489
  0.01564242 0.02036888
  0.01304366 0.01779802
  0.01081615 0.01550717
  0.008953842 0.01352362
  0.00740276 0.01181737
  0.006093384 0.01033126
  0.00496661 0.009013249
  0.003980185 0.007825046
  0.003113371 0.006734818
  0.002366572 0.005721339
  0.001738073 0.00477672
  0.001219091 0.003896458
  0.0007972435 0.003076066
  0.0004684223 0.002311759
  0.0002289112 0.001593424
  7.432046e-05 0.0009077151
  3.932211e-06 0.0002411316
  2.19814e-05 -0.0004203854
  0.0001281129 -0.001089973
  0.0003208314 -0.001777705
  0.000604066 -0.002491265
  0.0009849797 -0.003234085
  0.001469786 -0.004000692
  0.002066784 -0.00478584
  0.002783253 -0.005587987
  0.003620666 -0.006408286
  0.00457542 -0.007255082
  0.005652852 -0.008142907
  0.006879946 -0.009082826
  0.00829404 -0.01008755
  0.009941428 -0.0111715
  0.01187236 -0.01234618
  0.01413454 -0.01361469
  0.01676038 -0.01497157
  0.01977105 -0.01640962
  0.02318971 -0.01791425
  0.02701403 -0.01945803
  0.03121619 -0.02100992
  0.03574667 -0.02253898
  0.04053644 -0.02401956
  0.04552287 -0.02543169
  0.05065439 -0.02675839
  0.05589468 -0.02799126
  0.0612235 -0.02912691
  0.06662572 -0.03016403
  0.07209022 -0.0311032
  0.07761052 -0.03194613
  0.083184 -0.0326954
  0.08881196 -0.03335452
  0.09449842 -0.0339292
  0.1002467 -0.03442598
  0.1060588 -0.03485146
  0.1119352 -0.03521259
  0.1178748 -0.03551681
  0.1238742 -0.03577205
  0.1299268 -0.03598613
  0.1360254 -0.03616452
  0.1421628 -0.03631234
  0.1483328 -0.03643506
  0.1545294 -0.03653715
  0.1607474 -0.03662105
  0.1669811 -0.03668914
  0.1732253 -0.03674382
  0.1794749 -0.03678638
  0.1857265 -0.0368168
  0.1919785 -0.03683502
  0.1982312 -0.03684102
  0.2044863 -0.0368351
  0.2107455 -0.03681797
  0.2170099 -0.03679035
  0.2232798 -0.03675296
  0.2295547 -0.03670652
  0.2358339 -0.03665161
  0.2421169 -0.03658886
  0.2484029 -0.03651886
  0.2546913 -0.0364422
  0.2609814 -0.03635918
  0.2672728 -0.03626996
  0.273565 -0.03617471
  0.2798579 -0.03607358
  0.2861514 -0.03596673
  0.2924456 -0.03585429
  0.2987405 -0.03573642
  0.3050364 -0.03561324
  0.3113336 -0.03548489
  0.3176325 -0.03535157
  0.3239334 -0.03521358
  0.3302361 -0.03507122
  0.3365405 -0.0349248
  0.3428459 -0.03477463
