FX 69-PR-281
  1.0 0.0
  0.9949813 0.003324134
  0.9889265 0.00643525
  0.9827595 0.00939368
  0.9764528 0.01226141
  0.9699413 0.01508501
  0.9631821 0.01790937
  0.9561651 0.02076978
  0.9489018 0.0236767
  0.9414059 0.02663248
  0.9337083 0.02962974
  0.9258804 0.03263939
  0.9179695 0.03560869
  0.9099236 0.03851765
  0.9016478 0.04144019
  0.893091 0.04448647
  0.8842346 0.04769755
  0.8750373 0.05102726
  0.8654375 0.05443628
  0.8553827 0.057938
  0.8448353 0.06155523
  0.8337958 0.0653089
  0.8223439 0.06920071
  0.8106157 0.07318313
  0.7986947 0.07720059
  0.7866004 0.08123132
  0.7743821 0.08525902
  0.762133 0.08924881
  0.7498848 0.09317662
  0.7375644 0.09705631
  0.7251201 0.1009154
  0.7126441 0.1047404
  0.7002734 0.108482
  0.687981 0.1121281
  0.6756028 0.1157255
  0.6630973 0.1193185
  0.6506806 0.1228751
  0.6386012 0.1263019
  0.6268585 0.1295597
  0.6152783 0.1326775
  0.6037153 0.1357056
  0.5921315 0.1386669
  0.5805694 0.141558
  0.5690758 0.1443699
  0.5576755 0.1470992
  0.5463838 0.1497423
  0.5352291 0.1522911
  0.5242533 0.1547347
  0.5134786 0.1570628
  0.5028689 0.1592762
  0.4923377 0.1613877
  0.4818075 0.1634235
  0.4712998 0.1653988
  0.4609431 0.1673077
  0.4508858 0.1691164
  0.4411627 0.1707976
  0.4317083 0.172346
  0.4224126 0.1737752
  0.413207 0.175107
  0.4040865 0.1763534
  0.3950986 0.1775168
  0.386294 0.1785874
  0.3776755 0.1795577
  0.3692037 0.1804258
  0.3608141 0.1811976
  0.3524637 0.1818899
  0.3441563 0.1825162
  0.3359393 0.1830867
  0.3278834 0.1835999
  0.3200342 0.1840449
  0.3124017 0.1844147
  0.3049708 0.184705
  0.297715 0.1849175
  0.2906134 0.1850572
  0.283653 0.1851286
  0.2768266 0.1851355
  0.2701321 0.1850819
  0.2635734 0.1849722
  0.25716 0.1848113
  0.250905 0.1846041
  0.2448227 0.1843545
  0.2389219 0.1840599
  0.2331992 0.1837156
  0.2276424 0.1833176
  0.2222336 0.1828621
  0.2169524 0.1823466
  0.2117806 0.181774
  0.2067068 0.1811487
  0.2017248 0.1804748
  0.1968324 0.1797565
  0.1920307 0.1789981
  0.1873224 0.1782019
  0.1827089 0.1773691
  0.1781905 0.1765008
  0.1737667 0.1755983
  0.1694359 0.1746625
  0.1651963 0.1736941
  0.1610458 0.172693
  0.1569816 0.1716589
  0.1530006 0.1705915
  0.1490991 0.1694903
  0.1452734 0.1683547
  0.1415194 0.1671847
  0.1378338 0.1659814
  0.134214 0.1647463
  0.130658 0.1634806
  0.1271647 0.162186
  0.1237331 0.1608641
  0.1203632 0.1595162
  0.1170547 0.1581431
  0.1138074 0.156745
  0.1106206 0.1553222
  0.1074934 0.1538748
  0.1044245 0.1524027
  0.1014126 0.1509061
  0.09845634 0.1493848
  0.09555456 0.147839
  0.09270616 0.146269
  0.08991015 0.1446749
  0.08716564 0.1430569
  0.08447178 0.1414152
  0.08182783 0.1397499
  0.0792331 0.1380613
  0.0766869 0.1363498
  0.07418842 0.1346154
  0.07173682 0.1328582
  0.06933121 0.1310781
  0.06697069 0.129275
  0.06465421 0.1274488
  0.06238036 0.1256
  0.06014793 0.1237296
  0.05795598 0.1218386
  0.05580385 0.1199282
  0.05369111 0.1179998
  0.05161751 0.1160547
  0.04958307 0.1140945
  0.04758839 0.1121201
  0.04563406 0.1101321
  0.0437205 0.108131
  0.041848 0.1061173
  0.04001672 0.1040912
  0.03822673 0.1020529
  0.03647802 0.1000027
  0.03477056 0.09794066
  0.03310434 0.09586715
  0.03147927 0.09378228
  0.02989526 0.09168615
  0.02835219 0.0895788
  0.02684991 0.08746021
  0.02538827 0.08533031
  0.02396689 0.08318925
  0.02258543 0.08103731
  0.02124359 0.07887487
  0.01994117 0.07670238
  0.01867804 0.07452039
  0.0174541 0.07232951
  0.01626937 0.07013041
  0.01512455 0.06792354
  0.01402067 0.06570899
  0.01295863 0.06348655
  0.01193918 0.06125577
  0.01096301 0.0590159
  0.01003073 0.05676595
  0.009142907 0.05450469
  0.008299445 0.05223115
  0.007499783 0.04994484
  0.006743503 0.04764542
  0.006030337 0.0453327
  0.005360152 0.04300661
  0.004732928 0.04066727
  0.004148747 0.03831491
  0.003607347 0.0359499
  0.00310762 0.0335724
  0.002648332 0.03118227
  0.002228252 0.02877898
  0.001846166 0.02636168
  0.001500898 0.02392908
  0.00119133 0.02147951
  0.0009164492 0.01901078
  0.0006760365 0.01652058
  0.0004706915 0.01400821
  0.0003012453 0.01147551
  0.0001685682 0.008927188
  7.336414e-05 0.006370955
  1.594911e-05 0.003817482
  -3.961217e-06 0.001279985
  1.269047e-05 -0.001226588
  6.653381e-05 -0.00368745
  0.0001596912 -0.006092236
  0.0002935657 -0.008435967
  0.0004690568 -0.01071785
  0.0006868537 -0.01294011
  0.0009476744 -0.01510698
  0.001252387 -0.01722397
  0.001601103 -0.01929649
  0.001993358 -0.02132865
  0.002428888 -0.02332357
  0.002907591 -0.02528362
  0.003429478 -0.02721055
  0.003994635 -0.02910554
  0.004603156 -0.03096937
  0.005254558 -0.03280252
  0.005947912 -0.03460542
  0.006682449 -0.03637856
  0.007457577 -0.03812243
  0.008272883 -0.03983752
  0.009128135 -0.04152434
  0.01002327 -0.04318338
  0.01095787 -0.04481557
  0.01193107 -0.0464221
  0.01294198 -0.04800399
  0.01398973 -0.049562
  0.01507344 -0.05109672
  0.01619219 -0.05260852
  0.01734501 -0.0540976
  0.01853122 -0.0555638
  0.01975088 -0.05700649
  0.02100426 -0.05842509
  0.02229177 -0.05981909
  0.02361401 -0.06118802
  0.02497178 -0.06253147
  0.02636608 -0.06384907
  0.02779802 -0.06514068
  0.02926799 -0.06640734
  0.03077603 -0.06765036
  0.03232211 -0.06887092
  0.03390606 -0.07007001
  0.03552757 -0.07124851
  0.03718614 -0.07240716
  0.03888104 -0.07354654
  0.04061193 -0.07466676
  0.04237911 -0.07576749
  0.04418304 -0.07684846
  0.04602428 -0.07790941
  0.04790356 -0.07895014
  0.04982176 -0.07997047
  0.05177999 -0.08097027
  0.05377955 -0.08194972
  0.05582164 -0.08290984
  0.05790727 -0.08385175
  0.06003727 -0.08477654
  0.06221215 -0.08568523
  0.06443206 -0.08657883
  0.06669665 -0.08745829
  0.06900517 -0.08832424
  0.07135743 -0.08917561
  0.07375366 -0.09001069
  0.07619432 -0.0908278
  0.07868017 -0.09162527
  0.08121235 -0.09240146
  0.08379245 -0.09315474
  0.0864226 -0.09388363
  0.08910505 -0.09458753
  0.091842 -0.09526618
  0.09463566 -0.09591926
  0.09748817 -0.09654637
  0.1004016 -0.09714705
  0.1033779 -0.09772078
  0.1064188 -0.09826694
  0.1095263 -0.09878479
  0.1127028 -0.09927353
  0.1159506 -0.09973239
  0.1192723 -0.1001606
  0.1226708 -0.1005573
  0.1261492 -0.1009219
  0.1297112 -0.1012533
  0.1333605 -0.1015505
  0.1371007 -0.1018125
  0.140935 -0.1020381
  0.1448663 -0.1022262
  0.1488965 -0.1023755
  0.1530276 -0.1024836
  0.1572623 -0.1025465
  0.1616058 -0.1025603
  0.1660658 -0.1025203
  0.1706542 -0.102421
  0.1753881 -0.1022576
  0.1802881 -0.1020288
  0.1853752 -0.1017348
  0.1906683 -0.1013762
  0.1961815 -0.1009552
  0.2019209 -0.1004738
  0.2078881 -0.09992801
  0.2140882 -0.09931209
  0.2205338 -0.09861904
  0.2272508 -0.09784016
  0.2342772 -0.09696943
  0.2416492 -0.09600419
  0.249389 -0.09494523
  0.2574921 -0.09379749
  0.2659331 -0.09255934
  0.2746968 -0.09122369
  0.2837981 -0.08977811
  0.2932857 -0.08821113
  0.3031952 -0.08652086
  0.31351 -0.08471679
  0.3241536 -0.08281003
  0.3350749 -0.08079457
  0.3463158 -0.07864676
  0.3580005 -0.07635331
  0.370208 -0.0739355
  0.3828801 -0.07143988
  0.395886 -0.06887587
  0.4091978 -0.06621434
  0.4229052 -0.0634272
  0.4370415 -0.06052713
  0.4514775 -0.05755719
  0.465987 -0.05456175
  0.4803559 -0.05158648
  0.494512 -0.04868046
  0.5086124 -0.04585121
  0.5228947 -0.04304781
  0.5373595 -0.04023431
  0.55174 -0.03744811
  0.5658716 -0.03474401
  0.5798253 -0.03212531
  0.5936876 -0.0295669
  0.6074064 -0.02706651
  0.620857 -0.02465098
  0.6339546 -0.02234665
  0.6466818 -0.02016852
  0.6591293 -0.01811581
  0.6714817 -0.01616667
  0.6838675 -0.014272
  0.6961859 -0.01240574
  0.708185 -0.01060008
  0.7197657 -0.008906044
  0.7310187 -0.007337179
  0.742062 -0.00587238
  0.7529248 -0.004494781
  0.7635669 -0.003202015
  0.7739416 -0.002000151
  0.7840218 -0.0008924342
  0.7938035 0.0001204838
  0.8033133 0.001040949
  0.8125964 0.001875621
  0.8216641 0.002641518
  0.8304516 0.003352343
  0.8388578 0.004006625
  0.8468492 0.004579141
  0.8544815 0.005053181
  0.8618466 0.00543697
  0.8690022 0.005783335
  0.8759501 0.006141666
  0.8826618 0.006530982
  0.8891417 0.006892285
  0.8954564 0.007162541
  0.9017137 0.007296747
  0.9080169 0.007322115
  0.9144023 0.007296219
  0.9208259 0.007271577
  0.9272094 0.007238925
  0.9335235 0.00716109
  0.9397902 0.00701311
  0.9460331 0.006803941
  0.9522411 0.006548356
  0.9583819 0.006245095
  0.9644348 0.005880701
  0.9703996 0.005426763
  0.9763112 0.00483501
  0.9822407 0.004066028
  0.9882728 0.003093002
  0.9945009 0.001883701
  1.0 0.0
