FX 72-LS-160
  1.0 0.0
  0.9962581 0.001285837
  0.9916978 0.002851087
  0.9868609 0.004507021
  0.9817372 0.00625899
  0.9763223 0.008119726
  0.9706105 0.01008063
  0.9646043 0.01213699
  0.9583162 0.01429432
  0.9517601 0.01654902
  0.9449502 0.01888718
  0.9379046 0.02129826
  0.9306496 0.02377564
  0.9232177 0.0263118
  0.9156395 0.02890096
  0.9079367 0.03153925
  0.9001253 0.03421839
  0.8922242 0.03692746
  0.8842553 0.03965903
  0.8762366 0.0424112
  0.8681779 0.04518366
  0.8600821 0.04797192
  0.8519499 0.05077013
  0.8437822 0.05357448
  0.8355829 0.05638498
  0.8273587 0.05920133
  0.8191188 0.06202221
  0.8108714 0.06484613
  0.8026225 0.06767236
  0.7943759 0.07050071
  0.7861339 0.07333085
  0.7778992 0.07616241
  0.7696742 0.07899499
  0.7614612 0.0818281
  0.7532623 0.08466127
  0.7450794 0.08749396
  0.7369144 0.0903239
  0.7287709 0.09314689
  0.7206546 0.09595799
  0.7125734 0.09875171
  0.7045356 0.1015229
  0.6965484 0.1042669
  0.6886176 0.1069798
  0.6807481 0.1096577
  0.6729445 0.1122964
  0.6652117 0.1148921
  0.6575547 0.1174408
  0.6499781 0.1199383
  0.6424865 0.1223794
  0.6350845 0.1247594
  0.6277762 0.1270742
  0.6205653 0.1293193
  0.6134521 0.1314897
  0.6064335 0.1335818
  0.5995032 0.1355935
  0.5926532 0.1375236
  0.5858745 0.1393721
  0.5791583 0.1411396
  0.572496 0.1428266
  0.565879 0.1444333
  0.5592988 0.1459602
  0.5527475 0.1474089
  0.5462174 0.148781
  0.5397009 0.150078
  0.5331902 0.1513009
  0.5266774 0.1524509
  0.5201558 0.1535302
  0.5136205 0.1545414
  0.5070685 0.1554861
  0.500499 0.1563659
  0.4939129 0.1571816
  0.4873122 0.1579337
  0.4806989 0.1586221
  0.4740756 0.1592469
  0.4674446 0.1598085
  0.4608085 0.1603068
  0.4541697 0.1607413
  0.4475296 0.1611113
  0.4408893 0.1614162
  0.4342488 0.1616554
  0.4276076 0.1618285
  0.4209646 0.1619352
  0.4143183 0.1619753
  0.407667 0.1619483
  0.4010082 0.1618538
  0.3943392 0.1616917
  0.3876572 0.1614623
  0.3809592 0.1611664
  0.3742424 0.1608041
  0.3675039 0.1603759
  0.3607411 0.1598824
  0.3539528 0.1593252
  0.3471403 0.158706
  0.3403073 0.158027
  0.3334599 0.1572903
  0.3266054 0.1564967
  0.3197502 0.1556465
  0.3128994 0.1547398
  0.3060567 0.1537769
  0.2992244 0.1527576
  0.2924044 0.1516819
  0.285598 0.1505495
  0.2788062 0.1493603
  0.2720296 0.1481142
  0.2652691 0.1468114
  0.2585263 0.1454528
  0.2518039 0.1440393
  0.2451058 0.1425722
  0.2384362 0.1410523
  0.2317991 0.1394799
  0.225198 0.1378555
  0.2186357 0.1361795
  0.212115 0.1344524
  0.205638 0.1326747
  0.199207 0.130847
  0.192824 0.1289699
  0.1864912 0.1270445
  0.1802126 0.1250726
  0.1739941 0.1230571
  0.1678434 0.1210014
  0.1617695 0.1189088
  0.15578 0.1167809
  0.1498802 0.1146187
  0.1440728 0.1124228
  0.1383594 0.1101943
  0.1327435 0.1079367
  0.127231 0.1056545
  0.1218303 0.1033536
  0.1165507 0.1010397
  0.1114004 0.09871648
