FX 73-CL2-152
  1.0 0.0
  0.9972824 0.002846668
  0.9934944 0.005347279
  0.9895313 0.00762572
  0.9854168 0.009801582
  0.9811366 0.01191268
  0.9766876 0.0139761
  0.9720645 0.01600662
  0.9672613 0.01801635
  0.9622709 0.0200108
  0.9570874 0.02199513
  0.9517055 0.02397423
  0.9461225 0.02595308
  0.9403394 0.0279348
  0.9343597 0.02991998
  0.9281913 0.03190862
  0.9218432 0.03389737
  0.9153233 0.03588216
  0.9086364 0.03786062
  0.9017879 0.03983221
  0.8947866 0.04179637
  0.8876447 0.04375123
  0.8803729 0.04569357
  0.8729775 0.04762157
  0.8654608 0.04953602
  0.8578284 0.05143907
  0.850092 0.0533319
  0.8422679 0.05521251
  0.834369 0.05707701
  0.8264017 0.05892311
  0.8183669 0.06075102
  0.8102659 0.06256229
  0.802104 0.06435794
  0.7938889 0.06613786
  0.7856274 0.06790116
  0.7773226 0.06964762
  0.7689744 0.07137811
  0.7605833 0.07309441
  0.7521543 0.0747977
  0.743697 0.07648807
  0.7352216 0.07816308
  0.7267332 0.07982014
  0.7182299 0.08145794
  0.7097052 0.08307749
  0.701154 0.08468156
  0.6925756 0.08627227
  0.6839736 0.08785079
  0.6753534 0.0894168
  0.6667194 0.0909698
  0.6580746 0.0925096
  0.6494203 0.09403619
  0.640758 0.0955495
  0.6320894 0.09704932
  0.6234172 0.09853539
  0.6147438 0.1000071
  0.6060711 0.1014637
  0.5974003 0.1029047
  0.5887317 0.1043298
  0.5800656 0.1057389
  0.5714028 0.1071318
  0.5627448 0.1085083
  0.5540937 0.1098679
  0.5454519 0.1112099
  0.5368221 0.1125337
  0.5282071 0.1138382
  0.5196102 0.1151225
  0.5110339 0.116385
  0.5024801 0.1176245
  0.4939505 0.1188396
  0.4854464 0.1200294
  0.4769691 0.1211925
  0.4685205 0.122328
  0.4601026 0.1234347
  0.4517178 0.1245115
  0.443369 0.1255575
  0.4350595 0.1265716
  0.4267934 0.1275527
  0.4185758 0.1284996
  0.4104146 0.1294105
  0.4023196 0.1302838
  0.3943023 0.1311172
  0.3863732 0.1319059
  0.3785404 0.1326452
  0.3708097 0.1333312
  0.3631846 0.1339602
  0.3556662 0.1345277
  0.3482525 0.1350293
  0.340939 0.1354613
  0.3337194 0.1358206
  0.3265862 0.1361051
  0.3195315 0.136313
  0.3125462 0.1364425
  0.3056211 0.1364916
  0.2987467 0.1364599
  0.2919146 0.1363481
  0.2851183 0.136157
  0.2783521 0.1358869
  0.2716118 0.1355384
  0.264895 0.1351133
  0.2582022 0.1346138
  0.2515363 0.1340421
  0.244903 0.1334008
  0.2383095 0.1326907
  0.2317633 0.1319121
  0.2252714 0.1310655
  0.2188405 0.1301518
  0.212477 0.1291704
  0.2061847 0.1281193
  0.1999644 0.1269965
  0.1938147 0.1257993
  0.1877318 0.1245258
  0.1817124 0.1231758
  0.1757538 0.121749
  0.1698543 0.1202453
  0.1640125 0.118665
  0.1582283 0.11701
  0.1525021 0.1152826
  0.1468359 0.1134856
  0.1412323 0.1116222
  0.1356954 0.1096971
  0.1302313 0.1077161
  0.124848 0.1056859
  0.1195548 0.1036141
  0.1143624 0.1015073
  0.1092816 0.09937189
  0.1043224 0.09721492
  0.09949381 0.09504329
  0.09480391 0.09286239
  0.09025872 0.09067665
  0.08586184 0.08849005
  0.08161477 0.08630617
  0.07751771 0.08412927
  0.07357111 0.08196461
  0.06977561 0.07981772
  0.06613136 0.07769398
  0.06263826 0.0755975
  0.05929571 0.07352995
  0.05610122 0.07149222
  0.0530508 0.06948469
  0.05013939 0.06750738
  0.04736161 0.0655602
  0.04471227 0.06364331
  0.04218626 0.06175691
  0.03977846 0.05990121
  0.03748372 0.05807631
  0.03529746 0.05628186
  0.03321589 0.0545167
  0.03123501 0.05277959
  0.02935061 0.0510693
  0.0275584 0.04938463
  0.02585409 0.04772443
  0.02423354 0.0460879
  0.02269278 0.04447464
  0.021228 0.04288418
  0.01983552 0.04131604
  0.01851184 0.0397697
  0.0172536 0.03824462
  0.01605764 0.03674029
  0.014921 0.03525649
  0.01384101 0.03379323
  0.01281523 0.03235061
  0.01184137 0.03092879
  0.01091726 0.02952792
  0.01004086 0.02814816
  0.009210178 0.02678962
  0.008423489 0.02545234
  0.007679171 0.02413602
  0.006975516 0.02284012
  0.006310785 0.0215639
  0.00568326 0.0203065
  0.005091275 0.01906697
  0.00453324 0.0178443
  0.004007685 0.01663748
  0.00351391 0.01544556
  0.003051977 0.01426801
  0.002622058 0.01310485
  0.002224325 0.01195646
  0.001858885 0.01082354
  0.001525727 0.009706945
  0.001224681 0.00860766
  0.0009554283 0.007526703
  0.0007183085 0.00646512
  0.0005141978 0.005423129
  0.0003435778 0.004399714
  0.0002067348 0.003392954
  0.0001039681 0.002400279
  3.575705e-05 0.001418608
  2.908853e-06 0.0004444083
  6.674688e-06 -0.0005262838
  4.830942e-05 -0.001496821
  0.0001291804 -0.00246923
  0.0002512313 -0.003444728
  0.0004169121 -0.004423735
  0.0006290777 -0.005405795
  0.000890848 -0.006389451
  0.001205365 -0.007372099
  0.001574141 -0.008350559
  0.001996597 -0.009321996
  0.002471861 -0.01028372
  0.00299896 -0.01123317
  0.003576906 -0.01216796
  0.004204792 -0.01308585
  0.00488196 -0.01398494
  0.005608311 -0.01486433
  0.006383924 -0.01572331
  0.007208871 -0.01656095
  0.008083177 -0.01737613
  0.009006777 -0.01816745
  0.009979465 -0.01893329
  0.01100112 -0.01967242
  0.01207191 -0.02038441
  0.01319197 -0.0210689
  0.01436138 -0.02172553
  0.01558018 -0.02235394
  0.0168483 -0.02295375
  0.0181658 -0.02352471
  0.01953396 -0.02406732
  0.0209546 -0.02458251
  0.02242953 -0.0250714
  0.02396053 -0.02553536
  0.02554926 -0.02597608
  0.02719719 -0.02639563
  0.02890649 -0.0267955
  0.03068068 -0.02717618
  0.03252359 -0.02753832
  0.03443928 -0.0278829
  0.03643203 -0.0282113
  0.0385063 -0.02852545
  0.040667 -0.02882702
  0.04292003 -0.02911621
  0.04527172 -0.0293932
  0.04772877 -0.02965843
  0.05029812 -0.0299127
  0.05298685 -0.03015723
  0.05580242 -0.03039211
  0.05875269 -0.03061605
  0.06184576 -0.0308276
  0.06508992 -0.03102523
  0.06849368 -0.03120738
  0.07206583 -0.03137201
  0.07581496 -0.03151644
  0.07974895 -0.03163769
  0.08387474 -0.0317326
  0.08819819 -0.03179768
  0.09272408 -0.03182835
  0.09745629 -0.0318194
  0.1023985 -0.03176519
  0.1075553 -0.03165995
  0.1129322 -0.03149985
  0.1185331 -0.03128236
  0.1243587 -0.03100566
  0.1304068 -0.03066846
  0.1366731 -0.03026873
  0.1431532 -0.02980473
  0.149844 -0.02927528
  0.156745 -0.02868061
  0.1638537 -0.02802303
  0.1711637 -0.02730644
  0.1786635 -0.02653551
  0.1863386 -0.0257134
  0.1941738 -0.02484359
  0.2021552 -0.02392995
  0.2102704 -0.02297551
  0.2185091 -0.02198291
  0.2268647 -0.02095476
  0.2353324 -0.01989472
  0.2439044 -0.01880813
  0.2525667 -0.01770149
  0.2613003 -0.01658042
  0.270087 -0.01544715
  0.2789146 -0.0143029
  0.2877772 -0.01314829
  0.2966719 -0.01198451
  0.3055945 -0.01081314
  0.3145398 -0.009635953
  0.3235009 -0.00845448
  0.3324705 -0.007270096
  0.3414407 -0.006084251
  0.3504035 -0.004899018
  0.3593526 -0.003717451
  0.3682842 -0.002542389
  0.3771971 -0.001376237
  0.3860917 -0.0002204968
  0.394969 0.0009237645
  0.4038301 0.002055537
  0.4126767 0.00317403
  0.4215105 0.004278913
  0.4303335 0.005369937
  0.4391475 0.006446883
  0.4479546 0.007509874
  0.4567555 0.008559269
  0.4655497 0.009595288
  0.4743357 0.01061794
  0.4831109 0.01162661
  0.4918723 0.01262043
  0.5006166 0.0135985
  0.5093404 0.01455974
  0.5180414 0.01550247
  0.5267191 0.01642513
  0.535375 0.0173264
  0.5440123 0.01820554
  0.5526325 0.01906246
  0.5612355 0.01989687
  0.5698186 0.02070831
  0.5783784 0.02149551
  0.5869132 0.02225681
  0.5954238 0.02299076
  0.6039133 0.02369625
  0.6123852 0.02437307
  0.6208412 0.02502126
  0.62928 0.02564068
  0.6376985 0.02623079
  0.6460936 0.02679013
  0.6544651 0.02731721
  0.6628155 0.02781074
  0.6711496 0.02827026
  0.6794705 0.02869662
  0.6877779 0.0290906
  0.6960681 0.02945279
  0.7043351 0.02978256
  0.7125729 0.03007849
  0.7207761 0.03033924
  0.7289402 0.03056344
  0.7370625 0.03074893
  0.7451432 0.03089348
  0.7531853 0.03099498
  0.7611934 0.03105229
  0.7691696 0.03106548
  0.7771117 0.03103468
  0.7850138 0.03095971
  0.792871 0.03083856
  0.8006837 0.03066859
  0.8084583 0.03044726
  0.8162034 0.03017523
  0.8239216 0.02985638
  0.8316071 0.02949496
  0.8392465 0.02909428
  0.8468214 0.02865541
  0.8543109 0.02817975
  0.8616929 0.0276671
  0.8689533 0.0271112
  0.8760911 0.02650469
  0.8831153 0.02584174
  0.8900336 0.02512282
  0.8968436 0.02435069
  0.9035348 0.02352782
  0.9100981 0.02265196
  0.9165332 0.02171934
  0.9228468 0.02072827
  0.9290428 0.01968425
  0.9351167 0.01859493
  0.9410572 0.01746632
  0.9468499 0.01630145
  0.9524802 0.0151032
  0.957939 0.01386553
  0.9632331 0.01257601
  0.9683805 0.01122671
  0.9733871 0.009823956
  0.9782385 0.008373602
  0.9829325 0.006849378
  0.9875156 0.005227996
  0.9920183 0.003583063
  0.996332 0.001793067
  1.0 0.0
