74-130 WP2
  1.0 0.0
  0.9971678 0.0009995847
  0.9933228 0.0020352
  0.9887985 0.003127026
  0.9837162 0.00429937
  0.9782311 0.005518278
  0.9724562 0.006767797
  0.9664987 0.00804019
  0.9604448 0.009328274
  0.9543436 0.01062901
  0.9482213 0.01193674
  0.9420957 0.01324733
  0.9359802 0.01456006
  0.9298864 0.01587516
  0.9238221 0.01719457
  0.9177864 0.01852306
  0.9117679 0.01986731
  0.9057501 0.02123133
  0.8997236 0.0226151
  0.8936892 0.0240163
  0.8876551 0.02543217
  0.8816275 0.02686176
  0.8756066 0.02830555
  0.8695874 0.02976488
  0.8635633 0.03124
  0.8575314 0.0327301
  0.851492 0.03423347
  0.8454487 0.03574817
  0.8394052 0.037273
  0.8333637 0.03880721
  0.8273249 0.04035042
  0.8212881 0.04190264
  0.8152527 0.04346389
  0.8092189 0.04503409
  0.8031872 0.04661297
  0.7971589 0.0482003
  0.7911353 0.04979623
  0.7851177 0.05140097
  0.7791071 0.05301483
  0.7731042 0.05463811
  0.7671092 0.05627114
  0.7611211 0.05791448
  0.7551379 0.05956899
  0.7491564 0.06123589
  0.7431721 0.0629155
  0.7371817 0.06460464
  0.7311852 0.06629856
  0.7251866 0.06799138
  0.7191938 0.06967613
  0.7132174 0.0713449
  0.7072657 0.0729901
  0.7013428 0.07460557
  0.6954485 0.0761865
  0.689579 0.07772929
  0.6837276 0.07923193
  0.6778881 0.08069371
  0.6720559 0.08211361
  0.6662273 0.08349025
  0.6604 0.08482193
  0.6545727 0.08610695
  0.6487449 0.08734448
  0.6429155 0.088534
  0.6370827 0.08967506
  0.6312444 0.09076727
  0.6253976 0.09181034
  0.6195397 0.09280505
  0.6136684 0.09375266
  0.6077827 0.09465426
  0.601882 0.09551074
  0.5959669 0.09632286
  0.5900385 0.09709124
  0.5840982 0.09781638
  0.578147 0.09849883
  0.5721861 0.09913915
  0.5662164 0.09973795
  0.5602388 0.1002959
  0.5542538 0.1008135
  0.5482615 0.1012915
  0.5422615 0.1017305
  0.536253 0.1021311
  0.5302346 0.1024941
  0.5242049 0.1028205
  0.5181624 0.1031119
  0.5121067 0.1033698
  0.5060376 0.1035958
  0.4999561 0.1037913
  0.4938636 0.1039578
  0.4877618 0.1040959
  0.4816529 0.1042063
  0.4755391 0.1042896
  0.4694229 0.1043464
  0.4633071 0.1043773
  0.4571942 0.1043823
  0.4510857 0.104361
  0.4449816 0.1043128
  0.438881 0.1042372
  0.4327815 0.1041337
  0.4266799 0.1040021
  0.4205734 0.1038433
  0.414461 0.1036578
  0.4083428 0.1034467
  0.4022206 0.1032107
  0.3960973 0.1029506
  0.3899763 0.1026663
  0.3838596 0.1023574
  0.3777481 0.1020236
  0.3716415 0.1016645
  0.3655384 0.1012796
  0.3594369 0.1008688
  0.3533357 0.1004324
  0.3472345 0.09997041
  0.3411335 0.09948306
  0.3350339 0.09897062
  0.3289371 0.09843312
  0.3228442 0.09787042
  0.3167558 0.09728236
  0.3106718 0.09666869
  0.3045918 0.09602916
  0.2985148 0.09536359
  0.2924407 0.09467195
  0.2863693 0.09395424
  0.2803014 0.09321055
  0.2742382 0.09244098
  0.2681809 0.09164535
  0.2621309 0.09082328
  0.2560886 0.08997434
  0.2500546 0.08909806
  0.2440286 0.08819394
  0.2380104 0.08726155
  0.2319998 0.08630048
  0.2259964 0.0853103
  0.22 0.08429058
  0.2140105 0.08324096
  0.2080281 0.08216119
  0.2020533 0.08105111
  0.1960873 0.0799107
  0.1901319 0.07873991
  0.1841889 0.07753826
  0.1782597 0.07630505
  0.1723453 0.07503952
  0.1664463 0.07374083
  0.1605631 0.07240806
  0.1546961 0.07104027
  0.1488456 0.06963655
  0.143012 0.06819597
  0.1371961 0.06671757
  0.1313995 0.06520048
  0.1256246 0.06364411
  0.1198746 0.06204808
  0.1141528 0.06041147
  0.1084615 0.0587327
  0.1028011 0.05700977
  0.09717093 0.05524033
  0.09157226 0.05342273
  0.08601059 0.05155681
  0.08049545 0.04964378
  0.07503889 0.04768321
  0.06965033 0.04567257
  0.06433529 0.04360848
  0.05909614 0.04148735
  0.05393309 0.03930548
  0.04884465 0.03705854
  0.04383763 0.0347458
  0.03895064 0.03238264
  0.03425092 0.0300002
  0.02980804 0.02761956
  0.02565786 0.025248
  0.02181315 0.02289592
  0.01830853 0.02060609
  0.01518553 0.0184336
  0.01248353 0.01641595
  0.01022079 0.01458314
  0.008356563 0.01294076
  0.006819542 0.01146604
  0.005535198 0.0101225
  0.004444827 0.008878117
  0.003507551 0.00770885
  0.002703274 0.006602721
  0.002023934 0.0055638
  0.001459474 0.004598885
  0.0009953187 0.0037098
  0.0006217025 0.002892946
  0.000338463 0.002136986
  0.0001414494 0.00142563
  2.759094e-05 0.000743233
  -2.159103e-06 7.51911e-05
  5.709424e-05 -0.000591942
  0.000206646 -0.001262685
  0.0004511764 -0.001934895
  0.0008017212 -0.002600442
  0.001274632 -0.003241243
  0.001884694 -0.003841727
  0.002640321 -0.004404339
  0.003545415 -0.004937768
  0.00459391 -0.005459832
  0.005783201 -0.005989886
  0.007143556 -0.006532939
  0.008718116 -0.007095302
  0.01056289 -0.007690486
  0.01274761 -0.00833028
  0.01534245 -0.009012562
  0.01841012 -0.009729388
