FX 75-VG-166/22
  1.0 0.0
  0.9978414 0.001687072
  0.9947096 0.002213179
  0.9915427 0.002994294
  0.9882179 0.003863066
  0.9845569 0.004705359
  0.9805269 0.005605641
  0.9761599 0.006591367
  0.9714664 0.007626418
  0.9664147 0.008693628
  0.9609972 0.009800744
  0.9552788 0.01094
  0.9493431 0.01208097
  0.943214 0.01320488
  0.9368915 0.01432651
  0.9304526 0.01546187
  0.9240439 0.01658483
  0.9177528 0.01763857
  0.911571 0.01859079
  0.9054453 0.01948155
  0.8993249 0.02038687
  0.8931606 0.02137995
  0.8868948 0.02247808
  0.8804719 0.023646
  0.8738513 0.02483772
  0.8670212 0.02602026
  0.8600189 0.02719479
  0.8529405 0.02835987
  0.8459298 0.02951147
  0.8390862 0.03066154
  0.8324068 0.03183688
  0.8258097 0.03307469
  0.81918 0.03439719
  0.8124663 0.03579815
  0.8057199 0.0372486
  0.7990968 0.0386999
  0.7927554 0.04013885
  0.7867306 0.04158731
  0.7809688 0.04307981
  0.7753714 0.04466036
  0.7698144 0.04635767
  0.7641878 0.04817034
  0.7584121 0.05008741
  0.7524421 0.05208177
  0.7462873 0.05410268
  0.7400242 0.05611745
  0.7337426 0.05812656
  0.7275095 0.06013985
  0.7213631 0.06217483
  0.715312 0.0642465
  0.7093362 0.06633518
  0.7034058 0.0684146
  0.6974853 0.07046199
  0.6915326 0.0724569
  0.6855002 0.0743858
  0.679352 0.07625931
  0.673072 0.07808936
  0.6666677 0.0798815
  0.660177 0.08163454
  0.6536662 0.08333726
  0.6471922 0.08496866
  0.6407749 0.08651613
  0.6343993 0.08797633
  0.6280194 0.08935225
  0.6215644 0.09065622
  0.6149719 0.09191009
  0.6082104 0.09313064
  0.6012906 0.09432822
  0.5942805 0.0955055
  0.5872881 0.09664639
  0.5803877 0.09772655
  0.5735976 0.09873204
  0.5668886 0.09965708
  0.5601937 0.100502
  0.5534342 0.1012806
  0.5465556 0.1020087
  0.5395371 0.1026979
  0.5324004 0.103357
  0.5252155 0.103988
  0.5180574 0.1045792
  0.5109641 0.1051201
  0.5039347 0.1056043
  0.4969337 0.1060279
  0.4899039 0.1063938
  0.4828006 0.106711
  0.4756056 0.1069869
  0.4683315 0.1072283
  0.4610247 0.1074401
  0.4537413 0.1076181
  0.4465115 0.1077556
  0.4393354 0.1078474
  0.432186 0.1078886
  0.4250178 0.1078785
  0.4177948 0.1078223
  0.4105046 0.1077254
  0.4031618 0.1075943
  0.3958083 0.1074343
  0.3884914 0.1072433
  0.3812342 0.1070157
  0.3740337 0.1067462
  0.3668635 0.1064284
  0.3596832 0.1060605
  0.3524634 0.1056456
  0.3451932 0.105188
  0.3378821 0.1046929
  0.3305591 0.1041653
  0.3232537 0.1036048
  0.3159828 0.1030099
  0.3087502 0.1023781
  0.3015477 0.1017068
  0.2943635 0.1009943
  0.2871895 0.10024
  0.2800217 0.09944321
  0.2728602 0.09860381
  0.2657077 0.09772186
  0.2585671 0.0967975
  0.2514413 0.0958309
  0.2443331 0.09482229
  0.2372443 0.09377148
  0.2301742 0.09267779
  0.2231193 0.09154006
  0.2160735 0.09035679
  0.209033 0.08912779
  0.2020024 0.08785472
  0.1949957 0.08654117
  0.1880345 0.08519116
  0.181134 0.08380383
  0.1742921 0.08237446
  0.1674904 0.08089492
  0.1607012 0.07935869
  0.1539132 0.07776756
  0.1471428 0.0761302
  0.1404324 0.07446036
  0.1338244 0.0727628
  0.127329 0.0710321
  0.1209261 0.06925573
  0.1145827 0.06742413
  0.1082956 0.06554262
  0.102103 0.06362952
  0.0960707 0.06170621
  0.09024146 0.05977425
  0.08461155 0.05782161
  0.07914769 0.05583063
  0.07382555 0.05380074
  0.06866269 0.05175059
  0.0637072 0.04971063
  0.0590082 0.04769984
  0.05457911 0.04571823
  0.05040487 0.04375744
  0.04646 0.04181257
  0.04273436 0.0398966
  0.03923606 0.03803102
  0.03597717 0.03623728
  0.03296461 0.03452175
  0.03018954 0.03287766
  0.02763214 0.0312952
  0.02526935 0.02976451
  0.02307815 0.02828168
  0.02104065 0.0268491
  0.01914414 0.02547008
  0.0173783 0.02414753
  0.01573431 0.02288252
  0.01420728 0.02166982
  0.01279164 0.02050204
  0.0114802 0.01937253
  0.01026522 0.01827549
  0.009139117 0.017206
  0.008094979 0.01616026
  0.007126719 0.01513549
  0.006228798 0.01412934
  0.005396185 0.01313981
  0.004624324 0.01216517
  0.003909276 0.01120392
  0.003251086 0.01025439
  0.002652667 0.009314995
  0.002116154 0.008384672
  0.001642863 0.007462714
  0.001233389 0.006548688
  0.0008876186 0.00564246
  0.0006034019 0.004745654
  0.0003770613 0.003860004
  0.0002051742 0.002985586
  8.496374e-05 0.002121259
  1.449921e-05 0.001264974
  -7.155284e-06 0.0004139242
  2.025647e-05 -0.0004353742
  9.898252e-05 -0.001285161
  0.0002333275 -0.002135293
  0.0004290659 -0.002984297
  0.000693415 -0.003829187
  0.001034977 -0.00466508
  0.001461796 -0.005485949
  0.001973272 -0.006290301
  0.002565095 -0.007078523
  0.003231813 -0.007851115
  0.00396654 -0.008608715
  0.004761077 -0.009352123
  0.005612911 -0.01008211
  0.006525004 -0.0107995
  0.007500743 -0.01150535
  0.008543814 -0.01220112
  0.009658216 -0.0128887
  0.01084858 -0.01357057
  0.01212105 -0.01424969
  0.01348238 -0.01492982
  0.01493938 -0.01561579
  0.01649822 -0.01631386
  0.01816365 -0.01703147
  0.01994251 -0.01777101
  0.02184465 -0.01853055
  0.02388173 -0.01930748
  0.02606896 -0.0200989
  0.02842799 -0.02090287
  0.03098616 -0.02172404
  0.03377333 -0.02257155
  0.03681839 -0.02345713
  0.04014115 -0.02439411
  0.04374637 -0.02538193
  0.04762916 -0.02640515
  0.05179151 -0.02744623
  0.05626331 -0.02849515
  0.06108945 -0.02956105
  0.06629383 -0.03065643
  0.07184385 -0.03178592
  0.07765851 -0.03292688
  0.08367422 -0.03405201
  0.0898879 -0.03514789
  0.09633098 -0.03622355
  0.1030018 -0.03729002
  0.1098405 -0.0383489
  0.1167652 -0.03938411
  0.1237334 -0.04038166
  0.1307538 -0.04133716
  0.1378544 -0.04225753
  0.1450445 -0.04314965
  0.1523076 -0.04401701
  0.1596145 -0.0448572
  0.1669459 -0.04566728
  0.1742971 -0.04644621
  0.1816745 -0.04719537
  0.1890843 -0.04791714
  0.1965285 -0.04861352
  0.2040052 -0.04928599
  0.211509 -0.04993533
  0.2190307 -0.05056202
  0.226558 -0.05116633
  0.2340789 -0.05174683
  0.2415902 -0.05230141
  0.2490999 -0.05282871
  0.2566265 -0.05332866
  0.2641883 -0.0538049
  0.2717901 -0.05426153
  0.2794204 -0.05470182
  0.2870526 -0.05512675
  0.2946631 -0.05553253
  0.3022469 -0.05591547
  0.3098173 -0.0562729
  0.3174031 -0.05660465
  0.3250279 -0.05691522
  0.3326952 -0.057209
  0.3403863 -0.05748969
  0.3480632 -0.057758
  0.3556956 -0.05800853
  0.3632797 -0.05823602
  0.3708373 -0.05843607
  0.3784119 -0.05860681
  0.3860436 -0.05875401
  0.3937445 -0.05888464
  0.4014935 -0.05900546
  0.4092354 -0.05912119
  0.4169121 -0.05922585
  0.424502 -0.05931061
  0.4320205 -0.05936763
  0.4395152 -0.05939011
  0.4470467 -0.05938061
  0.4546503 -0.0593481
  0.4623242 -0.05930209
  0.4700244 -0.05925273
  0.4776763 -0.05920179
  0.4852291 -0.05913834
  0.4926768 -0.05905107
  0.5000521 -0.05892899
  0.507418 -0.05876438
  0.5148353 -0.05856442
  0.5223299 -0.05834069
  0.5298866 -0.05810659
  0.5374441 -0.05787629
  0.5449221 -0.05764765
  0.5522805 -0.05740589
  0.5595276 -0.05713597
  0.5667107 -0.05682224
  0.573906 -0.05645567
  0.5811762 -0.05604553
  0.5885409 -0.05560597
  0.5959675 -0.05515533
  0.6033678 -0.05471292
  0.6106453 -0.05427373
  0.6177662 -0.05381925
  0.6247568 -0.05332949
  0.6316901 -0.0527822
  0.6386698 -0.05216374
  0.6457732 -0.05148085
  0.6530123 -0.05074843
  0.6603149 -0.04999206
  0.6675245 -0.04924074
  0.6745002 -0.04848997
  0.6812086 -0.04771961
  0.6876952 -0.04690577
  0.6940524 -0.0460206
  0.7003942 -0.04505172
  0.7067949 -0.04401478
  0.7132584 -0.04293804
  0.7197102 -0.04186459
  0.7260063 -0.0408412
  0.7320129 -0.03985743
  0.7376985 -0.03887195
  0.7431025 -0.03784458
  0.7482961 -0.03673597
  0.7533671 -0.03550626
  0.7584151 -0.03414818
  0.7635294 -0.03267694
  0.7687877 -0.03111029
  0.7742586 -0.0294741
  0.7799969 -0.0278096
  0.7860235 -0.0261461
  0.7923166 -0.02447648
  0.7988132 -0.02279359
  0.8054019 -0.02109597
  0.8119434 -0.01940464
  0.8183545 -0.01777169
  0.8246377 -0.01623007
  0.8308619 -0.01479326
  0.83714 -0.01345109
  0.8435696 -0.01216642
  0.8501992 -0.01090881
  0.857008 -0.009658839
  0.8639016 -0.008423879
  0.8707629 -0.007230296
  0.8774834 -0.0061012
  0.8839888 -0.005060187
  0.8902894 -0.004131066
  0.8964769 -0.003324366
  0.9026987 -0.002636883
  0.9090766 -0.002029074
  0.9156059 -0.001460591
  0.9221215 -0.0009121215
  0.9284459 -0.0004167092
  0.934538 -3.942174e-06
  0.9404426 0.0003187304
  0.94618 0.0005620856
  0.9517165 0.0007353121
  0.9570026 0.0008410644
  0.9620123 0.0008801065
  0.966741 0.0008575883
  0.9711809 0.0007855335
  0.9753199 0.000675513
  0.9791588 0.0005177989
  0.9827151 0.0002894528
  0.9860101 3.188135e-06
  0.9890728 -0.0002254377
  0.9919678 -0.0003069734
  0.9948289 -0.0004829967
  0.9977086 -0.001004113
  1.0 0.0
