FX 76-MP-120
  1.0 0.0
  0.9973774 0.001584982
  0.9945855 0.003372472
  0.9913821 0.004813841
  0.9877319 0.006274116
  0.9837899 0.007831986
  0.9795551 0.009406442
  0.9748898 0.01104769
  0.9697485 0.01283173
  0.9642559 0.01473379
  0.9585211 0.01669583
  0.9525531 0.0187071
  0.9463653 0.02076954
  0.9400133 0.02287022
  0.9335549 0.02499162
  0.9270206 0.0271254
  0.9204223 0.02926986
  0.9137711 0.03142367
  0.9070797 0.03358522
  0.9003594 0.03575327
  0.8936191 0.03792745
  0.886865 0.04010697
  0.8801026 0.04228976
  0.873338 0.04447355
  0.866577 0.04665676
  0.8598236 0.04883947
  0.8530779 0.05102295
  0.846337 0.05320913
  0.8395967 0.05539904
  0.8328537 0.0575931
  0.8261062 0.05979131
  0.8193541 0.06199309
  0.8126004 0.06419679
  0.8058517 0.06639959
  0.7991181 0.06859732
  0.7924094 0.07078385
  0.7857322 0.07295338
  0.7790889 0.07510152
  0.7724784 0.07722519
  0.7658976 0.07932233
  0.7593436 0.08139106
  0.7528134 0.0834295
  0.7463046 0.08543578
  0.7398149 0.08740833
  0.7333423 0.08934582
  0.7268852 0.09124691
  0.7204417 0.09311025
  0.7140104 0.09493458
  0.7075897 0.09671896
  0.7011776 0.09846263
  0.6947716 0.1001649
  0.6883689 0.1018253
  0.6819665 0.1034436
  0.6755621 0.1050202
  0.6691541 0.1065551
  0.6627416 0.1080482
  0.6563244 0.1094992
  0.6499027 0.1109078
  0.6434764 0.1122736
  0.637045 0.1135967
  0.6306075 0.1148768
  0.6241625 0.116114
  0.6177087 0.1173086
  0.611245 0.1184612
  0.6047708 0.119572
  0.5982862 0.1206413
  0.5917914 0.1216692
  0.5852869 0.122656
  0.5787729 0.1236017
  0.5722494 0.1245067
  0.565716 0.1253712
  0.559172 0.1261956
  0.5526169 0.1269805
  0.5460507 0.1277261
  0.5394742 0.128433
  0.5328886 0.1291014
  0.5262959 0.1297317
  0.5196979 0.1303236
  0.5130958 0.130877
  0.5064899 0.1313919
  0.4998797 0.1318683
  0.4932641 0.1323063
  0.4866419 0.1327064
  0.4800125 0.133069
  0.4733763 0.1333944
  0.4667341 0.1336832
  0.4600879 0.1339354
  0.4534393 0.134151
  0.4467901 0.1343299
  0.4401418 0.1344719
  0.4334954 0.1345768
  0.426852 0.1346447
  0.4202121 0.1346751
  0.4135759 0.1346678
  0.4069432 0.1346225
  0.4003133 0.1345388
  0.3936854 0.1344166
  0.3870589 0.1342559
  0.3804337 0.1340568
  0.3738107 0.1338194
  0.3671911 0.1335436
  0.3605767 0.1332296
  0.3539691 0.1328768
  0.3473698 0.132485
  0.3407796 0.1320538
  0.3341992 0.1315828
  0.3276293 0.1310717
  0.32107 0.1305199
  0.3145217 0.129927
  0.3079847 0.1292925
  0.3014589 0.1286158
  0.2949446 0.1278967
  0.2884421 0.1271347
  0.2819521 0.1263295
  0.275475 0.1254808
  0.2690118 0.1245882
  0.2625634 0.1236513
  0.2561307 0.1226698
  0.2497145 0.1216433
  0.2433159 0.1205714
  0.236936 0.1194536
  0.2305763 0.1182894
  0.2242384 0.1170785
  0.2179243 0.1158204
  0.2116359 0.1145148
  0.2053745 0.1131608
  0.1991406 0.1117575
  0.1929337 0.1103038
  0.1867533 0.1087988
  0.1805998 0.1072419
  0.1744754 0.1056331
  0.1683842 0.1039731
  0.1623312 0.1022623
  0.1563214 0.1005002
  0.1503575 0.09868579
  0.1444407 0.09681788
  0.1385711 0.09489495
  0.1327498 0.0929161
  0.1269796 0.09088115
  0.1212648 0.08879058
  0.1156111 0.08664485
  0.1100238 0.08444374
  0.1045068 0.08218684
  0.09906309 0.07987354
  0.09369567 0.07750345
  0.08840899 0.07507703
  0.08320871 0.07259571
  0.07810169 0.07006164
  0.07309614 0.06747756
  0.06820073 0.06484715
  0.06342428 0.06217505
  0.05877764 0.05946757
  0.05427526 0.05673429
  0.04993326 0.05398769
  0.04576865 0.0512418
  0.0417992 0.04851215
  0.03804012 0.04581543
  0.03450245 0.04316752
  0.03119722 0.04058455
  0.02813338 0.03808382
  0.02531309 0.0356801
  0.02273172 0.03338258
  0.02037852 0.03119446
  0.01823743 0.02911459
  0.01628977 0.02713879
  0.01451807 0.02526184
  0.01290932 0.02348112
  0.01145192 0.02179546
  0.01013389 0.02020297
  0.008942772 0.01870026
  0.007867115 0.01728133
  0.00689521 0.01593716
  0.006015148 0.01465805
  0.005216078 0.01343487
  0.004488591 0.01225954
  0.003824855 0.01112507
  0.003220035 0.01002624
  0.002671841 0.008961229
  0.002178677 0.007930526
  0.0017388 0.006935648
  0.001349922 0.0059782
  0.001009136 0.005059334
  0.0007153813 0.00417944
  0.0004711399 0.003336297
  0.000277283 0.002524625
  0.0001339265 0.001737812
  4.15063e-05 0.0009687609
  1.464871e-06 0.0002100343
  1.653015e-05 -0.0005460237
  8.849291e-05 -0.001303776
  0.0002196944 -0.00206432
  0.0004144548 -0.002826937
  0.0006788153 -0.00358872
  0.001020133 -0.004343855
  0.001445269 -0.005083821
  0.001954533 -0.005803498
  0.002544873 -0.006499762
  0.003212063 -0.007169721
  0.003950859 -0.007810765
  0.004755527 -0.008420731
  0.005625301 -0.008999813
  0.006563899 -0.009550127
  0.007575232 -0.01007419
  0.008662848 -0.01057511
  0.009829159 -0.01105685
  0.01107642 -0.01152232
  0.01241045 -0.0119699
  0.01383815 -0.01239725
  0.01536716 -0.01280215
  0.01700626 -0.0131827
  0.01876662 -0.0135373
  0.02066337 -0.01386373
  0.02271421 -0.01415962
  0.0249387 -0.01442295
  0.02735828 -0.01465273
  0.02999693 -0.01484679
  0.03288074 -0.014999
  0.0360337 -0.01510299
  0.0394791 -0.0151537
  0.04324353 -0.01514587
  0.04735105 -0.01507275
  0.05181532 -0.01493034
  0.05663604 -0.01471764
  0.06179795 -0.01443118
  0.06727554 -0.01406986
  0.07304776 -0.01363593
  0.07909545 -0.0131354
  0.08538647 -0.01257934
  0.09187565 -0.01198079
  0.0985136 -0.01134815
  0.1052582 -0.0106893
  0.1120805 -0.0100103
  0.1189605 -0.009314351
  0.1258848 -0.00860395
  0.1328466 -0.007881706
  0.13984 -0.007151435
  0.1468573 -0.006417424
  0.1538886 -0.005683686
  0.1609243 -0.004952282
  0.1679578 -0.00422455
  0.1749859 -0.003501486
  0.1820076 -0.002783953
  0.1890226 -0.002072822
  0.1960308 -0.001368938
  0.2030322 -0.0006730829
  0.2100272 1.412219e-05
  0.2170161 0.0006921109
  0.2239998 0.001360342
  0.2309791 0.002018404
  0.237955 0.002666101
  0.2449284 0.003303253
  0.2519003 0.003929676
  0.2588714 0.004545248
  0.2658422 0.005149948
  0.2728127 0.005743728
  0.2797825 0.006326502
  0.2867506 0.00689809
  0.2937165 0.00745817
  0.3006805 0.008006457
  0.3076435 0.00854273
  0.3146073 0.009066884
  0.3215739 0.009579251
  0.3285443 0.01008027
  0.3355188 0.01057029
  0.3424967 0.01104963
  0.3494769 0.01151835
  0.3564581 0.01197631
  0.3634396 0.01242342
  0.370421 0.01285958
  0.3774024 0.01328476
  0.3843841 0.01369897
  0.3913667 0.01410228
  0.3983511 0.01449476
  0.4053383 0.01487647
  0.4123296 0.01524767
  0.4193257 0.01560877
