FX 77-W-270S
  1.0 0.0124
  0.9948771 0.01402453
  0.9886677 0.01571192
  0.9821636 0.01746447
  0.9753676 0.01929025
  0.9682778 0.02119681
  0.9608988 0.02317898
  0.9532314 0.02522567
  0.9452835 0.02733862
  0.9370743 0.02951921
  0.9286274 0.03176702
  0.9199636 0.03407468
  0.9111013 0.03642682
  0.9020586 0.03881089
  0.8928502 0.04121906
  0.8834873 0.04365281
  0.8739835 0.0461246
  0.8643529 0.04864117
  0.8546079 0.05119304
  0.8447627 0.0537686
  0.8348363 0.05636159
  0.8248518 0.05896687
  0.8148309 0.06157527
  0.8047819 0.0641764
  0.7946971 0.06676574
  0.7845662 0.06934905
  0.7743878 0.07193262
  0.7641692 0.07451932
  0.7539247 0.07710854
  0.7436739 0.07969834
  0.733437 0.08228957
  0.7232198 0.08488865
  0.7130109 0.08750503
  0.7027922 0.09013955
  0.6925589 0.09278487
  0.6823241 0.09543081
  0.6721077 0.09807633
  0.6619172 0.1007274
  0.651745 0.1033917
  0.6415759 0.1060673
  0.6314011 0.1087464
  0.6212211 0.1114196
  0.6110433 0.1140827
  0.6008769 0.1167341
  0.5907306 0.1193726
  0.5806138 0.1220007
  0.5705352 0.1246232
  0.5605024 0.1272449
  0.5505198 0.1298631
  0.5405869 0.1324682
  0.5307012 0.1350509
  0.52086 0.1376065
  0.5110713 0.1401366
  0.5013568 0.1426406
  0.4917488 0.1451134
  0.4822773 0.1475417
  0.4729578 0.1499129
  0.4637937 0.1522187
  0.4547816 0.1544568
  0.4459243 0.156628
  0.4372324 0.1587317
  0.4287217 0.1607652
  0.4204076 0.1627194
  0.4123013 0.1645836
  0.4044101 0.1663498
  0.3967375 0.1680114
  0.3892793 0.1695567
  0.3820194 0.1709748
  0.3749337 0.172259
  0.3679932 0.1734047
  0.361169 0.1744131
  0.3544381 0.1752906
  0.347782 0.1760419
  0.3411856 0.1766703
  0.3346365 0.1771781
  0.3281253 0.1775698
  0.3216449 0.1778509
  0.3151911 0.1780261
  0.3087619 0.1780996
  0.3023576 0.178075
  0.2959792 0.1779538
  0.2896277 0.177737
  0.2833044 0.1774259
  0.2770107 0.1770213
  0.2707481 0.176524
  0.2645177 0.1759339
  0.2583201 0.1752509
  0.2521549 0.1744745
  0.2460214 0.1736044
  0.2399183 0.1726418
  0.2338454 0.1715889
  0.2278042 0.1704484
  0.2217971 0.1692229
  0.215828 0.1679152
  0.2099013 0.1665275
  0.204021 0.1650613
  0.1981908 0.1635187
  0.192414 0.1619016
  0.1866937 0.1602125
  0.1810334 0.1584541
  0.1754368 0.1566298
  0.1699082 0.1547431
  0.1644522 0.1527974
  0.1590736 0.1507959
  0.1537772 0.148742
  0.1485677 0.1466389
  0.1434493 0.1444904
  0.1384264 0.1422997
  0.1335024 0.1400695
  0.1286797 0.1378023
  0.12396 0.1355004
  0.1193436 0.1331665
  0.1148308 0.130805
  0.1104226 0.1284215
  0.1061209 0.1260218
  0.1019281 0.1236123
  0.09784724 0.1211981
  0.09388125 0.118782
  0.09003112 0.1163659
  0.08629635 0.1139511
  0.08267522 0.1115386
  0.07916446 0.1091303
  0.07576066 0.1067308
  0.07246159 0.1043451
  0.06926584 0.1019784
  0.06617249 0.09963605
  0.06318181 0.09732151
  0.06029501 0.09503486
  0.05751169 0.09277507
  0.05483011 0.09054055
  0.05224758 0.08832932
  0.04976061 0.08613943
  0.04736378 0.08397134
  0.04505177 0.08182727
  0.04282031 0.07970979
  0.04066593 0.07762167
  0.03858573 0.07556566
  0.03657744 0.07354414
  0.03464161 0.07155664
  0.03277919 0.06960082
  0.03098996 0.06767395
  0.02927295 0.06577306
  0.02762662 0.06389511
  0.02604911 0.06203704
  0.02453655 0.06019731
  0.0230827 0.05837707
  0.02168217 0.05657809
  0.02033045 0.05480242
  0.01902376 0.05305226
  0.01775885 0.05132987
  0.01653304 0.04963737
  0.01534778 0.04797468
  0.0142085 0.04633877
  0.01311955 0.04472618
  0.01208419 0.04313332
  0.01110481 0.04155656
  0.01018319 0.03999228
  0.009320605 0.03843694
  0.008514513 0.0368887
  0.007757587 0.03534841
  0.007043009 0.03381744
  0.006364761 0.03229743
  0.005717487 0.03079019
  0.005096395 0.02929769
  0.004497185 0.02782195
  0.003916552 0.02636498
  0.003358667 0.0249277
  0.002832067 0.02350999
  0.002344293 0.02211131
  0.001901919 0.02073087
  0.001510704 0.01936763
  0.001175731 0.01802039
  0.0009009708 0.01668783
  0.000682764 0.01536857
  0.0005128765 0.01406129
  0.0003836822 0.01276483
  0.0002881709 0.01147814
  0.0002198676 0.01020024
  0.0001727651 0.008930276
  0.0001412669 0.007667437
  0.0001201394 0.006410993
  0.0001044708 0.005160271
  8.963573e-05 0.003914651
  7.126564e-05 0.00267356
  4.522232e-05 0.001436469
  7.575556e-06 0.0002028848
  -4.386418e-05 -0.001027216
  -0.0001010531 -0.002251097
  -0.0001522549 -0.003465228
  -0.0001862116 -0.004666461
  -0.0001920484 -0.005851971
  -0.0001591452 -0.00701921
  -7.698688e-05 -0.008165844
  6.500802e-05 -0.009289701
  0.0002776853 -0.01038872
  0.0005723874 -0.01146088
  0.0009612334 -0.01250416
  0.001454687 -0.01351748
  0.002040821 -0.01450831
  0.002695499 -0.01548824
  0.003393001 -0.0164689
  0.004105522 -0.01746199
  0.00480578 -0.01847795
  0.005490562 -0.0195153
  0.006170187 -0.02056627
  0.006855965 -0.02162273
  0.007560131 -0.02267635
  0.008295928 -0.02371853
  0.009077758 -0.02474038
  0.009921263 -0.02573277
  0.01083528 -0.02669157
  0.01181703 -0.02762036
  0.0128624 -0.02852336
  0.01396665 -0.02940494
  0.01512419 -0.03026964
  0.0163283 -0.0311223
  0.017571 -0.03196795
  0.01884764 -0.03280964
  0.02015899 -0.03364774
  0.02150629 -0.0344826
  0.02289091 -0.03531474
  0.02431444 -0.03614484
  0.02577872 -0.03697382
  0.02728591 -0.03780284
  0.02883799 -0.03863285
  0.03043654 -0.0394645
  0.03208316 -0.04029841
  0.03377936 -0.0411353
  0.0355266 -0.04197589
  0.03732621 -0.04282098
  0.03917938 -0.04367133
  0.04108786 -0.04452704
  0.0430541 -0.04538763
  0.04508074 -0.04625257
  0.04717067 -0.04712127
  0.04932707 -0.04799313
  0.05155354 -0.0488675
  0.05385406 -0.04974392
  0.05623267 -0.0506226
  0.05869358 -0.05150398
  0.06124116 -0.05238855
  0.06388004 -0.05327689
  0.06661511 -0.05416972
  0.06945157 -0.05506792
  0.07239501 -0.05597285
  0.07545114 -0.05688619
  0.07862558 -0.05780991
  0.08192376 -0.0587463
  0.0853508 -0.05969806
  0.08891181 -0.06066674
  0.09261262 -0.06165141
  0.09645942 -0.06265068
  0.1004589 -0.06366288
  0.1046185 -0.06468619
  0.1089466 -0.06571949
  0.1134514 -0.06676307
  0.1181405 -0.06781731
  0.12302 -0.06888258
  0.1280944 -0.06995889
  0.1333673 -0.07104413
  0.1388415 -0.07213494
  0.1445205 -0.07322774
  0.1504085 -0.07431902
  0.15651 -0.07540719
  0.1628274 -0.07649188
  0.1693592 -0.07757265
  0.1760996 -0.07864847
  0.18304 -0.07971508
  0.1901725 -0.08076708
  0.1974916 -0.08179941
  0.2049951 -0.08280939
  0.2126781 -0.08379817
  0.2205292 -0.08476733
  0.2285292 -0.08571764
  0.236655 -0.08664382
  0.2448867 -0.08753825
  0.2532099 -0.088394
  0.2616165 -0.08920585
  0.2701012 -0.08997029
  0.278661 -0.0906841
  0.2872949 -0.09134515
  0.2960019 -0.09195524
  0.3047795 -0.0925173
  0.313623 -0.09303436
  0.3225246 -0.09350897
  0.3314717 -0.09394324
  0.3404454 -0.09433933
  0.3494223 -0.09469698
  0.3583841 -0.09500941
  0.3673251 -0.09526938
  0.3762521 -0.09547064
  0.3851772 -0.0956134
  0.3941036 -0.09570209
  0.4030223 -0.0957411
  0.4119134 -0.09573267
  0.42076 -0.0956716
  0.429559 -0.09555142
  0.4383211 -0.09536581
  0.4470655 -0.09511429
  0.4558024 -0.09480424
  0.4645257 -0.09444394
  0.4732137 -0.09404157
  0.4818377 -0.09359562
  0.4903795 -0.09309841
  0.4988342 -0.09254223
  0.507208 -0.09191974
  0.5155122 -0.09122712
  0.5237562 -0.09046183
  0.5319476 -0.08962133
  0.5400918 -0.08870284
  0.5481938 -0.08770253
  0.5562596 -0.08661584
  0.5642971 -0.08543775
  0.5723159 -0.08416286
  0.5803301 -0.08278628
  0.5883621 -0.08130134
  0.5964448 -0.0796979
  0.6046236 -0.07796434
  0.6129495 -0.0761059
  0.6214554 -0.07414054
  0.6301442 -0.07209672
  0.6389791 -0.07000781
  0.6479 -0.06788748
  0.6568538 -0.06574267
  0.6658012 -0.06357823
  0.6747235 -0.06141259
  0.683624 -0.05927395
  0.6925244 -0.05718612
  0.70146 -0.05516016
  0.7104546 -0.0531836
  0.7195094 -0.0512447
  0.7286025 -0.04933824
  0.7377081 -0.04747295
  0.7468219 -0.04565866
  0.7559636 -0.04389953
  0.7651611 -0.04218594
  0.7744198 -0.04050414
  0.783716 -0.03884629
  0.7930141 -0.03722144
  0.8023037 -0.0356447
  0.8116045 -0.0341238
  0.8209442 -0.03264742
  0.8303267 -0.03119947
  0.8397289 -0.02977032
  0.8491168 -0.02836056
  0.8584581 -0.02697169
  0.8677236 -0.02559724
  0.8768895 -0.02422352
  0.8859389 -0.02283918
  0.8948588 -0.02144031
  0.9036372 -0.02002477
  0.9122656 -0.01858976
  0.9207433 -0.01713293
  0.929073 -0.01567186
  0.9372444 -0.0142394
  0.9452315 -0.01285322
  0.9530036 -0.01151708
  0.96054 -0.01024295
  0.9678411 -0.009040411
  0.9749022 -0.007884436
  0.9817096 -0.006776899
  0.9882901 -0.005771038
  0.994654 -0.004839097
  1.0 -0.00412
