FX 78-K-140/20
  1.0 0.0
  0.9981775 0.00117971
  0.9957208 0.001160041
  0.9928532 0.001230114
  0.9896421 0.001537935
  0.9859315 0.00179408
  0.9815743 0.002063438
  0.9766009 0.0024715
  0.9712002 0.002998365
  0.9655594 0.003606479
  0.9598106 0.004292262
  0.9540032 0.005055841
  0.9481507 0.00589289
  0.9422655 0.006797999
  0.9363589 0.0077661
  0.930438 0.008792465
  0.9245053 0.009873139
  0.9185605 0.01100496
  0.9126004 0.01218518
  0.9066216 0.0134109
  0.9006262 0.01467771
  0.8946243 0.01597933
  0.8886321 0.01731047
  0.8826597 0.01867096
  0.8767047 0.02006365
  0.870753 0.02149356
  0.8647879 0.02296214
  0.8588053 0.02446634
  0.8528159 0.02599916
  0.8468447 0.02755245
  0.8409146 0.02912588
  0.8350322 0.0307242
  0.8291885 0.03235632
  0.8233602 0.0340325
  0.8175214 0.03575548
  0.8116562 0.03752387
  0.8057597 0.03933293
  0.799839 0.04117443
  0.7939086 0.04304126
  0.787979 0.04492915
  0.7820542 0.04683578
  0.7761317 0.04876091
  0.7702031 0.05070506
  0.7642607 0.05266665
  0.7583011 0.0546424
  0.7523258 0.05662734
  0.7463411 0.0586148
  0.7403569 0.06059813
  0.734381 0.06257215
  0.7284177 0.06453295
  0.7224678 0.06647781
  0.7165287 0.06840516
  0.7105966 0.0703139
  0.7046694 0.0722025
  0.6987468 0.07406878
  0.6928306 0.07591
  0.6869244 0.07772279
  0.6810317 0.07950261
  0.6751538 0.08124521
  0.669289 0.08294726
  0.663433 0.08460623
  0.6575791 0.08622037
  0.6517199 0.08779002
  0.6458502 0.08931657
  0.6399679 0.09080062
  0.6340732 0.092242
  0.6281697 0.09363991
  0.6222627 0.0949925
  0.6163569 0.09629694
  0.6104542 0.09755095
  0.6045538 0.09875286
  0.5986524 0.0999015
  0.5927442 0.1009964
  0.586823 0.1020394
  0.5808846 0.1030329
  0.5749267 0.1039787
  0.5689493 0.1048785
  0.5629544 0.1057332
  0.5569459 0.1065436
  0.5509269 0.1073098
  0.5448996 0.1080322
  0.5388646 0.1087112
  0.5328216 0.1093476
  0.526769 0.1099422
  0.5207052 0.1104961
  0.5146296 0.1110105
  0.5085433 0.1114863
  0.5024485 0.1119245
  0.4963489 0.1123258
  0.4902489 0.1126902
  0.484151 0.113017
  0.478056 0.1133055
  0.4719627 0.1135553
  0.4658678 0.1137659
  0.4597666 0.1139377
  0.4536551 0.1140722
  0.4475315 0.114171
  0.4413959 0.114236
  0.435251 0.1142687
  0.4291016 0.1142705
  0.4229529 0.1142413
  0.4168084 0.1141803
  0.4106697 0.114087
  0.4045368 0.1139607
  0.3984074 0.1138007
  0.3922786 0.113607
  0.3861481 0.1133803
  0.3800149 0.1131208
  0.373879 0.1128293
  0.3677417 0.1125062
  0.3616052 0.1121517
  0.3554716 0.1117656
  0.3493427 0.1113475
  0.3432196 0.1108972
  0.3371032 0.1104143
  0.330994 0.1098986
  0.3248917 0.1093495
  0.3187958 0.1087666
  0.312705 0.1081494
  0.3066174 0.1074972
  0.3005309 0.1068096
  0.2944444 0.106087
  0.2883582 0.1053298
  0.2822745 0.1045387
  0.2761971 0.1037149
