FX 79-L-120
  1.0 0.0
  0.9976443 0.001199761
  0.9945887 0.001199408
  0.9915457 0.001513307
  0.9883949 0.001858897
  0.9849838 0.002089157
  0.981254 0.002326034
  0.9771855 0.002650461
  0.9727514 0.003030876
  0.9679218 0.003425717
  0.9626868 0.00384064
  0.9570632 0.004292793
  0.9510903 0.004781918
  0.9448236 0.00529734
  0.9383252 0.005831616
  0.9316586 0.006381827
  0.9248765 0.006946346
  0.9180176 0.007524869
  0.9111054 0.008118231
  0.9041506 0.0087261
  0.8971632 0.009346743
  0.890154 0.009978409
  0.8831325 0.01062042
  0.8761036 0.01127282
  0.8690672 0.01193588
  0.8620218 0.01260917
  0.8549693 0.01329169
  0.8479146 0.0139823
  0.8408633 0.01468098
  0.8338168 0.01538867
  0.8267712 0.01610679
  0.8197189 0.01683597
  0.8126545 0.01757523
  0.8055763 0.01832303
  0.7984875 0.01907753
  0.7913931 0.01983775
  0.7842974 0.02060332
  0.7772027 0.021374
  0.7701099 0.02214977
  0.7630187 0.02293088
  0.7559284 0.02371761
  0.7488377 0.02451037
  0.7417446 0.02530937
  0.7346476 0.02611438
  0.7275458 0.02692497
  0.7204389 0.02774065
  0.7133277 0.02856089
  0.7062129 0.02938535
  0.699095 0.03021372
  0.6919742 0.03104575
  0.6848504 0.0318811
  0.6777235 0.03271894
  0.6705929 0.03355822
  0.6634585 0.03439793
  0.6563199 0.03523706
  0.6491773 0.03607529
  0.6420323 0.03691269
  0.6348875 0.03774917
  0.6277472 0.03858448
  0.6206164 0.03941774
  0.6134993 0.04024713
  0.6063977 0.04107099
  0.5993115 0.0418879
  0.5922385 0.04269676
  0.5851757 0.04349713
  0.5781213 0.0442887
  0.5710751 0.04507102
  0.5640379 0.0458435
  0.5570119 0.04660521
  0.5499991 0.04735477
  0.5430011 0.04809084
  0.5360181 0.04881219
  0.5290501 0.04951768
  0.5220962 0.05020633
  0.5151553 0.05087726
  0.5082263 0.0515296
  0.501308 0.0521625
  0.4943989 0.05277517
  0.4874979 0.05336712
  0.4806037 0.05393802
  0.4737155 0.05448749
  0.4668326 0.05501514
  0.4599545 0.05552058
  0.4530808 0.05600344
  0.4462118 0.05646337
  0.439348 0.05689997
  0.4324905 0.05731284
  0.4256402 0.05770144
  0.418798 0.05806506
  0.4119636 0.05840302
  0.405136 0.05871468
  0.398313 0.05899945
  0.3914926 0.0592572
  0.3846729 0.05948805
  0.377853 0.0596921
  0.3710328 0.05986941
  0.3642129 0.06001998
  0.3573941 0.06014365
  0.3505771 0.0602402
  0.343762 0.06030944
  0.3369488 0.06035118
  0.3301369 0.06036533
  0.3233254 0.06035195
  0.3165133 0.06031111
  0.3096992 0.06024282
  0.3028812 0.06014715
  0.2960581 0.0600245
  0.2892302 0.05987543
  0.2823993 0.05970054
  0.275569 0.0595005
  0.2687439 0.05927535
  0.261927 0.0590244
  0.2551195 0.05874692
  0.2483202 0.05844206
  0.2415265 0.05810925
  0.2347362 0.05774852
  0.2279492 0.05736008
  0.2211671 0.05694427
  0.2143936 0.05650122
  0.2076325 0.05603037
  0.2008865 0.05553104
  0.1941577 0.05500249
  0.187447 0.05444399
  0.1807549 0.05385475
  0.1740815 0.05323395
  0.1674267 0.05258079
  0.1607906 0.05189466
  0.154176 0.05117549
  0.1475891 0.05042367
  0.1410392 0.04963984
  0.1345363 0.04882307
  0.1280875 0.04797156
  0.1216966 0.04708339
  0.1153657 0.0461572
  0.1091015 0.04519329
  0.1029172 0.04419337
  0.09683074 0.04315981
  0.09086306 0.04209403
  0.08503498 0.04099814
  0.07936603 0.03987516
  0.07387759 0.038729
  0.06859446 0.03756572
  0.06354043 0.0363928
  0.05873671 0.03521662
  0.05420063 0.03404361
  0.04994176 0.03288066
  0.04596215 0.0317327
  0.04225912 0.03060305
  0.03882424 0.02949508
  0.03564395 0.02841123
  0.0327032 0.027351
  0.02998606 0.0263134
  0.02747539 0.02529793
  0.02515366 0.02430415
  0.02300483 0.02333038
  0.02101406 0.02237442
  0.01916703 0.0214345
  0.01745037 0.02050923
  0.01585202 0.01959734
  0.01436286 0.01869707
  0.01297553 0.01780702
  0.01168328 0.01692641
  0.01047974 0.01605482
  0.009358876 0.01519207
  0.008315772 0.01433772
  0.007346797 0.01349043
  0.006447877 0.01264856
  0.00561476 0.01181039
  0.00484332 0.01097422
  0.004129727 0.01013838
  0.003471796 0.009301569
  0.002870441 0.008463664
  0.002327016 0.007625512
  0.0018426 0.006788643
  0.001417751 0.005955022
  0.001052346 0.005126842
  0.0007454317 0.004306923
  0.0004948589 0.003498797
  0.0002978391 0.0027037
