FX 79-W-660A
  1.0 0.04237
  0.9979073 0.05170173
  0.9961912 0.06198785
  0.9946988 0.07183817
  0.9932032 0.08111275
  0.9916162 0.08980284
  0.9898659 0.09799147
  0.9879101 0.1057857
  0.9857442 0.1132711
  0.9833625 0.1205095
  0.9807627 0.1275515
  0.9779955 0.1344527
  0.9751404 0.1412425
  0.972286 0.1479149
  0.969492 0.1544277
  0.966772 0.160732
  0.9641288 0.1668012
  0.96156 0.1726264
  0.9590498 0.1782111
  0.956562 0.1835611
  0.9540675 0.1886778
  0.9515463 0.1935602
  0.9489864 0.1982081
  0.9463783 0.2026134
  0.9436894 0.2067113
  0.9408728 0.2104432
  0.9378763 0.2137762
  0.9346385 0.2166857
  0.9310829 0.2191458
  0.9271724 0.2211936
  0.9229224 0.2229174
  0.9183632 0.224397
  0.9135565 0.2257136
  0.9085535 0.2269326
  0.9033573 0.2281023
  0.8979657 0.2292845
  0.892374 0.230553
  0.8865829 0.2319543
  0.8805939 0.2335231
  0.8744005 0.2353032
  0.8679717 0.2373245
  0.8612443 0.2395623
  0.8541488 0.2419679
  0.8466261 0.244478
  0.8386524 0.2470843
  0.8302192 0.2498036
  0.8213238 0.2526549
  0.8119676 0.2556459
  0.8021656 0.2587777
  0.7919482 0.2620447
  0.7813593 0.2654298
  0.7704536 0.2689107
  0.7592951 0.2724568
  0.7479654 0.2760289
  0.7365638 0.2796099
  0.7251669 0.2832575
  0.7137735 0.2870568
  0.7023114 0.2910158
  0.6907377 0.2950601
  0.6790902 0.2990996
  0.6674625 0.3030878
  0.6559447 0.3069937
  0.6446003 0.3107736
  0.6334513 0.3143731
  0.6224884 0.3177537
  0.6116813 0.3208941
  0.6009773 0.3237853
  0.5903019 0.3264258
  0.5795882 0.3288494
  0.5688124 0.3311013
  0.5579969 0.3332139
  0.5471857 0.3351891
  0.5364092 0.3370155
  0.5256799 0.3386859
  0.5149997 0.3401962
  0.50437 0.3415429
  0.4937941 0.3427225
  0.4832761 0.3437307
  0.4728192 0.3445623
  0.4624254 0.3452127
  0.4520944 0.3456768
  0.4418173 0.3459483
  0.4315736 0.3460208
  0.4213358 0.3458974
  0.4110892 0.3455996
  0.4008429 0.3451505
  0.3906279 0.3445689
  0.3804772 0.3438592
  0.3704126 0.3430241
  0.3604457 0.3420669
  0.3505919 0.3409941
  0.3408818 0.3398158
  0.3313592 0.3385399
  0.3220622 0.3371437
  0.3129948 0.3355919
  0.3041302 0.3338491
  0.2954254 0.3319003
  0.286849 0.3297523
  0.2783882 0.3274139
  0.2700462 0.3248939
  0.2618287 0.3221905
  0.2537304 0.3192954
  0.2457344 0.3161959
  0.2378129 0.3128902
  0.2299451 0.3093939
  0.2221282 0.3057308
  0.2143788 0.3019276
  0.206725 0.2979912
  0.1991851 0.2939189
  0.191765 0.2897023
  0.1844593 0.2853374
  0.1772621 0.2808289
  0.1701734 0.2761852
  0.163199 0.2714172
  0.1563492 0.2665332
  0.1496348 0.2615416
  0.1430662 0.2564513
  0.1366562 0.2512674
  0.1304149 0.245987
  0.1243457 0.2406019
  0.1184435 0.235102
  0.1126912 0.229493
  0.1070765 0.2237921
  0.1015956 0.2180248
  0.09625445 0.2122186
  0.09106544 0.2063947
  0.08603855 0.2005723
  0.08118111 0.1947687
  0.07650013 0.1889978
  0.0720016 0.183271
  0.067689 0.1775976
  0.06356306 0.1719862
  0.05962016 0.1664469
  0.05585571 0.1609915
  0.05226535 0.1556315
  0.04884524 0.1503769
  0.04559567 0.1452335
  0.04251733 0.1402038
  0.03960901 0.1352899
  0.03686804 0.1304922
  0.03429365 0.1258096
  0.03188632 0.1212376
  0.02964403 0.1167695
  0.02756306 0.1123976
  0.02563842 0.1081135
  0.02385636 0.1039131
  0.02219653 0.09979788
  0.02064153 0.09577128
  0.01917667 0.09183744
  0.01778937 0.08800082
  0.01646897 0.08426568
  0.01521098 0.08063343
  0.01401653 0.07710238
  0.01288636 0.07367045
  0.01182051 0.07033533
  0.01081844 0.06709448
  0.009879123 0.06394516
  0.009001277 0.06088452
  0.008184694 0.05790982
  0.007429239 0.05501744
  0.00673412 0.0522028
  0.006098149 0.04946081
  0.00551994 0.04678615
  0.004998042 0.0441735
  0.004531034 0.04161765
  0.004117488 0.03911358
  0.003752537 0.03665691
  0.003427572 0.03424481
  0.003134801 0.03187594
  0.002867346 0.02955006
  0.002619098 0.02726774
  0.002384627 0.02503009
  0.002159125 0.02283859
  0.001938373 0.02069487
  0.001718712 0.01860054
  0.001497022 0.01655709
  0.001270691 0.01456576
  0.001037592 0.01262751
  0.0008005634 0.01074264
  0.0005734704 0.008908913
  0.0003695493 0.007121148
