FX 84-W-127
  1.0 0.0
  0.9966365 0.00038329
  0.992443 0.0009238928
  0.9879376 0.001547042
  0.9831074 0.002276968
  0.9779477 0.003103045
  0.9725015 0.004014776
  0.9668149 0.005003737
  0.9609286 0.006064988
  0.9548767 0.0071934
  0.9486889 0.008381548
  0.9423934 0.009621158
  0.936014 0.01090583
  0.9295673 0.01223062
  0.9230625 0.01359136
  0.916509 0.0149833
  0.9099186 0.0164012
  0.9033019 0.01784177
  0.8966636 0.01930364
  0.8900009 0.02078655
  0.88331 0.02228895
  0.876592 0.02380765
  0.8698538 0.0253384
  0.8631044 0.02687849
  0.8563478 0.0284269
  0.8495828 0.02998377
  0.8428049 0.03154899
  0.8360128 0.03312086
  0.8292108 0.03469636
  0.8224079 0.03627144
  0.8156128 0.0378424
  0.8088291 0.03940683
  0.8020551 0.04096358
  0.7952852 0.04251311
  0.7885153 0.04405654
  0.7817456 0.04559413
  0.7749802 0.04712524
  0.7682256 0.04864769
  0.7614868 0.05015857
  0.754765 0.05165573
  0.7480582 0.05313777
  0.7413621 0.05460439
  0.7346722 0.05605614
  0.7279854 0.05749339
  0.7212997 0.05891619
  0.7146145 0.06032436
  0.7079299 0.06171762
  0.7012469 0.06309551
  0.6945673 0.06445747
  0.6878935 0.0658028
  0.6812279 0.06713027
  0.6745721 0.06843844
  0.667926 0.06972616
  0.6612883 0.07099253
  0.6546565 0.07223702
  0.6480277 0.07345984
  0.6413998 0.07466122
  0.6347715 0.07584127
  0.6281422 0.07699991
  0.6215119 0.07813693
  0.6148814 0.07925191
  0.608252 0.08034436
  0.6016253 0.08141372
  0.5950036 0.08245938
  0.5883893 0.08348038
  0.5817838 0.08447549
  0.575187 0.0854437
  0.5685973 0.08638421
  0.5620118 0.08729641
  0.555427 0.08818045
  0.5488396 0.089037
  0.542248 0.08986659
  0.535651 0.09066956
  0.5290491 0.09144612
  0.5224433 0.09219611
  0.5158356 0.09291912
  0.5092288 0.09361464
  0.5026264 0.09428216
  0.4960326 0.0949211
  0.4894515 0.09553022
  0.4828848 0.09610797
  0.4763319 0.09665305
  0.4697894 0.09716439
  0.4632514 0.09764111
  0.4567114 0.0980836
  0.4501645 0.09849301
  0.4436091 0.09887022
  0.4370459 0.09921595
  0.4304787 0.09953072
  0.4239129 0.09981405
  0.4173531 0.1000649
  0.4108028 0.1002822
  0.404264 0.1004653
  0.3977376 0.1006134
  0.3912233 0.1007258
  0.3847194 0.1008021
  0.378223 0.1008416
  0.3717298 0.1008436
  0.3652341 0.1008075
  0.358731 0.1007339
  0.3522194 0.1006236
  0.3457019 0.1004776
  0.3391854 0.1002971
  0.3326807 0.100083
  0.3261974 0.09983368
  0.3197398 0.0995473
  0.3133069 0.09922169
  0.3068923 0.0988544
