GEMINI (smoothed)
  1.0 0.00014
  0.9970805 0.001739977
  0.9937589 0.003181529
  0.9904151 0.004269178
  0.9869659 0.00506869
  0.9833272 0.005721497
  0.9794378 0.006402149
  0.9752638 0.007257202
  0.9707639 0.008287112
  0.9659102 0.009445169
  0.9607212 0.01066806
  0.9552587 0.01192408
  0.9495764 0.01318929
  0.9436901 0.0144552
  0.9375996 0.01573756
  0.9313172 0.01705689
  0.924872 0.01842989
  0.9183002 0.01984751
  0.9116335 0.02129134
  0.9048957 0.02274361
  0.8981025 0.02419353
  0.8912662 0.02563823
  0.8843955 0.02707607
  0.8774957 0.02850631
  0.8705691 0.02992932
  0.863618 0.0313459
  0.856645 0.03275683
  0.8496527 0.03416284
  0.8426442 0.03556434
  0.8356226 0.03696145
  0.8285906 0.03835433
  0.8215514 0.03974312
  0.8145077 0.04112773
  0.8074622 0.04250746
  0.8004173 0.04388158
  0.7933751 0.0452494
  0.7863379 0.04661025
  0.7793071 0.04796321
  0.7722838 0.04930728
  0.765268 0.05064158
  0.7582592 0.05196541
  0.7512559 0.05327823
  0.7442565 0.05457992
  0.7372597 0.05587051
  0.7302647 0.05714994
  0.7232711 0.05841805
  0.716279 0.05967461
  0.7092887 0.06091926
  0.7023008 0.06215158
  0.6953157 0.06337117
  0.6883337 0.06457764
  0.6813552 0.06577061
  0.6743804 0.06694966
  0.6674094 0.06811433
  0.6604424 0.06926414
  0.6534792 0.07039867
  0.6465197 0.0715175
  0.6395636 0.07262024
  0.6326106 0.07370655
  0.6256607 0.07477606
  0.6187141 0.07582837
  0.6117712 0.07686306
  0.6048327 0.07787967
  0.5978993 0.0788776
  0.5909716 0.07985609
  0.58405 0.08081443
  0.5771349 0.08175193
  0.570226 0.08266797
  0.5633234 0.08356193
  0.5564265 0.08443334
  0.5495348 0.0852818
  0.5426474 0.08610692
  0.5357632 0.08690833
  0.5288807 0.08768568
  0.5219985 0.08843882
  0.5151154 0.08916791
  0.5082309 0.08987302
  0.501345 0.0905542
  0.4944583 0.09121141
  0.4875719 0.09184456
  0.4806872 0.09245326
  0.4738053 0.09303701
  0.466927 0.09359536
  0.4600528 0.09412787
  0.4531827 0.09463418
  0.4463166 0.09511394
  0.4394543 0.09556683
  0.4325957 0.09599256
  0.425741 0.0963908
  0.4188904 0.09676123
  0.4120443 0.09710351
  0.4052035 0.09741719
  0.3983686 0.09770174
  0.3915407 0.09795664
  0.384721 0.09818139
  0.3779109 0.09837548
  0.3711118 0.09853832
  0.3643253 0.09866897
  0.3575522 0.09876648
  0.3507932 0.09882992
  0.3440486 0.0988584
  0.3373182 0.09885105
  0.3306018 0.09880706
  0.3238995 0.09872567
  0.3172114 0.09860615
  0.3105378 0.09844776
  0.3038795 0.09824979
  0.2972373 0.09801148
  0.2906122 0.09773192
  0.2840051 0.09741021
  0.277417 0.09704551
  0.2708489 0.09663701
  0.2643017 0.09618387
  0.2577762 0.09568517
  0.2512728 0.09513994
  0.2447914 0.09454718
  0.2383315 0.09390587
  0.2318923 0.09321497
  0.2254731 0.0924738
  0.219074 0.09168183
  0.2126963 0.09083867
  0.2063417 0.08994409
  0.200013 0.08899793
  0.1937132 0.08799963
  0.1874449 0.08694843
  0.18121 0.08584356
  0.1750098 0.08468421
  0.1688452 0.08346954
  0.1627173 0.0821988
  0.1566286 0.0808715
  0.1505823 0.07948753
  0.1445827 0.07804711
  0.1386349 0.07655031
  0.1327442 0.07499655
  0.1269152 0.07338528
  0.121152 0.07171607
  0.1154578 0.06998851
  0.1098365 0.06820196
  0.1042925 0.066356
  0.09883042 0.06445073
  0.09345535 0.06248676
  0.08817254 0.06046526
  0.08298711 0.05838783
  0.0779035 0.05625625
  0.07292537 0.05407245
  0.06805607 0.0518406
  0.06330371 0.04957169
  0.05868423 0.04728161
  0.05421822 0.04498947
  0.04992789 0.04271621
  0.04583902 0.04048543
  0.04197796 0.03832204
  0.03836385 0.0362475
  0.03500503 0.03427589
  0.03190173 0.03241104
  0.02904624 0.03065205
  0.0264241 0.0289952
  0.02401673 0.02743463
  0.02180542 0.02596191
  0.01977543 0.02456596
  0.01791235 0.02323755
  0.01620183 0.0219692
  0.01462994 0.02075466
  0.01318349 0.0195886
  0.01185059 0.01846607
  0.01062075 0.01738179
  0.009483999 0.01633072
  0.008431166 0.01530835
  0.007454059 0.01431072
  0.006545469 0.01333441
  0.005699099 0.01237645
  0.004909935 0.01143424
  0.004177892 0.01050531
  0.003505135 0.009588193
  0.00289331 0.00868239
  0.002343344 0.007788064
  0.001855362 0.006905759
  0.001428693 0.006036205
  0.001061933 0.00518018
  0.0007531343 0.004338656
  0.0005003029 0.003513832
  0.000301067 0.002706261
  0.0001531301 0.001914282
  5.489239e-05 0.001134821
  5.847023e-06 0.0003637682
  6.801146e-06 -0.0004039619
  5.770773e-05 -0.001173926
  0.0001579177 -0.001950767
  0.0003081285 -0.002737996
  0.0005101059 -0.003537935
  0.0007662825 -0.004351328
  0.001079144 -0.005176606
  0.001450642 -0.006010622
  0.001882298 -0.006851166
  0.002375047 -0.007696067
  0.002929184 -0.00854311
  0.003544386 -0.00939016
  0.004219807 -0.01023531
  0.004954252 -0.01107707
  0.005746475 -0.01191451
  0.006597294 -0.01274786
  0.00751086 -0.01357827
  0.008492134 -0.01440707
  0.009546648 -0.0152357
  0.01068048 -0.01606572
  0.01190009 -0.01689879
  0.01321203 -0.01773659
  0.01462272 -0.01858066
  0.01614045 -0.01943182
  0.01777485 -0.02029092
  0.0195361 -0.02115931
  0.02143482 -0.02203903
  0.02348189 -0.02293331
  0.02568858 -0.02384683
  0.02806967 -0.02478249
  0.03064323 -0.02574083
  0.03342814 -0.02672227
  0.03644323 -0.02772726
  0.03970674 -0.02875657
  0.04323686 -0.02981017
  0.04704944 -0.03088627
  0.05115441 -0.03198256
  0.05555418 -0.03309698
  0.06024458 -0.03422677
  0.06521397 -0.03536517
  0.07044049 -0.03650455
  0.0758956 -0.0376384
  0.08154988 -0.03876031
  0.08737185 -0.03986202
  0.09332746 -0.04093602
  0.09938401 -0.04197634
  0.105514 -0.04297658
  0.1116972 -0.04393037
  0.1179218 -0.04483308
  0.1241857 -0.04568199
  0.1304934 -0.04647782
  0.1368489 -0.04722288
  0.1432545 -0.04791917
  0.14971 -0.04856854
  0.1562138 -0.04917286
  0.1627643 -0.04973422
  0.1693604 -0.05025491
  0.176002 -0.05073743
  0.1826895 -0.05118436
  0.1894226 -0.05159831
  0.1961995 -0.05198186
  0.2030163 -0.05233765
  0.2098667 -0.05266829
  0.2167436 -0.05297502
  0.2236407 -0.0532582
  0.2305535 -0.05351833
  0.237479 -0.05375604
  0.2444159 -0.05397203
  0.2513638 -0.05416683
  0.258322 -0.05434096
  0.2652896 -0.05449492
  0.2722653 -0.05462926
  0.2792477 -0.05474437
  0.2862353 -0.05484041
  0.2932265 -0.05491745
  0.3002198 -0.05497563
  0.307214 -0.05501508
  0.3142076 -0.05503585
  0.3211999 -0.05503779
  0.3281909 -0.05502072
  0.3351811 -0.05498445
  0.3421723 -0.05492877
  0.3491665 -0.05485359
  0.3561659 -0.05475935
  0.3631714 -0.05464658
  0.3701832 -0.05451584
  0.3772 -0.05436773
  0.3842198 -0.05420281
  0.3912399 -0.05402115
  0.3982587 -0.05382258
  0.4052756 -0.05360692
  0.4122909 -0.05337392
  0.4193062 -0.05312333
  0.4263235 -0.05285516
  0.433345 -0.05256983
  0.4403721 -0.05226778
  0.4474053 -0.05194947
  0.4544448 -0.0516154
  0.4614899 -0.05126606
  0.4685398 -0.05090182
  0.4755939 -0.05052304
  0.4826518 -0.05013004
  0.4897133 -0.04972316
  0.4967785 -0.04930272
  0.5038476 -0.04886903
  0.5109209 -0.04842246
  0.5179986 -0.04796334
  0.525081 -0.04749204
  0.5321683 -0.04700889
  0.5392604 -0.04651428
  0.5463576 -0.04600857
  0.5534596 -0.04549219
  0.5605662 -0.04496555
  0.5676771 -0.04442908
  0.5747916 -0.04388321
  0.5819092 -0.04332825
  0.5890296 -0.04276444
  0.5961528 -0.04219198
  0.6032789 -0.04161106
  0.6104085 -0.04102185
  0.6175424 -0.0404246
  0.624681 -0.03981969
  0.6318249 -0.03920756
  0.6389743 -0.03858864
  0.6461291 -0.03796341
  0.6532889 -0.03733233
  0.6604534 -0.0366958
  0.667622 -0.03605421
  0.6747943 -0.03540795
  0.6819698 -0.03475741
  0.6891478 -0.03410297
  0.6963276 -0.03344483
  0.7035086 -0.03278307
  0.7106898 -0.03211782
  0.7178701 -0.0314492
  0.7250485 -0.03077734
  0.7322239 -0.03010216
  0.7393958 -0.02942343
  0.7465644 -0.02874081
  0.7537306 -0.02805394
  0.7608959 -0.02736237
  0.7680623 -0.02666598
  0.7752307 -0.02596495
  0.782401 -0.02525952
  0.7895722 -0.02455008
  0.7967422 -0.02383701
  0.8039091 -0.02312032
  0.8110723 -0.02239968
  0.8182329 -0.02167464
  0.8253937 -0.02094456
  0.8325586 -0.02020917
  0.8397302 -0.01946913
  0.8469083 -0.01872545
  0.8540899 -0.01797946
  0.8612694 -0.0172324
  0.8684406 -0.01648436
  0.8755989 -0.01573504
  0.8827413 -0.01498397
  0.8898663 -0.01423097
  0.8969702 -0.0134772
  0.9040457 -0.01272451
  0.9110809 -0.01197507
  0.9180566 -0.01122987
  0.9249359 -0.0104898
  0.9316658 -0.009757809
  0.9381908 -0.009044975
  0.9444849 -0.008375731
  0.9505576 -0.007768733
  0.9564355 -0.007232151
  0.9621112 -0.006757984
  0.9675258 -0.006339052
  0.9726083 -0.005953629
  0.977332 -0.005541877
  0.9817207 -0.005056961
  0.9858158 -0.004456249
  0.989672 -0.003687704
  0.993357 -0.002698737
  0.9969314 -0.00142472
  1.0 -1e-05
