HSNLF(1)-0213 AIRFOIL
  1.0 0.0006699
  0.9965638 0.000956008
  0.9922206 0.001322927
  0.9874576 0.001732317
  0.9823122 0.002188447
  0.9768234 0.00270285
  0.970998 0.003283729
  0.964874 0.003926208
  0.9585207 0.004618328
  0.9520214 0.005343552
  0.9454579 0.006084464
  0.9388932 0.006837389
  0.9323552 0.00761016
  0.9258336 0.008414984
  0.9192834 0.009264058
  0.9126805 0.0101454
  0.9060493 0.01105154
  0.8994175 0.0119785
  0.8928098 0.01292367
  0.8862413 0.01388962
  0.8797117 0.01488173
  0.8732063 0.01590759
  0.8666983 0.01697357
  0.8601629 0.01807942
  0.8535872 0.01922239
  0.8469712 0.02039743
  0.8403265 0.02159899
  0.8336667 0.02282318
  0.8270022 0.0240666
  0.8203407 0.02532658
  0.8136922 0.02660336
  0.8070657 0.02789878
  0.8004526 0.02921786
  0.7938256 0.03056823
  0.7871549 0.03195016
  0.7804348 0.03335584
  0.7736895 0.03477233
  0.7669538 0.03619328
  0.7602477 0.03761924
  0.7535755 0.039054
  0.7469266 0.04050427
  0.7402793 0.04197396
  0.7336145 0.04345916
  0.7269236 0.044953
  0.7202092 0.04644628
  0.7134839 0.04793224
  0.7067628 0.04940698
  0.7000617 0.05086672
  0.6933956 0.05230723
  0.6867742 0.05372171
  0.6801988 0.05510421
  0.6736623 0.05645092
  0.6671559 0.0577603
  0.6606742 0.05903155
  0.6542138 0.06026361
  0.6477732 0.06145507
  0.6413521 0.0626043
  0.6349491 0.06370981
  0.6285601 0.06477055
  0.6221782 0.06578585
  0.6157949 0.06675617
  0.6094033 0.06768327
  0.6029999 0.06856845
  0.5965843 0.06941248
  0.5901587 0.07021558
  0.5837239 0.07097779
  0.5772781 0.07169949
  0.5708169 0.07238127
  0.564334 0.07302476
  0.5578261 0.07363219
  0.5512938 0.07420543
  0.5447416 0.074746
  0.5381762 0.07525412
  0.5316012 0.07572951
  0.5250159 0.07617219
  0.5184158 0.07658265
  0.5117952 0.07696261
  0.5051521 0.07731409
  0.4984894 0.07763887
  0.4918139 0.07793813
  0.4851325 0.07821154
  0.4784478 0.0784587
  0.4717583 0.07867935
  0.4650591 0.07887393
  0.4583467 0.07904374
  0.4516218 0.07919005
  0.4448889 0.079314
  0.4381549 0.07941561
