 JN-153 AIRFOIL
  1.0 0.0
  0.9965264 0.001219616
  0.9924673 0.002816208
  0.988303 0.004508445
  0.984015 0.006229497
  0.979595 0.00793331
  0.9750266 0.009595894
  0.9702761 0.01120759
  0.9652976 0.01278199
  0.9600575 0.01435114
  0.9545365 0.01593666
  0.9487183 0.0175548
  0.9425903 0.01921729
  0.9361483 0.02093165
  0.929396 0.02269921
  0.9223345 0.02452014
  0.9149665 0.0263986
  0.9073153 0.02833637
  0.8994179 0.03032474
  0.8912971 0.03235483
  0.8829647 0.03442737
  0.874448 0.03654355
  0.8657881 0.0386961
  0.8570216 0.04087511
  0.8481773 0.0430737
  0.8392822 0.04528639
  0.8303616 0.04750907
  0.821432 0.04974125
  0.8124976 0.05198467
  0.8035576 0.05423972
  0.7946133 0.05650571
  0.7856689 0.05878123
  0.7767309 0.0610642
  0.7678078 0.06335283
  0.7589048 0.06564777
  0.7500206 0.06795144
  0.7411499 0.07026586
  0.7322895 0.07259165
  0.7234397 0.07492861
  0.7146015 0.07727683
  0.7057742 0.079637
  0.6969552 0.08200999
  0.6881423 0.0843959
  0.6793357 0.08679424
  0.6705374 0.08920435
  0.6617502 0.0916256
  0.6529776 0.09405729
  0.6442224 0.09649945
  0.6354844 0.09895339
  0.6267592 0.1014213
  0.6180416 0.1039038
  0.6093307 0.1063998
  0.6006304 0.1089068
  0.5919488 0.1114222
  0.5832966 0.1139429
  0.5746866 0.1164656
  0.5661282 0.1189884
  0.557624 0.1215119
  0.5491704 0.1240369
  0.5407746 0.1265557
  0.5324682 0.1290525
  0.5243023 0.1315097
  0.516328 0.1339194
  0.5085794 0.1362793
  0.501073 0.1385828
  0.4938041 0.1408065
  0.486757 0.1429307
  0.4799114 0.144947
  0.4732576 0.1468835
  0.4667926 0.148776
  0.4605156 0.1506542
  0.4544208 0.1525214
  0.448495 0.1543414
  0.4427294 0.1560785
  0.4371189 0.1577031
  0.4316559 0.1591977
  0.4263149 0.1605563
  0.4210542 0.1617777
  0.415821 0.1628649
  0.410567 0.1638347
  0.4052576 0.1647034
  0.3998711 0.1654829
  0.3943977 0.1661818
  0.3888345 0.1668063
  0.3831839 0.1673627
  0.3774546 0.1678573
  0.3716596 0.1682911
