K3311  (original)
  1.0 0.0
  0.9968887 0.0006729292
  0.9931257 0.001482544
  0.9891571 0.002331364
  0.9849627 0.003222868
  0.9805211 0.004160623
  0.9758107 0.005148062
  0.9708115 0.006188105
  0.9655078 0.007282549
  0.959893 0.008431193
  0.953975 0.009630708
  0.9477836 0.01087345
  0.9413727 0.01214729
  0.9348176 0.01343676
  0.9282707 0.01471209
  0.9217392 0.01597253
  0.9151825 0.01722651
  0.908597 0.0184752
  0.9020549 0.01970554
  0.8955546 0.02091868
  0.8890761 0.02211998
  0.8826019 0.02331461
  0.8761198 0.02450679
  0.869622 0.02569982
  0.8631059 0.02689614
  0.8565736 0.02809733
  0.8500324 0.02930402
  0.8434942 0.03051499
  0.836971 0.03172497
  0.8304708 0.0329284
  0.8239977 0.03412057
  0.8175518 0.03529756
  0.8111299 0.03645623
  0.8047251 0.0375941
  0.7983276 0.03870926
  0.791925 0.03980273
  0.7855075 0.04087999
  0.7790684 0.04194641
  0.7726048 0.04300679
  0.7661173 0.0440654
  0.7596107 0.04512597
  0.7530937 0.04619162
  0.746579 0.04726459
  0.7400808 0.04834148
  0.7336097 0.04941446
  0.7271722 0.05047637
  0.7207704 0.05152093
  0.7144029 0.05254268
  0.7080647 0.05353689
  0.7017477 0.05449945
  0.6954408 0.05542747
  0.6891329 0.05632591
  0.6828157 0.05720349
  0.6764838 0.05806855
  0.6701343 0.05892905
  0.6637676 0.05979271
  0.6573865 0.06066693
  0.6509973 0.06155879
  0.6446088 0.06247342
  0.6382292 0.06340577
  0.6318638 0.06434712
  0.625515 0.06528922
  0.6191822 0.06622435
  0.6128626 0.06714527
  0.6065505 0.06804522
  0.6002378 0.06891777
  0.593914 0.06975827
  0.5875697 0.07056868
  0.5811976 0.07135248
  0.574793 0.07211277
  0.5683536 0.07285234
  0.56188 0.07357374
  0.5553757 0.07427929
  0.5488474 0.07497108
  0.5423044 0.07565007
  0.5357557 0.07631497
  0.5292084 0.07696447
  0.5226669 0.07759752
  0.5161339 0.07821334
  0.5096095 0.07881136
  0.5030918 0.07939123
  0.4965766 0.07995279
  0.4900587 0.08049646
  0.483534 0.08102305
  0.4770004 0.08153318
  0.4704573 0.08202732
  0.4639067 0.08250579
  0.457352 0.08296879
  0.4507989 0.08341645
  0.4442548 0.08384841
  0.4377272 0.08426226
  0.4312217 0.08465503
  0.4247418 0.085024
  0.4182888 0.08536665
  0.4118621 0.08568067
  0.4054595 0.08596386
  0.3990769 0.08621412
  0.3927088 0.08643005
  0.3863496 0.08661202
  0.3799945 0.08676055
  0.3736389 0.08687605
  0.3672791 0.08695881
  0.3609116 0.08700905
  0.3545336 0.08702691
  0.3481427 0.08701249
  0.3417369 0.08696609
  0.3353156 0.08688844
  0.3288791 0.08678036
  0.3224295 0.08664271
  0.3159702 0.08647645
  0.3095064 0.08628266
  0.3030445 0.08606255
  0.2965926 0.08581741
  0.2901591 0.08554683
  0.2837509 0.08524872
  0.2773718 0.08492097
  0.2710232 0.08456144
  0.2647041 0.08416793
  0.258411 0.08373811
  0.2521385 0.08326943
  0.2458788 0.08275924
  0.2396235 0.08220651
  0.233366 0.08161146
  0.2271021 0.08097441
  0.2208303 0.08029584
  0.2145516 0.07957653
  0.2082697 0.0788176
  0.2019909 0.07802061
  0.1957242 0.07718739
  0.18948 0.07631758
  0.1832673 0.07540927
  0.1770927 0.07446045
  0.1709603 0.07346901
  0.1648723 0.07243269
  0.1588287 0.07134902
  0.152828 0.07021528
  0.1468667 0.0690285
  0.1409404 0.06778696
  0.1350447 0.06649017
  0.1291753 0.06513756
  0.1233282 0.06372838
  0.1174995 0.06226171
  0.1116856 0.06073648
  0.1058826 0.05915146
  0.100087 0.0575052
  0.09429627 0.05579641
  0.08852186 0.05402816
  0.08280403 0.05221337
  0.07720832 0.05037472
  0.07180433 0.04852727
  0.06661654 0.0466638
  0.06162238 0.04476365
  0.05677085 0.04279625
  0.05200678 0.04073758
  0.04732324 0.03858921
  0.04276872 0.03638049
  0.03842629 0.03416441
  0.03438349 0.03199997
  0.03068197 0.02992194
  0.02731086 0.0279382
  0.02423784 0.02604317
  0.02142629 0.02422613
  0.01884163 0.02247448
  0.01645004 0.02076808
  0.01425975 0.01911674
  0.01230064 0.01755949
  0.01057512 0.01612255
  0.00905947 0.01480905
  0.007736424 0.01361243
  0.006584094 0.01251669
  0.005576376 0.01150356
  0.004691113 0.01055767
  0.003910853 0.009666882
  0.00322214 0.008821735
  0.002614622 0.008014783
  0.002080308 0.00724009
  0.001613015 0.006492837
  0.001207972 0.005769043
  0.0008615294 0.005065354
  0.0005709669 0.004378895
  0.0003343474 0.003707149
  0.0001504271 0.003047873
  1.859932e-05 0.002399016
  -6.112863e-05 0.001758667
  -8.812797e-05 0.001124991
  -6.110904e-05 0.0004961838
  2.194805e-05 -0.0001295891
  0.000162387 -0.0007540106
  0.0003590775 -0.001378246
  0.0006111988 -0.002003263
  0.0009186097 -0.002629912
  0.001281817 -0.003258937
