K3311 (smoothed)
  1.0 0.0
  0.9968336 0.0007072981
  0.9927044 0.001620664
  0.9880749 0.002631152
  0.9829926 0.003723309
  0.9775349 0.004876685
  0.9717816 0.006073231
  0.9658139 0.007298335
  0.9597009 0.0085404
  0.9534945 0.009789438
  0.9472301 0.01103884
  0.9409259 0.01228573
  0.9345927 0.0135287
  0.9282382 0.01476711
  0.9218669 0.01600085
  0.9154829 0.01722988
  0.9090902 0.01845409
  0.9026935 0.01967326
  0.8962967 0.02088648
  0.8899016 0.02209288
  0.8835081 0.02329198
  0.8771137 0.02448377
  0.8707156 0.02566903
  0.864312 0.02684858
  0.8579028 0.02802299
  0.8514894 0.0291925
  0.8450746 0.03035679
  0.8386609 0.03151503
  0.8322499 0.03266651
  0.8258423 0.03381069
  0.8194381 0.03494717
  0.8130367 0.03607576
  0.8066372 0.03719638
  0.8002387 0.03830894
  0.79384 0.03941338
  0.7874401 0.04050967
  0.781038 0.04159792
  0.774633 0.04267841
  0.768225 0.04375129
  0.7618147 0.04481665
  0.755403 0.04587449
  0.7489916 0.04692459
  0.7425816 0.04796644
  0.7361739 0.04899954
  0.7297686 0.05002352
  0.723365 0.05103812
  0.716962 0.05204315
  0.7105582 0.05303878
  0.7041523 0.05402531
  0.6977437 0.05500297
  0.6913322 0.05597191
  0.6849183 0.05693223
  0.6785029 0.05788388
  0.6720871 0.05882656
  0.6656717 0.05975991
  0.6592575 0.06068359
  0.6528449 0.0615973
  0.6464341 0.06250078
  0.6400252 0.06339379
  0.633618 0.06427602
  0.6272125 0.06514716
  0.6208088 0.06600685
  0.6144072 0.06685474
  0.6080079 0.06769046
  0.6016113 0.06851362
  0.5952179 0.06932373
  0.5888277 0.0701203
  0.5824408 0.07090286
  0.5760571 0.07167098
  0.5696761 0.07242424
  0.5632974 0.07316227
  0.5569204 0.07388482
  0.5505447 0.07459169
  0.5441703 0.07528263
  0.5377969 0.07595739
  0.5314247 0.0766157
  0.5250538 0.07725726
  0.5186847 0.07788169
  0.5123176 0.07848862
  0.5059527 0.07907765
  0.4995904 0.0796484
  0.4932309 0.0802005
  0.4868745 0.08073356
  0.4805214 0.08124714
  0.4741717 0.08174078
  0.4678255 0.08221402
  0.4614827 0.08266642
  0.4551433 0.08309755
  0.4488071 0.08350698
  0.4424738 0.08389431
  0.4361436 0.08425915
  0.4298164 0.08460109
  0.4234927 0.08491974
  0.4171726 0.08521469
  0.4108568 0.08548552
  0.4045457 0.08573173
  0.3982396 0.0859528
  0.3919386 0.08614823
  0.3856424 0.08631753
  0.3793506 0.08646021
  0.3730625 0.0865758
  0.3667776 0.08666401
  0.3604955 0.08672458
  0.3542163 0.08675724
  0.3479403 0.08676173
  0.3416683 0.08673778
  0.3354011 0.0866851
  0.3291398 0.08660321
  0.322885 0.08649161
  0.3166368 0.0863498
  0.3103951 0.08617728
  0.3041594 0.08597353
  0.2979287 0.08573811
  0.2917026 0.08547077
  0.2854809 0.08517128
  0.2792638 0.08483943
  0.273052 0.08447504
  0.2668466 0.08407792
  0.2606489 0.08364768
  0.2544602 0.08318379
  0.2482816 0.08268571
  0.2421139 0.08215292
  0.2359578 0.08158489
  0.2298136 0.08098104
  0.2236819 0.08034071
  0.2175631 0.07966324
  0.2114577 0.07894797
  0.2053659 0.07819424
  0.1992882 0.0774014
  0.1932253 0.07656874
  0.187178 0.0756956
  0.1811479 0.07478142
  0.1751366 0.07382572
  0.1691461 0.07282801
  0.1631789 0.07178737
  0.157237 0.07070276
  0.1513221 0.06957318
  0.1454359 0.06839765
  0.1395798 0.06717513
  0.1337553 0.06590441
  0.1279639 0.06458436
  0.1222073 0.06321389
  0.1164869 0.06179198
  0.110805 0.06031752
  0.1051654 0.05878964
  0.09957333 0.05720812
  0.09403522 0.05557336
  0.08855893 0.0538856
  0.0831527 0.05214411
  0.07782391 0.05034836
  0.07257899 0.04849806
  0.06742438 0.04659328
  0.06237 0.04463561
  0.05742948 0.04262909
  0.05261873 0.04058007
  0.04795792 0.03849644
  0.04347648 0.03639053
  0.03920739 0.03428023
  0.03517969 0.03218572
  0.03141697 0.03012642
  0.02793534 0.02812094
  0.02473856 0.02618456
  0.02181972 0.02432706
  0.01917635 0.02255652
  0.01680807 0.02088454
  0.0147039 0.01931904
  0.01284174 0.01786091
  0.01119469 0.01650304
  0.009734604 0.01523156
  0.008433704 0.0140324
  0.007267782 0.01289338
