LDS-2 AIRFOIL
  1.0 0.0
  0.9967356 0.0005937092
  0.992788 0.001309887
  0.9886252 0.002062981
  0.9842261 0.002856462
  0.9795684 0.00369395
  0.9746295 0.004579034
  0.9693883 0.005514935
  0.9638286 0.006503963
  0.9579432 0.007546707
  0.9517406 0.008640965
  0.9452514 0.009780698
  0.9385293 0.01095676
  0.9316397 0.01215861
  0.924649 0.01337587
  0.9176151 0.01459987
  0.9105797 0.01582483
  0.9035644 0.01704845
  0.896571 0.01827181
  0.8895866 0.01949733
  0.8825982 0.02072654
  0.8755958 0.02196035
  0.8685732 0.02319906
  0.8615274 0.02444236
  0.8544592 0.02568926
  0.8473732 0.02693812
  0.8402769 0.02818693
  0.8331777 0.0294339
  0.8260815 0.03067752
  0.8189926 0.03191655
  0.8119141 0.03315001
  0.8048473 0.03437722
  0.7977922 0.03559774
  0.7907475 0.03681128
  0.783712 0.0380175
  0.7766843 0.03921603
  0.7696637 0.04040645
  0.7626495 0.04158831
  0.7556411 0.04276113
  0.7486383 0.04392438
  0.7416411 0.04507755
  0.7346496 0.04622018
  0.7276637 0.04735183
  0.7206835 0.04847206
  0.713709 0.04958043
  0.7067402 0.05067652
  0.6997772 0.05175988
  0.6928199 0.0528301
  0.6858684 0.05388672
  0.6789225 0.05492929
  0.6719823 0.05595739
  0.6650477 0.05697057
  0.6581184 0.05796842
  0.6511944 0.05895052
  0.6442754 0.05991647
  0.6373613 0.06086584
  0.630452 0.06179823
  0.6235476 0.0627132
  0.6166482 0.06361031
  0.6097541 0.06448912
  0.6028655 0.06534917
  0.5959828 0.06619002
  0.5891064 0.06701121
  0.5822365 0.06781232
  0.5753729 0.06859298
  0.5685151 0.06935284
  0.5616624 0.07009158
  0.5548137 0.07080891
  0.5479677 0.07150456
  0.5411229 0.07217826
  0.5342787 0.07282963
  0.5274355 0.07345822
  0.5205951 0.07406347
  0.5137603 0.07464473
  0.506935 0.07520132
  0.5001242 0.07573254
  0.4933339 0.07623751
  0.4865688 0.07671478
  0.4798304 0.07716302
  0.4731171 0.07758112
  0.4664243 0.07796818
  0.4597445 0.07832336
  0.4530673 0.07864586
  0.4463795 0.07893485
  0.4396662 0.0791913
  0.4329157 0.07941793
  0.4261214 0.07961726
  0.419282 0.07979171
  0.4124022 0.07994363
  0.4054933 0.08007545
  0.3985733 0.08018969
  0.3916658 0.08028752
  0.3847925 0.0803659
  0.3779669 0.08042132
  0.3711945 0.0804506
  0.3644734 0.08045082
  0.3577952 0.0804191
  0.3511454 0.08035248
  0.3445038 0.08024795
  0.3378477 0.08010592
  0.3311582 0.0799291
  0.3244227 0.07972016
  0.3176344 0.07948191
  0.3107932 0.0792175
  0.3039069 0.07893057
  0.2969914 0.0786253
  0.290069 0.07830358
  0.28316 0.07796409
  0.2762794 0.07760524
  0.2694365 0.07722538
  0.262635 0.07682271
  0.255874 0.07639523
  0.2491476 0.0759407
  0.2424462 0.07545704
  0.2357605 0.07494342
  0.2290838 0.07439928
  0.2224124 0.07382423
  0.2157453 0.07321802
  0.2090844 0.07258068
  0.2024342 0.07191255
  0.195802 0.07121427
  0.1891957 0.07048574
  0.1826192 0.06972593
  0.1760719 0.06893333
  0.1695492 0.06810613
  0.1630469 0.06724376
  0.1565684 0.06634713
  0.1501254 0.06541844
  0.1437363 0.06446025
  0.1374188 0.06347154
  0.131182 0.06244957
  0.1250268 0.06139072
  0.1189474 0.06029112
  0.1129402 0.05914961
  0.1070107 0.05796741
  0.1011722 0.0567477
  0.09544426 0.05549525
  0.08984859 0.05421332
  0.08440361 0.05290452
  0.07912324 0.05157179
  0.07401697 0.05021822
  0.06909227 0.04884619
  0.06436244 0.04745822
  0.05984504 0.04605997
  0.05555645 0.04465929
  0.05150791 0.04326472
  0.04770384 0.04188414
  0.04414322 0.04052185
  0.04081981 0.03917984
  0.03772256 0.03785966
  0.03483776 0.03656213
  0.03215178 0.0352866
  0.02965067 0.03403225
  0.02732031 0.03279841
  0.02514691 0.03158443
  0.02311776 0.03038949
  0.02122315 0.02921228
  0.01945483 0.02805203
  0.017805 0.02690849
  0.01626617 0.02578168
  0.01483104 0.0246717
  0.01349255 0.02357865
  0.01224393 0.02250256
  0.01107951 0.02144355
  0.009995168 0.02040177
  0.008986639 0.01937698
  0.008049545 0.01836867
  0.007179592 0.01737614
  0.006372684 0.01639859
  0.005624981 0.01543521
  0.004932919 0.01448517
  0.004293168 0.01354739
  0.003702718 0.01262038
  0.003159079 0.01170335
  0.002660078 0.01079615
  0.00220368 0.009899061
  0.001787989 0.009012695
  0.001413053 0.008139044
  0.001080011 0.007280215
  0.0007892148 0.006436963
  0.0005405731 0.00560908
  0.0003338518 0.004795717
  0.0001688839 0.003995599
  4.571768e-05 0.003207158
  -3.52672e-05 0.002428607
  -7.325273e-05 0.001657968
  -6.686653e-05 0.0008930593
  -1.403567e-05 0.0001314508
  8.782434e-05 -0.0006293921
