M6 (65%)     
  1.0 0.0
  0.997029 0.0003204157
  0.9934347 0.0007061185
  0.9896418 0.00111083
  0.9856296 0.001536387
  0.9813754 0.001984746
  0.976855 0.002457899
  0.9720448 0.002957724
  0.9669234 0.003485724
  0.9614764 0.004042593
  0.9557022 0.004627619
  0.9496202 0.005237932
  0.9432805 0.005867882
  0.9369222 0.006494181
  0.9306612 0.007106505
  0.9244338 0.007712202
  0.9181924 0.008316887
  0.9119031 0.008924814
  0.9055441 0.009539033
  0.8991199 0.01016017
  0.8927339 0.01077898
  0.8864008 0.01139407
  0.8801065 0.01200672
  0.8738385 0.01261805
  0.8675862 0.01322901
  0.8613403 0.01384044
  0.8550929 0.01445306
  0.848837 0.01506748
  0.842567 0.01568419
  0.8362782 0.01630361
  0.8299668 0.01692603
  0.8236305 0.01755164
  0.8172678 0.0181805
  0.8108788 0.01881258
  0.8044646 0.01944767
  0.7980283 0.02008541
  0.7915943 0.0207233
  0.7851746 0.02136003
  0.7787653 0.02199584
  0.7723629 0.02263096
  0.7659643 0.02326557
  0.7595667 0.02389981
  0.7531678 0.02453381
  0.7467655 0.02516763
  0.7403582 0.02580131
  0.7339443 0.02643487
  0.7275231 0.02706827
  0.7210937 0.02770144
  0.7146559 0.02833429
  0.7082127 0.02896638
  0.7017755 0.02959647
  0.6953451 0.03022436
  0.6889203 0.03084994
  0.6825003 0.03147307
  0.6760839 0.03209361
  0.6696705 0.03271138
  0.6632594 0.03332621
  0.65685 0.03393791
  0.6504417 0.03454629
  0.6440343 0.03515115
  0.6376273 0.03575225
  0.6312207 0.03634939
  0.6248144 0.03694232
  0.6184084 0.03753079
  0.6120028 0.03811456
  0.6055978 0.03869335
  0.5991938 0.03926691
  0.5927912 0.0398349
  0.5863905 0.04039688
  0.5799919 0.04095239
  0.5735959 0.04150096
  0.5672027 0.04204214
  0.5608127 0.0425755
  0.5544259 0.0431006
  0.5480426 0.043617
  0.5416628 0.04412428
  0.5352867 0.04462202
  0.5289141 0.04510981
  0.5225452 0.04558724
  0.5161799 0.04605391
  0.5098179 0.04650942
  0.5034593 0.04695338
  0.4971036 0.0473854
  0.4907509 0.04780515
  0.4844007 0.04821241
  0.4780531 0.04860692
  0.4717077 0.04898844
  0.4653644 0.04935673
  0.459023 0.04971155
  0.4526834 0.05005265
  0.4463454 0.05037978
  0.440009 0.05069269
  0.4336739 0.05099114
  0.42734 0.05127487
  0.4210073 0.05154363
  0.4146756 0.05179717
  0.4083449 0.05203523
  0.402015 0.05225756
  0.3956858 0.05246391
  0.3893574 0.05265398
  0.3830298 0.05282748
  0.376703 0.05298413
  0.3703772 0.05312361
  0.3640525 0.05324563
  0.3577292 0.0533499
  0.3514075 0.05343612
  0.3450878 0.053504
  0.3387705 0.05355325
  0.3324559 0.05358358
  0.3261445 0.05359472
  0.3198368 0.05358639
  0.3135335 0.05355833
  0.307235 0.05351028
  0.3009421 0.05344199
  0.2946554 0.05335317
  0.2883756 0.05324323
  0.2821032 0.05311149
  0.2758383 0.05295724
  0.2695812 0.05277981
  0.2633314 0.05257849
  0.2570888 0.05235258
  0.2508528 0.05210138
  0.2446225 0.05182424
  0.2383971 0.05152106
  0.2321755 0.05119192
