NACA 63(2)A-015
  1.0 0.0
  0.996599 0.0006294259
  0.9923607 0.001401729
  0.9877685 0.002236686
  0.9828187 0.003135609
  0.9775191 0.004093232
  0.9718887 0.005102455
  0.9659548 0.006154894
  0.9597506 0.00724204
  0.9533098 0.008356323
  0.9466664 0.009491888
  0.9398528 0.01064389
  0.9328992 0.01180849
  0.9258325 0.0129835
  0.9186771 0.01417043
  0.9114541 0.01537215
  0.9041803 0.01658882
  0.8968672 0.01781845
  0.8895214 0.01905964
  0.8821476 0.02031057
  0.8747521 0.02156891
  0.8673432 0.02283166
  0.8599279 0.02409527
  0.8525097 0.02535663
  0.8450891 0.02661377
  0.8376647 0.02786658
  0.8302339 0.02911544
  0.8227932 0.03036103
  0.81534 0.03160488
  0.8078751 0.03284826
  0.8004028 0.03409189
  0.7929297 0.0353358
  0.7854617 0.0365799
  0.7780034 0.03782436
  0.7705572 0.03906961
  0.7631242 0.04031644
  0.755703 0.04156598
  0.7482904 0.0428197
  0.7408815 0.04407827
  0.7334733 0.04533984
  0.7260671 0.04660159
  0.7186687 0.04785993
  0.711287 0.04911086
  0.7039284 0.050351
  0.6965945 0.05157787
  0.6892818 0.05278986
  0.6819833 0.05398671
  0.6746923 0.05516946
  0.6674039 0.0563389
  0.6601151 0.05749549
  0.6528251 0.05863943
  0.645534 0.05977094
  0.638243 0.06089014
  0.6309536 0.06199709
  0.6236684 0.06309166
  0.6163902 0.06417298
  0.6091224 0.06523982
  0.6018689 0.06629093
  0.594634 0.067325
  0.587422 0.0683402
  0.5802349 0.06933432
  0.5730719 0.07030554
  0.5659293 0.07125245
  0.5588012 0.0721742
  0.5516809 0.07307147
  0.5445625 0.07394522
  0.5374411 0.0747962
  0.5303128 0.07562502
  0.5231748 0.0764324
  0.5160266 0.07721928
  0.5088703 0.07798637
  0.5017112 0.07873409
  0.4945567 0.07946244
  0.4874155 0.08016969
  0.4802936 0.08085355
  0.4731946 0.08151206
  0.4661194 0.08214359
  0.4590667 0.08274688
  0.4520341 0.08332116
  0.4450184 0.08386573
  0.4380157 0.08437989
  0.4310217 0.084863
  0.4240321 0.08531505
  0.4170445 0.08573652
  0.4100587 0.08612777
  0.403077 0.08648901
  0.3961036 0.08682018
  0.3891432 0.08712016
  0.3821982 0.08738766
  0.3752691 0.08762148
  0.3683542 0.08782053
  0.3614498 0.08798418
  0.3545516 0.08811242
  0.3476553 0.0882052
  0.3407558 0.08826241
  0.3338481 0.08828394
  0.3269277 0.08827071
  0.3199927 0.08822407
  0.3130436 0.08814538
  0.3060842 0.08803608
  0.2991202 0.08789697
  0.2921577 0.08772785
  0.285202 0.08752852
  0.2782575 0.08729885
  0.2713276 0.08703856
  0.2644148 0.08674683
  0.2575203 0.08642272
  0.2506439 0.08606527
  0.2437845 0.08567357
  0.236941 0.08524747
  0.2301137 0.0847871
  0.2233046 0.08429276
  0.2165174 0.0837648
  0.2097574 0.08320332
  0.2030321 0.0826085
  0.196351 0.08198092
  0.1897247 0.0813211
  0.1831645 0.08062776
  0.1766797 0.0798991
  0.1702778 0.07913356
  0.1639646 0.07832957
  0.1577444 0.07748477
  0.1516203 0.07659682
  0.1455936 0.07566361
  0.1396649 0.07468314
  0.1338355 0.07365345
  0.1281076 0.07257314
  0.1224845 0.07144143
  0.116969 0.07025785
  0.1115617 0.06902146
  0.1062585 0.06773061
  0.1010524 0.06638291
  0.09593586 0.06497926
  0.09091118 0.06352699
  0.08599267 0.06203723
  0.08120321 0.06052371
  0.07656896 0.05899497
  0.0721095 0.05745464
  0.06783551 0.05590565
  0.06375057 0.05435042
  0.05985301 0.05279157
  0.05613647 0.05123082
  0.05259156 0.04966882
  0.04920733 0.04810597
  0.04597455 0.04654872
  0.04289325 0.04501007
  0.03996967 0.043505
  0.03721079 0.04204776
  0.03462305 0.04064345
  0.03220685 0.03928346
  0.02995275 0.03795693
  0.02784693 0.03665331
  0.02587464 0.03536305
  0.02402026 0.03408177
  0.02226956 0.03281263
  0.02061291 0.03156032
  0.01904355 0.03032987
  0.0175564 0.02912618
  0.01614755 0.0279533
  0.0148168 0.02681029
  0.01356458 0.02569294
  0.01238945 0.02459709
  0.01128881 0.02351883
  0.01025949 0.02245462
  0.009298078 0.02140128
  0.008400772 0.02035714
  0.007563512 0.01932237
  0.006782591 0.01829718
  0.006054672 0.01728166
  0.005376741 0.01627581
  0.00474607 0.0152796
  0.004160183 0.01429293
  0.003617026 0.01331569
  0.003115212 0.01234799
  0.002653612 0.01139022
  0.002231196 0.01044306
  0.001846956 0.009507294
  0.001499849 0.008583827
  0.001188766 0.007673561
  0.0009126005 0.006777398
  0.0006714162 0.005896274
  0.0004658511 0.005030372
  0.0002961778 0.004178892
  0.0001625369 0.003340335
  6.513888e-05 0.002512699
  4.423629e-06 0.001693592
  -1.879995e-05 0.0008802759
  -3.209639e-06 6.964175e-05
  5.340517e-05 -0.0007412018
  0.0001551547 -0.001551843
  0.0003074066 -0.002360101
  0.0005165017 -0.003162865
  0.0007897944 -0.003955904
  0.00113563 -0.00473364
  0.001559565 -0.005491061
  0.002058542 -0.006227324
  0.002627699 -0.006942223
  0.00326149 -0.007635508
  0.00395352 -0.008306876
  0.004696607 -0.008956066
  0.005487544 -0.009584619
  0.006327081 -0.01019595
  0.007215824 -0.01079403
  0.008153868 -0.01138349
  0.009140487 -0.01196976
  0.01017388 -0.01255896
  0.01125396 -0.01315297
  0.01238326 -0.01374908
  0.0135649 -0.01434401
  0.01480277 -0.01493414
  0.01610193 -0.01551542
  0.01746926 -0.0160834
  0.01891306 -0.01663603
  0.02044183 -0.01717617
  0.02206487 -0.01770792
  0.02379221 -0.0182366
  0.02563391 -0.01876912
  0.02759878 -0.01931427
  0.02969579 -0.01987737
  0.03193601 -0.02045934
  0.03433145 -0.02106108
  0.03689581 -0.0216839
  0.03964632 -0.02233006
  0.04260502 -0.02300289
  0.04579644 -0.0237063
  0.04924553 -0.02444478
  0.0529748 -0.0252232
  0.05700128 -0.02604431
  0.06133642 -0.02690697
  0.06598721 -0.02780869
  0.07096134 -0.02874737
  0.07626772 -0.02972373
  0.0819064 -0.03073935
  0.08786435 -0.03179541
  0.09411497 -0.0328907
  0.1006195 -0.03402179
  0.107332 -0.03518506
  0.1142051 -0.03637443
  0.1211917 -0.03758155
  0.1282485 -0.03879862
  0.1353392 -0.04001729
  0.1424325 -0.04122867
  0.1495024 -0.04242482
  0.1565295 -0.04359775
  0.1635035 -0.04473969
  0.1704229 -0.04584462
  0.1772938 -0.04690856
  0.1841262 -0.04793031
  0.1909309 -0.04890928
  0.19772 -0.04984484
  0.2045061 -0.0507378
  0.2113006 -0.05159108
  0.2181131 -0.05240734
  0.2249515 -0.05318888
  0.2318213 -0.05393816
  0.2387233 -0.05465778
  0.2456516 -0.05534981
  0.2525939 -0.0560158
  0.2595331 -0.05665473
  0.2664558 -0.0572628
  0.273355 -0.05783681
  0.2802308 -0.05837426
  0.2870886 -0.05887374
  0.293936 -0.05933534
  0.3007807 -0.0597592
  0.3076304 -0.06014529
  0.3144933 -0.06049369
  0.3213759 -0.06080598
  0.3282816 -0.06108417
  0.3352101 -0.06133012
  0.3421571 -0.06154558
  0.3491154 -0.06173123
  0.3560783 -0.06188646
  0.3630407 -0.06201072
  0.3699997 -0.06210358
  0.3769542 -0.06216465
  0.3839047 -0.06219356
  0.3908532 -0.06218989
  0.3978033 -0.06215319
  0.4047598 -0.06208293
  0.4117288 -0.06197923
  0.4187153 -0.06184336
  0.4257218 -0.06167668
  0.4327489 -0.06148059
  0.4397944 -0.06125653
  0.4468546 -0.06100525
  0.4539257 -0.06072712
  0.461004 -0.06042257
  0.4680861 -0.06009205
  0.4751689 -0.0597359
  0.4822512 -0.05935386
  0.4893346 -0.05894546
  0.4964241 -0.05850995
  0.5035275 -0.05804641
  0.5106547 -0.05755517
  0.517813 -0.05703821
  0.5250052 -0.05649792
  0.5322293 -0.0559371
  0.5394784 -0.05535866
  0.5467429 -0.05476389
  0.5540138 -0.05415355
  0.5612828 -0.05352838
  0.5685425 -0.05288909
  0.5757872 -0.05223547
  0.5830143 -0.05156609
  0.5902251 -0.05087915
  0.5974246 -0.0501725
  0.6046213 -0.04944405
  0.6118246 -0.0486936
  0.6190418 -0.0479216
  0.626278 -0.04712871
  0.6335358 -0.04631581
  0.6408159 -0.04548416
  0.6481185 -0.04463515
  0.655444 -0.04377024
  0.6627923 -0.04289093
  0.6701635 -0.04199864
  0.6775565 -0.04109473
  0.6849694 -0.04018067
  0.6923992 -0.03925814
  0.6998417 -0.03832863
  0.707293 -0.03739278
  0.7147512 -0.03645091
  0.7222155 -0.03550312
  0.7296872 -0.03454982
  0.7371678 -0.03359261
  0.7446586 -0.03263334
  0.7521604 -0.03167396
  0.7596732 -0.03071554
  0.7671959 -0.02975759
  0.7747268 -0.02879959
  0.7822627 -0.02784114
  0.7898004 -0.02688254
  0.7973373 -0.0259245
  0.8048718 -0.02496757
  0.8124034 -0.02401193
  0.819932 -0.02305681
  0.8274576 -0.02210123
  0.8349802 -0.02114435
  0.8425002 -0.02018664
  0.8500182 -0.01922932
  0.8575344 -0.0182736
  0.8650487 -0.0173196
  0.8725592 -0.01636656
  0.8800625 -0.01541396
  0.8875534 -0.01446184
  0.8950265 -0.01351066
  0.9024759 -0.01256103
  0.9098939 -0.01161458
  0.9172682 -0.01067383
  0.9245816 -0.009741839
  0.9318122 -0.008822139
  0.9389334 -0.007918305
  0.9459143 -0.007031638
  0.9527212 -0.006163248
  0.9593165 -0.005317457
  0.9656568 -0.004501018
  0.9716983 -0.003719812
  0.9774034 -0.0029783
  0.982747 -0.002278068
  0.9877198 -0.001621171
  0.9923257 -0.001017118
  0.9965773 -0.0004550119
  1.0 0.0
