NACA 63,3-418
  1.0 1e-05
  0.9961987 0.0006640101
  0.9915989 0.001613173
  0.9866769 0.002588877
  0.9814135 0.003653192
  0.9758035 0.004788366
  0.9698619 0.005988668
  0.9636075 0.007252407
  0.9570668 0.0085792
  0.9502716 0.009965116
  0.9432569 0.01140387
  0.9360579 0.01288881
  0.9287101 0.01441305
  0.9212467 0.01597104
  0.9136964 0.01755895
  0.9060813 0.01917428
  0.8984164 0.02081579
  0.8907099 0.02248347
  0.8829654 0.02417636
  0.8751869 0.02589237
  0.8673795 0.02762926
  0.859548 0.0293856
  0.8516939 0.03116071
  0.8438158 0.03295405
  0.835913 0.03476393
  0.8279869 0.03658798
  0.8200417 0.03842356
  0.8120827 0.04026874
  0.8041149 0.04212174
  0.7961429 0.04398035
  0.7881699 0.04584087
  0.7801978 0.0476995
  0.7722269 0.04955294
  0.7642583 0.05139988
  0.7562956 0.05323957
  0.7483455 0.05507059
  0.7404165 0.05689023
  0.7325145 0.05869454
  0.7246406 0.06048053
  0.716791 0.06224642
  0.7089594 0.06399228
  0.7011418 0.06571874
  0.6933377 0.06742574
  0.6855494 0.06911242
  0.6777806 0.07077683
  0.6700327 0.07241705
  0.6623048 0.07403167
  0.6545939 0.07561989
  0.6468961 0.07718182
  0.6392091 0.07871761
  0.6315322 0.08022708
  0.623866 0.08170972
  0.6162119 0.08316462
  0.6085709 0.08459084
  0.600943 0.0859876
  0.5933276 0.08735427
  0.5857238 0.0886904
  0.5781316 0.08999548
  0.5705519 0.09126882
  0.5629872 0.09250958
  0.5554403 0.09371648
  0.547913 0.09488788
  0.5404052 0.09602242
  0.5329151 0.09711905
  0.525439 0.09817712
  0.5179739 0.09919683
  0.5105186 0.1001783
  0.503074 0.1011214
  0.4956433 0.1020257
  0.4882302 0.1028898
  0.4808375 0.1037121
  0.473466 0.1044911
  0.4661146 0.1052255
  0.4587808 0.1059146
  0.4514621 0.1065581
  0.4441564 0.107156
  0.4368623 0.1077079
  0.4295791 0.1082136
  0.4223065 0.1086727
  0.4150455 0.1090851
  0.4077979 0.1094504
  0.4005665 0.1097683
  0.3933548 0.1100382
  0.386165 0.1102586
  0.3789978 0.1104279
  0.3718517 0.1105449
  0.3647238 0.1106082
  0.3576099 0.1106174
  0.3505067 0.1105725
  0.3434108 0.1104731
  0.3363194 0.110319
  0.32923 0.1101101
  0.3221409 0.1098471
  0.3150511 0.1095306
  0.3079607 0.1091612
  0.3008704 0.1087395
  0.2937818 0.1082659
  0.286697 0.1077408
  0.2796189 0.1071648
  0.2725511 0.1065385
  0.265497 0.1058619
  0.2584595 0.1051346
  0.2514403 0.1043563
  0.2444406 0.1035267
  0.2374612 0.1026456
  0.230504 0.1017132
  0.2235716 0.1007296
  0.2166677 0.09969536
  0.2097965 0.09861041
  0.202961 0.09747455
  0.1961639 0.09628751
  0.1894066 0.09504907
  0.1826913 0.09375961
  0.1760217 0.09242014
  0.1694036 0.09103216
  0.1628443 0.08959741
  0.1563516 0.08811729
  0.1499339 0.08659338
  0.1435988 0.08502758
  0.1373545 0.08342194
  0.1312105 0.08177899
  0.1251777 0.08010212
  0.1192676 0.07839535
  0.1134916 0.07666221
  0.10786 0.07490619
  0.1023813 0.07313098
  0.09706227 0.07134088
  0.09191071 0.0695419
  0.08693573 0.06774126
  0.08214614 0.06594665
  0.07754959 0.06416451
  0.07315154 0.06239972
  0.06895416 0.06065664
  0.0649564 0.05893902
  0.06115499 0.05725009
  0.05754567 0.05559284
  0.05412295 0.05396988
  0.0508801 0.05238326
  0.04780958 0.05083417
  0.04490396 0.04932305
  0.04215565 0.04785018
  0.03955674 0.04641565
  0.03709908 0.04501922
  0.03477504 0.04365943
  0.03257752 0.04233357
  0.03049905 0.04103901
  0.02853209 0.03977334
  0.02666928 0.03853433
  0.02490361 0.03732003
  0.02322879 0.03612911
  0.0216392 0.03496059
  0.02012968 0.03381364
  0.01869548 0.03268757
  0.01733217 0.03158173
  0.01603572 0.03049541
  0.01480343 0.02942696
