NACA 64(1)-112
  1.0 0.0
  0.9967779 0.000236791
  0.9928932 0.0005316086
  0.9888117 0.0008523629
  0.9845161 0.001202125
  0.9799886 0.001584306
  0.9752117 0.002002617
  0.9701696 0.002460953
  0.9648509 0.002963169
  0.9592514 0.003512701
  0.9533787 0.004111993
  0.9472569 0.004761721
  0.940928 0.005459292
  0.9344448 0.006198939
  0.9278625 0.006973455
  0.9212315 0.007775228
  0.9145913 0.008597218
  0.9079675 0.009433704
  0.9013703 0.01028071
  0.8947955 0.01113629
  0.8882312 0.01200078
  0.8816665 0.01287494
  0.8750929 0.01375929
  0.8685041 0.01465408
  0.8618962 0.01555926
  0.8552675 0.01647448
  0.8486189 0.01739903
  0.8419535 0.01833188
  0.835275 0.01927193
  0.828587 0.02021809
  0.8218925 0.02116933
  0.8151943 0.02212464
  0.8084948 0.02308308
  0.8017957 0.02404376
  0.7950986 0.02500584
  0.7884045 0.02596835
  0.7817142 0.02693033
  0.7750282 0.02789083
  0.7683468 0.02884896
  0.7616698 0.02980385
  0.7549973 0.03075468
  0.7483285 0.03170067
  0.7416629 0.03264126
  0.735 0.03357624
  0.7283394 0.03450539
  0.7216808 0.0354285
  0.7150242 0.03634531
  0.7083696 0.03725555
  0.7017175 0.03815892
  0.6950681 0.03905509
  0.688422 0.03994361
  0.6817797 0.04082395
  0.6751412 0.04169564
  0.668507 0.04255818
  0.661877 0.04341113
  0.6552513 0.04425404
  0.6486298 0.04508648
  0.6420122 0.04590806
  0.6353984 0.04671841
  0.6287882 0.04751721
  0.6221812 0.04830411
  0.6155773 0.04907878
  0.6089759 0.04984089
  0.6023769 0.05059009
  0.5957798 0.05132608
  0.5891843 0.05204853
  0.5825904 0.05275715
  0.575998 0.05345161
  0.5694076 0.05413155
  0.5628197 0.05479661
  0.556235 0.0554464
  0.5496546 0.05608053
  0.5430795 0.05669854
  0.5365107 0.05729981
  0.5299486 0.05788375
  0.5233933 0.05844982
  0.5168439 0.05899752
  0.5102996 0.05952638
  0.5037586 0.06003599
  0.4972188 0.06052594
  0.4906779 0.06099596
  0.4841345 0.0614459
  0.4775886 0.06187551
  0.4710415 0.06228444
  0.4644958 0.06267232
  0.4579555 0.06303869
  0.4514259 0.06338311
  0.4449134 0.063705
  0.4384242 0.06400258
  0.431962 0.06427368
  0.4255278 0.06451633
  0.4191202 0.06472873
  0.4127349 0.06490916
  0.4063658 0.0650559
  0.4000042 0.06516718
  0.3936395 0.06524177
  0.387261 0.06528126
  0.3808604 0.06528791
  0.3744321 0.06526384
  0.367973 0.06521117
  0.361483 0.06513206
  0.3549652 0.06502882
  0.3484258 0.06490391
  0.341874 0.064759
  0.335319 0.0645937
  0.3287683 0.06440738
  0.3222273 0.06419943
  0.3156994 0.06396924
  0.3091858 0.06371618
  0.3026859 0.06343954
  0.2961973 0.06313858
  0.2897162 0.06281289
  0.283239 0.06246247
  0.2767631 0.06208735
  0.2702865 0.06168754
  0.263808 0.06126306
  0.2573271 0.060814
  0.2508442 0.06034047
  0.2443604 0.05984262
  0.2378772 0.05932044
  0.2313961 0.05877383
  0.2249186 0.05820273
  0.2184463 0.05760706
  0.2119804 0.05698679
  0.2055224 0.05634187
  0.1990734 0.0556723
  0.1926346 0.05497791
  0.1862074 0.05425799
  0.1797931 0.05351176
  0.1733929 0.05273848
  0.1670083 0.05193742
  0.1606406 0.05110789
  0.1542912 0.05024924
  0.1479614 0.04936086
  0.1416527 0.048442
  0.1353671 0.04749158
  0.1291065 0.0465086
  0.1228734 0.04549213
  0.1166702 0.04444138
  0.1104997 0.04335565
  0.1043646 0.04223439
  0.09826791 0.04107716
  0.09221426 0.03988324
  0.08621878 0.03865252
  0.08031105 0.03738846
  0.07453136 0.03609824
  0.06892402 0.03479111
  0.06352108 0.03347229
  0.05833139 0.03214268
  0.05334721 0.03080043
  0.04855132 0.02944176
  0.04392888 0.02806286
  0.03950779 0.02667196
  0.03535651 0.02529411
  0.0315416 0.02396004
  0.02809651 0.02269424
  0.02501618 0.02150939
  0.02227067 0.02040615
  0.01982579 0.01936986
  0.01764614 0.01838546
  0.01569677 0.01744262
  0.01394603 0.01653412
  0.01236596 0.01565453
  0.01093293 0.01479979
  0.009629434 0.01396814
  0.008441138 0.01315838
  0.007355309 0.01236905
  0.006361065 0.0115974
  0.005451409 0.01082994
  0.004622491 0.01005241
  0.003871816 0.00925964
  0.00319874 0.008460849
  0.00260061 0.007664581
  0.002073366 0.006875705
  0.001612718 0.006096745
  0.001214722 0.005328752
  0.0008760303 0.004571868
  0.0005939885 0.003825659
  0.0003666684 0.003089326
  0.000192878 0.002361817
  7.218276e-05 0.001641887
  4.951945e-06 0.0009281179
  -7.551201e-06 0.0002189032
  3.66533e-05 -0.0004876099
  0.0001372255 -0.001193607
  0.0002928189 -0.001901177
  0.0005030176 -0.002612149
  0.0007682639 -0.00332814
  0.001089805 -0.004050555
  0.001469672 -0.004780565
  0.001910666 -0.005519013
  0.002416331 -0.00626625
  0.002990845 -0.007021842
  0.003638749 -0.007784054
  0.004364294 -0.008549027
  0.005170088 -0.009309467
  0.006055324 -0.0100543
  0.00702123 -0.01078245
  0.008073193 -0.0115051
  0.009220393 -0.01223683
  0.01047494 -0.0129821
  0.01185078 -0.0137431
  0.0133633 -0.01452198
  0.01503071 -0.01532092
  0.01687789 -0.01614305
  0.01893415 -0.01699255
  0.02123219 -0.01787513
  0.02380757 -0.01879962
  0.02669584 -0.01977971
  0.02993229 -0.02082654
  0.03354491 -0.02193679
  0.03753362 -0.02309719
  0.04185921 -0.02428542
  0.04645299 -0.02547614
  0.05125236 -0.02665163
  0.05624111 -0.02780892
  0.06143344 -0.02895073
  0.0668393 -0.03007886
  0.07245638 -0.03119357
  0.07826303 -0.03229292
  0.08421739 -0.03337087
  0.09027461 -0.03441985
  0.09639851 -0.03543518
  0.1025667 -0.0364156
  0.1087716 -0.03736205
  0.1150112 -0.03827543
  0.1212834 -0.03915659
  0.1275861 -0.04000649
  0.133917 -0.04082609
  0.1402738 -0.04161646
  0.1466538 -0.04237871
  0.1530543 -0.043114
  0.1594726 -0.04382317
  0.1659064 -0.04450659
  0.1723537 -0.04516469
  0.1788129 -0.04579795
  0.1852826 -0.04640694
  0.1917619 -0.04699226
  0.1982501 -0.04755457
  0.2047471 -0.04809456
  0.2112529 -0.04861268
  0.2177671 -0.04910921
  0.2242892 -0.04958441
  0.2308181 -0.05003851
  0.2373522 -0.05047173
  0.2438898 -0.05088429
  0.2504286 -0.05127641
  0.2569659 -0.0516482
  0.2634996 -0.0519993
  0.2700283 -0.05232933
  0.2765519 -0.05263795
  0.2830712 -0.05292487
  0.2895879 -0.05318985
  0.2961049 -0.05343264
  0.3026261 -0.053653
  0.3091559 -0.05385109
  0.3156978 -0.05402767
  0.3222531 -0.05418346
  0.3288212 -0.05431913
  0.3353993 -0.05443534
  0.3419823 -0.05453276
  0.3485632 -0.05461208
  0.3551327 -0.05467383
  0.3616816 -0.05471658
  0.3682032 -0.05473792
  0.3746942 -0.05473556
  0.3811547 -0.05470733
  0.3875873 -0.05465107
  0.3939976 -0.05456462
  0.4003939 -0.05444568
  0.4067866 -0.05429258
  0.4131865 -0.05410648
  0.4196021 -0.05388909
  0.4260397 -0.05364207
  0.4325033 -0.05336714
  0.4389945 -0.05306609
  0.4455124 -0.0527409
  0.4520531 -0.05239375
  0.4586106 -0.05202634
  0.4651787 -0.05163928
  0.4717524 -0.05123309
  0.4783279 -0.05080823
  0.4849027 -0.05036514
  0.4914754 -0.04990419
  0.4980463 -0.04942566
  0.5046165 -0.04892976
  0.5111884 -0.04841679
  0.5177637 -0.04788717
  0.5243441 -0.0473413
  0.5309304 -0.04677965
  0.5375235 -0.04620269
  0.5441235 -0.04561094
  0.5507302 -0.04500497
  0.5573431 -0.04438534
  0.5639613 -0.04375255
  0.5705842 -0.04310709
  0.5772112 -0.04244944
  0.5838418 -0.04178008
  0.5904756 -0.04109948
  0.5971124 -0.04040813
  0.6037517 -0.03970647
  0.6103936 -0.03899488
  0.6170379 -0.03827365
  0.6236845 -0.03754307
  0.6303336 -0.0368034
  0.6369853 -0.03605492
  0.6436397 -0.0352979
  0.6502971 -0.03453258
  0.6569579 -0.03375926
  0.6636223 -0.03297837
  0.6702908 -0.03219033
  0.6769639 -0.03139561
  0.6836419 -0.03059464
  0.6903254 -0.02978787
  0.6970147 -0.02897574
  0.7037104 -0.0281587
  0.7104128 -0.02733721
  0.7171222 -0.0265118
  0.723838 -0.02568302
  0.7305596 -0.0248515
  0.7372859 -0.02401793
  0.7440154 -0.02318304
  0.750746 -0.02234761
  0.7574754 -0.02151252
  0.7642015 -0.0206787
  0.7709223 -0.01984707
  0.7776364 -0.0190185
  0.7843424 -0.01819381
  0.7910398 -0.01737374
  0.797728 -0.01655902
  0.8044069 -0.01575032
  0.8110767 -0.01494853
  0.8177373 -0.01415465
  0.8243885 -0.01336971
  0.8310299 -0.01259474
  0.8376612 -0.01183078
  0.8442816 -0.01107888
  0.8508904 -0.01034007
  0.8574866 -0.009615205
  0.8640699 -0.008904634
  0.8706408 -0.008208535
  0.8772007 -0.007526994
  0.8837518 -0.006860024
  0.8902973 -0.006207564
  0.896841 -0.005569501
  0.9033877 -0.004945797
  0.9099401 -0.004338964
  0.9164921 -0.003754472
  0.9230258 -0.003198709
  0.9295129 -0.002678498
  0.9359168 -0.002200502
  0.9421957 -0.001770542
  0.9483075 -0.001392948
  0.9542145 -0.001069899
  0.9598884 -0.0007994934
  0.9653145 -0.0005774464
  0.9704892 -0.0003989407
  0.9754171 -0.0002591022
  0.9801079 -0.0001532942
  0.9845744 -7.727545e-05
  0.9888308 -2.726359e-05
  0.9928918 6.014508e-08
  0.9967716 7.578673e-06
  1.0 0.0
