NACA 65-410
  1.0 0.0
  0.9970581 0.0005648007
  0.9934997 0.001246211
  0.989746 0.001962984
  0.9857768 0.002718627
  0.9815702 0.003516889
  0.9771035 0.00436163
  0.9723541 0.005256544
  0.9673027 0.00620469
  0.9619367 0.007207733
  0.9562562 0.008264858
  0.9502822 0.009371433
  0.9440661 0.01051731
  0.9378499 0.01165799
  0.9317223 0.01277786
  0.9256232 0.01388851
  0.9195088 0.01499849
  0.9133483 0.01611384
  0.9071235 0.01723831
  0.9008352 0.01837221
  0.8945658 0.01950106
  0.8883322 0.02062137
  0.8821174 0.02173551
  0.8759081 0.0228452
  0.8696946 0.0239515
  0.86347 0.02505491
  0.857231 0.02615532
  0.8509772 0.02725203
  0.8447118 0.02834384
  0.8384393 0.02942966
  0.8321637 0.0305086
  0.8258882 0.03157992
  0.819615 0.03264305
  0.8133457 0.03369756
  0.8070809 0.03474319
  0.8008205 0.03577981
  0.7945635 0.03680738
  0.7883088 0.03782587
  0.7820552 0.03883516
  0.7758021 0.0398351
  0.7695491 0.04082551
  0.7632959 0.04180613
  0.7570426 0.04277669
  0.7507896 0.04373685
  0.7445375 0.04468625
  0.7382868 0.04562441
  0.732038 0.04655088
  0.7257912 0.04746522
  0.7195464 0.04836705
  0.7133034 0.04925601
  0.7070617 0.05013177
  0.7008206 0.05099403
  0.6945794 0.05184255
  0.6883373 0.05267734
  0.6820937 0.05349839
  0.6758484 0.05430567
  0.6696014 0.05509911
  0.6633529 0.05587862
  0.6571034 0.05664405
  0.6508537 0.05739527
  0.6446048 0.05813202
  0.6383576 0.05885379
  0.6321129 0.05956
  0.6258709 0.06025014
  0.6196319 0.06092373
  0.6133956 0.06158032
  0.6071616 0.06221948
  0.6009291 0.06284083
  0.5946971 0.06344401
  0.5884647 0.06402889
  0.5822313 0.06459531
  0.5759968 0.06514311
  0.5697613 0.06567207
  0.5635256 0.06618194
  0.5572907 0.06667246
  0.551058 0.06714334
  0.5448292 0.06759421
  0.5386062 0.06802424
  0.5323901 0.06843251
  0.5261815 0.06881813
  0.5199802 0.06918028
  0.5137856 0.06951819
  0.5075963 0.06983108
  0.5014104 0.07011821
  0.4952254 0.07037894
  0.4890388 0.07061352
  0.4828483 0.07082258
  0.4766525 0.0710067
  0.4704503 0.07116644
  0.4642414 0.07130232
  0.4580259 0.07141485
  0.4518047 0.07150453
  0.4455791 0.07157184
  0.4393509 0.07161699
  0.4331214 0.07163996
  0.4268916 0.07164079
  0.4206624 0.0716195
  0.4144339 0.07157614
  0.4082062 0.07151074
  0.4019786 0.07142333
  0.3957505 0.07131392
  0.3895207 0.07118276
  0.3832883 0.07103021
  0.3770527 0.07085667
  0.3708137 0.07066253
  0.3645712 0.07044818
  0.3583255 0.07021403
  0.3520773 0.06996051
  0.3458275 0.06968805
  0.3395771 0.06939683
  0.3333274 0.06908674
  0.3270791 0.06875766
  0.3208332 0.0684095
  0.3145902 0.06804214
  0.3083506 0.06765548
  0.3021148 0.06724939
  0.295883 0.06682377
  0.2896552 0.06637839
  0.2834316 0.06591297
  0.2772121 0.0654272
  0.270997 0.06492077
  0.2647863 0.06439339
  0.25858 0.06384477
  0.2523783 0.06327459
  0.2461812 0.06268257
  0.2399889 0.06206844
  0.2338014 0.061432
  0.2276187 0.06077304
  0.2214409 0.06009133
  0.2152679 0.05938665
  0.2090995 0.05865878
  0.2029355 0.05790746
  0.1967758 0.05713245
  0.1906202 0.05633335
  0.1844689 0.05550951
  0.1783228 0.05466031
  0.1721831 0.05378527
  0.1660521 0.05288396
  0.159932 0.05195612
  0.1538261 0.05100161
  0.1477379 0.05002042
  0.1416715 0.04901249
  0.1356304 0.04797706
  0.1296164 0.04691296
  0.1236297 0.0458188
  0.1176688 0.04469289
  0.1117306 0.04353322
  0.1058107 0.04233743
  0.09990307 0.04110269
  0.09400039 0.03982573
  0.08809934 0.03850369
  0.08221169 0.03713703
  0.07636629 0.0357307
  0.07060664 0.03429437
  0.06497857 0.0328366
  0.05949833 0.031356
  0.05414781 0.0298428
  0.04888397 0.02827963
  0.04364577 0.02664188
  0.03841453 0.0249184
  0.03330121 0.02314402
  0.02851084 0.02139669
  0.02421844 0.01975742
  0.02048366 0.01826726
  0.0172989 0.01691146
  0.01461995 0.01567068
  0.01236835 0.01452988
  0.01045967 0.01347386
  0.008826171 0.01249045
  0.007420354 0.01157138
  0.006203215 0.01070877
  0.00514246 0.009890427
  0.004210534 0.009083527
  0.003387413 0.008264993
  0.002664886 0.007439133
  0.00204023 0.006623437
  0.001507096 0.005826621
  0.001058587 0.005052072
  0.0006887227 0.004300524
  0.0003928779 0.003571423
  0.0001678643 0.002863609
  1.192235e-05 0.00217566
  -7.526664e-05 0.001506048
  -9.248781e-05 0.0008532132
  -3.677164e-05 0.0002155701
  9.648222e-05 -0.0004086397
  0.0003079488 -0.001022591
  0.0005963139 -0.001629917
  0.0009621602 -0.002233763
  0.001407926 -0.002836911
  0.001937925 -0.003441844
  0.002558434 -0.004050681
  0.003277718 -0.00466492
  0.004105615 -0.005284761
  0.005051686 -0.005907507
  0.006119204 -0.006524031
  0.007297287 -0.007115938
  0.008596957 -0.007678351
  0.01006272 -0.008227755
  0.01174818 -0.00877755
  0.01371277 -0.009335602
  0.01602972 -0.009912599
  0.01879623 -0.01051305
  0.02211538 -0.01113673
  0.02605062 -0.01178873
  0.03060672 -0.01249261
  0.03574007 -0.01324577
  0.04128307 -0.01401204
  0.04699945 -0.01475155
  0.05273606 -0.01544224
  0.05849329 -0.01608566
