NACA 66-018
  1.0 0.0
  0.9965624 0.0003766982
  0.9923173 0.000844214
  0.9877764 0.001349701
  0.9829649 0.001897289
  0.9779221 0.002491499
  0.9726921 0.003137537
  0.9673167 0.00384042
  0.9618331 0.00460564
  0.9562658 0.005440375
  0.9506209 0.006354843
  0.944881 0.007362133
  0.9390123 0.00846837
  0.9329817 0.009676336
  0.9267615 0.0109877
  0.9203326 0.01240151
  0.9136847 0.0139135
  0.9068173 0.01551493
  0.8997447 0.01719078
  0.8925009 0.01892162
  0.8851332 0.02069476
  0.8776879 0.02250008
  0.8702034 0.02432901
  0.862707 0.02617545
  0.8552132 0.02803631
  0.8477234 0.0299117
  0.840227 0.03180329
  0.8327122 0.03371088
  0.8251714 0.03563297
  0.8176015 0.0375668
  0.8100045 0.0395083
  0.8023875 0.04145196
  0.794763 0.043391
  0.7871464 0.04531864
  0.7795517 0.04722916
  0.7719894 0.04911769
  0.7644673 0.05098029
  0.7569903 0.05281384
  0.7495605 0.05461602
  0.7421777 0.05638515
  0.7348401 0.05811987
  0.7275452 0.05981905
  0.7202898 0.0614818
  0.71307 0.06310739
  0.705881 0.06469524
  0.6987179 0.0662449
  0.6915752 0.06775601
  0.6844501 0.06922794
  0.6773433 0.07065932
  0.6702596 0.0720481
  0.6632071 0.0733917
  0.6561971 0.07468723
  0.6492435 0.0759316
  0.6423616 0.07712108
  0.6355614 0.07825078
  0.6288443 0.07931737
  0.6222038 0.08031905
  0.6156269 0.08125504
  0.6090954 0.08212507
  0.6025858 0.08292904
  0.5960692 0.08366698
  0.5895142 0.08434324
  0.5828936 0.08496468
  0.5761857 0.08553705
  0.5693749 0.08606527
  0.5624525 0.08655378
  0.555419 0.08700671
  0.5482862 0.08742812
  0.5410772 0.0878201
  0.5338174 0.08818102
  0.5265282 0.08850944
  0.5192259 0.08880449
  0.5119209 0.08906581
  0.5046176 0.0892934
  0.4973144 0.0894875
  0.4900046 0.08964867
  0.4826817 0.08977772
  0.4753411 0.08987537
  0.4679804 0.08994224
  0.4605995 0.0899789
  0.4532005 0.08998595
  0.445788 0.08996401
  0.438368 0.0899132
  0.4309459 0.08983326
