NACA 747A315
  1.0 0.0
  0.9967241 0.000204196
  0.9928028 0.0004689913
  0.9887166 0.0007685754
  0.9844535 0.001106927
  0.9800008 0.001488507
  0.9753459 0.001918273
  0.9704768 0.002401662
  0.9653828 0.002944511
  0.960056 0.003552894
  0.954493 0.004232837
  0.9486967 0.004989853
  0.942679 0.005827153
  0.9364588 0.006743678
  0.9300602 0.007735901
  0.9235108 0.008798269
  0.9168391 0.009923636
  0.910071 0.0111039
  0.9032278 0.01233074
  0.8963233 0.01359647
  0.8893649 0.01489674
  0.8823572 0.01622968
  0.8753044 0.0175935
  0.8682093 0.01898656
  0.8610734 0.02040733
  0.8538971 0.02185451
  0.8466791 0.023327
  0.8394173 0.02482351
  0.8321105 0.02634207
  0.8247596 0.02788024
  0.8173674 0.02943499
  0.8099392 0.03100275
  0.8024826 0.03257933
  0.7950075 0.03416009
  0.7875248 0.03574143
  0.7800434 0.03732078
  0.7725693 0.03889619
  0.7651053 0.04046634
  0.757652 0.04203049
  0.7502066 0.0435885
  0.7427645 0.04514124
  0.7353216 0.04669078
  0.7278764 0.04823891
  0.7204298 0.04978689
  0.7129856 0.05133543
  0.7055497 0.05288472
  0.6981308 0.05443427
  0.6907377 0.05598083
  0.6833762 0.05751974
  0.6760487 0.05904706
  0.6687539 0.06055967
  0.6614879 0.06205516
  0.6542435 0.06353179
  0.6470111 0.06498881
  0.6397816 0.06642775
  0.6325486 0.06785025
  0.6253093 0.06925726
  0.6180636 0.07064912
  0.6108148 0.07202558
  0.6035694 0.07338581
  0.5963363 0.07472799
  0.5891242 0.07604883
  0.5819389 0.07734533
  0.5747839 0.07861508
  0.5676601 0.07985617
  0.5605662 0.08106715
  0.5534987 0.08224699
  0.5464525 0.08339532
  0.5394222 0.08451279
  0.5324032 0.08560004
  0.5253914 0.08665753
  0.5183833 0.08768559
  0.511376 0.08868441
  0.5043669 0.08965405
  0.4973543 0.09059435
  0.4903382 0.09150449
  0.4833221 0.09238309
  0.4763133 0.09322843
  0.4693221 0.09403857
  0.4623623 0.09481141
  0.4554503 0.09554488
  0.4486042 0.0962367
  0.4418402 0.09688225
  0.4351661 0.09747674
  0.4285816 0.09801662
  0.4220801 0.09849921
  0.4156495 0.09892232
  0.4092732 0.09928392
  0.4029307 0.09958176
  0.3965972 0.09981394
  0.3902477 0.09998304
  0.3838613 0.1000927
  0.3774216 0.1001459
  0.3709167 0.1001452
  0.3643398 0.100093
  0.3576899 0.09999177
  0.350973 0.09984455
  0.3442027 0.09965441
  0.3373967 0.09942207
  0.330571 0.09914751
  0.3237393 0.09883095
  0.316912 0.09847278
  0.3100966 0.09807344
  0.3032973 0.09763336
  0.296515 0.0971528
  0.2897483 0.09663173
  0.2829949 0.09606981
  0.2762529 0.09546668
  0.2695206 0.0948219
  0.2627965 0.09413504
  0.2560792 0.09340563
  0.2493678 0.09263319
  0.2426612 0.09181725
  0.235959 0.09095767
  0.2292615 0.09005454
  0.2225699 0.08910809
  0.2158863 0.08811871
  0.2092136 0.08708697
  0.2025557 0.08601366
  0.1959173 0.08489981
  0.1893038 0.08374625
  0.1827209 0.08255278
  0.1761741 0.08131909
  0.1696683 0.08004496
  0.1632081 0.07873024
  0.1567975 0.07737489
  0.1504401 0.07597893
  0.1441389 0.07454242
  0.1378972 0.0730653
  0.1317191 0.07154737
  0.1256095 0.06998884
  0.1195739 0.06839035
  0.1136184 0.06675296
  0.1077493 0.06507816
  0.1019728 0.06336782
  0.09629506 0.06162414
  0.09072246 0.05984983
  0.08526887 0.05805073
  0.07996251 0.0562385
  0.07484032 0.05442938
  0.06993982 0.05264169
  0.06529153 0.05089074
  0.06090862 0.04918144
  0.05678468 0.04751264
  0.05290244 0.04588028
  0.04924032 0.04427903
  0.0457761 0.04270321
  0.04248918 0.04114789
  0.03936716 0.03961319
  0.03640829 0.03810458
  0.03361546 0.03663008
  0.03099149 0.03519799
  0.02853651 0.03381534
  0.02624702 0.03248707
  0.02411612 0.03121583
  0.02213441 0.03000218
  0.02029108 0.028845
  0.01857662 0.02773963
  0.01698253 0.02667876
  0.01549948 0.02565581
  0.01411807 0.02466521
  0.01282944 0.02370224
  0.01162542 0.02276295
  0.01049864 0.02184402
  0.009442506 0.02094265
  0.008451217 0.02005653
  0.007520541 0.01918421
  0.006647271 0.01832482
  0.005828499 0.01747773
  0.005061535 0.01664246
  0.004343866 0.01581862
  0.003675015 0.01500366
  0.003057989 0.01419059
  0.002495096 0.01337261
  0.001987647 0.01254398
  0.001534338 0.01170464
  0.001132446 0.01085799
  0.0007796387 0.01000688
  0.0004739798 0.009153638
  0.0002138921 0.008300181
  -1.867074e-06 0.00744809
  -0.0001742263 0.00659869
  -0.0003038131 0.005753098
  -0.0003909597 0.004912267
  -0.0004357024 0.00407702
  -0.0004377719 0.003248078
  -0.0003965759 0.002426087
  -0.0003111701 0.001611633
  -0.0001802165 0.0008052684
  -1.924315e-06 7.522101e-06
  0.0002254449 -0.0007813451
  0.0005017539 -0.001562092
  0.0008266461 -0.002335565
  0.001200106 -0.003102401
  0.001622425 -0.003863027
  0.002094165 -0.004617646
  0.002616129 -0.005366206
  0.003189318 -0.006108354
  0.00381487 -0.006843377
  0.004493977 -0.007570106
  0.005227756 -0.008286801
  0.006017057 -0.008990995
  0.006862172 -0.0096793
  0.00776242 -0.01034718
  0.008716638 -0.01099113
  0.009726124 -0.01161565
  0.01079337 -0.01222905
  0.01192184 -0.01283851
  0.01311577 -0.01344543
  0.01437964 -0.01405058
  0.01571816 -0.01465489
  0.01713633 -0.01525934
  0.01864132 -0.0158647
  0.02024183 -0.01647183
  0.0219476 -0.01708188
  0.02376943 -0.01769651
  0.02571945 -0.0183181
  0.02781096 -0.01894999
  0.030058 -0.01959671
  0.03247674 -0.02026138
  0.03508567 -0.02094463
