NACA CYH
  1.0 0.0205
  0.996608 0.02108373
  0.9925095 0.0217916
  0.9881927 0.02254023
  0.9836377 0.02333357
  0.978824 0.02417573
  0.9737322 0.0250708
  0.9683453 0.02602247
  0.9626526 0.02703346
  0.9566539 0.02810468
  0.9503653 0.02923418
  0.9438241 0.03041589
  0.9370856 0.03163915
  0.9302132 0.03289109
  0.9232685 0.03415879
  0.9163034 0.03543087
  0.9093552 0.03669858
  0.9024433 0.03795647
  0.8955703 0.03920233
  0.8887279 0.04043732
  0.8819068 0.04166368
  0.8750988 0.04288341
  0.8682968 0.04409832
  0.8614944 0.04531004
  0.8546863 0.04652002
  0.8478679 0.04772958
  0.8410353 0.04893988
  0.8341856 0.05015195
  0.8273165 0.05136669
  0.8204267 0.05258485
  0.8135155 0.05380705
  0.8065836 0.05503374
  0.7996321 0.05626522
  0.7926634 0.05750152
  0.7856831 0.05874169
  0.7787111 0.05998217
  0.771749 0.06122264
  0.7647942 0.06246353
  0.7578441 0.06370524
  0.7508964 0.06494816
  0.7439487 0.06619268
  0.7369988 0.06743916
  0.7300445 0.06868797
  0.7230836 0.06993946
  0.7161142 0.07119396
  0.7091364 0.07245143
  0.7021669 0.07370879
  0.695212 0.0749648
  0.6882731 0.07621817
  0.6813511 0.07746712
  0.6744468 0.07870995
  0.6675604 0.07994507
  0.660692 0.08117095
  0.6538414 0.08238612
  0.6470079 0.08358924
  0.6401908 0.08477898
  0.6333889 0.08595412
  0.6266009 0.08711348
  0.6198252 0.08825594
  0.61306 0.08938042
  0.6063032 0.09048589
  0.5995525 0.09157134
  0.5928054 0.09263606
  0.5860596 0.09368021
  0.5793135 0.09470403
  0.5725654 0.09570772
  0.5658142 0.09669139
  0.559059 0.0976551
  0.5522993 0.09859884
  0.545535 0.09952256
  0.5387662 0.1004262
  0.5319934 0.1013095
  0.5252174 0.1021724
  0.5184395 0.1030147
  0.511661 0.1038361
  0.504884 0.1046363
  0.4981104 0.1054152
  0.4913428 0.1061721
  0.4845833 0.1069064
  0.4778335 0.1076173
  0.4710945 0.1083042
  0.4643669 0.1089665
