NACA M6
  1.0 0.0026
  0.996454 0.003025376
  0.9921701 0.003542192
  0.9876592 0.004089828
  0.982902 0.004671211
  0.9778789 0.005289358
  0.9725721 0.005947191
  0.9669676 0.006647246
  0.9610589 0.007391212
  0.9548518 0.008179307
  0.9483693 0.009009539
  0.9416551 0.009877458
  0.934767 0.01077723
  0.9277666 0.01170245
  0.9207106 0.01264707
  0.9136442 0.01360631
  0.9065967 0.01457726
  0.8995805 0.01555915
  0.8925923 0.01655285
  0.8856218 0.01755869
  0.8786597 0.01857664
  0.8716975 0.01960662
  0.864728 0.0206484
  0.8577448 0.02170167
  0.8507426 0.02276598
  0.8437169 0.02384073
  0.8366643 0.02492518
  0.8295823 0.0260184
  0.8224695 0.02711924
  0.8153257 0.02822639
  0.8081518 0.02933828
  0.8009501 0.0304531
  0.7937242 0.031569
  0.7864786 0.03268497
  0.7792176 0.03380037
  0.7719495 0.03491401
  0.7646868 0.03602403
  0.7574276 0.03713083
  0.7501688 0.03823492
  0.7429079 0.03933678
  0.7356428 0.04043679
  0.7283721 0.04153525
  0.7211038 0.04263099
  0.7138433 0.04372332
  0.7065911 0.0448122
  0.6993475 0.0458977
  0.6921122 0.04697977
  0.6848851 0.04805791
  0.6776656 0.04913155
  0.6704537 0.0502001
  0.663249 0.05126297
  0.6560516 0.05231957
  0.6488615 0.05336927
  0.6416786 0.05441147
  0.6345031 0.05544556
  0.6273351 0.0564709
  0.620175 0.05748688
  0.6130231 0.05849287
  0.6058796 0.05948823
  0.5987452 0.06047233
  0.5916202 0.06144447
  0.5845052 0.06240373
  0.5774006 0.06334922
  0.5703066 0.06428005
  0.5632235 0.06519538
  0.5561514 0.06609436
  0.5490904 0.06697617
  0.5420404 0.06784003
  0.5350015 0.06868515
  0.5279734 0.06951079
  0.5209559 0.07031619
  0.5139486 0.07110064
  0.5069513 0.07186341
  0.4999635 0.07260382
  0.4929846 0.0733212
  0.4860143 0.0740151
  0.4790522 0.07468507
  0.4720979 0.07533068
  0.465151 0.07595149
  0.4582111 0.07654707
  0.4512779 0.07711697
  0.444351 0.07766075
  0.4374301 0.07817796
  0.4305149 0.07866816
  0.423605 0.07913088
  0.4167002 0.07956567
  0.4098001 0.07997209
  0.4029044 0.08034965
  0.3960129 0.08069791
  0.3891254 0.08101635
  0.3822419 0.08130444
  0.3753627 0.08156164
  0.368488 0.08178741
  0.3616185 0.0819812
  0.3547548 0.08214248
  0.3478977 0.08227073
  0.3410483 0.08236543
  0.3342078 0.0824261
  0.3273773 0.08245227
  0.3205584 0.0824435
  0.3137526 0.08239939
  0.3069617 0.08231957
  0.3001874 0.08220372
  0.2934317 0.08205143
  0.2866962 0.08186174
  0.2799819 0.08163357
  0.273289 0.08136584
  0.266617 0.08105748
  0.2599646 0.08070734
  0.2533299 0.08031426
  0.2467103 0.07987699
  0.240103 0.07939496
  0.2335054 0.07886835
  0.2269154 0.07829729
  0.2203317 0.07768193
  0.2137532 0.07702244
  0.2071798 0.07631899
  0.2006114 0.0755718
  0.1940491 0.07478095
  0.1874949 0.0739455
  0.1809539 0.07306449
  0.1744334 0.07213749
  0.167943 0.07116467
  0.1614947 0.07014684
  0.155102 0.06908555
  0.1487798 0.06798303
  0.1425433 0.06684091
  0.1364042 0.06565796
  0.1303674 0.06443197
  0.124432 0.06316004
  0.1185924 0.06183852
  0.1128392 0.06046293
  0.1071603 0.05902781
  0.1015407 0.05752649
  0.09596331 0.05595186
  0.09041635 0.05430661
  0.08491111 0.05260503
  0.07948391 0.05086994
  0.07419009 0.04913142
  0.06909234 0.0474155
  0.06423952 0.04572811
  0.05965542 0.04406956
  0.05534391 0.04243827
  0.05129598 0.04083164
  0.04749587 0.03924719
  0.04393 0.03768837
  0.04058861 0.03616195
  0.03746229 0.03467373
  0.03454081 0.03322806
  0.03181264 0.03182769
  0.02926525 0.03047387
  0.02688583 0.02916675
  0.02466192 0.02790576
  0.02258072 0.02668562
  0.02063143 0.02549415
  0.01880831 0.02432452
  0.01710723 0.02317449
  0.01552333 0.02204422
  0.01405032 0.02093485
  0.01268056 0.01984757
  0.01140688 0.01878397
  0.01022782 0.01774818
  0.009140407 0.01674233
  0.008139247 0.0157661
  0.007218241 0.01481801
  0.006371405 0.01389602
  0.005593229 0.01299794
  0.004878809 0.01212161
  0.004223856 0.01126496
  0.003624665 0.01042605
  0.003078062 0.009603111
  0.002581351 0.008794479
  0.002132259 0.007998636
  0.001728893 0.007214173
  0.001369705 0.006439772
  0.001053456 0.005674199
  0.0007791945 0.00491628
  0.0005462413 0.004164896
  0.0003541755 0.003418961
  0.0002028312 0.002677413
  9.229748e-05 0.001939197
  2.292658e-05 0.001203252
  -4.651754e-06 0.0004684966
  1.047058e-05 -0.0002661878
  6.843708e-05 -0.001001718
  0.0001681623 -0.001738639
  0.000308754 -0.002477411
  0.0004896024 -0.00321844
  0.0007103555 -0.003962086
  0.0009709035 -0.004708661
  0.001271369 -0.005458429
  0.001612102 -0.006211604
  0.001993681 -0.006968347
  0.002416918 -0.007728748
  0.002882868 -0.008492823
  0.003392846 -0.009260489
  0.003948438 -0.01003154
  0.004551529 -0.01080561
  0.00520433 -0.01158213
  0.005909397 -0.01236025
  0.006669667 -0.01313876
  0.007488474 -0.01391597
  0.008369555 -0.01468947
  0.009317025 -0.01545599
  0.01033529 -0.01621095
  0.01142883 -0.01694802
  0.0126018 -0.01765845
  0.01385866 -0.01833313
  0.01520742 -0.01896994
  0.01665767 -0.01956925
  0.01822001 -0.02013315
  0.01990583 -0.02066629
  0.02172704 -0.0211773
  0.02369541 -0.02168069
  0.02582187 -0.02219932
  0.02811765 -0.0227513
  0.03059453 -0.02333708
  0.03326095 -0.02395358
  0.03612046 -0.02459505
  0.03917116 -0.02525282
  0.04240713 -0.02591564
  0.04582124 -0.02657022
  0.04941175 -0.0272024
  0.05319646 -0.02780052
  0.05721461 -0.02836526
  0.06151356 -0.02890276
  0.0661434 -0.02942084
  0.0711471 -0.02993008
  0.07653563 -0.03044447
  0.08225502 -0.03096898
  0.08820773 -0.03148687
  0.0942991 -0.03197969
  0.1004716 -0.0324328
  0.106722 -0.03283904
  0.1130739 -0.03320267
  0.1195488 -0.03352965
  0.1261635 -0.03382591
  0.1329274 -0.03409764
  0.1398402 -0.03435155
  0.1468883 -0.03459501
  0.1540412 -0.03483559
  0.1612554 -0.03507481
  0.1684908 -0.03530898
  0.1757167 -0.0355346
  0.1829142 -0.03574869
  0.1900753 -0.03594871
  0.1972033 -0.03613255
  0.2043111 -0.03629854
  0.2114179 -0.03644796
  0.2185401 -0.03658409
  0.2256897 -0.03671009
  0.2328743 -0.03682905
  0.2400967 -0.03694404
  0.2473548 -0.03705815
  0.2546412 -0.03717427
  0.2619448 -0.03729283
  0.2692559 -0.03741252
  0.2765666 -0.03753204
  0.2838716 -0.03765009
  0.2911679 -0.03776546
  0.298455 -0.03787695
  0.3057344 -0.03798355
  0.3130091 -0.03808513
  0.3202818 -0.03818196
  0.3275549 -0.03827432
  0.3348303 -0.03836245
  0.3421096 -0.0384466
  0.349394 -0.03852701
  0.3566844 -0.03860392
  0.363981 -0.03867756
  0.3712841 -0.03874814
  0.3785931 -0.0388159
  0.3859073 -0.03888106
  0.3932256 -0.03894384
  0.4005463 -0.03900445
  0.4078675 -0.03906296
  0.4151872 -0.03911891
  0.4225035 -0.03917173
  0.4298149 -0.03922087
  0.4371199 -0.03926579
  0.4444175 -0.03930595
  0.4517067 -0.03934081
  0.4589868 -0.03936985
