 NLR-7223-43 AIRFOIL
  1.0 0.0
  0.9971261 0.0005109032
  0.9934681 0.001170338
  0.9893853 0.001918457
  0.9848443 0.002765398
  0.979869 0.003703503
  0.974533 0.004700935
  0.9689102 0.00572074
  0.9630581 0.006744417
  0.9570374 0.007760306
  0.9509043 0.008759418
  0.9446978 0.009736956
  0.9384318 0.01069294
  0.9320957 0.01163278
  0.9256749 0.01256461
  0.9191628 0.01349596
  0.9125628 0.01443347
  0.9058904 0.01538247
  0.89917 0.01634299
  0.8924254 0.01731139
  0.8856754 0.01828449
  0.8789335 0.01925987
  0.8722073 0.02023568
  0.8655006 0.02120863
  0.8588169 0.02217441
  0.8521599 0.0231287
  0.8455335 0.02406751
  0.838938 0.02498837
  0.8323657 0.02589024
  0.8258007 0.02677314
  0.8192205 0.02763898
  0.8126059 0.02849283
  0.8059505 0.02933889
  0.7992622 0.03017964
  0.792563 0.03101521
  0.7858765 0.03184187
  0.7792131 0.03265643
  0.7725687 0.03345755
  0.7659252 0.03424563
  0.7592596 0.03502374
  0.7525637 0.03579483
  0.7458509 0.03655948
  0.739157 0.03731583
  0.7325341 0.03805747
  0.7260191 0.03877172
  0.7196157 0.03944915
  0.7132996 0.04008408
  0.7070248 0.04067375
  0.7007353 0.04122381
  0.6943875 0.04174365
  0.6879542 0.04224093
  0.6814263 0.04272196
  0.6748168 0.04319188
  0.668158 0.04365293
  0.6614787 0.04410534
  0.6547951 0.04454911
  0.648114 0.04498209
  0.6414361 0.04540242
  0.6347571 0.04580995
  0.6280695 0.04620519
  0.6213638 0.04658946
  0.614639 0.04696525
  0.6079078 0.04733414
  0.6011867 0.04769437
  0.5944765 0.04804331
  0.5877627 0.04838062
  0.5810371 0.0487087
  0.5743087 0.04902873
  0.5675878 0.049339
  0.5608696 0.04963812
  0.5541434 0.04992721
  0.5474066 0.05020795
  0.5406662 0.05048109
  0.5339315 0.05074542
  0.5272061 0.05099964
  0.5204878 0.0512432
  0.5137674 0.05147603
  0.5070301 0.05169878
  0.5002689 0.05191427
  0.4934991 0.05212529
  0.4867534 0.05233111
  0.4800439 0.05252518
  0.4733429 0.05270323
