NASA  NLF1015
  1.0 0.0
  0.9969693 0.001285682
  0.9931676 0.002988001
  0.9889892 0.004941206
  0.9844441 0.007107018
  0.9796505 0.009386942
  0.9747405 0.01167742
  0.9697586 0.01391647
  0.9646729 0.01610345
  0.9594494 0.0182553
  0.9540663 0.02038272
  0.9485181 0.02249066
  0.9428112 0.0245836
  0.9369573 0.0266666
  0.9309745 0.02874482
  0.9248858 0.03082135
  0.9187142 0.03289254
  0.9124804 0.03495448
  0.9062016 0.03700488
  0.8998909 0.03904311
  0.8935569 0.04106822
  0.8872054 0.04307843
  0.8808409 0.0450725
  0.8744662 0.04704971
  0.8680825 0.04900987
  0.86169 0.05095319
  0.8552886 0.05287988
  0.8488786 0.05479011
  0.8424606 0.05668391
  0.8360356 0.05856126
  0.8296047 0.06042198
  0.8231691 0.06226558
  0.8167298 0.06409156
  0.8102878 0.06589944
  0.8038439 0.06768882
  0.797399 0.0694593
  0.7909536 0.07121043
  0.7845083 0.07294159
  0.7780634 0.07465215
  0.7716192 0.07634153
  0.7651757 0.07800919
  0.758733 0.07965461
  0.752291 0.08127733
  0.7458495 0.08287688
  0.7394084 0.08445283
  0.7329677 0.08600471
  0.7265274 0.08753207
  0.7200874 0.08903443
  0.7136478 0.09051133
  0.7072087 0.09196216
  0.7007704 0.09338604
  0.6943339 0.09478204
  0.6879003 0.09614911
  0.6814714 0.09748619
  0.6750493 0.09879214
  0.6686364 0.1000658
  0.6622351 0.1013053
  0.6558473 0.1025088
  0.6494737 0.1036744
  0.6431144 0.1048005
  0.6367686 0.1058857
  0.6304345 0.1069286
  0.6241097 0.1079282
  0.6177917 0.1088842
  0.6114778 0.1097966
  0.6051655 0.1106656
  0.5988523 0.111491
  0.592536 0.1122728
  0.5862142 0.1130108
  0.5798845 0.1137049
  0.5735449 0.1143553
  0.5671935 0.1149631
  0.5608289 0.1155293
  0.5544501 0.1160548
  0.5480565 0.1165404
  0.5416477 0.116987
  0.5352239 0.1173952
  0.5287857 0.1177659
  0.5223335 0.1180997
  0.5158683 0.1183973
  0.5093908 0.1186596
  0.5029021 0.1188872
  0.4964035 0.1190809
  0.4898962 0.1192415
  0.4833817 0.1193697
  0.4768613 0.1194657
  0.4703363 0.1195298
  0.4638076 0.119562
  0.457276 0.1195627
  0.4507423 0.1195322
  0.4442068 0.1194706
  0.4376699 0.1193781
  0.4311318 0.119255
  0.4245927 0.1191013
  0.418053 0.1189171
  0.411513 0.1187025
  0.4049733 0.1184575
  0.3984344 0.1181823
  0.3918968 0.1178771
  0.3853611 0.1175417
  0.378828 0.117176
  0.3722978 0.1167801
  0.3657711 0.1163537
  0.3592483 0.1158969
  0.3527296 0.1154096
  0.3462153 0.1148916
  0.3397058 0.1143428
  0.3332013 0.1137631
  0.3267021 0.1131522
  0.3202087 0.11251
  0.3137214 0.1118364
  0.3072407 0.1111312
  0.300767 0.1103942
  0.294301 0.1096252
  0.2878432 0.1088238
  0.2813942 0.1079898
  0.2749548 0.1071229
  0.2685258 0.1062229
  0.2621078 0.1052894
  0.2557017 0.1043223
  0.2493085 0.1033209
  0.2429287 0.1022848
  0.2365632 0.1012136
  0.2302126 0.1001067
  0.2238772 0.09896357
  0.2175577 0.09778379
  0.2112546 0.09656671
  0.2049688 0.09531173
  0.1987012 0.09401833
  0.1924531 0.09268604
  0.1862259 0.09131447
  0.1800212 0.08990327
  0.1738409 0.08845176
  0.167687 0.08695918
  0.1615611 0.0854248
  0.1554652 0.08384796
  0.1494009 0.08222803
  0.1433699 0.08056426
  0.1373748 0.07885554
  0.1314186 0.07710094
  0.1255055 0.07529988
  0.1196396 0.07345215
  0.1138261 0.07155789
  0.1080703 0.06961692
  0.1023763 0.06762848
  0.09674695 0.06559152
  0.09118341 0.06350463
  0.08568578 0.06136603
  0.08025649 0.05917363
  0.07490768 0.05692851
  0.06966133 0.05463703
  0.0645463 0.05231056
  0.05959433 0.04996408
  0.05483052 0.04760957
  0.05026077 0.04525073
  0.04587572 0.04288452
  0.04165712 0.04050292
  0.03758852 0.03809688
  0.03369829 0.03568213
  0.03006293 0.03331126
  0.02675819 0.03104852
  0.02381947 0.02894069
  0.02123565 0.02699863
  0.01895703 0.02519911
  0.01692539 0.02351034
  0.01509096 0.02190308
  0.0134149 0.02035294
  0.01186777 0.01883988
  0.01042677 0.01734945
  0.009083539 0.0158839
  0.007843372 0.0144614
  0.006713846 0.01310498
  0.005697134 0.01183265
  0.004788064 0.01065277
  0.003976268 0.009564924
  0.00325273 0.008562732
  0.00261714 0.007634133
  0.002065179 0.006764831
  0.001590368 0.005942016
  0.001186568 0.005154987
  0.0008487849 0.004394899
  0.0005733418 0.003654321
  0.0003578723 0.002926798
  0.0002012916 0.002206476
  0.0001038226 0.001487755
  6.691508e-05 0.0007651191
  9.007286e-05 3.582203e-05
  0.0001714627 -0.0007000797
  0.0003106573 -0.001441958
  0.0005085253 -0.002188576
  0.0007671292 -0.002937881
  0.001089688 -0.003686695
  0.001480559 -0.004430244
  0.001945178 -0.005161473
  0.002489796 -0.005871111
  0.003120734 -0.006555992
  0.003844861 -0.007217503
  0.004670075 -0.007857722
  0.005605338 -0.008479729
  0.006660528 -0.009088178
  0.007845839 -0.009690189
  0.009170182 -0.01029681
  0.01063742 -0.01092525
  0.01224696 -0.01159535
  0.01401227 -0.01231182
  0.01594845 -0.01307289
  0.01806546 -0.01387227
  0.02036699 -0.01469884
  0.02285478 -0.01553854
  0.02554207 -0.01637894
  0.02846424 -0.01721639
  0.03166572 -0.01805462
  0.0351996 -0.01889893
  0.03912401 -0.0197558
  0.04348833 -0.02063248
  0.04829591 -0.02153131
  0.05348627 -0.02243356
  0.05895163 -0.02331239
  0.06457852 -0.02414689
  0.07030084 -0.02492891
  0.07611867 -0.02566163
  0.08205021 -0.0263502
  0.08810602 -0.02699871
  0.09428563 -0.02761045
  0.1005741 -0.02818796
  0.106944 -0.02873144
  0.1133689 -0.02923975
  0.1198278 -0.02971281
  0.1263074 -0.03015159
  0.1328024 -0.03055786
  0.1393148 -0.03093376
  0.1458488 -0.03128111
  0.1524069 -0.03160159
  0.1589902 -0.03189678
  0.165598 -0.03216822
  0.1722279 -0.03241741
  0.1788762 -0.03264543
  0.1855394 -0.03285292
  0.1922145 -0.03304062
  0.1988993 -0.03320927
  0.2055921 -0.0333597
  0.2122919 -0.03349277
  0.2189985 -0.0336092
  0.2257117 -0.03370947
  0.2324312 -0.03379403
  0.2391568 -0.03386333
  0.2458882 -0.03391783
  0.2526248 -0.03395798
  0.2593663 -0.03398424
  0.2661121 -0.03399694
  0.2728616 -0.03399631
  0.2796143 -0.03398257
  0.2863698 -0.03395596
  0.2931275 -0.03391671
  0.299887 -0.03386508
  0.3066478 -0.03380129
  0.3134095 -0.03372548
  0.3201717 -0.03363768
  0.3269343 -0.03353794
  0.3336971 -0.03342628
  0.3404599 -0.03330275
  0.347223 -0.03316738
  0.3539863 -0.0330202
  0.3607502 -0.03286126
  0.3675147 -0.0326906
  0.3742799 -0.03250831
  0.3810456 -0.03231445
  0.3878116 -0.03210909
  0.3945772 -0.03189234
  0.4013421 -0.03166426
  0.4081052 -0.03142494
  0.4148659 -0.03117402
  0.4216227 -0.03091095
  0.4283745 -0.03063521
  0.4351196 -0.03034627
  0.4418563 -0.03004365
  0.4485825 -0.02972689
  0.4552961 -0.02939556
  0.4619949 -0.0290491
  0.4686769 -0.02868633
  0.4753408 -0.02830596
  0.4819865 -0.02790667
  0.4886143 -0.02748709
  0.4952257 -0.02704585
  0.5018226 -0.02658149
  0.5084079 -0.02609249
  0.514985 -0.02557785
  0.5215575 -0.02503773
  0.5281288 -0.02447243
  0.5347022 -0.02388222
  0.5412806 -0.02326733
  0.5478668 -0.02262798
  0.5544634 -0.02196436
  0.5610728 -0.02127668
  0.5676974 -0.0205656
  0.5743391 -0.01983261
  0.5809995 -0.01907933
  0.5876797 -0.01830748
  0.5943801 -0.01751884
  0.6011007 -0.01671532
  0.6078409 -0.01589894
  0.6145992 -0.01507182
  0.6213738 -0.01423575
  0.6281625 -0.01339213
  0.634963 -0.0125424
  0.6417728 -0.01168803
  0.648589 -0.01083055
  0.6554089 -0.009971502
