 NLR-1T AIRFOIL
  1.0 0.00104
  0.9969056 0.001491379
  0.9931114 0.002043362
  0.9890463 0.002632981
  0.9846787 0.003264382
  0.9799786 0.003941473
  0.9749222 0.004667133
  0.9695014 0.005441889
  0.9637376 0.00626206
  0.9576947 0.007118066
  0.9514738 0.007996582
  0.9451768 0.008885307
  0.9388794 0.009775918
  0.9326168 0.01066577
  0.926391 0.01155787
  0.9201951 0.0124574
  0.9140198 0.01336984
  0.9078542 0.01430097
  0.9016856 0.01525536
  0.8955027 0.01623278
  0.889299 0.01723137
  0.8830741 0.01824835
  0.876833 0.01927989
  0.870586 0.02032105
  0.8643422 0.02136661
  0.8581064 0.02241206
  0.8518787 0.02345367
  0.8456547 0.02448847
  0.8394258 0.02551424
  0.8331797 0.02653087
  0.8269076 0.02754146
  0.820608 0.02854854
  0.8142871 0.02955341
  0.8079595 0.03055614
  0.801648 0.03155553
  0.7953804 0.03254658
  0.7891764 0.03351814
  0.7830417 0.03446076
  0.7769691 0.03536753
  0.7709405 0.03623349
  0.7649287 0.03705579
  0.7589049 0.03783836
  0.7528513 0.03858678
  0.7467616 0.03930487
  0.740643 0.03999502
  0.7345154 0.04065789
  0.728403 0.04128954
  0.7223177 0.04188528
  0.7162574 0.04244205
  0.7102064 0.04295791
  0.7041377 0.04343406
  0.6980241 0.04387898
  0.6918475 0.04430173
  0.6855998 0.04471091
  0.6792851 0.04511482
  0.6729209 0.04552086
  0.6665329 0.04592919
  0.6601435 0.04633595
  0.6537685 0.04673768
  0.6474163 0.04713139
  0.6410888 0.04751463
  0.6347812 0.0478854
  0.6284843 0.04824323
  0.622189 0.04858926
  0.6158885 0.04892453
  0.6095783 0.04924993
  0.6032562 0.0495662
  0.5969222 0.04987399
  0.5905788 0.05017377
  0.5842294 0.05046556
  0.577877 0.05074928
  0.5715239 0.05102487
  0.5651719 0.05129234
  0.5588217 0.05155171
  0.5524735 0.05180304
  0.5461269 0.05204641
  0.5397812 0.05228181
  0.5334359 0.05250923
  0.5270903 0.05272868
  0.5207441 0.05294012
  0.514397 0.05314354
  0.5080485 0.05333892
  0.5016986 0.0535263
  0.4953471 0.0537058
  0.4889942 0.05387754
  0.48264 0.05404162
  0.4762849 0.05419816
  0.4699294 0.05434726
  0.463574 0.054489
  0.4572194 0.05462329
  0.4508659 0.05474997
  0.4445139 0.05486887
  0.4381633 0.05497984
  0.4318139 0.05508272
  0.4254653 0.05517736
  0.4191168 0.05526365
  0.4127679 0.05534161
  0.4064182 0.05541133
  0.4000675 0.05547287
  0.393716 0.0555263
  0.3873641 0.05557169
  0.3810123 0.05560911
  0.3746615 0.05563852
  0.3683123 0.0556597
  0.3619653 0.05567241
  0.3556205 0.05567642
  0.349278 0.0556715
  0.3429373 0.05565741
  0.3365978 0.05563393
  0.3302588 0.05560096
  0.3239199 0.0555585
  0.3175808 0.05550654
  0.3112416 0.05544509
  0.3049029 0.05537414
  0.2985653 0.05529372
  0.2922301 0.05520368
  0.2858981 0.05510356
  0.2795702 0.05499282
  0.2732472 0.05487097
  0.2669296 0.05473749
  0.2606175 0.05459187
  0.2543113 0.05443362
  0.2480107 0.05426236
  0.2417152 0.05407771
  0.235424 0.0538793
  0.2291358 0.05366672
  0.2228491 0.05343953
  0.216562 0.05319729
  0.2102737 0.05293958
  0.203985 0.05266605
  0.1976993 0.05237647
  0.1914214 0.05207073
  0.1851586 0.05174889
  0.1789185 0.05141057
  0.1727044 0.05105457
  0.1665133 0.05067933
  0.1603364 0.05028287
  0.154159 0.04986273
  0.1479612 0.04941618
  0.1417311 0.04894231
  0.1354794 0.04844228
  0.1292418 0.04791958
  0.1230769 0.04738029
  0.1170554 0.04682711
  0.1112213 0.04624471
  0.10557 0.04561376
  0.1000633 0.04491399
  0.09464088 0.04412372
  0.08923951 0.04323347
  0.08382498 0.04224402
  0.07839845 0.0411613
  0.07299694 0.03999762
  0.06767197 0.03875894
  0.06245551 0.03744526
  0.05735705 0.0360534
  0.05236906 0.03457863
  0.04748281 0.03302702
  0.04270456 0.03141269
  0.03805386 0.02975432
  0.03356563 0.02806896
  0.02933977 0.02637107
  0.0255194 0.02470696
  0.02218676 0.02312728
  0.0193318 0.02165655
  0.01688814 0.02028208
  0.01476954 0.01897588
  0.01290361 0.01771226
  0.01123699 0.01647023
  0.009731176 0.01523237
  0.008357483 0.01398442
  0.007099126 0.01272521
  0.005956529 0.01147234
  0.004934918 0.01025285
  0.004034325 0.009091517
  0.00324683 0.008003453
  0.002559097 0.006993358
  0.00196052 0.006058973
  0.00145087 0.005192764
  0.001025689 0.004383107
  0.0006787484 0.003618574
  0.0004046663 0.002889281
  0.0001996639 0.002186858
  6.174703e-05 0.001504072
  -9.200476e-06 0.0008343915
  -1.121569e-05 0.0001715445
  5.939747e-05 -0.0004906454
  0.000202302 -0.001155691
  0.00041624 -0.001824909
  0.0007022413 -0.00249863
  0.001063407 -0.003175928
  0.001504771 -0.003853989
  0.002033072 -0.004526934
  0.002656003 -0.005183745
  0.003382057 -0.00581046
  0.004224086 -0.006402952
  0.00519748 -0.006960481
  0.006319243 -0.007484639
  0.007607031 -0.007981621
  0.009076641 -0.008466454
  0.01073795 -0.008968802
  0.0126129 -0.009509717
  0.0147403 -0.01009146
  0.01715712 -0.01071199
  0.01989205 -0.01136421
  0.02297265 -0.0120387
  0.02644828 -0.01273094
  0.03037293 -0.01343973
  0.03477844 -0.0141631
  0.03964635 -0.01489902
  0.044898 -0.0156389
  0.05041834 -0.01636228
  0.05609954 -0.01705397
  0.06189434 -0.01771038
  0.0678013 -0.01833578
  0.0738144 -0.01893504
  0.07991392 -0.01951259
  0.0860691 -0.02006992
  0.09225363 -0.02060584
  0.09845287 -0.02112023
  0.1046643 -0.0216142
  0.1108906 -0.02208932
  0.1171332 -0.02254705
  0.1233915 -0.02298872
  0.1296627 -0.02341537
  0.1359436 -0.02382748
  0.1422315 -0.02422542
  0.1485242 -0.02460963
  0.1548203 -0.02498062
  0.161119 -0.02533883
  0.16742 -0.0256844
  0.173723 -0.02601744
  0.180028 -0.02633804
  0.186335 -0.02664633
  0.1926443 -0.02694243
  0.198956 -0.02722663
  0.2052705 -0.02749927
  0.2115882 -0.02776067
  0.2179094 -0.02801119
  0.2242347 -0.02825115
  0.2305643 -0.02848091
  0.2368986 -0.02870084
  0.2432372 -0.0289113
  0.2495795 -0.02911265
  0.2559244 -0.02930524
  0.2622703 -0.0294894
  0.2686155 -0.02966525
  0.2749585 -0.02983252
  0.2812987 -0.02999091
  0.2876364 -0.03014017
  0.2939724 -0.03028005
  0.3003087 -0.03041029
  0.3066478 -0.03053089
  0.3129919 -0.03064245
  0.3193425 -0.03074572
  0.3257 -0.03084138
  0.3320641 -0.03093015
  0.3384333 -0.03101272
  0.3448051 -0.03108973
  0.3511767 -0.03116118
  0.3575458 -0.03122668
  0.3639113 -0.03128584
  0.3702727 -0.03133829
  0.3766306 -0.03138367
  0.3829866 -0.0314216
  0.3893429 -0.03145189
  0.3957018 -0.03147491
  0.4020649 -0.03149112
  0.4084328 -0.03150098
  0.4148054 -0.03150497
  0.4211816 -0.03150355
  0.4275597 -0.03149718
  0.433937 -0.03148598
  0.4403116 -0.03146947
  0.4466817 -0.03144716
  0.4530469 -0.03141858
  0.459407 -0.03138324
  0.4657629 -0.03134063
  0.4721159 -0.0312903
  0.4784679 -0.03123201
  0.4848204 -0.03116579
  0.4911739 -0.03109167
  0.4975286 -0.03100968
  0.5038836 -0.03091986
  0.5102376 -0.03082226
  0.5165886 -0.03071693
  0.5229346 -0.03060357
  0.5292743 -0.03048174
  0.5356081 -0.03035099
  0.5419372 -0.03021082
  0.548264 -0.0300607
  0.5545923 -0.02990008
  0.5609267 -0.02972886
  0.5672713 -0.02954844
  0.5736289 -0.02936049
  0.5800003 -0.02916677
  0.5863848 -0.0289691
  0.5927798 -0.02876938
  0.5991808 -0.02856954
