 NLR-7301 AIRFOIL
  1.0 0.00055
  0.9956823 0.001415794
  0.9904785 0.002480883
  0.9850156 0.003623773
  0.9792748 0.004847473
  0.9732392 0.006152125
  0.9668972 0.007537475
  0.9602417 0.009005558
  0.9532671 0.01055817
  0.9459681 0.01219679
  0.9383388 0.01392209
  0.9303779 0.0157327
  0.9220918 0.01762463
  0.9134965 0.0195922
  0.9046185 0.02162895
  0.8954933 0.02372618
  0.8861635 0.02587236
  0.8766747 0.02805383
  0.867071 0.03025689
  0.8573919 0.03246877
  0.8476689 0.03467848
  0.8379245 0.0368773
  0.8281771 0.03905806
  0.8184433 0.04121417
  0.8087379 0.04333961
  0.7990738 0.045429
  0.7894616 0.04747753
  0.7799091 0.04948091
  0.770421 0.0514357
  0.7609988 0.05333929
  0.7516413 0.05518975
  0.742345 0.05698583
  0.7331055 0.05872708
  0.7239193 0.0604132
  0.7147836 0.0620437
  0.7056965 0.06361801
  0.6966569 0.06513541
  0.6876639 0.06659502
  0.6787146 0.06799598
  0.6698035 0.06933784
  0.6609227 0.0706204
  0.6520619 0.07184365
  0.6432084 0.07300789
  0.6343491 0.07411528
  0.6254723 0.07516848
  0.6165681 0.07616965
  0.6076283 0.07712055
  0.5986463 0.07802258
  0.5896174 0.07887705
  0.5805379 0.07968556
  0.5714049 0.0804497
  0.5622168 0.08117095
  0.5529732 0.08185074
  0.5436748 0.08249044
  0.5343232 0.08309093
  0.5249208 0.08365282
  0.5154705 0.08417674
  0.5059758 0.08466342
  0.4964409 0.08511362
  0.4868704 0.08552776
  0.477269 0.08590584
  0.4676412 0.08624787
  0.4579914 0.08655396
  0.4483237 0.08682429
  0.438642 0.08705901
  0.4289503 0.08725805
  0.4192526 0.08742139
  0.4095532 0.08754905
  0.3998567 0.0876411
  0.3901677 0.08769764
  0.3804909 0.08771858
  0.3708309 0.08770387
  0.3611925 0.0876535
  0.3515803 0.08756756
  0.3419987 0.08744619
  0.3324528 0.08728968
  0.3229494 0.08709843
  0.3134962 0.08687298
  0.3041027 0.08661405
  0.294779 0.08632245
  0.2855363 0.08599867
  0.2763864 0.08564291
  0.2673412 0.08525562
  0.2584128 0.08483752
