NN7 MK20
  1.0 0.0
  0.9965251 0.0009348046
  0.9920968 0.002121898
  0.9872289 0.003425479
  0.9819688 0.004822129
  0.9763942 0.006284085
  0.9705753 0.007779225
  0.9645485 0.009293146
  0.9583524 0.01082332
  0.9520353 0.01236249
  0.9456301 0.01390416
  0.9391509 0.01544976
  0.9326165 0.0170036
  0.9260588 0.0185667
  0.9195048 0.0201384
  0.9129615 0.02172216
  0.9064181 0.02332245
  0.8998619 0.02494029
  0.8932859 0.02657518
  0.8866886 0.02822488
  0.8800737 0.02988541
  0.8734507 0.03155128
  0.8668327 0.03321575
  0.860228 0.03487277
  0.8536372 0.03651831
  0.8470534 0.03815094
  0.8404679 0.03977285
  0.8338734 0.04138653
  0.8272645 0.04299402
  0.8206381 0.0445974
  0.8139935 0.046199
  0.807333 0.04780057
  0.8006614 0.04940319
  0.7939854 0.05100672
  0.7873099 0.0526106
  0.7806378 0.05421479
  0.7739697 0.05581972
  0.7673048 0.05742514
  0.7606431 0.05902975
  0.7539863 0.06063183
  0.7473377 0.06222926
  0.7407016 0.06381931
  0.7340811 0.06539912
  0.7274772 0.06696629
  0.7208888 0.06851898
  0.7143132 0.07005595
  0.7077474 0.0715768
  0.7011888 0.07308111
  0.6946358 0.07456833
  0.6880871 0.07603774
  0.6815422 0.07748866
  0.6750008 0.07892055
  0.6684625 0.08033286
  0.6619272 0.08172503
  0.6553945 0.08309651
  0.6488644 0.0844467
  0.6423367 0.08577502
  0.6358116 0.08708085
  0.6292891 0.08836357
  0.6227695 0.08962252
  0.616253 0.09085693
  0.6097399 0.09206602
  0.6032305 0.09324901
  0.5967251 0.09440513
  0.590224 0.09553358
  0.5837274 0.09663345
  0.5772357 0.09770381
  0.5707489 0.09874379
  0.5642671 0.09975251
  0.5577904 0.1007291
  0.5513186 0.1016728
  0.5448515 0.1025827
  0.5383888 0.1034582
  0.5319296 0.1042984
  0.5254733 0.1051027
  0.519019 0.1058707
  0.512566 0.1066021
  0.5061136 0.1072966
  0.4996611 0.1079536
  0.4932078 0.1085729
  0.4867529 0.1091546
  0.4802954 0.1096988
  0.473834 0.1102056
  0.4673671 0.1106753
  0.4608928 0.111108
  0.4544098 0.1115045
  0.4479178 0.1118653
  0.4414179 0.1121912
  0.4349123 0.1124827
  0.4284044 0.1127403
  0.4218979 0.1129635
  0.4153948 0.1131517
  0.4088964 0.1133042
  0.4024026 0.1134207
  0.3959121 0.1135007
  0.3894236 0.1135439
  0.3829371 0.1135503
  0.3764535 0.1135197
  0.369975 0.113452
  0.3635047 0.1133468
  0.3570453 0.1132033
  0.3505979 0.1130205
  0.3441624 0.1127973
  0.3377366 0.1125325
  0.3313177 0.1122255
  0.324903 0.111876
  0.3184914 0.111484
  0.3120832 0.1110495
  0.3056805 0.1105729
  0.299286 0.1100539
  0.2929014 0.1094922
  0.2865263 0.1088871
  0.2801584 0.1082379
  0.2737936 0.1075436
  0.2674273 0.1068043
  0.2610574 0.1060208
  0.2546845 0.1051942
  0.2483118 0.104326
  0.2419453 0.1034175
  0.23559 0.1024688
  0.2292485 0.1014794
  0.2229209 0.1004486
  0.2166046 0.09937531
  0.2102971 0.09825914
  0.2039988 0.09710029
  0.1977131 0.0958996
  0.1914464 0.09465849
  0.1852069 0.09337712
  0.1789999 0.0920542
  0.1728272 0.09068784
  0.1666871 0.08927549
  0.1605763 0.08781496
  0.1544938 0.08630517
  0.1484413 0.08474579
  0.1424239 0.08313725
  0.136448 0.08147936
  0.1305178 0.07977083
  0.1246351 0.07800972
  0.1187988 0.07619355
  0.1130085 0.07432061
  0.1072668 0.07239047
  0.1015797 0.07040407
  0.09595595 0.06836266
  0.09040287 0.06626607
  0.08492428 0.06411303
  0.07952098 0.06190176
  0.07419615 0.05963395
  0.06896211 0.05731646
  0.06383953 0.05496055
  0.05885652 0.05257748
  0.05404415 0.05017916
  0.04943106 0.04777959
  0.04504227 0.04539098
  0.04089657 0.04302263
  0.03700317 0.04068286
  0.03336559 0.03838034
  0.02999171 0.03612986
  0.0268891 0.03394978
  0.02405825 0.03185505
  0.02149278 0.02984958
  0.01917602 0.02793022
  0.01708529 0.02609111
  0.015197 0.02432606
  0.01349184 0.02263321
  0.01195461 0.02101379
  0.01057123 0.01946901
  0.00932762 0.01799881
  0.008209354 0.01660189
  0.007201163 0.01527512
  0.006288494 0.01401322
  0.005458499 0.01281021
  0.004700221 0.01166017
  0.004004525 0.01055763
  0.003366349 0.009496663
  0.002785165 0.00847291
  0.002260955 0.007485013
  0.001793063 0.00653312
  0.001379807 0.005617776
  0.001018474 0.004739292
  0.0007081769 0.003897855
  0.0004523622 0.003091953
  0.0002525057 0.002316525
  0.000109205 0.001564848
  2.361829e-05 0.0008295131
  -1.56936e-06 0.0001025273
  3.772614e-05 -0.0006245693
  0.0001421775 -0.001357423
  0.0003129867 -0.002098917
  0.0005537769 -0.002849787
  0.0008699312 -0.003607759
  0.001267368 -0.004366122
  0.00174917 -0.005119092
  0.002314631 -0.005866479
  0.002960701 -0.006609441
  0.003681854 -0.007350636
  0.004470012 -0.00809481
  0.005320247 -0.008846771
  0.006238392 -0.009607427
  0.007232772 -0.01037706
  0.008313153 -0.01115584
  0.009490993 -0.01194369
  0.01077943 -0.01274058
  0.01219224 -0.01354846
  0.01374449 -0.01437094
  0.01545267 -0.01521315
  0.017334 -0.01608257
  0.01940775 -0.0169877
  0.02170006 -0.01793367
