OAF139 AIRFOIL
  1.0 0.00492
  0.9960621 0.004758198
  0.9912867 0.004582897
  0.9862565 0.004421673
  0.9809719 0.004277081
  0.9754369 0.004152161
  0.9696588 0.004049886
  0.9636478 0.003972306
  0.957418 0.003921185
  0.9509859 0.003898574
  0.9443682 0.003906048
  0.937582 0.003944377
  0.9306448 0.004013849
  0.9235734 0.004114489
  0.9163841 0.004245987
  0.9090911 0.00440801
  0.9017072 0.004600096
  0.8942429 0.00482148
  0.8867077 0.005071075
  0.8791104 0.005347643
  0.8714587 0.005650189
  0.8637592 0.005977802
  0.8560168 0.006329505
  0.8482358 0.006704231
  0.8404203 0.007100833
  0.832574 0.007518226
  0.8247005 0.007955539
  0.8168026 0.008411909
  0.808883 0.008886525
  0.8009437 0.009378701
  0.7929866 0.00988776
  0.7850133 0.01041304
  0.777025 0.01095392
  0.7690234 0.01150978
  0.7610099 0.01208001
  0.752986 0.01266417
  0.7449526 0.01326191
  0.7369104 0.01387291
  0.7288597 0.01449681
  0.7208009 0.01513319
  0.7127348 0.01578158
  0.7046624 0.01644156
  0.6965847 0.0171129
  0.6885023 0.01779545
  0.6804153 0.01848911
  0.6723236 0.01919373
  0.6642269 0.01990908
  0.6561253 0.02063492
  0.6480189 0.021371
  0.6399079 0.02211711
  0.6317922 0.0228731
  0.6236717 0.02363883
  0.6155459 0.02441417
  0.607414 0.02519886
  0.5992758 0.0259926
  0.5911309 0.0267951
  0.582979 0.02760603
  0.5748199 0.02842508
  0.5666536 0.02925191
  0.5584799 0.03008618
  0.5502984 0.03092752
  0.542109 0.03177552
  0.5339114 0.03262977
  0.5257051 0.03348984
  0.5174901 0.03435511
  0.5092668 0.03522476
  0.5010365 0.03609788
  0.4928013 0.03697349
  0.4845639 0.03785049
  0.476328 0.03872773
  0.4680978 0.03960397
  0.4598782 0.04047784
  0.4516737 0.04134775
  0.4434876 0.04221215
  0.4353223 0.04306967
  0.427179 0.04391903
  0.419059 0.04475899
  0.4109633 0.04558832
  0.4028935 0.04640579
  0.3948509 0.04721005
  0.3868369 0.04799965
  0.3788528 0.04877318
  0.3708995 0.04952928
  0.3629778 0.05026653
  0.3550886 0.05098347
  0.3472323 0.05167868
  0.3394093 0.05235083
  0.3316202 0.05299855
  0.3238656 0.05362048
  0.3161463 0.0542153
  0.3084634 0.05478168
  0.3008178 0.05531809
  0.2932103 0.05582306
  0.2856407 0.05629519
  0.2781092 0.0567332
  0.2706159 0.05713595
  0.2631617 0.05750232
  0.2557482 0.05783125
  0.2483771 0.05812137
  0.2410501 0.05837111
  0.2337681 0.05857896
  0.2265317 0.05874365
  0.2193411 0.05886495
  0.2121968 0.05894311
  0.2050994 0.05897842
  0.1980501 0.05897162
  0.1910562 0.05892461
