R140 (original)
  1.0 0.0
  0.9970878 0.0004969996
  0.9934286 0.001101304
  0.989391 0.001742079
  0.9849155 0.002420568
  0.9799539 0.003133783
  0.9745023 0.003870357
  0.9686556 0.004607195
  0.9627738 0.005313374
  0.9569032 0.006016322
  0.9509728 0.006758614
  0.9451525 0.007552037
  0.9394404 0.008415773
  0.9337709 0.00933153
  0.9280958 0.01026749
  0.9223864 0.01118898
  0.9166333 0.0120572
  0.9108484 0.01285449
  0.9050518 0.01360771
  0.8992572 0.01434985
  0.8934697 0.01511499
  0.8876867 0.01593787
  0.8818962 0.01683341
  0.8760848 0.017784
  0.8702467 0.01876768
  0.8643848 0.0197603
  0.8585113 0.02073591
  0.8526448 0.02167207
  0.8467999 0.02255109
  0.8409841 0.02335739
  0.8351977 0.02407717
  0.8294359 0.02470497
  0.8236956 0.02527604
  0.8179748 0.02583893
  0.812272 0.02644117
  0.8065854 0.02712991
  0.8009112 0.02793481
  0.7952375 0.0288258
  0.7895515 0.02975991
  0.78384 0.03069352
  0.7780899 0.03158193
  0.7722909 0.0323971
  0.766441 0.0331496
  0.7605438 0.0338551
  0.7546085 0.0345294
  0.7486502 0.03518821
  0.742687 0.03584292
  0.7367328 0.03650117
  0.7307956 0.03717096
  0.7248781 0.03786076
  0.718977 0.03857698
  0.7130852 0.03931121
  0.7071959 0.04004957
  0.7013041 0.04077802
  0.6954061 0.04148239
  0.6895006 0.0421568
  0.6835879 0.04281132
  0.677668 0.04345789
  0.6717399 0.04410863
  0.6658014 0.04477516
  0.6598501 0.04546033
  0.6538859 0.04616029
  0.6479151 0.04687031
  0.6419448 0.04758543
  0.6359833 0.04829931
  0.6300439 0.0489996
  0.6241305 0.04967385
  0.6182408 0.05031069
  0.6123659 0.05089978
  0.6064935 0.05144165
  0.6006144 0.05195616
  0.5947239 0.05246483
  0.5888222 0.05298895
  0.5829136 0.05354609
  0.5770021 0.05413008
  0.571089 0.05472518
  0.5651723 0.0553158
  0.5592477 0.05588691
  0.5533102 0.05643476
  0.5473593 0.05696918
  0.5413998 0.05750049
  0.5354422 0.05803859
  0.5295021 0.05859157
  0.5235949 0.05914785
  0.5177272 0.05968209
  0.5118959 0.06017044
  0.5060895 0.06059054
  0.5002887 0.06092378
  0.4944727 0.06118322
  0.4886269 0.06140005
  0.4827435 0.06160585
  0.476822 0.06183267
  0.4708681 0.06209795
  0.4648912 0.06239846
  0.4589046 0.06272897
  0.4529259 0.06308365
  0.4469758 0.06345337
  0.4410717 0.06381273
  0.4352208 0.06413214
  0.4294199 0.06438422
  0.4236568 0.06454309
  0.4179112 0.06458943
  0.4121616 0.06454619
  0.4063938 0.0644539
  0.4006015 0.0643535
  0.3947875 0.06428697
  0.388963 0.06429224
  0.3831429 0.06435711
  0.3773344 0.06443969
  0.3715354 0.06449815
  0.3657348 0.06449104
  0.3599137 0.06439641
  0.3540559 0.06423537
  0.3481559 0.06403548
  0.3422196 0.06382579
  0.3362659 0.06363289
  0.3303194 0.06345213
  0.3243973 0.06326332
  0.3185067 0.06304637
  0.3126453 0.06278145
  0.3068017 0.06245016
  0.3009585 0.06205634
  0.2951002 0.06162072
  0.2892161 0.06116485
  0.2833004 0.06071115
  0.2773526 0.06027914
  0.2713777 0.05986798
  0.265385 0.05946995
  0.2593872 0.05907732
  0.2534011 0.05868248
  0.2474448 0.05827502
  0.2415316 0.05783933
  0.2356647 0.0573594
  0.2298382 0.05681904
  0.2240376 0.05620316
  0.2182423 0.05552104
  0.2124359 0.05480103
  0.2066111 0.05407317
  0.2007699 0.05336918
  0.1949241 0.0527151
  0.1890885 0.05209501
  0.1832634 0.05147606
  0.1774315 0.05082371
  0.17156 0.05011051
  0.1656364 0.04934252
  0.1597101 0.04854126
  0.1538839 0.04771501
  0.1482144 0.04682094
  0.1426634 0.04580265
  0.1371233 0.04464744
  0.1314989 0.04343871
  0.1257722 0.04227686
  0.1200016 0.04120133
  0.1142762 0.0402239
  0.108682 0.03928397
  0.1032312 0.03825492
  0.0978502 0.03705278
  0.0924264 0.03576194
  0.08688904 0.03451549
  0.08124321 0.03334812
  0.07555718 0.03217589
