 RAE6-9CK AIRFOIL
  1.0 0.0
  0.9967909 0.0006781595
  0.992623 0.001543185
  0.9879494 0.002498866
  0.9828096 0.003535431
  0.9772847 0.004635865
  0.9714679 0.00577917
  0.9654459 0.006948141
  0.9592881 0.008128461
  0.9530398 0.009311494
  0.9467329 0.01049242
  0.940391 0.01166704
  0.934027 0.01283273
  0.9276475 0.01398838
  0.9212561 0.01513355
  0.9148556 0.01626819
  0.9084492 0.01739213
  0.9020387 0.01850496
  0.8956239 0.01960665
  0.8892041 0.02069764
  0.8827803 0.02177821
  0.8763541 0.02284812
  0.8699265 0.02390709
  0.8634969 0.02495508
  0.8570645 0.02599237
  0.8506294 0.02701913
  0.8441926 0.02803529
  0.8377549 0.02904064
  0.8313171 0.03003496
  0.8248798 0.03101795
  0.8184431 0.03198931
  0.8120065 0.03294883
  0.8055693 0.03389646
  0.7991317 0.03483215
  0.7926939 0.03575576
  0.7862565 0.03666701
  0.7798196 0.03756562
  0.7733826 0.03845143
  0.7669447 0.03932447
  0.7605057 0.04018475
  0.754066 0.04103223
  0.7476264 0.04186666
  0.7411875 0.04268771
  0.7347492 0.04349512
  0.728311 0.04428872
  0.7218723 0.0450685
  0.7154328 0.04583444
  0.7089924 0.04658647
  0.7025513 0.04732449
  0.6961098 0.04804839
  0.6896682 0.04875802
  0.6832269 0.04945322
  0.6767862 0.05013374
  0.6703463 0.05079936
  0.6639069 0.05144987
  0.657468 0.0520851
  0.6510297 0.05270487
  0.6445925 0.05330896
  0.6381569 0.0538971
  0.6317237 0.05446884
  0.6252933 0.05502377
  0.6188657 0.05556145
  0.612441 0.0560815
  0.6060191 0.05658352
  0.5996 0.0570671
  0.593184 0.05753183
  0.5867711 0.05797729
  0.5803612 0.05840305
  0.5739536 0.05880875
  0.5675474 0.05919405
  0.5611413 0.05955892
  0.5547345 0.05990342
  0.5483263 0.06022756
  0.541916 0.06053138
  0.5355034 0.06081508
  0.5290881 0.06107883
  0.52267 0.06132283
  0.5162491 0.06154728
  0.5098253 0.06175238
  0.5033985 0.06193835
  0.4969685 0.06210541
  0.490535 0.06225383
  0.484098 0.0623839
  0.4776574 0.06249595
  0.4712134 0.06259026
  0.4647662 0.06266712
  0.4583159 0.06272678
  0.4518628 0.06276951
  0.4454067 0.06279557
  0.438948 0.0628052
  0.4324866 0.06279866
  0.4260231 0.0627762
  0.419558 0.06273804
  0.4130919 0.06268426
  0.4066253 0.06261493
  0.4001588 0.06253011
  0.3936927 0.06242982
  0.3872275 0.06231399
  0.3807634 0.06218252
  0.3743003 0.06203535
  0.3678384 0.06187239
  0.3613776 0.06169359
  0.354918 0.06149888
  0.3484599 0.0612882
  0.3420034 0.06106145
  0.3355487 0.06081851
  0.3290958 0.06055927
  0.3226447 0.06028363
  0.3161954 0.05999151
  0.3097478 0.05968283
  0.3033019 0.05935749
  0.2968576 0.05901544
  0.2904153 0.05865664
  0.2839757 0.05828107
  0.2775398 0.05788861
  0.2711083 0.05747896
  0.2646817 0.0570518
  0.2582602 0.05660679
  0.2518439 0.05614357
  0.2454327 0.0556618
  0.2390267 0.05516115
  0.2326257 0.05464128
  0.2262302 0.05410194
  0.2198409 0.05354288
  0.2134587 0.05296379
  0.2070846 0.05236418
  0.2007189 0.05174353
  0.1943618 0.0511013
  0.1880138 0.05043698
  0.1816759 0.0497501
  0.1753497 0.04904017
  0.1690366 0.0483064
  0.162737 0.04754789
  0.1564511 0.04676372
  0.1501793 0.04595313
  0.1439225 0.04511546
  0.1376825 0.04425002
  0.1314613 0.04335599
  0.1252613 0.04243259
  0.1190849 0.04147888
  0.1129358 0.04049391
  0.106818 0.03947682
  0.1007368 0.03842639
  0.09469772 0.03734159
  0.08870776 0.0362214
  0.08277649 0.03506528
  0.0769164 0.03387323
  0.07114428 0.0326458
  0.06548117 0.03138497
  0.05995449 0.03009407
  0.05459789 0.02877923
  0.04945171 0.02744899
  0.04456077 0.02611556
  0.03996899 0.02479225
  0.03571365 0.02349384
  0.0318169 0.02223202
  0.02828427 0.02101561
  0.02510375 0.01984971
  0.02225372 0.01873573
  0.01970498 0.01767375
  0.01742623 0.01665963
  0.01538621 0.01568849
  0.01355506 0.01475608
  0.01190771 0.0138569
  0.01042183 0.01298587
  0.009077221 0.01213904
  0.007858214 0.01131222
  0.006753667 0.01050148
  0.005753586 0.00970444
  0.004848909 0.008919579
  0.004033559 0.00814465
  0.003302064 0.007376321
  0.002648339 0.006611092
  0.002066838 0.005845644
  0.001556414 0.005078723
  0.001119245 0.004312104
  0.0007570009 0.00354925
  0.0004698633 0.002794563
  0.0002551811 0.002053845
  0.0001078851 0.001329651
  2.361033e-05 0.0006192704
  4.686485e-07 -8.347902e-05
  3.86716e-05 -0.0007874204
  0.0001381993 -0.001500916
  0.0003016727 -0.00222945
  0.0005338596 -0.00297472
  0.000839561 -0.003732862
  0.001220584 -0.004498429
  0.001676279 -0.00526738
  0.002204675 -0.006036738
  0.002803774 -0.006805537
  0.003476187 -0.007576022
  0.004227875 -0.00835186
  0.005064977 -0.00913685
  0.005992836 -0.009934535
  0.007018444 -0.01074709
  0.008151326 -0.01157636
  0.009401823 -0.01242531
  0.01078191 -0.01329843
  0.01230887 -0.01420009
  0.01400359 -0.01513486
  0.0158886 -0.01610842
  0.01798916 -0.01712558
  0.02033368 -0.01818927
  0.02295095 -0.0193027
  0.02587032 -0.02046751
  0.02911718 -0.02168188
  0.03270762 -0.02294197
  0.03664639 -0.0242388
  0.04092253 -0.02556082
  0.04551372 -0.02689485
  0.05038618 -0.02822725
  0.05550243 -0.02954646
  0.06082352 -0.03084285
  0.06631386 -0.03210992
  0.07194261 -0.03334289
  0.07768439 -0.03453955
  0.08351924 -0.03569868
  0.08943104 -0.03682048
  0.09540724 -0.03790549
  0.101437 -0.03895469
  0.1075112 -0.03996899
  0.1136225 -0.04094906
  0.1197655 -0.04189591
  0.1259362 -0.04281041
  0.1321319 -0.04369358
  0.1383509 -0.04454665
  0.1445914 -0.04537082
  0.1508513 -0.04616729
  0.1571279 -0.04693687
  0.1634192 -0.04768022
  0.1697237 -0.04839811
  0.1760403 -0.04909115
  0.1823676 -0.0497599
  0.1887044 -0.05040489
  0.1950496 -0.0510265
  0.2014028 -0.05162513
  0.2077639 -0.05220124
  0.214133 -0.05275541
  0.2205095 -0.05328816
  0.2268917 -0.05379994
  0.2332778 -0.05429082
  0.2396664 -0.05476074
  0.2460569 -0.05520972
  0.2524491 -0.05563778
  0.2588425 -0.05604492
  0.2652356 -0.05643109
  0.2716261 -0.05679602
  0.2780122 -0.05713902
  0.2843921 -0.05745934
  0.2907647 -0.05775629
  0.2971293 -0.05802901
  0.3034852 -0.05827654
  0.3098317 -0.05849796
  0.3161681 -0.05869231
  0.3224942 -0.05885856
  0.3288104 -0.05899569
  0.3351176 -0.05910271
  0.3414172 -0.0591789
  0.3477104 -0.05922375
  0.3539981 -0.05923673
  0.3602806 -0.05921733
  0.3665585 -0.05916519
  0.3728324 -0.05907997
  0.3791033 -0.05896133
  0.3853726 -0.05880902
  0.3916416 -0.05862311
  0.3979114 -0.05840376
  0.4041829 -0.05815107
  0.4104565 -0.05786526
  0.4167329 -0.05754672
  0.4230128 -0.05719584
  0.429297 -0.05681298
  0.4355861 -0.05639864
  0.441881 -0.05595349
  0.4481823 -0.05547821
  0.4544905 -0.05497347
  0.460806 -0.05444006
  0.4671292 -0.05387883
  0.4734604 -0.05329064
  0.4798 -0.05267638
  0.4861483 -0.05203699
  0.4925056 -0.05137348
  0.4988724 -0.05068683
  0.5052491 -0.04997807
  0.5116361 -0.04924828
  0.5180334 -0.04849863
  0.5244405 -0.04773033
