Ornithopter airfoil.
  1.0 0.0
  0.9968619 0.001134857
  0.9930295 0.002626353
  0.9889246 0.004327273
  0.9845197 0.006227165
  0.9798365 0.008287926
  0.9749309 0.01045581
  0.9698601 0.01266749
  0.9646652 0.01487312
  0.9593759 0.01704802
  0.9540036 0.01917777
  0.9485363 0.02125796
  0.9429478 0.02329916
  0.9372174 0.02531614
  0.9313357 0.02732021
  0.9253088 0.02931841
  0.9191568 0.03131051
  0.9129021 0.03329297
  0.9065654 0.03526372
  0.9001644 0.03722248
  0.893712 0.03917001
  0.8872176 0.04110505
  0.8806889 0.04302617
  0.8741326 0.0449324
  0.8675539 0.04682328
  0.8609567 0.04869864
  0.8543439 0.05055812
  0.8477175 0.05240139
  0.8410796 0.05422827
  0.8344315 0.05603874
  0.8277742 0.05783287
  0.8211082 0.05961075
  0.8144343 0.0613723
  0.8077535 0.06311745
  0.8010667 0.06484606
  0.7943754 0.06655793
  0.7876811 0.06825281
  0.7809853 0.06993005
  0.7742891 0.07158886
  0.7675939 0.07322854
  0.7609005 0.07484843
  0.7542098 0.07644792
  0.7475222 0.07802647
  0.7408383 0.07958344
  0.7341581 0.08111817
  0.7274818 0.08263004
  0.7208091 0.08411848
  0.7141395 0.08558298
  0.7074724 0.08702307
  0.7008071 0.08843836
  0.6941428 0.08982868
  0.6874789 0.09119383
  0.680815 0.09253359
  0.6741507 0.0938477
  0.6674859 0.09513589
  0.6608205 0.09639783
  0.6541547 0.09763321
  0.6474885 0.09884172
  0.640822 0.100023
  0.6341553 0.1011769
  0.6274885 0.102303
  0.6208215 0.103401
  0.6141542 0.1044707
  0.6074868 0.1055118
  0.600819 0.1065241
  0.5941509 0.1075073
  0.5874824 0.1084613
  0.5808134 0.1093857
  0.5741437 0.1102805
  0.5674734 0.1111453
  0.5608023 0.11198
  0.5541302 0.1127844
  0.5474573 0.1135583
  0.5407836 0.1143017
  0.5341091 0.1150143
  0.5274341 0.115696
  0.5207588 0.1163466
  0.5140835 0.1169658
  0.5074084 0.1175535
  0.500734 0.1181094
  0.4940607 0.1186331
  0.487389 0.1191245
  0.4807195 0.1195832
  0.4740527 0.120009
  0.4673894 0.1204017
  0.4607301 0.1207607
  0.4540753 0.1210856
  0.4474255 0.1213761
  0.440781 0.1216317
  0.4341421 0.1218519
  0.4275088 0.1220365
  0.4208813 0.1221851
  0.4142597 0.1222971
  0.4076443 0.1223721
  0.4010354 0.1224099
  0.3944335 0.1224098
  0.3878391 0.1223716
  0.381253 0.1222948
  0.3746757 0.122179
  0.368108 0.1220238
  0.3615501 0.1218287
  0.355002 0.1215932
  0.3484633 0.1213168
  0.3419333 0.120999
  0.3354111 0.1206393
