S1223 RTL
  1.0 0.0
  0.9970589 0.002345804
  0.9936953 0.005080854
  0.9903879 0.007811279
  0.987118 0.01047445
  0.9838373 0.01302213
  0.9804909 0.01543675
  0.9770493 0.01773613
  0.9734888 0.01993716
  0.9697866 0.02205367
  0.965923 0.02410614
  0.9618816 0.02611529
  0.9576511 0.02809956
  0.9532216 0.03007076
  0.9485828 0.0320377
  0.9437288 0.03400968
  0.9386576 0.03599273
  0.9333679 0.0379868
  0.9278602 0.03999178
  0.9221365 0.0420081
  0.9161999 0.04403466
  0.9100553 0.04606955
  0.9037102 0.04811118
  0.8971742 0.05015771
  0.8904582 0.0522061
  0.8835744 0.0542535
  0.8765358 0.05629771
  0.8693554 0.05833633
  0.8620463 0.06036649
  0.8546219 0.06238575
  0.8470957 0.06439214
  0.83948 0.06638324
  0.8317867 0.06835663
  0.8240266 0.07031041
  0.8162094 0.07224306
  0.808344 0.07415278
  0.8004387 0.0760379
  0.7925012 0.07789705
  0.7845386 0.07972877
  0.7765571 0.08153137
  0.7685618 0.08330344
  0.760557 0.08504384
  0.752546 0.08675147
  0.7445313 0.08842527
  0.736515 0.09006432
  0.7284986 0.09166784
  0.720483 0.09323513
  0.7124683 0.09476561
  0.7044539 0.09625883
  0.6964386 0.09771456
  0.6884209 0.09913285
  0.680399 0.1005138
  0.6723714 0.1018574
  0.6643362 0.1031639
  0.6562914 0.1044336
  0.6482345 0.1056669
  0.6401625 0.1068644
  0.632072 0.1080267
  0.6239602 0.1091549
  0.6158239 0.1102499
  0.6076607 0.1113126
  0.599468 0.1123443
  0.5912429 0.113346
  0.5829826 0.1143191
  0.5746839 0.115265
  0.5663438 0.1161854
  0.5579601 0.1170821
  0.5495312 0.117957
  0.5410562 0.1188116
  0.5325347 0.1196478
  0.5239669 0.1204675
  0.5153534 0.1212723
  0.5066955 0.1220639
  0.4979952 0.122844
  0.4892557 0.123614
  0.4804809 0.1243753
  0.4716757 0.1251289
  0.4628454 0.1258755
  0.4539959 0.1266157
  0.4451333 0.1273501
  0.4362646 0.1280783
  0.4273977 0.1288001
  0.4185414 0.129515
  0.4097051 0.130222
  0.4008983 0.1309192
  0.3921304 0.1316046
