S8025 (8%)
  1.0 0.0
  0.9968049 0.0001187561
  0.9925468 0.0003573981
  0.9876762 0.0006468045
  0.9823112 0.0009490743
  0.976579 0.001253938
  0.9706109 0.001559887
  0.9645086 0.001868252
  0.9583323 0.002183622
  0.9521106 0.002506015
  0.945863 0.00283232
  0.9396047 0.003161289
  0.9333462 0.003492649
  0.9270912 0.003827363
  0.9208353 0.004166856
  0.914572 0.004510707
  0.9083024 0.004857091
  0.9020345 0.005205017
  0.8957728 0.005555468
  0.8895135 0.00590981
  0.8832494 0.006267945
  0.8769791 0.006628697
  0.8707078 0.006990913
  0.8644412 0.007354941
  0.8581802 0.007721776
  0.8519203 0.008092314
  0.8456569 0.008466256
  0.8393884 0.008842871
  0.833117 0.009221378
  0.8268459 0.009601631
  0.8205766 0.009983764
  0.814309 0.010368
  0.8080418 0.01075445
  0.8017743 0.0111431
  0.7955064 0.0115339
  0.7892388 0.0119268
  0.782972 0.01232188
  0.7767062 0.01271922
  0.770441 0.01311896
  0.7641759 0.01352113
  0.7579107 0.0139257
  0.7516454 0.01433262
  0.7453804 0.01474186
  0.7391159 0.01515345
  0.7328522 0.01556748
  0.7265893 0.01598401
  0.720327 0.01640313
  0.7140651 0.01682488
  0.7078035 0.0172493
  0.7015422 0.01767641
  0.6952812 0.01810624
  0.6890204 0.01853876
  0.6827594 0.01897398
  0.6764977 0.01941191
  0.6702344 0.01985245
  0.663969 0.0202953
  0.6577014 0.02074014
  0.6514315 0.02118663
  0.6451599 0.02163449
  0.6388871 0.02208355
  0.6326135 0.02253363
  0.6263399 0.02298456
  0.6200667 0.02343604
  0.6137944 0.02388755
  0.6075228 0.02433861
  0.6012517 0.02478875
  0.5949803 0.02523771
  0.588708 0.02568565
  0.5824344 0.02613279
  0.5761593 0.02657934
  0.5698825 0.02702547
  0.5636045 0.02747122
  0.5573259 0.02791659
  0.5510482 0.02836157
  0.5447728 0.02880601
  0.5385014 0.02924933
  0.5322347 0.0296908
  0.5259725 0.03012977
  0.5197136 0.03056566
  0.5134562 0.03099831
  0.5071989 0.03142784
  0.500941 0.03185433
  0.4946822 0.03227782
  0.4884228 0.0326983
  0.4821631 0.0331157
  0.4759038 0.03352996
  0.4696452 0.03394102
  0.4633881 0.03434874
  0.4571328 0.03475282
  0.4508794 0.03515296
  0.4446278 0.03554888
  0.4383777 0.03594031
  0.4321287 0.03632709
  0.4258807 0.03670901
  0.4196342 0.03708587
  0.4133896 0.03745744
  0.4071476 0.03782332
  0.4009083 0.03818313
  0.3946713 0.03853649
  0.3884358 0.03888308
  0.3822007 0.03922278
  0.3759658 0.03955555
  0.3697314 0.0398813
  0.3634986 0.04019988
  0.3572687 0.04051088
  0.3510421 0.04081379
  0.3448186 0.04110813
  0.3385971 0.04139348
  0.3323762 0.0416697
  0.3261556 0.04193673
  0.3199363 0.04219444
  0.3137202 0.04244259
  0.3075094 0.04268035
  0.3013051 0.04290675
  0.2951073 0.04312083
  0.2889148 0.04332182
  0.2827262 0.04350928
  0.2765403 0.04368281
  0.2703564 0.04384203
  0.2641741 0.04398662
  0.2579933 0.04411642
  0.2518148 0.04423128
  0.2456396 0.04433098
  0.2394696 0.04441466
  0.2333077 0.04448118
  0.2271582 0.0445294
  0.2210256 0.0445578
  0.2149118 0.04456399
  0.2088132 0.04454552
  0.202722 0.04450022
  0.1966296 0.04442808
  0.1905339 0.04432998
  0.184439 0.04420681
  0.1783534 0.04405817
  0.1722821 0.04388248
  0.1662252 0.04367806
  0.1601797 0.04344337
  0.1541469 0.04317731
  0.1481351 0.04287915
  0.1421564 0.04254663
  0.1362156 0.04217507
  0.1303067 0.04175927
  0.1244173 0.04129615
  0.1185401 0.04078505
  0.1126756 0.04022584
  0.106831 0.03961815
  0.1010179 0.03896196
  0.09525148 0.0382564
  0.08954525 0.03749707
  0.08390797 0.03667907
  0.07834358 0.03579671
  0.07285037 0.03484344
  0.06742384 0.03381398
  0.06206827 0.03270733
  0.05680057 0.03152516
  0.05164513 0.03026973
  0.04662916 0.02894494
  0.04179335 0.02755718
  0.03719274 0.02611924
  0.03287098 0.02463616
  0.02884129 0.02311061
  0.02511879 0.02156269
  0.02173376 0.02002614
  0.01870903 0.01853027
  0.01604296 0.01709694
  0.01371441 0.01573626
  0.01169059 0.01445142
  0.009934644 0.01323901
  0.008415018 0.01209093
  0.007100468 0.01100083
  0.005962172 0.009963434
  0.004974295 0.008972881
  0.004113764 0.00802258
  0.003361418 0.007107028
  0.002702843 0.006225642
  0.002127939 0.005381259
  0.001628218 0.004576997
